game_number,target_word,won,attempts,guess_1,feedback_1,hamming_1,levenshtein_1,strategy_1,guess_2,feedback_2,hamming_2,levenshtein_2,strategy_2,guess_3,feedback_3,hamming_3,levenshtein_3,strategy_3,guess_4,feedback_4,hamming_4,levenshtein_4,strategy_4,guess_5,feedback_5,hamming_5,levenshtein_5,strategy_5,guess_6,feedback_6,hamming_6,levenshtein_6,strategy_6
1,PHOTO,True,3,HATES,Y-Y--,5,4,VOI,THROB,YG-Y-,4,4,LLM,PHOTO,GGGGG,0,0,LLM,,,,,,,,,,,,,,,
2,PARTY,True,4,DANES,-G---,4,4,VOI,TALIB,YG---,4,4,LLM,MATCH,-GY--,4,4,LLM,PARTY,GGGGG,0,0,LLM,,,,,,,,,,
3,TRICK,True,3,RAISE,Y-G--,4,4,VOI,GRIFT,-GG-Y,3,3,LLM,TRICK,GGGGG,0,0,LLM,,,,,,,,,,,,,,,
4,DIRTY,True,4,ARIES,-YY--,5,5,VOI,RIGHT,YG--Y,4,4,LLM,TIMOR,YG--Y,4,4,LLM,DIRTY,GGGGG,0,0,LLM,,,,,,,,,,
5,USUAL,True,4,AIRES,Y---Y,5,5,VOI,SQUAT,Y-GG-,3,3,LLM,USAIL,GGY-G,2,2,LLM,USUAL,GGGGG,0,0,LLM,,,,,,,,,,
6,TRULY,True,5,ARIES,-G---,4,4,VOI,BROOK,-G---,4,4,LLM,GRUNT,-GG-Y,3,3,LLM,TRUTH,GGG--,2,2,LLM,TRULY,GGGGG,0,0,LLM,,,,,
7,SPENT,True,3,ARIES,---YY,5,5,VOI,SLEPT,G-GYG,2,2,LLM,SPENT,GGGGG,0,0,LLM,,,,,,,,,,,,,,,
8,PAUSE,True,3,ARIES,Y--YY,5,4,VOI,SPADE,YYY-G,4,3,LLM,PAUSE,GGGGG,0,0,LLM,,,,,,,,,,,,,,,
9,CRAZY,True,5,AILES,Y----,5,5,VOI,YARRA,YYY--,5,5,LLM,BRYAN,-GYY-,4,4,LLM,TRACY,-GGYG,2,2,LLM,CRAZY,GGGGG,0,0,LLM,,,,,
10,BASES,True,5,REALS,-YY-G,4,4,VOI,MAKES,-G-GG,2,2,LLM,CAGES,-G-GG,2,2,LLM,SAVES,YG-GG,2,2,LLM,BASES,GGGGG,0,0,LLM,,,,,
11,YOUNG,True,3,TEARS,-----,5,5,VOI,GODLY,YG--Y,4,4,LLM,YOUNG,GGGGG,0,0,LLM,,,,,,,,,,,,,,,
12,MEANS,True,5,ASTER,YY-Y-,5,5,VOI,SEDAN,YG-YY,4,3,LLM,LEANS,-GGGG,1,1,LLM,JEANS,-GGGG,1,1,LLM,MEANS,GGGGG,0,0,LLM,,,,,
13,TRUTH,True,3,RATES,Y-Y--,5,4,VOI,TROTT,GG-G-,2,2,LLM,TRUTH,GGGGG,0,0,LLM,,,,,,,,,,,,,,,
14,FIRED,True,4,NEARS,-Y-Y-,5,5,VOI,ROVER,Y--G-,4,4,LLM,TRIED,-YYGG,3,3,LLM,FIRED,GGGGG,0,0,LLM,,,,,,,,,,
15,FOLKS,True,3,EARNS,----G,4,4,VOI,SILKS,--GGG,2,2,LLM,FOLKS,GGGGG,0,0,LLM,,,,,,,,,,,,,,,
16,CHILE,True,4,REALS,-Y-G-,4,4,VOI,UNCLE,--YGG,3,3,LLM,COYLE,G--GG,2,2,LLM,CHILE,GGGGG,0,0,LLM,,,,,,,,,,
17,BLACK,True,5,RAISE,-Y---,5,5,VOI,TONYA,----Y,5,5,LLM,ALGAL,YG---,4,4,LLM,CLACK,-GGGG,1,1,LLM,BLACK,GGGGG,0,0,LLM,,,,,
18,GRANT,True,3,REALS,Y-G--,4,4,VOI,GRAFT,GGG-G,1,1,LLM,GRANT,GGGGG,0,0,LLM,,,,,,,,,,,,,,,
19,MEALS,True,2,REALS,-GGGG,1,1,VOI,MEALS,GGGGG,0,0,LLM,,,,,,,,,,,,,,,,,,,,
20,CREAM,True,4,NEARS,-YYY-,5,4,VOI,HATER,-Y-YY,5,5,LLM,BREAM,-GGGG,1,1,LLM,CREAM,GGGGG,0,0,LLM,,,,,,,,,,
21,AWAKE,True,3,REALS,-YG--,4,4,VOI,AGAVE,G-G-G,2,2,LLM,AWAKE,GGGGG,0,0,LLM,,,,,,,,,,,,,,,
22,OCCUR,True,5,EARLS,--Y--,5,5,VOI,GRUNT,-YY--,5,5,LLM,RUMOR,-Y-YG,4,4,LLM,ODOUR,G--GG,2,2,LLM,OCCUR,GGGGG,0,0,LLM,,,,,
23,YEARS,True,3,AIRES,Y-YYG,4,4,VOI,TEARS,-GGGG,1,1,LLM,YEARS,GGGGG,0,0,LLM,,,,,,,,,,,,,,,
24,GRADE,True,3,RAISE,YY--G,4,3,VOI,CRAFT,-GG--,3,3,LLM,GRADE,GGGGG,0,0,LLM,,,,,,,,,,,,,,,
25,CHILL,True,4,REALS,---G-,4,4,VOI,GULLY,--YG-,4,4,LLM,KNOLL,---GG,3,3,LLM,CHILL,GGGGG,0,0,LLM,,,,,,,,,,
26,FLOOD,True,5,EARLS,---Y-,5,5,VOI,MULTI,--Y--,5,5,LLM,LOBBY,YY---,5,4,LLM,FLOCK,GGG--,2,2,LLM,FLOOD,GGGGG,0,0,LLM,,,,,
27,APPLY,True,3,REALS,--YG-,4,4,VOI,PAOLA,YY-G-,4,4,LLM,APPLY,GGGGG,0,0,LLM,,,,,,,,,,,,,,,
28,SMILE,True,3,REALS,-Y-GY,4,4,VOI,STYLE,G--GG,2,2,LLM,SMILE,GGGGG,0,0,LLM,,,,,,,,,,,,,,,
29,KNOCK,False,6,READS,-----,5,5,VOI,BASED,-----,5,5,LLM,OOMPH,Y----,5,5,LLM,LINGO,--Y-Y,5,5,LLM,KNOTT,GGG--,2,2,LLM,KNOWN,GGG--,2,2,LLM
30,SLEEP,True,4,ASHER,-Y-G-,4,4,VOI,POKES,Y--GY,4,4,LLM,STEEP,G-GGG,1,1,LLM,SLEEP,GGGGG,0,0,LLM,,,,,,,,,,
31,BRICK,True,4,AROSE,-G---,4,4,VOI,TRYIN,-G-Y-,4,4,LLM,CRICK,-GGGG,1,1,LLM,BRICK,GGGGG,0,0,LLM,,,,,,,,,,
32,WROTE,True,4,OATES,Y-YY-,5,4,VOI,TEBOW,YY-YY,5,5,LLM,WRITE,GG-GG,1,1,LLM,WROTE,GGGGG,0,0,LLM,,,,,,,,,,
33,RATED,True,5,ARIES,YY-G-,4,4,VOI,CAREY,-GYG-,3,3,LLM,EAGER,-G-GY,3,3,LLM,RAVEN,GG-G-,2,2,LLM,RATED,GGGGG,0,0,LLM,,,,,
34,ALERT,True,4,LASER,YY-YY,5,3,VOI,RELAY,YYYY-,5,5,LLM,CLARE,-GYGY,3,3,LLM,ALERT,GGGGG,0,0,LLM,,,,,,,,,,
35,CAGES,True,6,EARLS,YG--G,3,3,VOI,TAXES,-G-GG,2,2,LLM,MAZES,-G-GG,2,2,LLM,CASES,GG-GG,1,1,LLM,CAVES,GG-GG,1,1,LLM,CAGES,GGGGG,0,0,LLM
36,TEDDY,True,4,ELISA,Y----,5,5,VOI,JETER,-GY--,4,4,LLM,TEMPO,GG---,3,3,LLM,TEDDY,GGGGG,0,0,LLM,,,,,,,,,,
37,COLES,True,6,LASER,Y-YG-,4,4,VOI,PILES,--GGG,2,2,LLM,MOLES,-GGGG,1,1,LLM,HOLES,-GGGG,1,1,LLM,SOLES,-GGGG,1,1,LLM,COLES,GGGGG,0,0,LLM
38,HWANG,True,5,ARISE,Y----,5,5,VOI,JACOB,-Y---,5,5,LLM,FLAGG,--G-G,3,3,LLM,TWANG,-GGGG,1,1,LLM,HWANG,GGGGG,0,0,LLM,,,,,
39,WRATH,True,4,READS,Y-G--,4,4,VOI,TRAIN,YGG--,3,3,LLM,PRATT,-GGG-,2,2,LLM,WRATH,GGGGG,0,0,LLM,,,,,,,,,,
