game_number,target_word,won,attempts,guess_1,feedback_1,hamming_1,levenshtein_1,strategy_1,guess_2,feedback_2,hamming_2,levenshtein_2,strategy_2,guess_3,feedback_3,hamming_3,levenshtein_3,strategy_3,guess_4,feedback_4,hamming_4,levenshtein_4,strategy_4,guess_5,feedback_5,hamming_5,levenshtein_5,strategy_5,guess_6,feedback_6,hamming_6,levenshtein_6,strategy_6
1,PHOTO,True,5,SULLY,-----,5,5,LLM,TOLDY,YY---,5,5,LLM,EATON,--YY-,5,4,VOI,BROTH,--GGY,3,3,VOI,PHOTO,GGGGG,0,0,VOI,,,,,
2,PARTY,True,5,MUSIC,-----,5,5,LLM,DOVER,----Y,5,5,LLM,KARAT,-GG-Y,3,3,VOI,BARTH,-GGG-,2,2,VOI,PARTY,GGGGG,0,0,VOI,,,,,
3,TRICK,True,6,SHANK,----G,4,4,LLM,FLICK,--GGG,2,2,LLM,BRICK,-GGGG,1,1,VOI,ERICK,-GGGG,1,1,VOI,CRICK,-GGGG,1,1,VOI,TRICK,GGGGG,0,0,VOI
4,DIRTY,True,4,ALINA,--Y--,5,5,LLM,DIMES,GG---,3,3,LLM,DITTO,GG-G-,2,2,VOI,DIRTY,GGGGG,0,0,VOI,,,,,,,,,,
5,USUAL,True,4,LIONS,Y---Y,5,5,LLM,SALEH,YYY--,5,4,LLM,FLASK,-YYY-,5,5,VOI,USUAL,GGGGG,0,0,VOI,,,,,,,,,,
6,TRULY,True,4,GLICK,-Y---,5,5,LLM,FEELY,---GG,3,3,LLM,SALLY,---GG,3,3,VOI,TRULY,GGGGG,0,0,VOI,,,,,,,,,,
7,SPENT,True,3,THINS,Y--GY,4,4,LLM,STONE,GY-GY,3,3,LLM,SPENT,GGGGG,0,0,VOI,,,,,,,,,,,,,,,
8,PAUSE,True,3,CREEP,--Y-Y,5,5,LLM,PHASE,G-YGG,2,2,LLM,PAUSE,GGGGG,0,0,VOI,,,,,,,,,,,,,,,
9,CRAZY,True,4,AIGHT,Y----,5,5,LLM,LYCRA,-YYYY,5,4,LLM,DARCY,-YYYG,4,4,VOI,CRAZY,GGGGG,0,0,VOI,,,,,,,,,,
10,BASES,True,6,MINED,---G-,4,4,LLM,CUTER,---G-,4,4,LLM,SLEEP,Y--G-,4,4,VOI,HAWES,-G-GG,2,2,VOI,GASES,-GGGG,1,1,VOI,BASES,GGGGG,0,0,VOI
11,YOUNG,True,4,DOESN,-G--Y,4,4,LLM,CONGO,-GYY-,4,3,LLM,BOING,-G-GG,2,2,VOI,YOUNG,GGGGG,0,0,VOI,,,,,,,,,,
12,MEANS,True,3,SALIM,YY--Y,5,5,LLM,TEAMS,-GGYG,2,2,LLM,MEANS,GGGGG,0,0,VOI,,,,,,,,,,,,,,,
13,TRUTH,True,5,TULSI,GY---,4,4,LLM,TRUMP,GGG--,2,2,LLM,TRUCK,GGG--,2,2,VOI,TRUER,GGG--,2,2,VOI,TRUTH,GGGGG,0,0,VOI,,,,,
14,FIRED,True,6,MOUNT,-----,5,5,LLM,VERGE,-YG--,4,4,LLM,CAREY,--GG-,3,3,VOI,HIRED,-GGGG,1,1,VOI,WIRED,-GGGG,1,1,VOI,FIRED,GGGGG,0,0,VOI
15,FOLKS,False,1,RIVEN,-----,5,5,LLM,,,,,,,,,,,,,,,,,,,,,,,,,
16,CHILE,True,5,GLASS,-Y---,5,5,LLM,QUILT,--GG-,3,3,LLM,EMILE,--GGG,2,2,VOI,WHILE,-GGGG,1,1,VOI,CHILE,GGGGG,0,0,VOI,,,,,
17,BLACK,True,5,GEIST,-----,5,5,LLM,PLAID,-GG--,3,3,LLM,ALARM,-GG--,3,3,VOI,BLANC,GGG-Y,2,2,VOI,BLACK,GGGGG,0,0,VOI,,,,,
18,GRANT,True,3,LIGHT,--Y-G,4,4,LLM,GREET,GG--G,2,2,LLM,GRANT,GGGGG,0,0,VOI,,,,,,,,,,,,,,,
19,MEALS,True,6,SHIPM,Y---Y,5,5,LLM,MAKES,GY-YG,3,3,LLM,MEANS,GGG-G,1,1,VOI,MEARS,GGG-G,1,1,VOI,MEATS,GGG-G,1,1,VOI,MEALS,GGGGG,0,0,VOI
20,CREAM,True,4,EQUIP,Y----,5,5,LLM,STATE,--Y-Y,5,5,LLM,CAREY,GYYY-,4,3,VOI,CREAM,GGGGG,0,0,VOI,,,,,,,,,,
21,AWAKE,True,5,MANCE,-Y--G,4,4,LLM,SHAVE,--G-G,3,3,LLM,PLATE,--G-G,3,3,VOI,QUAKE,--GGG,2,2,VOI,AWAKE,GGGGG,0,0,VOI,,,,,
22,OCCUR,True,4,PIERO,---YY,5,5,LLM,SORTS,-YY--,5,5,LLM,CROOK,YYY--,5,5,VOI,OCCUR,GGGGG,0,0,VOI,,,,,,,,,,
23,YEARS,False,6,BASRA,-YYG-,4,4,LLM,SHARE,Y-GGY,3,3,LLM,MEARS,-GGGG,1,1,VOI,TEARS,-GGGG,1,1,VOI,NEARS,-GGGG,1,1,VOI,PEARS,-GGGG,1,1,VOI
24,GRADE,True,6,TWILL,-----,5,5,LLM,SEAMS,-YG--,4,4,LLM,QUAKE,--G-G,3,3,VOI,AGAPE,-YG-G,3,3,VOI,GRAZE,GGG-G,1,1,VOI,GRADE,GGGGG,0,0,VOI
25,CHILL,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,FLOOD,True,5,ASHER,-----,5,5,LLM,INPUT,-----,5,5,LLM,ODDLY,YY-Y-,5,5,VOI,BLOOD,-GGGG,1,1,VOI,FLOOD,GGGGG,0,0,VOI,,,,,
27,APPLY,True,4,HOIST,-----,5,5,LLM,PANDY,YY--G,4,4,LLM,AMPLY,G-GGG,1,1,VOI,APPLY,GGGGG,0,0,VOI,,,,,,,,,,
28,SMILE,True,4,STUNT,G----,4,4,LLM,SHRED,G--Y-,4,4,LLM,SLOPE,GY--G,3,3,VOI,SMILE,GGGGG,0,0,VOI,,,,,,,,,,
29,KNOCK,True,5,WIRED,-----,5,5,LLM,SPANS,---Y-,5,5,LLM,MONTH,-YY--,5,5,VOI,LUZON,---YY,5,5,VOI,KNOCK,GGGGG,0,0,VOI,,,,,
30,SLEEP,True,3,TASTE,--Y-Y,5,5,LLM,SELLS,GYY--,4,4,LLM,SLEEP,GGGGG,0,0,VOI,,,,,,,,,,,,,,,
31,BRICK,True,3,HOTEL,-----,5,5,LLM,BUFFY,G----,4,4,LLM,BRICK,GGGGG,0,0,VOI,,,,,,,,,,,,,,,
