game_number,target_code,won,attempts,guess_1,feedback_1,strategy_1,candidates_1,guess_2,feedback_2,strategy_2,candidates_2,guess_3,feedback_3,strategy_3,candidates_3,guess_4,feedback_4,strategy_4,candidates_4,guess_5,feedback_5,strategy_5,candidates_5,guess_6,feedback_6,strategy_6,candidates_6,guess_7,feedback_7,strategy_7,candidates_7,guess_8,feedback_8,strategy_8,candidates_8,guess_9,feedback_9,strategy_9,candidates_9,guess_10,feedback_10,strategy_10,candidates_10
1,GPBR,True,7,RGBW,1B2W,LLM,204,KRBG,1B2W,VOI,21,RWKG,0B2W,VOI,4,GBBR,3B0W,VOI,3,GYBR,3B0W,VOI,2,GOBR,3B0W,VOI,1,GPBR,4B0W,VOI,1,,,,,,,,,,,,
2,RYGO,True,4,RGBW,1B1W,LLM,660,YGOR,0B4W,VOI,3,ROYG,1B3W,VOI,1,RYGO,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,
3,OYGW,True,5,RGYB,0B2W,LLM,936,KBRW,1B0W,VOI,118,GBBO,0B2W,VOI,8,YOGW,2B2W,VOI,1,OYGW,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
4,YKBP,True,4,RGBW,1B0W,LLM,500,YBBO,2B0W,VOI,32,KBBP,2B1W,VOI,4,YKBP,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,
5,YOOO,True,5,RGBW,0B0W,LLM,256,YOKK,2B0W,VOI,29,OOKP,1B1W,VOI,8,YOYO,3B0W,VOI,1,YOOO,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
6,BGPK,True,5,RGBY,1B1W,LLM,660,YPBK,1B2W,VOI,29,BYBP,1B1W,VOI,5,PKBG,0B4W,VOI,1,BGPK,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
7,GWRK,True,4,RGBW,0B3W,LLM,224,ORWG,0B3W,VOI,28,WKGR,0B4W,VOI,1,GWRK,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,
8,GYGR,True,7,RGBW,0B2W,LLM,936,PORG,0B2W,VOI,196,GBOO,1B0W,VOI,43,WKOR,1B0W,VOI,6,GYYR,3B0W,VOI,2,GRYR,2B1W,VOI,1,GYGR,4B0W,VOI,1,,,,,,,,,,,,
9,PPRR,True,5,RGBW,0B1W,LLM,976,KOGY,0B0W,VOI,21,PPPB,2B0W,VOI,3,BBPB,0B1W,VOI,1,PPRR,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
10,RORO,True,4,RGBW,1B0W,LLM,500,YKBP,0B0W,VOI,24,OWOW,0B2W,VOI,1,RORO,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,
11,RYPO,True,6,RGBW,1B0W,LLM,500,RORO,2B0W,VOI,39,RRRR,1B0W,VOI,18,RKPO,3B0W,VOI,4,RPPO,3B0W,VOI,1,RYPO,4B0W,VOI,1,,,,,,,,,,,,,,,,
12,GYKK,True,5,RGYW,0B2W,LLM,936,OBRG,0B1W,VOI,180,KPGY,0B3W,VOI,9,GWPK,2B0W,VOI,3,GYKK,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
13,YYKK,True,6,RGBY,0B1W,LLM,976,KRWP,0B1W,VOI,174,BBPB,0B0W,VOI,87,YYYK,3B0W,VOI,6,YKYK,2B2W,VOI,1,YYKK,4B0W,VOI,1,,,,,,,,,,,,,,,,
14,YWPG,True,6,RGBW,0B2W,LLM,936,OYGR,0B2W,VOI,196,GBOO,0B1W,VOI,40,BRYP,0B2W,VOI,5,PPRG,1B1W,VOI,1,YWPG,4B0W,VOI,1,,,,,,,,,,,,,,,,
15,RYYG,True,7,RGBW,1B1W,LLM,660,OYGW,1B1W,VOI,108,WYBP,1B0W,VOI,12,OBBG,1B0W,VOI,4,RYKG,3B0W,VOI,2,RYRG,3B0W,VOI,1,RYYG,4B0W,VOI,1,,,,,,,,,,,,
16,YGYO,True,6,RGBW,1B0W,LLM,500,RYPO,1B1W,VOI,90,POBO,1B0W,VOI,13,ROKK,0B1W,VOI,3,YGGO,3B0W,VOI,1,YGYO,4B0W,VOI,1,,,,,,,,,,,,,,,,
17,PWWO,True,6,RGBW,0B1W,LLM,976,YRPP,0B1W,VOI,245,GYKK,0B0W,VOI,15,OOOR,0B1W,VOI,2,WPWO,2B2W,VOI,1,PWWO,4B0W,VOI,1,,,,,,,,,,,,,,,,
18,YOGW,True,4,RGBK,0B1W,LLM,976,GPYW,1B2W,VOI,71,OYGW,2B2W,VOI,1,YOGW,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,
19,KGYK,True,7,RGBW,1B0W,LLM,500,YGYO,2B0W,VOI,46,RKYO,1B1W,VOI,15,YOBO,0B1W,VOI,5,PGYK,3B0W,VOI,2,GGYK,3B0W,VOI,1,KGYK,4B0W,VOI,1,,,,,,,,,,,,
20,OYOP,True,5,RGBY,0B1W,LLM,976,OKYO,1B2W,VOI,45,YOYK,0B2W,VOI,6,PYOO,2B2W,VOI,1,OYOP,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
21,RRPW,True,5,RGBY,1B0W,LLM,500,ROPK,2B0W,VOI,39,YOPY,1B0W,VOI,26,RORR,1B1W,VOI,2,RRPW,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
22,BOYY,True,6,RGBW,0B1W,LLM,976,WOOP,1B0W,VOI,159,GYPP,0B1W,VOI,38,BOYK,3B0W,VOI,2,BOYB,3B0W,VOI,1,BOYY,4B0W,VOI,1,,,,,,,,,,,,,,,,
23,PPRP,True,4,RGYB,0B1W,LLM,976,OOPR,0B2W,VOI,123,WYOO,0B0W,VOI,13,PPRP,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,
24,WYOY,True,5,RGYB,0B1W,LLM,976,WYOO,3B0W,VOI,13,PYOO,2B0W,VOI,7,WYOW,3B0W,VOI,2,WYOY,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
25,OYOO,True,5,RGBW,0B0W,LLM,256,PYOO,3B0W,VOI,12,YYOO,3B0W,VOI,2,KYOO,3B0W,VOI,1,OYOO,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
26,BYKG,True,6,RGYW,0B2W,LLM,936,GPKR,1B1W,VOI,165,GYPP,1B1W,VOI,16,YBPR,0B2W,VOI,3,GKBY,0B4W,VOI,1,BYKG,4B0W,VOI,1,,,,,,,,,,,,,,,,
27,YYOY,True,5,RGBW,0B0W,LLM,256,KYYO,1B2W,VOI,40,PYOY,3B0W,VOI,4,PYOK,2B0W,VOI,2,YYOY,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
28,WYRW,True,5,RGBW,1B1W,LLM,660,ROYG,0B2W,VOI,141,GKBY,0B1W,VOI,24,YRPW,1B2W,VOI,1,WYRW,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
29,GWRW,True,5,RGBW,1B2W,LLM,204,RBGY,0B2W,VOI,70,GRKW,2B1W,VOI,3,GORW,3B0W,VOI,2,GWRW,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
30,GYPK,True,5,RGBW,0B1W,LLM,976,OYYB,1B0W,VOI,166,GYPP,3B0W,VOI,5,GYGP,2B1W,VOI,1,GYPK,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
31,PRWR,True,7,RGBW,0B2W,LLM,936,YBPR,1B1W,VOI,170,GYGR,1B0W,VOI,36,GBOP,0B1W,VOI,15,BRKR,2B0W,VOI,3,WPKR,1B2W,VOI,1,PRWR,4B0W,VOI,1,,,,,,,,,,,,
32,GOYR,True,5,RGBW,0B2W,LLM,936,PRWR,1B0W,VOI,198,GYGR,2B1W,VOI,8,GKYR,3B0W,VOI,1,GOYR,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
33,WWKO,True,6,RBYO,1B0W,LLM,500,GPYK,0B1W,VOI,117,RRPW,0B1W,VOI,30,POOO,1B0W,VOI,11,WGWO,2B1W,VOI,2,WWKO,4B0W,VOI,1,,,,,,,,,,,,,,,,
34,WORG,True,4,RGBW,0B3W,LLM,224,GWRK,1B2W,VOI,28,PWGR,0B3W,VOI,6,WORG,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,
35,OGPP,True,6,RGYW,1B0W,LLM,500,RBRO,0B1W,VOI,158,YOYY,0B1W,VOI,42,WWOW,0B1W,VOI,9,OGGG,2B0W,VOI,4,OGPP,4B0W,VOI,1,,,,,,,,,,,,,,,,
36,RWOY,True,5,RGBW,1B1W,LLM,660,RWWY,3B0W,VOI,14,RYWY,2B1W,VOI,4,RWRY,3B0W,VOI,3,RWOY,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
37,KBPY,True,6,RGYB,0B2W,LLM,936,GWRP,0B1W,VOI,188,BKKR,0B2W,VOI,19,KYBW,1B2W,VOI,2,YPBK,0B4W,VOI,1,KBPY,4B0W,VOI,1,,,,,,,,,,,,,,,,
38,GKKP,True,6,RGYW,0B1W,LLM,976,OOPY,0B1W,VOI,245,BRKO,1B0W,VOI,31,YYKK,1B1W,VOI,5,WKKP,3B0W,VOI,1,GKKP,4B0W,VOI,1,,,,,,,,,,,,,,,,
39,PRYO,True,5,RGBW,0B1W,LLM,976,PKGK,1B0W,VOI,166,PRRP,2B0W,VOI,20,PPWP,1B0W,VOI,8,PRYO,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
40,GBRW,True,3,RGBW,1B3W,LLM,8,BGWR,0B4W,VOI,3,GBRW,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,OWOG,True,7,RGBW,0B2W,LLM,936,GRYK,0B1W,VOI,196,YYWB,0B1W,VOI,100,BBGP,0B1W,VOI,14,PWRR,1B0W,VOI,2,WWOG,3B0W,VOI,1,OWOG,4B0W,VOI,1,,,,,,,,,,,,
42,WPBB,True,6,ROYW,0B1W,LLM,976,PPGR,1B0W,VOI,166,OGGG,0B0W,VOI,58,YPBK,2B0W,VOI,4,WPKK,2B0W,VOI,1,WPBB,4B0W,VOI,1,,,,,,,,,,,,,,,,
43,YROK,True,3,RGBW,0B1W,LLM,976,KWYO,0B3W,VOI,67,YROK,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,GRKG,True,8,RGBW,0B2W,LLM,936,WRYR,1B0W,VOI,183,WWOG,1B0W,VOI,41,BOOR,0B1W,VOI,23,KBYG,1B1W,VOI,6,WBKB,1B0W,VOI,2,PRKG,3B0W,VOI,1,GRKG,4B0W,VOI,1,,,,,,,,
45,RWPK,True,5,RGBW,1B1W,LLM,660,RWOR,2B0W,VOI,40,RWKY,2B1W,VOI,3,RWWK,3B0W,VOI,1,RWPK,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
46,YWGB,True,5,RGBW,0B3W,LLM,224,YWGR,3B0W,VOI,7,PWGR,2B0W,VOI,2,YBGR,2B1W,VOI,1,YWGB,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
47,OWRB,True,4,RGBW,0B3W,LLM,224,YWGB,2B0W,VOI,15,PWGR,1B1W,VOI,8,OWRB,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,
48,GBGW,True,5,RGBW,1B2W,LLM,204,GYBR,1B1W,VOI,40,GWRW,2B0W,VOI,4,GBOW,3B0W,VOI,3,GBGW,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
49,YWPY,True,5,RGBW,0B1W,LLM,976,BKYO,0B1W,VOI,174,WPKK,0B2W,VOI,17,POWP,0B2W,VOI,1,YWPY,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
50,GOKY,True,6,RGBW,0B1W,LLM,976,WPWP,0B0W,VOI,333,YKOR,0B3W,VOI,36,BOYK,1B2W,VOI,3,KOGY,2B2W,VOI,1,GOKY,4B0W,VOI,1,,,,,,,,,,,,,,,,
51,PRWG,True,6,RGBW,0B3W,LLM,224,OWRB,0B2W,VOI,61,YBGR,0B2W,VOI,10,GRWG,3B0W,VOI,5,GRWP,2B2W,VOI,1,PRWG,4B0W,VOI,1,,,,,,,,,,,,,,,,
