game_number,target_code,won,attempts,guess_1,feedback_1,strategy_1,candidates_1,guess_2,feedback_2,strategy_2,candidates_2,guess_3,feedback_3,strategy_3,candidates_3,guess_4,feedback_4,strategy_4,candidates_4,guess_5,feedback_5,strategy_5,candidates_5,guess_6,feedback_6,strategy_6,candidates_6,guess_7,feedback_7,strategy_7,candidates_7,guess_8,feedback_8,strategy_8,candidates_8,guess_9,feedback_9,strategy_9,candidates_9,guess_10,feedback_10,strategy_10,candidates_10
1,GPBR,True,4,RGBY,1B2W,LLM,204,KBRY,0B2W,VOI,70,OYBG,1B1W,VOI,12,GPBR,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,
2,RYGO,True,5,RGBY,1B2W,LLM,204,GPBR,0B2W,VOI,70,RWYG,1B2W,VOI,8,BGYW,0B2W,VOI,2,RYGO,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
3,OYGW,True,4,RGBY,0B2W,LLM,936,GOPR,0B2W,VOI,200,BKRO,0B1W,VOI,32,OYGW,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,
4,YKBP,True,5,RGBY,1B1W,LLM,660,PGKR,0B2W,VOI,141,RWYP,1B1W,VOI,22,RBPO,0B2W,VOI,2,YKBP,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
5,YOOO,True,5,RGBY,0B1W,LLM,976,PORK,1B0W,VOI,112,KYWK,0B1W,VOI,24,OOGW,1B1W,VOI,4,YOOO,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
6,BGPK,True,5,RGBY,1B1W,LLM,660,KRBP,0B3W,VOI,37,RBPO,1B1W,VOI,10,RKWB,0B2W,VOI,2,BGPK,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
7,GWRK,True,7,RGBY,0B2W,LLM,936,WYOG,0B2W,VOI,208,PRYW,0B2W,VOI,34,YPGK,1B1W,VOI,11,YKRO,1B1W,VOI,3,YWKB,1B1W,VOI,1,GWRK,4B0W,VOI,1,,,,,,,,,,,,
8,GYGR,True,6,RGYO,0B3W,LLM,224,OYGW,2B0W,VOI,23,OPGR,2B0W,VOI,8,OYBR,2B0W,VOI,3,KYGR,3B0W,VOI,2,GYGR,4B0W,VOI,1,,,,,,,,,,,,,,,,
9,PPRR,True,5,RGBY,0B1W,LLM,976,GOOW,0B0W,VOI,114,PPYP,2B0W,VOI,18,YKYP,0B1W,VOI,1,PPRR,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
10,RORO,True,5,RGBY,1B0W,LLM,500,OPWY,0B1W,VOI,117,RROK,1B2W,VOI,8,RWKR,1B1W,VOI,1,RORO,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
