game_number,target_code,won,attempts,guess_1,feedback_1,strategy_1,candidates_1,guess_2,feedback_2,strategy_2,candidates_2,guess_3,feedback_3,strategy_3,candidates_3,guess_4,feedback_4,strategy_4,candidates_4,guess_5,feedback_5,strategy_5,candidates_5,guess_6,feedback_6,strategy_6,candidates_6,guess_7,feedback_7,strategy_7,candidates_7,guess_8,feedback_8,strategy_8,candidates_8,guess_9,feedback_9,strategy_9,candidates_9,guess_10,feedback_10,strategy_10,candidates_10
1,GRBR,True,4,ROBY,1B1W,LLM,252,WGOY,0B1W,VOI,31,BRBG,2B1W,VOI,2,GRBR,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,
2,RGBY,True,1,RGBY,4B0W,LLM,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,BYYW,True,5,RGBW,1B1W,LLM,252,BWBO,1B1W,VOI,42,YBBG,0B2W,VOI,3,BYWW,3B0W,VOI,1,BYYW,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
4,BGWY,True,5,RGBY,2B1W,LLM,48,GOBY,1B2W,VOI,10,BGGY,3B0W,VOI,2,BGYY,3B0W,VOI,1,BGWY,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
5,BROG,True,4,RGBW,0B3W,LLM,136,GBWY,0B2W,VOI,29,WORG,1B2W,VOI,7,BROG,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,
6,GGWY,True,5,RGBW,1B1W,LLM,252,BGYY,2B0W,VOI,23,WGYO,1B2W,VOI,3,OGRY,2B0W,VOI,1,GGWY,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
7,RWOW,True,3,RGBW,2B0W,LLM,96,YGBG,0B0W,VOI,9,RWOW,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,WGRR,True,4,RGBW,1B2W,LLM,132,GRBR,1B2W,VOI,10,RRWB,0B3W,VOI,1,WGRR,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,
9,ROWO,True,4,RGYO,2B0W,LLM,96,BGYY,0B0W,VOI,9,RRRO,2B0W,VOI,4,ROWO,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,
10,WYYY,True,5,RGBW,0B1W,LLM,152,WYYO,3B0W,VOI,7,WOYO,2B0W,VOI,3,BYYO,2B0W,VOI,1,WYYY,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
11,ORRR,True,4,RGBW,0B1W,LLM,152,OYGY,1B0W,VOI,14,OORO,2B0W,VOI,2,ORRR,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,
12,RGOW,True,4,RGBO,2B1W,LLM,48,RGGB,2B0W,VOI,9,RGOR,3B0W,VOI,2,RGOW,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,
13,RGOG,True,5,RGBO,2B1W,LLM,48,RGOW,3B0W,VOI,3,RGOY,3B0W,VOI,2,RGOR,3B0W,VOI,1,RGOG,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
14,RWGW,True,4,RGBW,2B1W,LLM,48,RGRB,1B1W,VOI,15,RBWW,2B1W,VOI,2,RWGW,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,
15,BRBY,True,4,RRRR,1B0W,LLM,500,RWOW,0B1W,VOI,81,GGBR,1B1W,VOI,11,BRBY,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,
16,BGGB,True,4,RGBW,1B1W,LLM,252,GGWY,1B1W,VOI,42,BGOG,2B1W,VOI,4,BGGB,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,
17,OOOB,True,4,RGYB,1B0W,LLM,108,RRRO,0B1W,VOI,39,OBBB,2B0W,VOI,4,OOOB,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,
18,WOGB,True,4,ROBY,1B1W,LLM,252,YGBW,0B3W,VOI,23,BOWG,1B3W,VOI,1,WOGB,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,
19,RGYR,True,4,RGBW,2B0W,LLM,96,RORW,1B1W,VOI,24,OGGW,1B0W,VOI,1,RGYR,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,
20,WGWY,True,5,RGBO,1B0W,LLM,108,OWWO,1B1W,VOI,18,RRWW,1B1W,VOI,5,WWBW,1B1W,VOI,2,WGWY,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
21,GWGW,True,5,RGBW,1B1W,LLM,252,WGYO,0B2W,VOI,57,BYWW,1B1W,VOI,11,GYBB,1B0W,VOI,1,GWGW,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
22,YWWG,True,6,RGBW,0B2W,LLM,312,WBYY,0B2W,VOI,43,OWOB,1B0W,VOI,8,BYRB,0B1W,VOI,2,YWGG,3B0W,VOI,1,YWWG,4B0W,VOI,1,,,,,,,,,,,,,,,,
23,BRYG,True,4,RGBW,0B3W,LLM,136,WOGB,0B2W,VOI,29,BYRG,2B2W,VOI,2,BRYG,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,
24,OGYG,True,5,RRGG,1B1W,LLM,208,YBRG,1B1W,VOI,44,RBWR,0B0W,VOI,7,GYOG,1B3W,VOI,1,OGYG,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
