game_number,target_word,won,attempts,guess_1,feedback_1,hamming_1,levenshtein_1,strategy_1,guess_2,feedback_2,hamming_2,levenshtein_2,strategy_2,guess_3,feedback_3,hamming_3,levenshtein_3,strategy_3,guess_4,feedback_4,hamming_4,levenshtein_4,strategy_4,guess_5,feedback_5,hamming_5,levenshtein_5,strategy_5,guess_6,feedback_6,hamming_6,levenshtein_6,strategy_6,candidates_before_1,candidates_after_1,reduction_rate_1,candidates_before_2,candidates_after_2,reduction_rate_2,candidates_before_3,candidates_after_3,reduction_rate_3,candidates_before_4,candidates_after_4,reduction_rate_4,candidates_before_5,candidates_after_5,reduction_rate_5,candidates_before_6,candidates_after_6,reduction_rate_6,total_violations
1,PHOTO,True,4,CARES,-----,5,5,LLM,FOUND,-Y---,5,5,LLM,GLOOM,--GY-,4.0,4.0,LLM,PHOTO,GGGGG,0.0,0.0,LLM,,,,,,,,,,,5629,399,92.91170723041392,399,21,94.73684210526316,21.0,3.0,85.71428571428571,3.0,1.0,66.66666666666666,,,,,,,0
2,PARTY,True,4,THINK,Y----,5,5,LLM,AFTER,Y-Y-Y,5,4,LLM,START,-YYY-,5.0,3.0,LLM,PARTY,GGGGG,0.0,0.0,LLM,,,,,,,,,,,5629,451,91.98791970154558,451,27,94.01330376940132,27.0,5.0,81.48148148148148,5.0,1.0,80.0,,,,,,,0
3,TRICK,True,2,THINK,G-G-G,2,2,LLM,TRICK,GGGGG,0,0,LLM,,,,,,,,,,,,,,,,,,,,,5629,1,99.98223485521407,1,1,0.0,,,,,,,,,,,,,0
4,DIRTY,True,4,THINK,Y-Y--,5,5,LLM,MITES,-GY--,4,4,CSS_TRUE_REPAIR,DIGIT,GG--Y,3.0,3.0,LLM,DIRTY,GGGGG,0.0,0.0,LLM,,,,,,,,,,,5629,98,98.25901581097884,98,7,92.85714285714286,7.0,1.0,85.71428571428571,1.0,1.0,0.0,,,,,,,0
5,USUAL,True,4,THERE,-----,5,5,LLM,SALIM,YYY--,5,4,CSS_TRUE_REPAIR,CLASS,-YYY-,5.0,5.0,LLM,USUAL,GGGGG,0.0,0.0,LLM,,,,,,,,,,,5629,1280,77.2606146740096,1280,24,98.125,24.0,1.0,95.83333333333334,1.0,1.0,0.0,,,,,,,0
6,TRULY,True,4,THINK,G----,4,4,LLM,TOAST,G----,4,4,LLM,TRUMP,GGG--,2.0,2.0,LLM,TRULY,GGGGG,0.0,0.0,LLM,,,,,,,,,,,5629,136,97.58394030911352,136,18,86.76470588235294,18.0,4.0,77.77777777777779,4.0,1.0,75.0,,,,,,,0
7,SPENT,True,4,THING,Y--G-,4,4,LLM,FRONT,---GG,3,3,LLM,PLANT,Y--GG,3.0,3.0,LLM,SPENT,GGGGG,0.0,0.0,LLM,,,,,,,,,,,5629,31,99.44928051163618,31,14,54.83870967741935,14.0,1.0,92.85714285714286,1.0,1.0,0.0,,,,,,,0
8,PAUSE,True,4,THINK,-----,5,5,LLM,GAMES,-G-YY,4,4,LLM,CAUSE,-GGGG,1.0,1.0,LLM,PAUSE,GGGGG,0.0,0.0,LLM,,,,,,,,,,,5629,1651,70.66974595842956,1651,10,99.39430648092066,10.0,1.0,90.0,1.0,1.0,0.0,,,,,,,0
9,CRAZY,True,5,THINK,-----,5,5,LLM,GUESS,-----,5,5,LLM,ALWAY,Y---G,4.0,4.0,LLM,DARCY,-YYYG,4.0,4.0,CSS_TRUE_REPAIR,CRAZY,GGGGG,0.0,0.0,LLM,,,,,,5629,1651,70.66974595842956,1651,246,85.09993943064809,246.0,20.0,91.869918699187,20.0,1.0,95.0,1.0,1.0,0.0,,,,0
10,BASES,True,6,THINK,-----,5,5,LLM,WORDS,----G,4,4,LLM,GAMES,-G-GG,2.0,2.0,LLM,SAVES,YG-GG,2.0,2.0,LLM,CASES,-GGGG,1.0,1.0,LLM,BASES,GGGGG,0.0,0.0,LLM,5629,1651,70.66974595842956,1651,146,91.15687462144156,146.0,18.0,87.67123287671232,18.0,3.0,83.33333333333334,3.0,2.0,33.33333333333333,2.0,1.0,50.0,0
11,YOUNG,True,3,STEEP,-----,5,5,LLM,GOING,-G-GG,2,2,LLM,YOUNG,GGGGG,0.0,0.0,LLM,,,,,,,,,,,,,,,,5629,1266,77.50932670101261,1266,2,99.84202211690362,2.0,1.0,50.0,,,,,,,,,,0
12,MEANS,True,4,THERE,--Y--,5,5,LLM,LADEN,-Y-YY,5,5,CSS_TRUE_REPAIR,BEANS,-GGGG,1.0,1.0,LLM,MEANS,GGGGG,0.0,0.0,LLM,,,,,,,,,,,5629,588,89.55409486587315,588,10,98.29931972789116,10.0,2.0,80.0,2.0,1.0,50.0,,,,,,,0
13,TRUTH,True,3,STONE,-Y---,5,5,LLM,LIGHT,---YY,5,5,LLM,TRUTH,GGGGG,0.0,0.0,LLM,,,,,,,,,,,,,,,,5629,197,96.5002664771718,197,16,91.87817258883248,16.0,1.0,93.75,,,,,,,,,,0
14,FIRED,True,3,CARES,--GG-,3,3,LLM,THREE,--GG-,3,3,LLM,FIRED,GGGGG,0.0,0.0,LLM,,,,,,,,,,,,,,,,5629,20,99.6446971042814,20,11,45.0,11.0,1.0,90.9090909090909,,,,,,,,,,0
15,FOLKS,True,5,THINK,----Y,5,5,LLM,MAKES,--Y-G,4,4,LLM,CORKS,-G-GG,2.0,2.0,CSS_TRUE_REPAIR,BOOKS,-G-GG,2.0,2.0,LLM,FOLKS,GGGGG,0.0,0.0,LLM,,,,,,5629,183,96.7489785041748,183,24,86.88524590163934,24.0,4.0,83.33333333333334,4.0,2.0,50.0,2.0,1.0,50.0,,,,0
16,CHILE,True,4,THERE,-G--G,3,3,LLM,SHONE,-G--G,3,3,CSS_TRUE_REPAIR,WHILE,-GGGG,1.0,1.0,LLM,CHILE,GGGGG,0.0,0.0,LLM,,,,,,,,,,,5629,25,99.55587138035176,25,5,80.0,5.0,1.0,80.0,1.0,1.0,0.0,,,,,,,0
17,BLACK,True,3,WORDS,-----,5,5,LLM,THINK,----G,4,4,LLM,BLACK,GGGGG,0.0,0.0,LLM,,,,,,,,,,,,,,,,5629,1044,81.45318884348907,1044,11,98.9463601532567,11.0,1.0,90.9090909090909,,,,,,,,,,0
18,GRANT,True,2,YEARS,--GY-,4,4,CSS_TRUE_REPAIR,GRANT,GGGGG,0,0,CSS_TRUE_REPAIR,,,,,,,,,,,,,,,,,,,,,5629,63,98.8807958784864,63,1,98.4126984126984,,,,,,,,,,,,,0
