game_number,target_code,won,attempts,guess_1,feedback_1,strategy_1,candidates_1,guess_2,feedback_2,strategy_2,candidates_2,guess_3,feedback_3,strategy_3,candidates_3,guess_4,feedback_4,strategy_4,candidates_4,guess_5,feedback_5,strategy_5,candidates_5,guess_6,feedback_6,strategy_6,candidates_6,guess_7,feedback_7,strategy_7,candidates_7,guess_8,feedback_8,strategy_8,candidates_8,guess_9,feedback_9,strategy_9,candidates_9,guess_10,feedback_10,strategy_10,candidates_10
1,GRBR,True,4,RGYB,0B3W,LLM,136,OBRG,0B3W,VOI,18,GROY,2B0W,VOI,2,GRBR,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,
2,RGBY,True,5,RRRR,1B0W,LLM,500,YRWO,0B2W,VOI,117,GYRG,0B3W,VOI,8,BGYR,1B3W,VOI,1,RGBY,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
3,BYYW,True,4,RGBY,0B2W,LLM,312,WRYW,2B0W,VOI,31,WRGO,0B1W,VOI,3,BYYW,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,
4,BGWY,True,5,RRRR,0B0W,LLM,625,GBBG,0B2W,VOI,54,BGYW,2B2W,VOI,3,WGYB,1B3W,VOI,1,BGWY,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
5,BROG,True,5,RGBY,0B3W,LLM,136,OBGR,0B4W,VOI,4,BORG,2B2W,VOI,2,GORB,0B4W,VOI,1,BROG,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
6,GGWY,True,5,RGYB,1B1W,LLM,252,GYYW,1B2W,VOI,14,WOYG,0B3W,VOI,3,YGGW,1B3W,VOI,1,GGWY,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
7,RWOW,True,6,RRRR,1B0W,LLM,500,BRYW,1B1W,VOI,84,GRBG,0B1W,VOI,16,ROYO,1B1W,VOI,3,WORW,1B3W,VOI,1,RWOW,4B0W,CSS,1,,,,,,,,,,,,,,,,
8,WGRR,True,5,RGYB,1B1W,LLM,252,YYWB,0B1W,VOI,50,ROBO,0B1W,VOI,8,WGRG,3B0W,VOI,2,WGRR,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
9,ROWO,True,4,RGBY,1B0W,LLM,108,RWOO,2B2W,VOI,2,ROOW,2B2W,VOI,1,ROWO,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,
10,WYYY,True,4,RGYB,1B0W,LLM,108,WWBB,1B0W,VOI,17,OWYY,2B1W,VOI,1,WYYY,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,
11,ORRR,True,4,RGYB,0B1W,LLM,152,GWOW,0B1W,VOI,10,BBBO,0B1W,VOI,2,ORRR,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,
12,RGOW,True,3,RGYB,2B0W,LLM,96,BGWB,1B1W,VOI,24,RGOW,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,RGOG,True,5,RRRR,1B0W,LLM,500,GORW,0B3W,VOI,90,BRGO,0B3W,VOI,14,RBWG,2B0W,VOI,2,RGOG,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
14,RWGW,True,5,RGYB,1B1W,LLM,252,YOYR,0B1W,VOI,50,WRWB,0B3W,VOI,3,RBBW,2B0W,VOI,1,RWGW,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
15,BRBY,True,4,RGYB,0B3W,LLM,136,YBWG,0B2W,VOI,28,ORBY,3B0W,VOI,2,BRBY,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,
16,BGGB,True,4,RRYY,0B0W,LLM,256,BOWW,1B0W,VOI,18,BBGG,2B2W,VOI,2,BGGB,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,
17,OOOB,True,4,RGYB,1B0W,LLM,108,OOBB,3B0W,VOI,6,OWBB,2B0W,VOI,1,OOOB,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,
18,WOGB,True,5,RRRR,0B0W,LLM,625,YWWY,0B1W,VOI,108,GBYG,0B2W,VOI,18,WGOB,2B2W,VOI,3,WOGB,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
19,RGYR,True,4,RGBY,2B1W,LLM,48,RBYY,2B0W,VOI,9,RRGY,1B3W,VOI,1,RGYR,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,
20,WGWY,True,4,RGYB,1B1W,LLM,252,GGRO,1B0W,VOI,34,BGWW,2B1W,VOI,1,WGWY,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,
21,GWGW,True,4,RGYB,0B1W,LLM,152,WWOG,1B2W,VOI,21,OWRW,2B0W,VOI,3,GWGW,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,
22,YWWG,True,5,RGYB,0B2W,LLM,312,BOGO,0B1W,VOI,54,GWRW,1B2W,VOI,6,GRWG,2B0W,VOI,1,YWWG,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
23,BRYG,True,4,RRRR,1B0W,LLM,500,ORYW,2B0W,VOI,27,BRYY,3B0W,VOI,4,BRYG,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,
24,OGYG,True,4,RGBY,1B1W,LLM,252,YORY,0B2W,VOI,40,OBBR,1B0W,VOI,6,OGYG,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,
25,WYYR,True,5,RRRR,1B0W,LLM,500,BROG,0B1W,VOI,24,RWWW,0B2W,VOI,2,WYRY,2B2W,VOI,1,WYYR,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
26,BYOW,True,5,RGYB,0B2W,LLM,312,WWRG,0B1W,VOI,54,BOGO,1B1W,VOI,8,YBWO,0B4W,VOI,1,BYOW,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
27,RRBG,True,3,RRRR,2B0W,LLM,150,ORRW,1B1W,VOI,36,RRBG,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,GYRB,True,4,RGBY,0B4W,LLM,9,BYRG,2B2W,VOI,4,BRYG,0B4W,VOI,1,GYRB,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,
29,ORRG,True,5,RGYB,0B2W,LLM,312,WRBW,1B0W,VOI,54,ORGR,2B2W,VOI,2,GROR,1B3W,VOI,1,ORRG,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
30,YGBR,True,3,RGYB,1B3W,LLM,8,RBGY,0B4W,VOI,3,YGBR,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,GBWR,True,3,RGYB,0B3W,LLM,136,WBRG,1B3W,VOI,2,GBWR,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,BRGB,True,5,RGBY,0B3W,LLM,136,YBWR,0B2W,VOI,28,BYGG,2B0W,VOI,6,BRGO,3B0W,VOI,1,BRGB,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
33,YGRW,True,5,RRRR,1B0W,LLM,500,RGOY,1B2W,VOI,84,BGRO,2B0W,VOI,2,YGRG,3B0W,VOI,1,YGRW,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
34,RWGY,True,5,RGYB,1B2W,LLM,132,GRYY,1B2W,VOI,10,YGBY,1B1W,VOI,2,ROGY,3B0W,VOI,1,RWGY,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
35,YYYO,True,5,RGYB,1B0W,LLM,108,WOYW,1B1W,VOI,24,ROWO,1B0W,VOI,5,WBWB,0B0W,VOI,1,YYYO,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
36,RWYR,True,5,RGYB,2B0W,LLM,96,BOYB,1B0W,VOI,26,RWWB,2B0W,VOI,4,RWYY,3B0W,VOI,1,RWYR,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
37,YBBY,True,4,RGYB,0B2W,LLM,312,WWGR,0B0W,VOI,21,YOBO,2B0W,VOI,2,YBBY,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,
38,YGYB,True,4,RGYB,3B0W,LLM,20,ROYB,2B0W,VOI,12,GGYB,3B0W,VOI,3,YGYB,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,
39,WOBR,True,5,RGYB,0B2W,LLM,312,ORBO,1B2W,VOI,22,OBWR,1B3W,VOI,2,WBRO,1B3W,VOI,1,WOBR,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
40,BYRG,True,4,RGYB,0B4W,LLM,9,GYBR,1B3W,VOI,4,GBRY,1B3W,VOI,2,BYRG,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,
41,RBBO,True,5,RGBY,2B0W,LLM,96,WGYY,0B0W,VOI,9,RRBO,3B0W,VOI,4,RRBB,2B1W,VOI,1,RBBO,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
42,OBRO,True,5,RGYB,0B2W,LLM,312,GOBO,1B2W,VOI,22,BOWG,0B2W,VOI,4,ORGO,2B1W,VOI,1,OBRO,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
43,WRYR,True,3,RGBY,0B2W,LLM,312,OOGR,1B0W,VOI,54,WRYR,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,GGRY,True,4,RGYB,1B2W,LLM,132,WYRB,1B1W,VOI,24,RYGG,0B4W,VOI,1,GGRY,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,
45,YYYG,True,4,RGYB,1B1W,LLM,252,OYBB,1B0W,VOI,34,RRBW,0B0W,VOI,3,YYYG,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,
46,ROBW,True,3,RGYB,1B1W,LLM,252,OGBG,1B1W,VOI,49,ROBW,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,WGBB,True,4,RGBY,2B0W,LLM,96,RRBW,1B1W,VOI,24,WOBY,2B0W,VOI,3,WGBB,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,
48,BOOR,True,4,RGYB,0B2W,LLM,312,OORG,1B2W,VOI,22,GOWR,2B0W,VOI,4,BOOR,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,
49,WWOY,True,6,RRRR,0B0W,LLM,625,YGWG,0B2W,VOI,114,WYYB,1B1W,VOI,18,OWGB,1B1W,VOI,3,OYOW,1B2W,VOI,1,WWOY,4B0W,CSS,1,,,,,,,,,,,,,,,,
50,WWGR,True,5,RGBY,0B2W,LLM,312,YBOO,0B0W,VOI,21,GWWR,2B2W,VOI,3,GWRW,1B3W,VOI,1,WWGR,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
51,YBYB,True,3,RGYB,2B0W,LLM,96,RGOG,0B0W,VOI,9,YBYB,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,WBWR,True,4,RRRR,1B0W,LLM,500,BYWR,2B1W,VOI,30,BWBR,1B2W,VOI,7,WBWR,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,
53,GOWY,True,4,RRRR,0B0W,LLM,625,BWWO,1B1W,VOI,120,YBBO,0B2W,VOI,18,GOWY,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,
54,RYWO,True,4,RGBY,1B1W,LLM,252,GBBW,0B1W,VOI,50,RROG,1B1W,VOI,8,RYWO,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,
55,RBYY,True,6,RGYB,2B1W,LLM,48,BRYB,1B2W,VOI,9,RYOB,1B2W,VOI,3,RBYW,3B0W,VOI,2,RBYR,3B0W,VOI,1,RBYY,4B0W,CSS,1,,,,,,,,,,,,,,,,
56,BRWO,True,4,RGYB,0B2W,LLM,312,WWRG,0B2W,VOI,43,BOWR,2B2W,VOI,2,BRWO,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,
57,BOBO,True,4,RGBY,1B0W,LLM,108,OOYY,1B1W,VOI,18,ROWO,2B0W,VOI,1,BOBO,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,
58,ROYG,True,4,RGYB,2B1W,LLM,48,GGYR,1B2W,VOI,9,RGWY,1B2W,VOI,3,ROYG,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,
