game_number,target_code,won,attempts,guess_1,feedback_1,strategy_1,candidates_1,guess_2,feedback_2,strategy_2,candidates_2,guess_3,feedback_3,strategy_3,candidates_3,guess_4,feedback_4,strategy_4,candidates_4,guess_5,feedback_5,strategy_5,candidates_5,guess_6,feedback_6,strategy_6,candidates_6,guess_7,feedback_7,strategy_7,candidates_7,guess_8,feedback_8,strategy_8,candidates_8,guess_9,feedback_9,strategy_9,candidates_9,guess_10,feedback_10,strategy_10,candidates_10
1,GRBR,True,4,RGBW,1B2W,LLM,132,GYBR,3B0W,VOI,4,GBBR,3B0W,VOI,2,GRBR,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,
2,RGBY,True,4,RGBW,3B0W,LLM,20,OGBW,2B0W,VOI,12,RYBW,2B1W,VOI,2,RGBY,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,
3,BYYW,True,4,RGBW,1B1W,LLM,252,WGWY,0B2W,VOI,39,YRYW,2B1W,VOI,2,BYYW,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,
4,BGWY,True,5,RGBW,1B2W,LLM,132,GBOW,0B3W,VOI,23,ROWB,1B1W,VOI,4,WGYB,1B3W,VOI,1,BGWY,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
5,BROG,True,5,RGBW,0B3W,LLM,136,BORG,2B2W,VOI,4,BOGR,1B3W,VOI,2,GORB,0B4W,VOI,1,BROG,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
6,GGWY,True,4,RGBW,1B1W,LLM,252,BYBR,0B1W,VOI,50,WROW,0B1W,VOI,5,GGWY,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,
7,RWOW,True,4,RGBY,1B0W,LLM,108,OOYY,0B1W,VOI,20,RWWO,2B2W,VOI,1,RWOW,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,
8,WGRR,True,5,RGBY,1B1W,LLM,252,BGOB,1B0W,VOI,34,GGWR,2B1W,VOI,4,GGYW,1B1W,VOI,1,WGRR,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
9,ROWO,True,3,RGBW,1B1W,LLM,252,YGGB,0B0W,VOI,20,ROWO,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,WYYY,True,5,RGBW,0B1W,LLM,152,OBYY,2B0W,VOI,20,OOGY,1B0W,VOI,4,YRYY,2B1W,VOI,1,WYYY,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
11,ORRR,True,6,ROBY,0B2W,LLM,312,WRWB,1B0W,VOI,54,GRRO,2B1W,VOI,5,YRRG,2B0W,VOI,2,GROG,1B1W,VOI,1,ORRR,4B0W,CSS,1,,,,,,,,,,,,,,,,
12,RGOW,True,4,RGBW,3B0W,LLM,20,RGBO,2B1W,VOI,3,OGBW,2B1W,VOI,2,RGOW,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,
13,RGOG,True,5,RGBW,2B0W,LLM,96,BGBO,1B1W,VOI,24,YGOW,2B0W,VOI,3,RGOR,3B0W,VOI,1,RGOG,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
14,RWGW,True,4,RGBY,1B1W,LLM,252,BRBO,0B1W,VOI,50,WGRR,0B3W,VOI,3,RWGW,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,
15,BRBY,True,5,RGBW,1B1W,LLM,252,OGGB,0B1W,VOI,50,BBYW,1B2W,VOI,3,YBBR,1B3W,VOI,1,BRBY,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
16,BGGB,True,4,RBYR,0B1W,LLM,276,WWGB,2B0W,VOI,28,OWGY,1B0W,VOI,4,BGGB,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,
17,OOOB,True,3,RGBW,0B1W,LLM,152,YYOR,1B0W,VOI,14,OOOB,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,WOGB,True,5,RGBW,0B3W,LLM,136,YBGR,1B1W,VOI,28,GBWO,0B4W,VOI,2,OWGB,2B2W,VOI,1,WOGB,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
19,RGYR,True,5,RGBW,2B0W,LLM,96,OWBW,0B0W,VOI,9,RGYY,3B0W,VOI,4,RGYG,3B0W,VOI,1,RGYR,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
