game_id,target_word,model_name,prompt_type,attempt_number,guess,feedback,win,attempts_to_win,timestamp,prompt,cot_trace,raw_response,is_valid_word,is_error,candidates_before,candidates_after,candidate_reduction_rate,information_gain_bits,violated_green_constraint,violated_yellow_constraint,violated_gray_constraint,total_constraint_violations
0,PHOTO,gemma-3-27b-it,chain-of-thought,1,THINK,YG---,False,1,2025-12-11T19:46:06.524824,"You are an expert Wordle player. Use brief, structured reasoning.
Return output in this exact format:
THINKING: <your concise step-by-step reasoning>
FINAL: <ONE 5-letter guess only>

Feedback codes: G=green (correct letter, correct position), Y=yellow (correct letter, wrong position), -=letter not in word.
Each feedback position corresponds to the letter at that position in your guess.
Example: Guess HOUSE → Feedback ----G means H:-, O:-, U:-, S:-, E:G
  (H not in word, O not in word, U not in word, S not in word, E correct at position 5)


Allowed words remaining: 5629
Candidate words: ABOUT, THEIR, THERE, WHICH, WOULD, OTHER, AFTER, FIRST, THINK, COULD, THESE, WHERE, RIGHT, YEARS, BEING, GOING, STILL, NEVER, THOSE, WORLD, GREAT, WHILE, EVERY, STATE, THREE, SINCE, UNDER, THING, HOUSE, PLACE, ..., ZENIT, ARRAS, BANDY, BENDY, BOGAN, CAUSA, COWER, CRIST, CROAT, CUBBY, DALIA, DIKES, DIMER, ESHOP, FLAIL, GARBO, GOGOL, HAMMY, HERAT, HOARE

Constraints:
• Do NOT repeat previous guesses.
• The FINAL line must be exactly ONE valid 5-letter word from the allowed list.
• Keep THINKING concise (1–5 short lines).","Game 1/100 | Target: PHOTO | Attempt 1/6 | Candidates: 5629

Prioritize common consonants and vowels. 'THERE' and 'THEIR' are strong candidates, but 'THERE' has been tried. 'THINK' contains common letters and hasn't been used.","Game 1/100 | Target: PHOTO | Attempt 1/6 | Candidates: 5629

THINKING: Prioritize common consonants and vowels. 'THERE' and 'THEIR' are strong candidates, but 'THERE' has been tried. 'THINK' contains common letters and hasn't been used.
FINAL: THINK",True,False,5629,21,0.9963,8.0663,False,False,False,0
0,PHOTO,gemma-3-27b-it,chain-of-thought,2,CHART,-G--Y,False,2,2025-12-11T19:46:08.662359,"You are an expert Wordle player. Use brief, structured reasoning.
Return output in this exact format:
THINKING: <your concise step-by-step reasoning>
FINAL: <ONE 5-letter guess only>

Feedback codes: G=green (correct letter, correct position), Y=yellow (correct letter, wrong position), -=letter not in word.
Each feedback position corresponds to the letter at that position in your guess.
Example: Guess HOUSE → Feedback ----G means H:-, O:-, U:-, S:-, E:G
  (H not in word, O not in word, U not in word, S not in word, E correct at position 5)

Previous attempts:
- Guess: THINK  Feedback: YG---
  Per letter: T:Y  H:G  I:-  N:-  K:-

Allowed words remaining: 21
Candidate words: SHORT, PHOTO, SHOOT, SHOTS, CHEST, CHART, GHOST, SHEET, CHEAT, SHOUT, WHEAT, SHAFT, WHATS, SHUTS, CHATS, SHALT, CHUTE, WHYTE, RHETT, AHMET, BHATT

Constraints:
• Do NOT repeat previous guesses.
• The FINAL line must be exactly ONE valid 5-letter word from the allowed list.
• Keep THINKING concise (1–5 short lines).","Game 1/100 | Target: PHOTO | Attempt 2/6 | Candidates: 21

1. 'H' is in position 2.
2. 'T' is in the word, but not in position 1.
3. Eliminate words without 'H' in the second position.
4. 'SHORT' and 'CHART' are strong candidates. 'CHART' uses letters not yet tested.","Game 1/100 | Target: PHOTO | Attempt 2/6 | Candidates: 21

THINKING:
1. 'H' is in position 2.
2. 'T' is in the word, but not in position 1.
3. Eliminate words without 'H' in the second position.
4. 'SHORT' and 'CHART' are strong candidates. 'CHART' uses letters not yet tested.

FINAL: CHART",True,False,21,4,0.8095,2.3923,False,False,False,0
0,PHOTO,gemma-3-27b-it,chain-of-thought,3,PHOTO,GGGGG,True,3,2025-12-11T19:46:10.505892,"You are an expert Wordle player. Use brief, structured reasoning.
Return output in this exact format:
THINKING: <your concise step-by-step reasoning>
FINAL: <ONE 5-letter guess only>

Feedback codes: G=green (correct letter, correct position), Y=yellow (correct letter, wrong position), -=letter not in word.
Each feedback position corresponds to the letter at that position in your guess.
Example: Guess HOUSE → Feedback ----G means H:-, O:-, U:-, S:-, E:G
  (H not in word, O not in word, U not in word, S not in word, E correct at position 5)

Previous attempts:
- Guess: THINK  Feedback: YG---
  Per letter: T:Y  H:G  I:-  N:-  K:-
- Guess: CHART  Feedback: -G--Y
  Per letter: C:-  H:G  A:-  R:-  T:Y

Allowed words remaining: 4
Candidate words: PHOTO, SHOTS, SHUTS, WHYTE

Constraints:
• Do NOT repeat previous guesses.
• The FINAL line must be exactly ONE valid 5-letter word from the allowed list.
• Keep THINKING concise (1–5 short lines).","Game 1/100 | Target: PHOTO | Attempt 3/6 | Candidates: 4

H is in the second position. T and R are not in the word.
From the allowed list, only PHOTO, SHOTS, and SHUTS contain H in the second position.
SHOTS and SHUTS contain T, which is incorrect.
Therefore, PHOTO is the most likely candidate.","Game 1/100 | Target: PHOTO | Attempt 3/6 | Candidates: 4

THINKING: H is in the second position. T and R are not in the word.
From the allowed list, only PHOTO, SHOTS, and SHUTS contain H in the second position.
SHOTS and SHUTS contain T, which is incorrect.
Therefore, PHOTO is the most likely candidate.

FINAL: PHOTO",True,False,4,1,0.7500,2.0000,False,False,False,0
1,PARTY,gemma-3-27b-it,chain-of-thought,1,RIGHT,Y---Y,False,1,2025-12-11T19:46:12.567600,"You are an expert Wordle player. Use brief, structured reasoning.
Return output in this exact format:
THINKING: <your concise step-by-step reasoning>
FINAL: <ONE 5-letter guess only>

Feedback codes: G=green (correct letter, correct position), Y=yellow (correct letter, wrong position), -=letter not in word.
Each feedback position corresponds to the letter at that position in your guess.
Example: Guess HOUSE → Feedback ----G means H:-, O:-, U:-, S:-, E:G
  (H not in word, O not in word, U not in word, S not in word, E correct at position 5)


Allowed words remaining: 5629
Candidate words: ABOUT, THEIR, THERE, WHICH, WOULD, OTHER, AFTER, FIRST, THINK, COULD, THESE, WHERE, RIGHT, YEARS, BEING, GOING, STILL, NEVER, THOSE, WORLD, GREAT, WHILE, EVERY, STATE, THREE, SINCE, UNDER, THING, HOUSE, PLACE, ..., ZENIT, ARRAS, BANDY, BENDY, BOGAN, CAUSA, COWER, CRIST, CROAT, CUBBY, DALIA, DIKES, DIMER, ESHOP, FLAIL, GARBO, GOGOL, HAMMY, HERAT, HOARE

Constraints:
• Do NOT repeat previous guesses.
• The FINAL line must be exactly ONE valid 5-letter word from the allowed list.
• Keep THINKING concise (1–5 short lines).","Game 2/100 | Target: PARTY | Attempt 1/6 | Candidates: 5629

Need to test common consonants. 'THINK' was a previous guess. 'THEIR' and 'THERE' share letters with 'THINK' but explore different possibilities. 'OTHER' is also a good option. 'RIGHT' has common letters and hasn't been tried. Prioritize words with less common letters to gather information.","Game 2/100 | Target: PARTY | Attempt 1/6 | Candidates: 5629

THINKING: Need to test common consonants. 'THINK' was a previous guess. 'THEIR' and 'THERE' share letters with 'THINK' but explore different possibilities. 'OTHER' is also a good option. 'RIGHT' has common letters and hasn't been tried. Prioritize words with less common letters to gather information.
FINAL: RIGHT",True,False,5629,163,0.9710,5.1099,False,False,False,0
1,PARTY,gemma-3-27b-it,chain-of-thought,2,STARE,-YYY-,False,2,2025-12-11T19:46:13.974612,"You are an expert Wordle player. Use brief, structured reasoning.
Return output in this exact format:
THINKING: <your concise step-by-step reasoning>
FINAL: <ONE 5-letter guess only>

Feedback codes: G=green (correct letter, correct position), Y=yellow (correct letter, wrong position), -=letter not in word.
Each feedback position corresponds to the letter at that position in your guess.
Example: Guess HOUSE → Feedback ----G means H:-, O:-, U:-, S:-, E:G
  (H not in word, O not in word, U not in word, S not in word, E correct at position 5)

Previous attempts:
- Guess: RIGHT  Feedback: Y---Y
  Per letter: R:Y  I:-  G:-  H:-  T:Y

Allowed words remaining: 163
Candidate words: AFTER, WATER, LATER, PARTY, STORY, TRADE, TERMS, PARTS, WROTE, STORE, TRACK, EXTRA, TRUMP, PETER, TRULY, STARS, ENTER, TURNS, TREES, ENTRY, STORM, ACTOR, TRUCK, MOTOR, TREND, TOWER, TEARS, TRANS, OUTER, TERRY, ..., UTERO, TARDY, STARZ, TYROL, TERSE, TORTS, TRAPP, FRETS, TRAWL, TUBER, STURM, TRASK, KARTS, STROM, TATER, BERTA, TARTE, POTRO, TORUS, ARTEM

Constraints:
• Do NOT repeat previous guesses.
• The FINAL line must be exactly ONE valid 5-letter word from the allowed list.
• Keep THINKING concise (1–5 short lines).","Game 2/100 | Target: PARTY | Attempt 2/6 | Candidates: 163

R and T are in the word, but not in positions 1 and 5. Need to test other common vowels and consonants. 'STARE' uses a common vowel and avoids repeated letters.","Game 2/100 | Target: PARTY | Attempt 2/6 | Candidates: 163

THINKING: R and T are in the word, but not in positions 1 and 5. Need to test other common vowels and consonants. 'STARE' uses a common vowel and avoids repeated letters.
FINAL: STARE",True,False,163,15,0.9080,3.4418,False,False,False,0
1,PARTY,gemma-3-27b-it,chain-of-thought,3,TARDY,YGG-G,False,3,2025-12-11T19:46:16.033734,"You are an expert Wordle player. Use brief, structured reasoning.
Return output in this exact format:
THINKING: <your concise step-by-step reasoning>
FINAL: <ONE 5-letter guess only>

Feedback codes: G=green (correct letter, correct position), Y=yellow (correct letter, wrong position), -=letter not in word.
Each feedback position corresponds to the letter at that position in your guess.
Example: Guess HOUSE → Feedback ----G means H:-, O:-, U:-, S:-, E:G
  (H not in word, O not in word, U not in word, S not in word, E correct at position 5)

Previous attempts:
- Guess: RIGHT  Feedback: Y---Y
  Per letter: R:Y  I:-  G:-  H:-  T:Y
- Guess: STARE  Feedback: -YYY-
  Per letter: S:-  T:Y  A:Y  R:Y  E:-

Allowed words remaining: 15
Candidate words: PARTY, ACTOR, ALTAR, QATAR, MARTY, MARTA, AORTA, PORTA, CARTA, TAMAR, TRYNA, TATAR, TABOR, ARTUR, TARDY

Constraints:
• Do NOT repeat previous guesses.
• The FINAL line must be exactly ONE valid 5-letter word from the allowed list.
• Keep THINKING concise (1–5 short lines).","Game 2/100 | Target: PARTY | Attempt 3/6 | Candidates: 15

1. R, T, and A are in the word, but not in positions 1, 2, or 3.
2. Considering the allowed words, 'PARTY' and 'TARDY' seem most promising.
3. 'TARDY' uses all known letters and fits the constraints.","Game 2/100 | Target: PARTY | Attempt 3/6 | Candidates: 15

THINKING:
1. R, T, and A are in the word, but not in positions 1, 2, or 3.
2. Considering the allowed words, 'PARTY' and 'TARDY' seem most promising.
3. 'TARDY' uses all known letters and fits the constraints.

FINAL: TARDY",True,False,15,2,0.8667,2.9069,False,False,False,0
1,PARTY,gemma-3-27b-it,chain-of-thought,4,MARTY,-GGGG,False,4,2025-12-11T19:46:17.474976,"You are an expert Wordle player. Use brief, structured reasoning.
Return output in this exact format:
THINKING: <your concise step-by-step reasoning>
FINAL: <ONE 5-letter guess only>

Feedback codes: G=green (correct letter, correct position), Y=yellow (correct letter, wrong position), -=letter not in word.
Each feedback position corresponds to the letter at that position in your guess.
Example: Guess HOUSE → Feedback ----G means H:-, O:-, U:-, S:-, E:G
  (H not in word, O not in word, U not in word, S not in word, E correct at position 5)

Previous attempts:
- Guess: RIGHT  Feedback: Y---Y
  Per letter: R:Y  I:-  G:-  H:-  T:Y
- Guess: STARE  Feedback: -YYY-
  Per letter: S:-  T:Y  A:Y  R:Y  E:-
- Guess: TARDY  Feedback: YGG-G
  Per letter: T:Y  A:G  R:G  D:-  Y:G

Allowed words remaining: 2
Candidate words: PARTY, MARTY

Constraints:
• Do NOT repeat previous guesses.
• The FINAL line must be exactly ONE valid 5-letter word from the allowed list.
• Keep THINKING concise (1–5 short lines).","Game 2/100 | Target: PARTY | Attempt 4/6 | Candidates: 2

R, A, T, and Y are confirmed in the word.
From the feedback, the first letter is not T.
PARTY and MARTY are the only candidates.
MARTY has not been tried.","Game 2/100 | Target: PARTY | Attempt 4/6 | Candidates: 2

THINKING: R, A, T, and Y are confirmed in the word.
From the feedback, the first letter is not T.
PARTY and MARTY are the only candidates.
MARTY has not been tried.

FINAL: MARTY",True,False,2,1,0.5000,1.0000,False,False,False,0
1,PARTY,gemma-3-27b-it,chain-of-thought,5,PARTY,GGGGG,True,5,2025-12-11T19:46:18.390252,"You are an expert Wordle player. Use brief, structured reasoning.
Return output in this exact format:
THINKING: <your concise step-by-step reasoning>
FINAL: <ONE 5-letter guess only>

Feedback codes: G=green (correct letter, correct position), Y=yellow (correct letter, wrong position), -=letter not in word.
Each feedback position corresponds to the letter at that position in your guess.
Example: Guess HOUSE → Feedback ----G means H:-, O:-, U:-, S:-, E:G
  (H not in word, O not in word, U not in word, S not in word, E correct at position 5)

Previous attempts:
- Guess: RIGHT  Feedback: Y---Y
  Per letter: R:Y  I:-  G:-  H:-  T:Y
- Guess: STARE  Feedback: -YYY-
  Per letter: S:-  T:Y  A:Y  R:Y  E:-
- Guess: TARDY  Feedback: YGG-G
  Per letter: T:Y  A:G  R:G  D:-  Y:G
- Guess: MARTY  Feedback: -GGGG
  Per letter: M:-  A:G  R:G  T:G  Y:G

Allowed words remaining: 1
Candidate words: PARTY

Constraints:
• Do NOT repeat previous guesses.
• The FINAL line must be exactly ONE valid 5-letter word from the allowed list.
• Keep THINKING concise (1–5 short lines).","Game 2/100 | Target: PARTY | Attempt 5/6 | Candidates: 1

The only remaining candidate is PARTY.
All letters are confirmed to be in the word and in the correct positions.","Game 2/100 | Target: PARTY | Attempt 5/6 | Candidates: 1

THINKING: The only remaining candidate is PARTY.
All letters are confirmed to be in the word and in the correct positions.
FINAL: PARTY",True,False,1,1,0.0000,0.0000,False,False,False,0
2,TRICK,gemma-3-27b-it,chain-of-thought,1,THERE,G--Y-,False,1,2025-12-11T19:46:19.939139,"You are an expert Wordle player. Use brief, structured reasoning.
Return output in this exact format:
THINKING: <your concise step-by-step reasoning>
FINAL: <ONE 5-letter guess only>

Feedback codes: G=green (correct letter, correct position), Y=yellow (correct letter, wrong position), -=letter not in word.
Each feedback position corresponds to the letter at that position in your guess.
Example: Guess HOUSE → Feedback ----G means H:-, O:-, U:-, S:-, E:G
  (H not in word, O not in word, U not in word, S not in word, E correct at position 5)


Allowed words remaining: 5629
Candidate words: ABOUT, THEIR, THERE, WHICH, WOULD, OTHER, AFTER, FIRST, THINK, COULD, THESE, WHERE, RIGHT, YEARS, BEING, GOING, STILL, NEVER, THOSE, WORLD, GREAT, WHILE, EVERY, STATE, THREE, SINCE, UNDER, THING, HOUSE, PLACE, ..., ZENIT, ARRAS, BANDY, BENDY, BOGAN, CAUSA, COWER, CRIST, CROAT, CUBBY, DALIA, DIKES, DIMER, ESHOP, FLAIL, GARBO, GOGOL, HAMMY, HERAT, HOARE

Constraints:
• Do NOT repeat previous guesses.
• The FINAL line must be exactly ONE valid 5-letter word from the allowed list.
• Keep THINKING concise (1–5 short lines).","Game 3/100 | Target: TRICK | Attempt 1/6 | Candidates: 5629

Previous guess 'HOUSE' revealed 'E' in the last position. Prioritize words ending in 'E' and include common consonants. 'THERE' is a strong candidate, utilizing common letters and fitting the known constraint.","Game 3/100 | Target: TRICK | Attempt 1/6 | Candidates: 5629

THINKING: Previous guess 'HOUSE' revealed 'E' in the last position. Prioritize words ending in 'E' and include common consonants. 'THERE' is a strong candidate, utilizing common letters and fitting the known constraint.
FINAL: THERE",True,False,5629,58,0.9897,6.6007,False,False,False,0
2,TRICK,gemma-3-27b-it,chain-of-thought,2,TRACK,GG-GG,False,2,2025-12-11T19:46:21.898587,"You are an expert Wordle player. Use brief, structured reasoning.
Return output in this exact format:
THINKING: <your concise step-by-step reasoning>
FINAL: <ONE 5-letter guess only>

Feedback codes: G=green (correct letter, correct position), Y=yellow (correct letter, wrong position), -=letter not in word.
Each feedback position corresponds to the letter at that position in your guess.
Example: Guess HOUSE → Feedback ----G means H:-, O:-, U:-, S:-, E:G
  (H not in word, O not in word, U not in word, S not in word, E correct at position 5)

Previous attempts:
- Guess: THERE  Feedback: G--Y-
  Per letter: T:G  H:-  E:-  R:Y  E:-

Allowed words remaining: 58
Candidate words: TRUST, TRACK, TRAIN, TRUMP, TRIAL, TRULY, TURNS, TRUCK, TRICK, TRAIL, TRANS, TRIPS, TRUNK, TUMOR, TRACY, TROUT, TRAPS, TURBO, TROLL, TRACT, TRAIT, TROOP, TUTOR, TURKS, TRYIN, TORSO, TURIN, TUDOR, TRUSS, TIMOR, ..., TRINA, TRIPP, TRYNA, TROIS, TATAR, TABOR, TRUDY, TRIMS, TROTT, TRILL, TARDY, TYROL, TORTS, TRAPP, TRAWL, TARIK, TRASK, TORUS, TRACI, TRYST

Constraints:
• Do NOT repeat previous guesses.
• The FINAL line must be exactly ONE valid 5-letter word from the allowed list.
• Keep THINKING concise (1–5 short lines).","Game 3/100 | Target: TRICK | Attempt 2/6 | Candidates: 58

1. T is confirmed in position 1.
2. R is in the word, but not in position 2.
3. Prioritize words with common vowels in positions 2, 3, and 4.
4. 'TRACK' uses known letters and tests A, C, K.","Game 3/100 | Target: TRICK | Attempt 2/6 | Candidates: 58

THINKING:
1. T is confirmed in position 1.
2. R is in the word, but not in position 2.
3. Prioritize words with common vowels in positions 2, 3, and 4.
4. 'TRACK' uses known letters and tests A, C, K.

FINAL: TRACK",True,False,58,2,0.9655,4.8580,False,False,False,0
