game_number,target_word,won,attempts,guess_1,feedback_1,hamming_1,levenshtein_1,strategy_1,guess_2,feedback_2,hamming_2,levenshtein_2,strategy_2,guess_3,feedback_3,hamming_3,levenshtein_3,strategy_3,guess_4,feedback_4,hamming_4,levenshtein_4,strategy_4,guess_5,feedback_5,hamming_5,levenshtein_5,strategy_5,guess_6,feedback_6,hamming_6,levenshtein_6,strategy_6,candidates_before_1,candidates_after_1,reduction_rate_1,candidates_before_2,candidates_after_2,reduction_rate_2,candidates_before_3,candidates_after_3,reduction_rate_3,candidates_before_4,candidates_after_4,reduction_rate_4,candidates_before_5,candidates_after_5,reduction_rate_5,candidates_before_6,candidates_after_6,reduction_rate_6,total_violations
1,PHOTO,True,4,ALIBI,-----,5,5,LLM_RERANK,NOTES,-YY--,5,4,LLM_RERANK,TROUT,Y-G--,4.0,4.0,LLM_RERANK,PHOTO,GGGGG,0.0,0.0,LLM_RERANK,,,,,,,,,,,5629,1313,76.6743648960739,1313,15,98.85757806549886,15.0,2.0,86.66666666666667,2.0,1.0,50.0,,,,,,,0
2,PARTY,True,5,LYDIA,-Y--Y,5,5,LLM_RERANK,MAYOR,-GY-Y,4,4,LLM_RERANK,HARRY,-GG-G,2.0,2.0,LLM_RERANK,CAREY,-GG-G,2.0,2.0,LLM_RERANK,PARTY,GGGGG,0.0,0.0,CSS_TRUE,,,,,,5629,132,97.65500088825723,132,9,93.18181818181816,9.0,2.0,77.77777777777779,2.0,1.0,50.0,1.0,1.0,0.0,,,,0
3,TRICK,True,3,QUANT,----Y,5,5,LLM_RERANK,TRITE,GGG--,2,2,LLM_RERANK,TRICK,GGGGG,0.0,0.0,LLM_RERANK,,,,,,,,,,,,,,,,5629,354,93.71113874578076,354,6,98.30508474576273,6.0,1.0,83.33333333333334,,,,,,,,,,0
4,DIRTY,True,4,QUANT,----Y,5,5,LLM_RERANK,THREW,Y-G--,4,4,LLM_RERANK,SORTS,--GG-,3.0,3.0,LLM_RERANK,DIRTY,GGGGG,0.0,0.0,CSS_TRUE,,,,,,,,,,,5629,354,93.71113874578076,354,9,97.45762711864408,9.0,1.0,88.88888888888889,1.0,1.0,0.0,,,,,,,0
5,USUAL,True,4,ORBIT,-----,5,5,LLM_RERANK,MAVEN,-Y---,5,5,LLM_RERANK,FLAGS,-YY-Y,5.0,5.0,CSS_TRUE,USUAL,GGGGG,0.0,0.0,CSS_TRUE,,,,,,,,,,,5629,1056,81.24000710605792,1056,77,92.70833333333334,77.0,1.0,98.7012987012987,1.0,1.0,0.0,,,,,,,0
6,TRULY,True,4,PEAKS,-----,5,5,LLM_RERANK,WHORL,---YY,5,5,LLM_RERANK,LURID,YYY--,5.0,5.0,LLM_RERANK,TRULY,GGGGG,0.0,0.0,CSS_TRUE,,,,,,,,,,,5629,625,88.89678450879374,625,6,99.04,6.0,1.0,83.33333333333334,1.0,1.0,0.0,,,,,,,0
7,SPENT,True,4,POLAR,Y----,5,5,LLM_RERANK,SKYPE,G--YY,4,4,LLM_RERANK,SPIES,GG-Y-,3.0,3.0,LLM_RERANK,SPENT,GGGGG,0.0,0.0,LLM_RERANK,,,,,,,,,,,5629,77,98.6320838514834,77,10,87.01298701298701,10.0,2.0,80.0,2.0,1.0,50.0,,,,,,,0
8,PAUSE,True,4,VISTA,--Y-Y,5,5,LLM_RERANK,SABER,YG-Y-,4,4,LLM_RERANK,CAUSE,-GGGG,1.0,1.0,LLM_RERANK,PAUSE,GGGGG,0.0,0.0,CSS_TRUE,,,,,,,,,,,5629,428,92.39651803162197,428,5,98.83177570093456,5.0,1.0,80.0,1.0,1.0,0.0,,,,,,,0
9,CRAZY,True,4,LIKED,-----,5,5,LLM_RERANK,BACON,-YY--,5,5,LLM_RERANK,CHAPS,G-G--,3.0,3.0,LLM_RERANK,CRAZY,GGGGG,0.0,0.0,LLM_RERANK,,,,,,,,,,,5629,1119,80.12080298454433,1119,27,97.58713136729224,27.0,2.0,92.5925925925926,2.0,1.0,50.0,,,,,,,0
10,BASES,False,6,LENNY,-Y---,5,5,LLM_RERANK,ACRES,Y--GG,3,3,LLM_RERANK,MAKES,-G-GG,2.0,2.0,LLM_RERANK,HAWES,-G-GG,2.0,2.0,LLM_RERANK,EAVES,-G-GG,2.0,2.0,LLM_RERANK,GATES,-G-GG,2.0,2.0,LLM_RERANK,5629,968,82.80333984721976,968,42,95.66115702479338,42.0,28.0,33.33333333333333,28.0,20.0,28.57142857142857,20.0,15.0,25.0,15.0,4.0,73.33333333333333,0
11,YOUNG,True,5,SIREN,----Y,5,5,LLM_RERANK,MANNA,---G-,4,4,LLM_RERANK,COUNT,-GGG-,2.0,2.0,LLM_RERANK,POUND,-GGG-,2.0,2.0,LLM_RERANK,YOUNG,GGGGG,0.0,0.0,CSS_TRUE,,,,,,5629,199,96.46473618759993,199,24,87.93969849246231,24.0,6.0,75.0,6.0,1.0,83.33333333333334,1.0,1.0,0.0,,,,0
12,MEANS,True,4,STALE,Y-G-Y,4,4,LLM_RERANK,BEANS,-GGGG,1,1,LLM_RERANK,JEANS,-GGGG,1.0,1.0,LLM_RERANK,MEANS,GGGGG,0.0,0.0,LLM_RERANK,,,,,,,,,,,5629,25,99.55587138035176,25,3,88.0,3.0,2.0,33.33333333333333,2.0,1.0,50.0,,,,,,,0
