game_number,target_code,won,attempts,guess_1,feedback_1,strategy_1,candidates_1,guess_2,feedback_2,strategy_2,candidates_2,guess_3,feedback_3,strategy_3,candidates_3,guess_4,feedback_4,strategy_4,candidates_4,guess_5,feedback_5,strategy_5,candidates_5,guess_6,feedback_6,strategy_6,candidates_6,guess_7,feedback_7,strategy_7,candidates_7,guess_8,feedback_8,strategy_8,candidates_8,guess_9,feedback_9,strategy_9,candidates_9,guess_10,feedback_10,strategy_10,candidates_10
1,GRBR,True,4,RWBY,1B1W,LLM,252,BOGY,0B2W,VOI,57,RBRO,0B3W,VOI,2,GRBR,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,
2,RGBY,True,4,RYBW,2B1W,LLM,48,ROBY,3B0W,VOI,3,RRBY,3B0W,VOI,2,RGBY,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,
3,BYYW,True,4,RYGG,1B0W,LLM,182,RROB,0B1W,VOI,40,WYBY,1B3W,VOI,1,BYYW,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,
4,BGWY,True,5,OYGB,0B3W,LLM,136,RGBY,2B1W,VOI,9,YGBW,1B3W,VOI,2,GWBY,1B3W,VOI,1,BGWY,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
5,BROG,True,4,OYOR,1B1W,LLM,230,ORBB,1B2W,VOI,14,RGOB,1B3W,VOI,1,BROG,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,
6,GGWY,True,4,RYRW,0B2W,LLM,222,GRBR,1B0W,VOI,36,OROY,1B0W,VOI,8,GGWY,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,
7,RWOW,True,5,RYBG,1B0W,LLM,108,OYWY,0B2W,VOI,19,WBBO,0B2W,VOI,6,RORW,2B1W,VOI,1,RWOW,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
8,WGRR,True,5,GBGO,0B1W,LLM,276,RORW,1B2W,VOI,26,RWBR,1B2W,VOI,2,RRWG,0B4W,VOI,1,WGRR,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
9,ROWO,True,2,ROOB,2B1W,LLM,40,ROWO,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,WYYY,True,4,RWYY,2B1W,LLM,40,RYYO,2B0W,VOI,4,RRYW,1B1W,VOI,1,WYYY,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,
11,ORRR,True,5,YRGO,1B1W,LLM,252,RRWG,1B1W,VOI,42,RWOO,0B2W,VOI,11,ORBR,3B0W,VOI,1,ORRR,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
12,RGOW,True,3,GYBY,0B1W,LLM,276,WGRR,1B2W,VOI,26,RGOW,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,RGOG,True,4,OYRG,1B2W,LLM,132,BROG,2B1W,VOI,7,BOYG,1B1W,VOI,2,RGOG,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,
14,RWGW,True,6,YOWO,0B1W,LLM,276,RGBY,1B1W,VOI,53,RBRW,2B0W,VOI,6,GBBW,1B1W,VOI,3,RBOB,1B0W,VOI,1,RWGW,4B0W,VOI,1,,,,,,,,,,,,,,,,
15,BRBY,True,6,RYRR,0B2W,LLM,61,YRYY,2B0W,VOI,48,YRBG,2B1W,VOI,10,WRBY,3B0W,VOI,2,ORBY,3B0W,VOI,1,BRBY,4B0W,VOI,1,,,,,,,,,,,,,,,,
16,BGGB,True,5,ROBR,0B1W,LLM,276,BGWY,2B0W,VOI,24,OYWY,0B0W,VOI,2,BGGG,3B0W,VOI,1,BGGB,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
17,OOOB,True,7,YGBW,0B1W,LLM,152,WOOR,2B0W,VOI,21,RYOR,1B0W,VOI,7,WWWR,0B0W,VOI,6,BOOB,3B0W,VOI,2,BOOO,2B2W,VOI,1,OOOB,4B0W,VOI,1,,,,,,,,,,,,
18,WOGB,True,5,WRYG,1B1W,LLM,252,ORBY,0B2W,VOI,57,RGOG,0B2W,VOI,9,WOWR,2B0W,VOI,1,WOGB,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
