game_number,target_word,won,attempts,guess_1,feedback_1,hamming_1,levenshtein_1,strategy_1,guess_2,feedback_2,hamming_2,levenshtein_2,strategy_2,guess_3,feedback_3,hamming_3,levenshtein_3,strategy_3,guess_4,feedback_4,hamming_4,levenshtein_4,strategy_4,guess_5,feedback_5,hamming_5,levenshtein_5,strategy_5,guess_6,feedback_6,hamming_6,levenshtein_6,strategy_6,candidates_before_1,candidates_after_1,reduction_rate_1,candidates_before_2,candidates_after_2,reduction_rate_2,candidates_before_3,candidates_after_3,reduction_rate_3,candidates_before_4,candidates_after_4,reduction_rate_4,candidates_before_5,candidates_after_5,reduction_rate_5,candidates_before_6,candidates_after_6,reduction_rate_6,total_violations
1,PHOTO,True,4,ABOUT,--G-Y,4,4,LLM,STORY,-YG--,4,4,LLM,TOOTH,-YGGY,3.0,3.0,LLM,PHOTO,GGGGG,0.0,0.0,LLM,,,,,,,,,,,5629,47,99.1650381950613,47,5,89.36170212765957,5.0,1.0,80.0,1.0,1.0,0.0,,,,,,,0
2,PARTY,True,4,RIGHT,Y---Y,5,5,LLM,AFTER,Y-Y-Y,5,4,LLM,STARS,-YYY-,5.0,4.0,LLM,PARTY,GGGGG,0.0,0.0,LLM,,,,,,,,,,,5629,163,97.1042813998934,163,31,80.98159509202453,31.0,7.0,77.41935483870968,7.0,1.0,85.71428571428571,,,,,,,0
3,TRICK,True,3,THERE,G--Y-,4,4,LLM,TRAIN,GG-Y-,3,3,LLM,TRICK,GGGGG,0.0,0.0,LLM,,,,,,,,,,,,,,,,5629,58,98.96962160241604,58,5,91.3793103448276,5.0,1.0,80.0,,,,,,,,,,0
4,DIRTY,True,3,WORLD,--G-Y,4,4,LLM,CARDS,--GY-,4,4,LLM,DIRTY,GGGGG,0.0,0.0,LLM,,,,,,,,,,,,,,,,5629,37,99.3426896429206,37,4,89.1891891891892,4.0,1.0,75.0,,,,,,,,,,0
5,USUAL,True,4,THERE,-----,5,5,LLM,CLOUD,-Y-Y-,5,5,LLM,FULLY,-YY--,5.0,4.0,LLM,USUAL,GGGGG,0.0,0.0,LLM,,,,,,,,,,,5629,1280,77.2606146740096,1280,36,97.1875,36.0,1.0,97.2222222222222,1.0,1.0,0.0,,,,,,,0
6,TRULY,True,5,THEIR,G---Y,4,4,LLM,TRACK,GG---,3,3,LLM,TRUST,GGG--,2.0,2.0,LLM,TRUMP,GGG--,2.0,2.0,LLM,TRULY,GGGGG,0.0,0.0,LLM,,,,,,5629,36,99.36045478770652,36,11,69.44444444444444,11.0,4.0,63.63636363636363,4.0,3.0,25.0,3.0,1.0,66.66666666666666,,,,0
7,SPENT,True,4,OTHER,-Y-Y-,5,5,LLM,EVENT,--GGG,2,2,LLM,AGENT,--GGG,2.0,2.0,LLM,SPENT,GGGGG,0.0,0.0,LLM,,,,,,,,,,,5629,159,97.17534197903711,159,4,97.48427672955977,4.0,2.0,50.0,2.0,1.0,50.0,,,,,,,0
8,PAUSE,True,4,THINK,-----,5,5,LLM,WORLD,-----,5,5,LLM,CAUSE,-GGGG,1.0,1.0,LLM,PAUSE,GGGGG,0.0,0.0,LLM,,,,,,,,,,,5629,1651,70.66974595842956,1651,186,88.73410054512418,186.0,1.0,99.46236559139786,1.0,1.0,0.0,,,,,,,0
9,CRAZY,True,6,WHERE,---Y-,5,5,LLM,TRAIN,-GG--,3,3,LLM,BRASS,-GG--,3.0,3.0,LLM,DRAMA,-GG--,3.0,3.0,LLM,GRAVY,-GG-G,2.0,2.0,LLM,CRAZY,GGGGG,0.0,0.0,LLM,5629,655,88.36383016521584,655,33,94.9618320610687,33.0,12.0,63.63636363636363,12.0,4.0,66.66666666666666,4.0,1.0,75.0,1.0,1.0,0.0,0
10,BASES,True,6,THERE,--Y--,5,5,LLM,MONEY,---G-,4,4,LLM,ASKED,YY-G-,4.0,3.0,LLM,SALES,YG-GG,2.0,2.0,LLM,CASES,-GGGG,1.0,1.0,LLM,BASES,GGGGG,0.0,0.0,LLM,5629,588,89.55409486587315,588,143,75.68027210884354,143.0,27.0,81.11888111888112,27.0,4.0,85.18518518518519,4.0,3.0,25.0,3.0,1.0,66.66666666666666,0
11,YOUNG,True,3,FIRST,-----,5,5,LLM,CLOUD,--YY-,5,4,LLM,YOUNG,GGGGG,0.0,0.0,LLM,,,,,,,,,,,,,,,,5629,1003,82.18155977971222,1003,16,98.4047856430708,16.0,1.0,93.75,,,,,,,,,,0
12,MEANS,True,5,THINK,---G-,4,4,LLM,FOUND,---G-,4,4,LLM,PLANE,--GGY,3.0,3.0,LLM,BEANS,-GGGG,1.0,1.0,LLM,MEANS,GGGGG,0.0,0.0,LLM,,,,,,5629,176,96.87333451767633,176,61,65.3409090909091,61.0,4.0,93.44262295081968,4.0,2.0,50.0,2.0,1.0,50.0,,,,0
13,TRUTH,True,2,THERE,GY-Y-,4,4,LLM,TRUTH,GGGGG,0,0,LLM,,,,,,,,,,,,,,,,,,,,,5629,6,99.8934091312844,6,1,83.33333333333334,,,,,,,,,,,,,0
14,FIRED,True,5,THINK,--Y--,5,5,LLM,VIDEO,-GYG-,3,3,LLM,DICED,-G-GG,2.0,2.0,LLM,WIRED,-GGGG,1.0,1.0,LLM,FIRED,GGGGG,0.0,0.0,LLM,,,,,,5629,465,91.73920767454254,465,18,96.12903225806453,18.0,14.0,22.22222222222222,14.0,4.0,71.42857142857143,4.0,1.0,75.0,,,,0
15,FOLKS,True,4,ABOUT,--Y--,5,5,LLM,WORLD,-G-Y-,4,4,LLM,LOVES,YG--G,3.0,3.0,LLM,FOLKS,GGGGG,0.0,0.0,LLM,,,,,,,,,,,5629,530,90.5844732634571,530,42,92.0754716981132,42.0,5.0,88.09523809523809,5.0,1.0,80.0,,,,,,,0
16,CHILE,True,5,THINK,-GG--,3,3,LLM,WHICH,-GGY-,3,3,LLM,CHIEF,GGGY-,2.0,2.0,LLM,CHIME,GGG-G,1.0,1.0,LLM,CHILE,GGGGG,0.0,0.0,LLM,,,,,,5629,27,99.52034109077988,27,11,59.25925925925925,11.0,2.0,81.81818181818183,2.0,1.0,50.0,1.0,1.0,0.0,,,,0
17,BLACK,True,3,THINK,----G,4,4,LLM,SPEAK,---YG,4,4,LLM,BLACK,GGGGG,0.0,0.0,LLM,,,,,,,,,,,,,,,,5629,50,99.1117427607035,50,9,82.0,9.0,1.0,88.88888888888889,,,,,,,,,,0
18,GRANT,True,2,RIGHT,Y-Y-G,4,4,LLM,GRANT,GGGGG,0,0,LLM,,,,,,,,,,,,,,,,,,,,,5629,8,99.85787884171256,8,1,87.5,,,,,,,,,,,,,0
19,MEALS,True,4,THERE,--Y--,5,5,LLM,WOMEN,--YY-,5,5,LLM,EMAIL,YYG-Y,4.0,4.0,LLM,MEALS,GGGGG,0.0,0.0,LLM,,,,,,,,,,,5629,588,89.55409486587315,588,16,97.27891156462584,16.0,1.0,93.75,1.0,1.0,0.0,,,,,,,0
20,CREAM,True,5,WORLD,--Y--,5,5,LLM,RIGHT,Y----,5,5,LLM,AREAS,-GGG-,2.0,2.0,LLM,BREAK,-GGG-,2.0,2.0,LLM,CREAM,GGGGG,0.0,0.0,LLM,,,,,,5629,631,88.79019364007816,631,152,75.91125198098257,152.0,4.0,97.36842105263158,4.0,1.0,75.0,1.0,1.0,0.0,,,,0
21,AWAKE,True,3,RIGHT,-----,5,5,LLM,PLACE,--G-G,3,3,LLM,AWAKE,GGGGG,0.0,0.0,LLM,,,,,,,,,,,,,,,,5629,1357,75.89269852549299,1357,12,99.1156963890936,12.0,1.0,91.66666666666666,,,,,,,,,,0
22,OCCUR,True,4,THINK,-----,5,5,LLM,WORLD,-YY--,5,5,LLM,SCORE,-GYY-,4.0,4.0,LLM,OCCUR,GGGGG,0.0,0.0,LLM,,,,,,,,,,,5629,1651,70.66974595842956,1651,66,96.00242277407632,66.0,1.0,98.48484848484848,1.0,1.0,0.0,,,,,,,0
23,YEARS,True,2,RIGHT,Y----,5,5,LLM,YEARS,GGGGG,0,0,LLM,,,,,,,,,,,,,,,,,,,,,5629,725,87.12027003020074,725,1,99.86206896551724,,,,,,,,,,,,,0
24,GRADE,True,4,THINK,-----,5,5,LLM,WORLD,--Y-Y,5,4,LLM,READY,YYGG-,3.0,3.0,LLM,GRADE,GGGGG,0.0,0.0,LLM,,,,,,,,,,,5629,1651,70.66974595842956,1651,44,97.33494851605089,44.0,1.0,97.72727272727272,1.0,1.0,0.0,,,,,,,0
25,CHILL,True,3,OTHER,--Y--,5,5,LLM,HAPPY,Y----,5,5,LLM,CHILL,GGGGG,0.0,0.0,LLM,,,,,,,,,,,,,,,,5629,196,96.51803162195772,196,42,78.57142857142857,42.0,1.0,97.61904761904762,,,,,,,,,,0
26,FLOOD,True,4,CRANE,-----,5,5,LLM,STILL,---Y-,5,5,LLM,BLOOD,-GGGG,1.0,1.0,LLM,FLOOD,GGGGG,0.0,0.0,LLM,,,,,,,,,,,5629,540,90.4068218155978,540,24,95.55555555555556,24.0,1.0,95.83333333333334,1.0,1.0,0.0,,,,,,,0
27,APPLY,True,4,OTHER,-----,5,5,LLM,MINUS,-----,5,5,CSS_TRUE_REPAIR,PLAYA,YYYY-,5.0,4.0,LLM,APPLY,GGGGG,0.0,0.0,LLM,,,,,,,,,,,5629,807,85.66352815775448,807,50,93.80421313506815,50.0,1.0,98.0,1.0,1.0,0.0,,,,,,,0
28,SMILE,True,4,RIGHT,-Y---,5,5,LLM,MEDIA,YY-Y-,5,5,LLM,EMILY,YGGG-,2.0,2.0,LLM,SMILE,GGGGG,0.0,0.0,LLM,,,,,,,,,,,5629,405,92.80511636169835,405,5,98.76543209876544,5.0,1.0,80.0,1.0,1.0,0.0,,,,,,,0
29,KNOCK,True,3,THINK,---YG,4,4,LLM,SNACK,-G-GG,2,2,LLM,KNOCK,GGGGG,0.0,0.0,LLM,,,,,,,,,,,,,,,,5629,7,99.87564398649847,7,1,85.71428571428571,1.0,1.0,0.0,,,,,,,,,,0
30,SLEEP,True,3,RIGHT,-----,5,5,LLM,PLACE,YG--Y,4,4,LLM,SLEEP,GGGGG,0.0,0.0,LLM,,,,,,,,,,,,,,,,5629,1357,75.89269852549299,1357,2,99.85261606484892,2.0,1.0,50.0,,,,,,,,,,0
31,BRICK,True,4,ABOUT,-Y---,5,5,LLM,BRING,GGG--,2,2,LLM,BRIEF,GGG--,2.0,2.0,LLM,BRICK,GGGGG,0.0,0.0,LLM,,,,,,,,,,,5629,105,98.13465979747735,105,8,92.38095238095238,8.0,4.0,50.0,4.0,1.0,75.0,,,,,,,0
32,WROTE,True,3,ABOUT,--G-Y,4,4,LLM,STORY,-YGY-,4,4,LLM,WROTE,GGGGG,0.0,0.0,LLM,,,,,,,,,,,,,,,,5629,47,99.1650381950613,47,7,85.1063829787234,7.0,1.0,85.71428571428571,,,,,,,,,,0
33,RATED,True,4,ABOUT,Y---Y,5,5,LLM,STATE,-YY-Y,5,3,LLM,WATER,-GGGY,2.0,2.0,LLM,RATED,GGGGG,0.0,0.0,LLM,,,,,,,,,,,5629,299,94.68822170900692,299,34,88.62876254180601,34.0,1.0,97.05882352941175,1.0,1.0,0.0,,,,,,,0
34,ALERT,True,3,WORLD,--YY-,5,5,LLM,CLEAR,-GGYY,3,3,LLM,ALERT,GGGGG,0.0,0.0,LLM,,,,,,,,,,,,,,,,5629,87,98.4544324036241,87,1,98.85057471264368,1.0,1.0,0.0,,,,,,,,,,0
35,CAGES,False,6,WORLD,-----,5,5,LLM,THINK,-----,5,5,LLM,SPACE,Y-YYY,5.0,4.0,LLM,CASES,GG-GG,1.0,1.0,LLM,CAVES,GG-GG,1.0,1.0,LLM,CAFES,GG-GG,1.0,1.0,LLM,5629,1271,77.42050097708297,1271,186,85.36585365853658,186.0,6.0,96.7741935483871,6.0,3.0,50.0,3.0,2.0,33.33333333333333,2.0,1.0,50.0,0
36,TEDDY,True,5,FIRST,----Y,5,5,LLM,TOTAL,G----,4,4,LLM,THEME,G-Y--,4.0,4.0,LLM,TYPED,GY-YY,4.0,4.0,LLM,TEDDY,GGGGG,0.0,0.0,LLM,,,,,,5629,233,95.86072126487832,233,14,93.99141630901288,14.0,3.0,78.57142857142857,3.0,1.0,66.66666666666666,1.0,1.0,0.0,,,,0
37,COLES,True,5,GREAT,--Y--,5,5,LLM,HOUSE,-G-YY,4,4,LLM,COMES,GG-GG,1.0,1.0,LLM,CODES,GG-GG,1.0,1.0,LLM,COLES,GGGGG,0.0,0.0,LLM,,,,,,5629,579,89.71398116894652,579,42,92.74611398963732,42.0,3.0,92.85714285714286,3.0,2.0,33.33333333333333,2.0,1.0,50.0,,,,0
38,HWANG,True,4,THINK,-Y-G-,4,4,LLM,HORNS,G--G-,3,3,LLM,HAYNE,GY-G-,3.0,3.0,LLM,HWANG,GGGGG,0.0,0.0,LLM,,,,,,,,,,,5629,15,99.73352282821104,15,8,46.666666666666664,8.0,2.0,75.0,2.0,1.0,50.0,,,,,,,0
39,WRATH,True,4,RIGHT,Y--YY,5,4,LLM,THERE,YY-Y-,5,5,LLM,WORTH,G-YGG,2.0,2.0,LLM,WRATH,GGGGG,0.0,0.0,LLM,,,,,,,,,,,5629,27,99.52034109077988,27,9,66.66666666666666,9.0,1.0,88.88888888888889,1.0,1.0,0.0,,,,,,,0
40,MACHO,True,5,THINK,-Y---,5,5,LLM,HEARD,Y-Y--,5,5,LLM,LAUGH,-G--Y,4.0,4.0,LLM,SASHA,-G-G-,3.0,3.0,LLM,MACHO,GGGGG,0.0,0.0,LLM,,,,,,5629,237,95.7896606857346,237,25,89.45147679324894,25.0,11.0,56.00000000000001,11.0,1.0,90.9090909090909,1.0,1.0,0.0,,,,0
41,LOPEZ,True,4,RIGHT,-----,5,5,LLM,PLACE,YY--Y,5,4,LLM,SPELL,-YYY-,5.0,4.0,LLM,LOPEZ,GGGGG,0.0,0.0,LLM,,,,,,,,,,,5629,1357,75.89269852549299,1357,5,99.63154016212232,5.0,2.0,60.0,2.0,1.0,50.0,,,,,,,0
42,GOODY,True,4,THINK,-----,5,5,LLM,WORLD,-G--Y,4,4,LLM,GOODS,GGGG-,1.0,1.0,LLM,GOODY,GGGGG,0.0,0.0,LLM,,,,,,,,,,,5629,1651,70.66974595842956,1651,28,98.30405814657784,28.0,2.0,92.85714285714286,2.0,1.0,50.0,,,,,,,0
43,BROTH,True,3,ABOUT,-YG-Y,4,4,LLM,BOOTS,G-GG-,2,2,LLM,BROTH,GGGGG,0.0,0.0,LLM,,,,,,,,,,,,,,,,5629,4,99.92893942085628,4,1,75.0,1.0,1.0,0.0,,,,,,,,,,0
44,VERDE,True,4,COULD,----Y,5,5,LLM,DEATH,YG---,4,4,LLM,SEEDS,-GYG-,3.0,3.0,LLM,VERDE,GGGGG,0.0,0.0,LLM,,,,,,,,,,,5629,302,94.63492627464912,302,20,93.3774834437086,20.0,1.0,95.0,1.0,1.0,0.0,,,,,,,0
45,TAMED,True,4,THEIR,G-Y--,4,4,LLM,TABLE,GG--Y,3,3,LLM,TAPED,GG-GG,1.0,1.0,LLM,TAMED,GGGGG,0.0,0.0,LLM,,,,,,,,,,,5629,53,99.05844732634571,53,7,86.79245283018868,7.0,2.0,71.42857142857143,2.0,1.0,50.0,,,,,,,0
46,LEAFS,True,6,THERE,--Y--,5,5,LLM,MONEY,---Y-,5,5,LLM,LEGAL,GG-Y-,3.0,3.0,LLM,LEADS,GGG-G,1.0,1.0,LLM,LEAKS,GGG-G,1.0,1.0,LLM,LEAFS,GGGGG,0.0,0.0,LLM,5629,588,89.55409486587315,588,70,88.09523809523809,70.0,5.0,92.85714285714286,5.0,3.0,40.0,3.0,2.0,33.33333333333333,2.0,1.0,50.0,0
47,YACHT,True,3,THERE,YY---,5,5,LLM,NIGHT,---GG,3,3,LLM,YACHT,GGGGG,0.0,0.0,LLM,,,,,,,,,,,,,,,,5629,83,98.52549298276782,83,1,98.79518072289156,1.0,1.0,0.0,,,,,,,,,,0
48,MESSY,True,4,RIGHT,-----,5,5,LLM,PLACE,----Y,5,5,LLM,SEEMS,YG-YY,4.0,4.0,LLM,MESSY,GGGGG,0.0,0.0,LLM,,,,,,,,,,,5629,1357,75.89269852549299,1357,137,89.9042004421518,137.0,1.0,99.27007299270072,1.0,1.0,0.0,,,,,,,0
49,RYDER,True,3,RIGHT,G----,4,4,LLM,READY,GY-YY,4,4,LLM,RYDER,GGGGG,0.0,0.0,LLM,,,,,,,,,,,,,,,,5629,138,97.54841001954166,138,1,99.27536231884058,1.0,1.0,0.0,,,,,,,,,,0
50,MOTIF,True,3,THINK,Y-Y--,5,5,LLM,MITES,GYG--,3,3,CSS_TRUE_REPAIR,MOTIF,GGGGG,0.0,0.0,LLM,,,,,,,,,,,,,,,,5629,98,98.25901581097884,98,3,96.93877551020408,3.0,1.0,66.66666666666666,,,,,,,,,,0
51,RAVEN,True,3,THEIR,--Y-Y,5,5,LLM,LEARN,-YYYG,4,4,LLM,RAVEN,GGGGG,0.0,0.0,LLM,,,,,,,,,,,,,,,,5629,316,94.38621424764612,316,4,98.73417721518987,4.0,1.0,75.0,,,,,,,,,,0
52,REICH,True,4,THINK,-YG--,4,4,LLM,HAIRY,Y-GY-,4,4,LLM,IRISH,-YG-G,3.0,3.0,LLM,REICH,GGGGG,0.0,0.0,LLM,,,,,,,,,,,5629,16,99.71575768342512,16,3,81.25,3.0,1.0,66.66666666666666,1.0,1.0,0.0,,,,,,,0
