game_id,target_word,model_name,prompt_type,attempt_number,guess,feedback,win,attempts_to_win,timestamp,prompt,cot_trace,raw_response,is_valid_word,is_error,candidates_before,candidates_after,candidate_reduction_rate,information_gain_bits,violated_green_constraint,violated_yellow_constraint,violated_gray_constraint,total_constraint_violations
0,PHOTO,codestral-22b,chain-of-thought,1,HOUSE,YY---,False,1,2025-12-11T19:58:37.026134,"You are an expert Wordle player. Use brief, structured reasoning.
Return output in this exact format:
THINKING: <your concise step-by-step reasoning>
FINAL: <ONE 5-letter guess only>

Feedback codes: G=green (correct letter, correct position), Y=yellow (correct letter, wrong position), -=letter not in word.
Each feedback position corresponds to the letter at that position in your guess.
Example: Guess HOUSE → Feedback ----G means H:-, O:-, U:-, S:-, E:G
  (H not in word, O not in word, U not in word, S not in word, E correct at position 5)


Allowed words remaining: 5629
Candidate words: ABOUT, THEIR, THERE, WHICH, WOULD, OTHER, AFTER, FIRST, THINK, COULD, THESE, WHERE, RIGHT, YEARS, BEING, GOING, STILL, NEVER, THOSE, WORLD, GREAT, WHILE, EVERY, STATE, THREE, SINCE, UNDER, THING, HOUSE, PLACE, ..., ZENIT, ARRAS, BANDY, BENDY, BOGAN, CAUSA, COWER, CRIST, CROAT, CUBBY, DALIA, DIKES, DIMER, ESHOP, FLAIL, GARBO, GOGOL, HAMMY, HERAT, HOARE

Constraints:
• Do NOT repeat previous guesses.
• The FINAL line must be exactly ONE valid 5-letter word from the allowed list.
• Keep THINKING concise (1–5 short lines).","Game 1/100 | Target: PHOTO | Attempt 1/6 | Candidates: 5629

- I'll start with a common word that uses unique letters: HOUSE.
- This will help narrow down the possibilities quickly.","Game 1/100 | Target: PHOTO | Attempt 1/6 | Candidates: 5629

THINKING:
- I'll start with a common word that uses unique letters: HOUSE.
- This will help narrow down the possibilities quickly.

FINAL: HOUSE",True,False,5629,43,0.9924,7.0324,False,False,False,0
0,PHOTO,codestral-22b,chain-of-thought,2,THROW,YG-Y-,False,2,2025-12-11T19:58:43.471146,"You are an expert Wordle player. Use brief, structured reasoning.
Return output in this exact format:
THINKING: <your concise step-by-step reasoning>
FINAL: <ONE 5-letter guess only>

Feedback codes: G=green (correct letter, correct position), Y=yellow (correct letter, wrong position), -=letter not in word.
Each feedback position corresponds to the letter at that position in your guess.
Example: Guess HOUSE → Feedback ----G means H:-, O:-, U:-, S:-, E:G
  (H not in word, O not in word, U not in word, S not in word, E correct at position 5)

Previous attempts:
- Guess: HOUSE  Feedback: YY---
  Per letter: H:Y  O:Y  U:-  S:-  E:-

Allowed words remaining: 43
Candidate words: PHOTO, THROW, CLOTH, IDAHO, CHOIR, YAHOO, CHORD, OMAHA, RHINO, OPRAH, THORN, BROTH, PHONY, MACHO, CHICO, WHOOP, THONG, CHONG, ALOHA, CHINO, NACHO, PHNOM, DHONI, OHHHH, PHILO, BLOCH, AHOLD, CHOCK, OCHOA, ORTHO, CHAPO, FROTH, RHODA, THROB, ZHONG, GROHL, ALTHO, MAHON, ABHOR, CHOCO, RICOH, WAHOO, WHORL

Constraints:
• Do NOT repeat previous guesses.
• The FINAL line must be exactly ONE valid 5-letter word from the allowed list.
• Keep THINKING concise (1–5 short lines).","Game 1/100 | Target: PHOTO | Attempt 2/6 | Candidates: 43

- The feedback YY--- implies the first two letters are in the word and in the right order.
- From the allowed words, there are two common letters at the first and second positions: 'T' and 'C'.
- Thinking strategically, I'll choose a word that could potentially reveal more unique letters to increase the chances of solving the word.
- 'THROW' and 'CHOIR' are the only two words that start with 'C' and have 'H' and 'O' in them.
- 'THROW' is chosen because it has the unique letters 'R' and 'W' which are not present in 'CHOIR', increasing the potential for more information in the next round.","Game 1/100 | Target: PHOTO | Attempt 2/6 | Candidates: 43

THINKING:
- The feedback YY--- implies the first two letters are in the word and in the right order.
- From the allowed words, there are two common letters at the first and second positions: 'T' and 'C'.
- Thinking strategically, I'll choose a word that could potentially reveal more unique letters to increase the chances of solving the word.
- 'THROW' and 'CHOIR' are the only two words that start with 'C' and have 'H' and 'O' in them.
- 'THROW' is chosen because it has the unique letters 'R' and 'W' which are not present in 'CHOIR', increasing the potential for more information in the next round.

FINAL: THROW",True,False,43,1,0.9767,5.4263,False,False,False,0
0,PHOTO,codestral-22b,chain-of-thought,3,PHOTO,GGGGG,True,3,2025-12-11T19:58:47.746701,"You are an expert Wordle player. Use brief, structured reasoning.
Return output in this exact format:
THINKING: <your concise step-by-step reasoning>
FINAL: <ONE 5-letter guess only>

Feedback codes: G=green (correct letter, correct position), Y=yellow (correct letter, wrong position), -=letter not in word.
Each feedback position corresponds to the letter at that position in your guess.
Example: Guess HOUSE → Feedback ----G means H:-, O:-, U:-, S:-, E:G
  (H not in word, O not in word, U not in word, S not in word, E correct at position 5)

Previous attempts:
- Guess: HOUSE  Feedback: YY---
  Per letter: H:Y  O:Y  U:-  S:-  E:-
- Guess: THROW  Feedback: YG-Y-
  Per letter: T:Y  H:G  R:-  O:Y  W:-

Allowed words remaining: 1
Candidate words: PHOTO

Constraints:
• Do NOT repeat previous guesses.
• The FINAL line must be exactly ONE valid 5-letter word from the allowed list.
• Keep THINKING concise (1–5 short lines).","Game 1/100 | Target: PHOTO | Attempt 3/6 | Candidates: 1

- The word must have 'H' at the second position and 'O' at the fourth position.
- 'T' and 'O' are in the word but not at the correct positions.
- 'H' and 'O' are the only known letters in correct positions.
- Only one word left in the allowed list: PHOTO","Game 1/100 | Target: PHOTO | Attempt 3/6 | Candidates: 1

THINKING:
- The word must have 'H' at the second position and 'O' at the fourth position.
- 'T' and 'O' are in the word but not at the correct positions.
- 'H' and 'O' are the only known letters in correct positions.
- Only one word left in the allowed list: PHOTO

FINAL: PHOTO

The word must be PHOTO as it's the only word left that fits all the known constraints.",True,False,1,1,0.0000,0.0000,False,False,False,0
1,PARTY,codestral-22b,chain-of-thought,1,THERE,Y--Y-,False,1,2025-12-11T19:58:51.118599,"You are an expert Wordle player. Use brief, structured reasoning.
Return output in this exact format:
THINKING: <your concise step-by-step reasoning>
FINAL: <ONE 5-letter guess only>

Feedback codes: G=green (correct letter, correct position), Y=yellow (correct letter, wrong position), -=letter not in word.
Each feedback position corresponds to the letter at that position in your guess.
Example: Guess HOUSE → Feedback ----G means H:-, O:-, U:-, S:-, E:G
  (H not in word, O not in word, U not in word, S not in word, E correct at position 5)


Allowed words remaining: 5629
Candidate words: ABOUT, THEIR, THERE, WHICH, WOULD, OTHER, AFTER, FIRST, THINK, COULD, THESE, WHERE, RIGHT, YEARS, BEING, GOING, STILL, NEVER, THOSE, WORLD, GREAT, WHILE, EVERY, STATE, THREE, SINCE, UNDER, THING, HOUSE, PLACE, ..., ZENIT, ARRAS, BANDY, BENDY, BOGAN, CAUSA, COWER, CRIST, CROAT, CUBBY, DALIA, DIKES, DIMER, ESHOP, FLAIL, GARBO, GOGOL, HAMMY, HERAT, HOARE

Constraints:
• Do NOT repeat previous guesses.
• The FINAL line must be exactly ONE valid 5-letter word from the allowed list.
• Keep THINKING concise (1–5 short lines).","Game 2/100 | Target: PARTY | Attempt 1/6 | Candidates: 5629

1. ""THERE"" is a common word that could help narrow down the possibilities.
2. If the feedback includes 'E:G' and '-:Y', it means 'E' is in the word, but not in the first position.
3. This eliminates words like 'HOUSE' that have 'E' in the first position.","Game 2/100 | Target: PARTY | Attempt 1/6 | Candidates: 5629

THINKING:
1. ""THERE"" is a common word that could help narrow down the possibilities.
2. If the feedback includes 'E:G' and '-:Y', it means 'E' is in the word, but not in the first position.
3. This eliminates words like 'HOUSE' that have 'E' in the first position.

FINAL: THERE",True,False,5629,97,0.9828,5.8588,False,False,False,0
1,PARTY,codestral-22b,chain-of-thought,2,STRIP,-YG-Y,False,2,2025-12-11T19:58:56.660404,"You are an expert Wordle player. Use brief, structured reasoning.
Return output in this exact format:
THINKING: <your concise step-by-step reasoning>
FINAL: <ONE 5-letter guess only>

Feedback codes: G=green (correct letter, correct position), Y=yellow (correct letter, wrong position), -=letter not in word.
Each feedback position corresponds to the letter at that position in your guess.
Example: Guess HOUSE → Feedback ----G means H:-, O:-, U:-, S:-, E:G
  (H not in word, O not in word, U not in word, S not in word, E correct at position 5)

Previous attempts:
- Guess: THERE  Feedback: Y--Y-
  Per letter: T:Y  H:-  E:-  R:Y  E:-

Allowed words remaining: 97
Candidate words: FIRST, PARTY, FRONT, PARTS, WORST, GRANT, ACTOR, DRAFT, FRUIT, DIRTY, PRINT, MOTOR, RATIO, STRIP, ROOTS, CRAFT, ROBOT, SORTS, FORTY, BURST, PORTS, BURNT, ORBIT, WRIST, STRAW, FROST, RIOTS, ROAST, DRIFT, ALTAR, ..., ARTSY, RAFTS, SURAT, GROUT, PARTI, ARTUR, RIFTS, MARTI, MURAT, DURST, GRIST, VIRAT, KARAT, KARTS, PROST, STROM, RABAT, ARTIS, CRIST, CROAT

Constraints:
• Do NOT repeat previous guesses.
• The FINAL line must be exactly ONE valid 5-letter word from the allowed list.
• Keep THINKING concise (1–5 short lines).","Game 2/100 | Target: PARTY | Attempt 2/6 | Candidates: 97

- There are two 'E's in the word, one confirmed at position 3 by the yellow feedback.
- We can rule out words like 'FIRST' and 'PARTY' since they have no 'E' in them.
- 'RATIO' and 'STRIP' have the 'R' and 'T' in the correct positions based on the yellow feedback.
- 'ROBOT' and 'PORTS' have the 'R' and 'T' but in different positions.
- Given the remaining words, 'STRIP' seems like the best guess as it has the most unique letters.","Game 2/100 | Target: PARTY | Attempt 2/6 | Candidates: 97

THINKING:
- There are two 'E's in the word, one confirmed at position 3 by the yellow feedback.
- We can rule out words like 'FIRST' and 'PARTY' since they have no 'E' in them.
- 'RATIO' and 'STRIP' have the 'R' and 'T' in the correct positions based on the yellow feedback.
- 'ROBOT' and 'PORTS' have the 'R' and 'T' but in different positions.
- Given the remaining words, 'STRIP' seems like the best guess as it has the most unique letters.

FINAL: STRIP",True,False,97,3,0.9691,5.0150,False,False,False,0
1,PARTY,codestral-22b,chain-of-thought,3,PORTO,G-GG-,False,3,2025-12-11T19:59:03.209319,"You are an expert Wordle player. Use brief, structured reasoning.
Return output in this exact format:
THINKING: <your concise step-by-step reasoning>
FINAL: <ONE 5-letter guess only>

Feedback codes: G=green (correct letter, correct position), Y=yellow (correct letter, wrong position), -=letter not in word.
Each feedback position corresponds to the letter at that position in your guess.
Example: Guess HOUSE → Feedback ----G means H:-, O:-, U:-, S:-, E:G
  (H not in word, O not in word, U not in word, S not in word, E correct at position 5)

Previous attempts:
- Guess: THERE  Feedback: Y--Y-
  Per letter: T:Y  H:-  E:-  R:Y  E:-
- Guess: STRIP  Feedback: -YG-Y
  Per letter: S:-  T:Y  R:G  I:-  P:Y

Allowed words remaining: 3
Candidate words: PARTY, PORTO, PORTA

Constraints:
• Do NOT repeat previous guesses.
• The FINAL line must be exactly ONE valid 5-letter word from the allowed list.
• Keep THINKING concise (1–5 short lines).","Game 2/100 | Target: PARTY | Attempt 3/6 | Candidates: 3

- The guess was STRIP, and we know that the 3rd letter (R) is in the word and in the correct position (green).
- The 2nd letter (T) is in the word but not in the 2nd position (yellow).
- The 5th letter (P) is in the word but not in the 5th position (yellow).
- The word must contain the letter R and the letter T, but not in the 3rd and 2nd positions respectively.
- The word must also contain the letter P, but not in the 5th position.
- By examining the remaining words (PARTY, PORTO, PORTA), only PORTO meets all the criteria.","Game 2/100 | Target: PARTY | Attempt 3/6 | Candidates: 3

THINKING:
- The guess was STRIP, and we know that the 3rd letter (R) is in the word and in the correct position (green).
- The 2nd letter (T) is in the word but not in the 2nd position (yellow).
- The 5th letter (P) is in the word but not in the 5th position (yellow).
- The word must contain the letter R and the letter T, but not in the 3rd and 2nd positions respectively.
- The word must also contain the letter P, but not in the 5th position.
- By examining the remaining words (PARTY, PORTO, PORTA), only PORTO meets all the criteria.

FINAL: PORTO",True,False,3,1,0.6667,1.5850,False,False,False,0
1,PARTY,codestral-22b,chain-of-thought,4,PARTY,GGGGG,True,4,2025-12-11T19:59:05.460959,"You are an expert Wordle player. Use brief, structured reasoning.
Return output in this exact format:
THINKING: <your concise step-by-step reasoning>
FINAL: <ONE 5-letter guess only>

Feedback codes: G=green (correct letter, correct position), Y=yellow (correct letter, wrong position), -=letter not in word.
Each feedback position corresponds to the letter at that position in your guess.
Example: Guess HOUSE → Feedback ----G means H:-, O:-, U:-, S:-, E:G
  (H not in word, O not in word, U not in word, S not in word, E correct at position 5)

Previous attempts:
- Guess: THERE  Feedback: Y--Y-
  Per letter: T:Y  H:-  E:-  R:Y  E:-
- Guess: STRIP  Feedback: -YG-Y
  Per letter: S:-  T:Y  R:G  I:-  P:Y
- Guess: PORTO  Feedback: G-GG-
  Per letter: P:G  O:-  R:G  T:G  O:-

Allowed words remaining: 1
Candidate words: PARTY

Constraints:
• Do NOT repeat previous guesses.
• The FINAL line must be exactly ONE valid 5-letter word from the allowed list.
• Keep THINKING concise (1–5 short lines).","Game 2/100 | Target: PARTY | Attempt 4/6 | Candidates: 1

The feedback from ""THERE"" and ""PORTO"" indicates that the word must start with ""P"" and end with ""T"". The word ""PARTY"" is the only remaining word that fits these constraints.","Game 2/100 | Target: PARTY | Attempt 4/6 | Candidates: 1

THINKING: The feedback from ""THERE"" and ""PORTO"" indicates that the word must start with ""P"" and end with ""T"". The word ""PARTY"" is the only remaining word that fits these constraints.

FINAL: PARTY",True,False,1,1,0.0000,0.0000,False,False,False,0
2,TRICK,codestral-22b,chain-of-thought,1,THING,G-G--,False,1,2025-12-11T19:59:07.664025,"You are an expert Wordle player. Use brief, structured reasoning.
Return output in this exact format:
THINKING: <your concise step-by-step reasoning>
FINAL: <ONE 5-letter guess only>

Feedback codes: G=green (correct letter, correct position), Y=yellow (correct letter, wrong position), -=letter not in word.
Each feedback position corresponds to the letter at that position in your guess.
Example: Guess HOUSE → Feedback ----G means H:-, O:-, U:-, S:-, E:G
  (H not in word, O not in word, U not in word, S not in word, E correct at position 5)


Allowed words remaining: 5629
Candidate words: ABOUT, THEIR, THERE, WHICH, WOULD, OTHER, AFTER, FIRST, THINK, COULD, THESE, WHERE, RIGHT, YEARS, BEING, GOING, STILL, NEVER, THOSE, WORLD, GREAT, WHILE, EVERY, STATE, THREE, SINCE, UNDER, THING, HOUSE, PLACE, ..., ZENIT, ARRAS, BANDY, BENDY, BOGAN, CAUSA, COWER, CRIST, CROAT, CUBBY, DALIA, DIKES, DIMER, ESHOP, FLAIL, GARBO, GOGOL, HAMMY, HERAT, HOARE

Constraints:
• Do NOT repeat previous guesses.
• The FINAL line must be exactly ONE valid 5-letter word from the allowed list.
• Keep THINKING concise (1–5 short lines).","Game 3/100 | Target: TRICK | Attempt 1/6 | Candidates: 5629

1. ""THING"" is a common word with unique letters, so I'll start with that.
2. If it's not THING, the feedback will help narrow down the possibilities.","Game 3/100 | Target: TRICK | Attempt 1/6 | Candidates: 5629

THINKING:
1. ""THING"" is a common word with unique letters, so I'll start with that.
2. If it's not THING, the feedback will help narrow down the possibilities.

FINAL: THING",True,False,5629,18,0.9968,8.2887,False,False,False,0
2,TRICK,codestral-22b,chain-of-thought,2,TRIES,GGG--,False,2,2025-12-11T19:59:12.939264,"You are an expert Wordle player. Use brief, structured reasoning.
Return output in this exact format:
THINKING: <your concise step-by-step reasoning>
FINAL: <ONE 5-letter guess only>

Feedback codes: G=green (correct letter, correct position), Y=yellow (correct letter, wrong position), -=letter not in word.
Each feedback position corresponds to the letter at that position in your guess.
Example: Guess HOUSE → Feedback ----G means H:-, O:-, U:-, S:-, E:G
  (H not in word, O not in word, U not in word, S not in word, E correct at position 5)

Previous attempts:
- Guess: THING  Feedback: G-G--
  Per letter: T:G  H:-  I:G  N:-  G:-

Allowed words remaining: 18
Candidate words: TRIED, TRIAL, TWICE, TRIES, TRICK, TRIPS, TWIST, TRIBE, TAILS, TRIAD, TRIPP, TRIER, TRITE, TRIMS, TRILL, TRIPE, TWIRL, TWILL

Constraints:
• Do NOT repeat previous guesses.
• The FINAL line must be exactly ONE valid 5-letter word from the allowed list.
• Keep THINKING concise (1–5 short lines).","Game 3/100 | Target: TRICK | Attempt 2/6 | Candidates: 18

- Based on the feedback, the letters T and I are correct and in the right positions.
- Therefore, the word must start with ""T"" and contain ""I"" in the third position.
- Eliminating words that don't meet these conditions leaves us with TRIES and TRICK.
- Both words contain ""R"" and ""E"", so they are the most likely options.
- Since I'd want to minimize the chance of leaving a green letter as yellow in future guesses, I'll choose TRIES as it uses the letter ""R"" only once.","Game 3/100 | Target: TRICK | Attempt 2/6 | Candidates: 18

THINKING:
- Based on the feedback, the letters T and I are correct and in the right positions.
- Therefore, the word must start with ""T"" and contain ""I"" in the third position.
- Eliminating words that don't meet these conditions leaves us with TRIES and TRICK.
- Both words contain ""R"" and ""E"", so they are the most likely options.
- Since I'd want to minimize the chance of leaving a green letter as yellow in future guesses, I'll choose TRIES as it uses the letter ""R"" only once.

FINAL: TRIES",True,False,18,5,0.7222,1.8480,False,False,False,0
2,TRICK,codestral-22b,chain-of-thought,3,TRIAD,GGG--,False,3,2025-12-11T19:59:17.711931,"You are an expert Wordle player. Use brief, structured reasoning.
Return output in this exact format:
THINKING: <your concise step-by-step reasoning>
FINAL: <ONE 5-letter guess only>

Feedback codes: G=green (correct letter, correct position), Y=yellow (correct letter, wrong position), -=letter not in word.
Each feedback position corresponds to the letter at that position in your guess.
Example: Guess HOUSE → Feedback ----G means H:-, O:-, U:-, S:-, E:G
  (H not in word, O not in word, U not in word, S not in word, E correct at position 5)

Previous attempts:
- Guess: THING  Feedback: G-G--
  Per letter: T:G  H:-  I:G  N:-  G:-
- Guess: TRIES  Feedback: GGG--
  Per letter: T:G  R:G  I:G  E:-  S:-

Allowed words remaining: 5
Candidate words: TRIAL, TRICK, TRIAD, TRIPP, TRILL

Constraints:
• Do NOT repeat previous guesses.
• The FINAL line must be exactly ONE valid 5-letter word from the allowed list.
• Keep THINKING concise (1–5 short lines).","Game 3/100 | Target: TRICK | Attempt 3/6 | Candidates: 5

1. The word starts with 'T', 'R', and 'I'.
2. 'E' is not in the word.
3. Narrowed down to 5 words, all ending with a vowel.
4. Excluding 'TRIAL' and 'TRICK' as they have been guessed already.
5. The remaining options ('TRIAD', 'TRIPP', 'TRILL') all end with 'L'.","Game 3/100 | Target: TRICK | Attempt 3/6 | Candidates: 5

THINKING:
1. The word starts with 'T', 'R', and 'I'.
2. 'E' is not in the word.
3. Narrowed down to 5 words, all ending with a vowel.
4. Excluding 'TRIAL' and 'TRICK' as they have been guessed already.
5. The remaining options ('TRIAD', 'TRIPP', 'TRILL') all end with 'L'.

FINAL: TRIAD
(This word fits all the known constraints and has not been guessed before.)",True,False,5,3,0.4000,0.7370,False,False,False,0
