game_number,target_word,won,attempts,guess_1,feedback_1,hamming_1,levenshtein_1,strategy_1,guess_2,feedback_2,hamming_2,levenshtein_2,strategy_2,guess_3,feedback_3,hamming_3,levenshtein_3,strategy_3,guess_4,feedback_4,hamming_4,levenshtein_4,strategy_4,guess_5,feedback_5,hamming_5,levenshtein_5,strategy_5,guess_6,feedback_6,hamming_6,levenshtein_6,strategy_6
1,PHOTO,True,4,MARIS,-----,5,5,VOI,DOLCE,-Y---,5,5,VOI,UPTON,-YYY-,5,4,LLM,PHOTO,GGGGG,0,0,LLM,,,,,,,,,,
2,PARTY,True,4,ARIES,YY---,5,4,VOI,MARLA,-GG--,3,3,VOI,PARRY,GGG-G,1,1,LLM,PARTY,GGGGG,0,0,LLM,,,,,,,,,,
3,TRICK,True,4,REALS,Y----,5,5,VOI,ORTON,-GY--,4,4,VOI,TRUCK,GG-GG,1,1,LLM,TRICK,GGGGG,0,0,LLM,,,,,,,,,,
4,DIRTY,True,3,AIRES,-GG--,3,3,VOI,BIRTH,-GGG-,2,2,VOI,DIRTY,GGGGG,0,0,LLM,,,,,,,,,,,,,,,
5,USUAL,True,3,AROSE,Y--Y-,5,5,VOI,SALTS,YYY--,5,4,VOI,USUAL,GGGGG,0,0,LLM,,,,,,,,,,,,,,,
6,TRULY,True,4,DARES,--Y--,5,5,VOI,TRICK,GG---,3,3,VOI,TROLL,GG-G-,2,2,LLM,TRULY,GGGGG,0,0,LLM,,,,,,,,,,
7,SPENT,True,4,ARIES,---YY,5,5,VOI,STONE,GY-GY,3,3,VOI,SCENT,G-GGG,1,1,LLM,SPENT,GGGGG,0,0,LLM,,,,,,,,,,
8,PAUSE,True,3,AROSE,Y--GG,3,3,VOI,LAPSE,-GYGG,2,2,VOI,PAUSE,GGGGG,0,0,LLM,,,,,,,,,,,,,,,
9,CRAZY,True,4,AISLE,Y----,5,5,VOI,PARTY,-YY-G,4,4,VOI,GRAVY,-GG-G,2,2,LLM,CRAZY,GGGGG,0,0,LLM,,,,,,,,,,
10,BASES,True,3,RAISE,-G-YY,4,3,VOI,SALES,YG-GG,2,2,VOI,BASES,GGGGG,0,0,LLM,,,,,,,,,,,,,,,
11,YOUNG,True,3,EARNS,---G-,4,4,VOI,THONG,--YGG,3,3,VOI,YOUNG,GGGGG,0,0,LLM,,,,,,,,,,,,,,,
12,MEANS,True,5,AROSE,Y--YY,5,5,VOI,BASES,-Y-YG,4,4,VOI,LEADS,-GG-G,2,2,LLM,TEAMS,-GGYG,2,2,LLM,MEANS,GGGGG,0,0,LLM,,,,,
13,TRUTH,True,3,ARIES,-G---,4,4,VOI,TRULY,GGG--,2,2,VOI,TRUTH,GGGGG,0,0,LLM,,,,,,,,,,,,,,,
14,FIRED,True,5,AIRES,-GGG-,2,2,VOI,HIRED,-GGGG,1,1,VOI,TIRED,-GGGG,1,1,LLM,WIRED,-GGGG,1,1,LLM,FIRED,GGGGG,0,0,LLM,,,,,
15,FOLKS,True,3,SNARE,Y----,5,5,VOI,COLTS,-GG-G,2,2,VOI,FOLKS,GGGGG,0,0,LLM,,,,,,,,,,,,,,,
16,CHILE,True,3,EARNS,Y----,5,5,VOI,DOLCE,--YYG,4,4,VOI,CHILE,GGGGG,0,0,LLM,,,,,,,,,,,,,,,
17,BLACK,True,5,NEARS,--G--,4,4,VOI,ALAMO,-GG--,3,3,VOI,FLACK,-GGGG,1,1,LLM,CLACK,-GGGG,1,1,LLM,BLACK,GGGGG,0,0,LLM,,,,,
18,GRANT,True,4,ARSED,YG---,4,4,VOI,CRAZY,-GG--,3,3,VOI,GRAIN,GGG-Y,2,2,LLM,GRANT,GGGGG,0,0,LLM,,,,,,,,,,
19,MEALS,True,4,REALS,-GGGG,1,1,VOI,HEALS,-GGGG,1,1,VOI,DEALS,-GGGG,1,1,LLM,MEALS,GGGGG,0,0,LLM,,,,,,,,,,
20,CREAM,True,4,SAUER,-Y-YY,5,5,VOI,TRADE,-GY-Y,4,4,VOI,BREAK,-GGG-,2,2,LLM,CREAM,GGGGG,0,0,LLM,,,,,,,,,,
21,AWAKE,True,4,ACRES,G--Y-,4,4,VOI,ALINE,G---G,3,3,VOI,AGAPE,G-G-G,2,2,LLM,AWAKE,GGGGG,0,0,LLM,,,,,,,,,,
22,OCCUR,True,5,EARLS,--Y--,5,5,VOI,TRUTH,-YY--,5,5,VOI,RUBIN,YY---,5,5,LLM,ODOUR,G--GG,2,2,LLM,OCCUR,GGGGG,0,0,LLM,,,,,
23,YEARS,False,6,EARLS,YYY-G,4,2,VOI,REAMS,YGG-G,2,2,VOI,PEARS,-GGGG,1,1,LLM,TEARS,-GGGG,1,1,LLM,BEARS,-GGGG,1,1,LLM,FEARS,-GGGG,1,1,LLM
24,GRADE,True,4,SNARE,--GYG,3,3,VOI,TRACE,-GG-G,2,2,VOI,GRAPE,GGG-G,1,1,LLM,GRADE,GGGGG,0,0,LLM,,,,,,,,,,
25,CHILL,True,3,SNARE,-----,5,5,VOI,PHOTO,-G---,4,4,VOI,CHILL,GGGGG,0,0,LLM,,,,,,,,,,,,,,,
26,FLOOD,True,5,ARISE,-----,5,5,VOI,YOUNG,-Y---,5,5,VOI,CLOCK,-GG--,3,3,LLM,BLOOD,-GGGG,1,1,LLM,FLOOD,GGGGG,0,0,LLM,,,,,
27,APPLY,True,4,NEARS,--Y--,5,5,VOI,TALIA,-YY--,5,5,VOI,LOCAL,Y--Y-,5,5,LLM,APPLY,GGGGG,0,0,LLM,,,,,,,,,,
28,SMILE,True,4,RATES,---YY,5,5,VOI,SHONE,G---G,3,3,VOI,SLICE,GYG-G,2,2,LLM,SMILE,GGGGG,0,0,LLM,,,,,,,,,,
29,KNOCK,True,4,LASER,-----,5,5,VOI,PHOTO,--G--,4,4,VOI,KNOWN,GGG--,2,2,LLM,KNOCK,GGGGG,0,0,LLM,,,,,,,,,,
30,SLEEP,True,3,LASER,Y-YG-,4,4,VOI,PILES,Y-YGY,4,4,VOI,SLEEP,GGGGG,0,0,LLM,,,,,,,,,,,,,,,
31,BRICK,True,3,AIRES,-YY--,5,5,VOI,TRICK,-GGGG,1,1,VOI,BRICK,GGGGG,0,0,LLM,,,,,,,,,,,,,,,
32,WROTE,True,3,AIRES,--YY-,5,5,VOI,TOURE,YY-YG,4,4,VOI,WROTE,GGGGG,0,0,LLM,,,,,,,,,,,,,,,
33,RATED,True,3,EARNS,YGY--,4,4,VOI,TAMER,YG-GY,3,3,VOI,RATED,GGGGG,0,0,LLM,,,,,,,,,,,,,,,
34,ALERT,True,3,RATES,YYYY-,5,4,VOI,TRACE,YYY-Y,5,5,VOI,ALERT,GGGGG,0,0,LLM,,,,,,,,,,,,,,,
35,CAGES,True,6,SIENA,Y-Y-Y,5,5,VOI,MEALS,-YY-G,4,4,VOI,CARES,GG-GG,1,1,LLM,CAKES,GG-GG,1,1,LLM,CAVES,GG-GG,1,1,LLM,CAGES,GGGGG,0,0,LLM
36,TEDDY,True,3,NEARS,-G---,4,4,VOI,LEYTE,-GYY-,4,4,VOI,TEDDY,GGGGG,0,0,LLM,,,,,,,,,,,,,,,
37,COLES,True,6,AIRES,---GG,3,3,VOI,MULES,--GGG,2,2,VOI,HOLES,-GGGG,1,1,LLM,SOLES,-GGGG,1,1,LLM,POLES,-GGGG,1,1,LLM,COLES,GGGGG,0,0,LLM
38,HWANG,True,5,EARNS,-Y-G-,4,4,VOI,LIANG,--GGG,2,2,VOI,THANG,-YGGG,2,2,LLM,HUANG,G-GGG,1,1,LLM,HWANG,GGGGG,0,0,LLM,,,,,
39,WRATH,True,4,RAISE,YY---,5,4,VOI,GRANT,-GG-Y,3,3,VOI,TRAPP,YGG--,3,3,LLM,WRATH,GGGGG,0,0,LLM,,,,,,,,,,
40,MACHO,True,5,REALS,--Y--,5,5,VOI,AMINA,YY---,5,5,VOI,MAMMY,GG---,3,3,LLM,MATCH,GG-YY,3,2,LLM,MACHO,GGGGG,0,0,LLM,,,,,
41,LOPEZ,True,4,AILES,--YG-,4,4,VOI,BEVEL,---GY,4,4,VOI,LOWER,GG-G-,2,2,LLM,LOPEZ,GGGGG,0,0,LLM,,,,,,,,,,
42,GOODY,True,5,SIENA,-----,5,5,VOI,FLOOD,--GYY,4,3,VOI,WOODY,-GGGG,1,1,LLM,MOODY,-GGGG,1,1,LLM,GOODY,GGGGG,0,0,LLM,,,,,
43,BROTH,True,6,AIRES,--Y--,5,5,VOI,ODOUR,--G-Y,4,4,VOI,CROWN,-GG--,3,3,LLM,TROLL,YGG--,3,3,LLM,FROTH,-GGGG,1,1,LLM,BROTH,GGGGG,0,0,LLM
