game_number,target_code,won,attempts,guess_1,feedback_1,strategy_1,candidates_1,guess_2,feedback_2,strategy_2,candidates_2,guess_3,feedback_3,strategy_3,candidates_3,guess_4,feedback_4,strategy_4,candidates_4,guess_5,feedback_5,strategy_5,candidates_5,guess_6,feedback_6,strategy_6,candidates_6,guess_7,feedback_7,strategy_7,candidates_7,guess_8,feedback_8,strategy_8,candidates_8,guess_9,feedback_9,strategy_9,candidates_9,guess_10,feedback_10,strategy_10,candidates_10
1,GPBR,True,5,RYOP,0B2W,LLM,936,GKPY,1B1W,VOI,165,KRWY,0B1W,VOI,25,BGPR,1B3W,VOI,1,GPBR,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
2,RYGO,True,4,RRYY,1B1W,LLM,456,GBYR,0B3W,VOI,48,YRGW,1B2W,VOI,5,RYGO,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,
3,OYGW,True,5,RYOK,1B1W,LLM,660,POBK,0B1W,VOI,147,OYYG,2B1W,VOI,6,OYWY,2B1W,VOI,1,OYGW,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
4,YKBP,True,5,RRYY,0B1W,LLM,864,GPRB,0B2W,VOI,161,PKWR,1B1W,VOI,36,WGOR,0B0W,VOI,2,YKBP,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
5,YOOO,True,5,RGBY,0B1W,LLM,976,KWPR,0B0W,VOI,21,YYYO,2B0W,VOI,3,OOYO,2B2W,VOI,2,YOOO,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
6,BGPK,True,5,RGYY,1B0W,LLM,682,OOYO,0B0W,VOI,250,RKRW,0B1W,VOI,58,PGKG,1B2W,VOI,12,BGPK,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
7,GWRK,True,5,RGBY,0B2W,LLM,936,GOWR,1B2W,VOI,56,OKGR,0B3W,VOI,10,GROG,1B1W,VOI,1,GWRK,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
8,GYGR,True,5,RGBY,0B3W,LLM,224,YRGW,1B2W,VOI,28,GRYR,2B1W,VOI,4,KRYG,0B3W,VOI,1,GYGR,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
9,PPRR,True,6,WORK,1B0W,LLM,500,BGPK,0B1W,VOI,117,GOYO,0B0W,VOI,20,RBRR,2B0W,VOI,2,RPRP,2B2W,VOI,1,PPRR,4B0W,VOI,1,,,,,,,,,,,,,,,,
10,RORO,True,5,RRGG,1B1W,LLM,456,RPYR,1B1W,VOI,74,RBRB,2B0W,VOI,10,RKRW,2B0W,VOI,1,RORO,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
11,RYPO,True,2,RYOP,2B2W,LLM,6,RYPO,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,GYKK,True,6,RYOP,1B0W,LLM,500,RKWR,0B1W,VOI,158,KGBP,0B2W,VOI,22,YYKG,2B1W,VOI,2,BYKY,2B0W,VOI,1,GYKK,4B0W,VOI,1,,,,,,,,,,,,,,,,
13,YYKK,True,4,RYOR,1B0W,LLM,682,GYKK,3B0W,VOI,15,GYKY,2B1W,VOI,5,YYKK,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,
14,YWPG,True,6,RRRR,0B0W,LLM,2401,YKYB,1B0W,VOI,378,YOOO,1B0W,VOI,91,PKKO,0B1W,VOI,37,YGWP,1B3W,VOI,2,YWPG,4B0W,VOI,1,,,,,,,,,,,,,,,,
15,RYYG,True,4,RRYY,2B1W,LLM,48,GRYR,1B2W,VOI,7,YRGY,0B4W,VOI,1,RYYG,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,
16,YGYO,True,5,YGOR,2B1W,LLM,72,YROP,1B1W,VOI,28,YWGR,1B1W,VOI,6,YGBO,3B0W,VOI,2,YGYO,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
17,PWWO,True,6,RRRR,0B0W,LLM,2401,YWPG,1B1W,VOI,432,YKBP,0B1W,VOI,78,GWOB,1B1W,VOI,18,GOYG,0B1W,VOI,4,PWWO,4B0W,VOI,1,,,,,,,,,,,,,,,,
18,YOGW,True,5,RYYP,0B1W,LLM,1160,OGOR,0B2W,VOI,152,GWRK,0B2W,VOI,23,BRWO,0B2W,VOI,4,YOGW,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
19,KGYK,True,5,RYRY,0B1W,LLM,864,YGWO,1B1W,VOI,147,WRBO,0B0W,VOI,19,YPGG,0B2W,VOI,1,KGYK,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
20,OYOP,True,6,RGBY,0B1W,LLM,976,PRRW,0B1W,VOI,304,WWGK,0B0W,VOI,43,YOOP,2B2W,VOI,4,OOYP,2B2W,VOI,1,OYOP,4B0W,VOI,1,,,,,,,,,,,,,,,,
21,RRPW,True,5,RYGB,1B0W,LLM,500,RORO,1B1W,VOI,56,RRKW,3B0W,VOI,5,RRKR,2B0W,VOI,2,RRPW,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
22,BOYY,True,7,RYOG,0B2W,LLM,936,BWRO,1B1W,VOI,165,BKYR,2B0W,VOI,15,WWYR,1B0W,VOI,10,BGPR,1B0W,VOI,3,OKRR,0B1W,VOI,2,BOYY,4B0W,VOI,1,,,,,,,,,,,,
23,PPRP,True,4,RRYO,0B1W,LLM,1160,KYPG,0B1W,VOI,238,GWOB,0B0W,VOI,1,PPRP,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,
24,WYOY,True,6,RGYK,0B1W,LLM,976,YPOP,1B1W,VOI,165,PPRR,0B0W,VOI,35,OYOO,2B0W,VOI,8,YYWO,1B3W,VOI,1,WYOY,4B0W,VOI,1,,,,,,,,,,,,,,,,
25,OYOO,True,3,RYYY,1B0W,LLM,991,RRPW,0B0W,VOI,192,OYOO,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,BYKG,True,7,RYOK,1B1W,LLM,660,YYWO,1B0W,VOI,101,GYGR,1B1W,VOI,18,GROO,0B1W,VOI,12,BYRB,2B0W,VOI,2,PYRP,1B0W,VOI,1,BYKG,4B0W,VOI,1,,,,,,,,,,,,
27,YYOY,True,6,RGBY,1B0W,LLM,500,WYOY,3B0W,VOI,12,WWOY,2B0W,VOI,7,OYOY,3B0W,VOI,3,KYOY,3B0W,VOI,2,YYOY,4B0W,VOI,1,,,,,,,,,,,,,,,,
28,WYRW,True,6,GGGR,0B1W,LLM,978,PPRO,1B0W,VOI,132,BYRB,2B0W,VOI,27,RRRB,1B0W,VOI,9,KYRY,2B0W,VOI,1,WYRW,4B0W,VOI,1,,,,,,,,,,,,,,,,
29,GWRW,True,7,RRRR,1B0W,LLM,1372,WYYR,0B2W,VOI,326,KRWG,0B3W,VOI,47,YGRK,1B1W,VOI,18,GPRW,3B0W,VOI,3,GBRW,3B0W,VOI,2,GWRW,4B0W,VOI,1,,,,,,,,,,,,
30,GYPK,True,5,RYPO,2B0W,LLM,216,OYOO,1B0W,VOI,122,RYYG,1B1W,VOI,22,RRGO,0B1W,VOI,4,GYPK,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
31,PRWR,True,5,RYWO,1B1W,LLM,660,YYOK,0B0W,VOI,72,RWRB,0B3W,VOI,12,BRWG,2B0W,VOI,2,PRWR,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
32,GOYR,True,7,RYYY,1B1W,LLM,342,GRYR,3B0W,VOI,17,GRYG,2B1W,VOI,5,GWYR,3B0W,VOI,4,GBYR,3B0W,VOI,3,GKYR,3B0W,VOI,2,GOYR,4B0W,VOI,1,,,,,,,,,,,,
33,WWKO,True,6,RGBO,1B0W,LLM,500,WYPO,2B0W,VOI,39,OYOO,1B0W,VOI,16,PKPO,1B1W,VOI,3,RYPK,0B1W,VOI,1,WWKO,4B0W,VOI,1,,,,,,,,,,,,,,,,
34,WORG,True,6,RYOP,0B2W,LLM,936,BRGY,0B2W,VOI,200,GPRW,1B2W,VOI,16,YGPW,0B2W,VOI,6,OWRG,2B2W,VOI,1,WORG,4B0W,VOI,1,,,,,,,,,,,,,,,,
35,OGPP,True,7,RYPK,1B0W,LLM,500,RRWO,0B1W,VOI,158,YYOY,0B1W,VOI,42,OOPB,2B0W,VOI,10,OOKK,1B0W,VOI,8,OPPP,3B0W,VOI,2,OGPP,4B0W,VOI,1,,,,,,,,,,,,
36,RWOY,True,4,RYWO,1B3W,LLM,8,WYOR,1B3W,VOI,4,YOWR,0B4W,VOI,3,RWOY,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,
37,KBPY,True,5,RRYY,1B0W,LLM,864,RWOB,0B1W,VOI,185,GOYG,0B1W,VOI,33,BKKY,1B2W,VOI,3,KBPY,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
38,GKKP,True,5,RGBY,0B1W,LLM,976,OOPB,0B1W,VOI,245,PPRR,0B1W,VOI,37,YYYP,1B0W,VOI,10,GKKP,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
39,PRYO,True,5,WORK,0B2W,LLM,936,BRWG,1B0W,VOI,110,YROP,1B3W,VOI,2,ORPY,1B3W,VOI,1,PRYO,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
40,GBRW,True,3,RYPK,0B1W,LLM,976,GWRO,2B1W,VOI,29,GBRW,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,OWOG,True,6,RRYY,0B0W,LLM,1296,OPPG,2B0W,VOI,105,OOPB,1B1W,VOI,24,BPPP,0B0W,VOI,3,OGOG,3B0W,VOI,2,OWOG,4B0W,VOI,1,,,,,,,,,,,,,,,,
42,WPBB,True,6,RGYK,0B0W,LLM,256,OOPB,1B1W,VOI,46,BPPP,1B1W,VOI,5,POWP,0B2W,VOI,2,WBPW,1B2W,VOI,1,WPBB,4B0W,VOI,1,,,,,,,,,,,,,,,,
43,YROK,True,5,BBGG,0B0W,LLM,1296,YYWO,1B1W,VOI,230,YROP,3B0W,VOI,6,YOOP,2B0W,VOI,3,YROK,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
44,GRKG,True,6,RRYY,1B0W,LLM,864,PBKY,1B0W,VOI,91,PRGP,1B1W,VOI,11,RBGO,0B2W,VOI,5,GRKW,3B0W,VOI,2,GRKG,4B0W,VOI,1,,,,,,,,,,,,,,,,
45,RWPK,True,5,RRYY,1B0W,LLM,864,RKKG,1B1W,VOI,137,RBGO,1B0W,VOI,9,KBKY,0B1W,VOI,4,RWPK,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
46,YWGB,True,6,RYOG,0B2W,LLM,936,GBRW,0B3W,VOI,52,BRGR,1B1W,VOI,18,WOGB,2B1W,VOI,2,WOBR,0B2W,VOI,1,YWGB,4B0W,VOI,1,,,,,,,,,,,,,,,,
47,OWRB,True,4,RYOK,0B2W,LLM,936,GWKR,1B1W,VOI,165,WOBR,0B4W,VOI,2,OWRB,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,
48,GBGW,True,7,RYOG,0B1W,LLM,976,OWPO,0B1W,VOI,304,GKKP,1B0W,VOI,51,BKRW,1B1W,VOI,10,WKWY,0B1W,VOI,4,GGBW,2B2W,VOI,1,GBGW,4B0W,VOI,1,,,,,,,,,,,,
49,YWPY,True,6,RRYY,1B1W,LLM,456,YRGO,1B0W,VOI,76,YPYP,1B2W,VOI,4,YYPY,3B0W,VOI,3,YBPY,3B0W,VOI,2,YWPY,4B0W,VOI,1,,,,,,,,,,,,,,,,
50,GOKY,True,6,BBBB,0B0W,LLM,2401,YKYP,0B2W,VOI,366,RPWK,0B1W,VOI,44,WYOY,1B1W,VOI,20,KOGY,2B2W,VOI,2,GOKY,4B0W,VOI,1,,,,,,,,,,,,,,,,
51,PRWG,True,4,RYBR,0B1W,LLM,1160,WOGB,0B2W,VOI,244,YGPW,0B3W,VOI,18,PRWG,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,
52,OYOW,True,6,RRYY,0B1W,LLM,864,BWRP,0B1W,VOI,185,OYPO,2B1W,VOI,8,PYGO,1B1W,VOI,2,OYOB,3B0W,VOI,1,OYOW,4B0W,VOI,1,,,,,,,,,,,,,,,,
53,KBRB,True,5,RRGG,0B1W,LLM,864,OWRB,2B0W,VOI,58,BYRB,2B1W,VOI,4,YKRB,2B1W,VOI,1,KBRB,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
54,WPWO,True,7,RRRR,0B0W,LLM,2401,WYGO,2B0W,VOI,150,OYPO,1B1W,VOI,33,PYGG,0B1W,VOI,3,WPKO,3B0W,VOI,2,WPBO,3B0W,VOI,1,WPWO,4B0W,VOI,1,,,,,,,,,,,,
55,BOPO,True,6,RRYY,0B0W,LLM,1296,BPWO,2B1W,VOI,48,WPKO,1B1W,VOI,16,BPPW,2B0W,VOI,5,BBPO,3B0W,VOI,2,BOPO,4B0W,VOI,1,,,,,,,,,,,,,,,,
56,WKYR,True,6,RRYY,1B1W,LLM,456,RBRK,0B2W,VOI,47,YRWB,0B3W,VOI,5,BOYR,2B0W,VOI,2,KWYR,2B2W,VOI,1,WKYR,4B0W,VOI,1,,,,,,,,,,,,,,,,
57,WWYP,True,5,YOGG,0B1W,LLM,1160,GWRK,1B0W,VOI,150,BYRB,0B1W,VOI,28,OBKK,0B0W,VOI,10,WWYP,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
58,YBPO,True,5,RRYY,0B1W,LLM,864,KBRO,2B0W,VOI,58,GBRW,1B0W,VOI,11,YBBO,3B0W,VOI,2,YBPO,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
59,OBGY,True,5,RRYY,1B0W,LLM,864,RPWK,0B0W,VOI,54,GOYG,0B3W,VOI,5,OGOY,2B1W,VOI,1,OBGY,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
60,GGGR,True,5,RRYO,0B1W,LLM,1160,KBOP,0B0W,VOI,54,GWRW,1B1W,VOI,12,WWWY,0B0W,VOI,1,GGGR,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
61,BWKG,True,8,RRRR,0B0W,LLM,2401,OKGY,0B2W,VOI,582,YBBO,0B1W,VOI,152,GGYG,1B0W,VOI,53,BGKP,2B1W,VOI,4,KGKB,1B2W,VOI,2,BGWK,1B3W,VOI,1,BWKG,4B0W,VOI,1,,,,,,,,
62,YKBW,True,5,RYBO,1B1W,LLM,660,GRBB,1B0W,VOI,101,OKBK,2B0W,VOI,13,OWBW,2B0W,VOI,4,YKBW,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
63,BOKB,True,6,RGBY,0B1W,LLM,976,BOPO,2B0W,VOI,71,BPPW,1B0W,VOI,14,GOPG,1B0W,VOI,2,BOKK,3B0W,VOI,1,BOKB,4B0W,VOI,1,,,,,,,,,,,,,,,,
64,KYGB,True,5,RRYY,0B1W,LLM,864,YWBK,0B3W,VOI,47,BKRW,0B2W,VOI,20,WYKP,1B1W,VOI,4,KYGB,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
65,PROO,True,6,RYOP,1B2W,LLM,204,YROB,2B0W,VOI,16,YRGP,1B1W,VOI,8,PROR,3B0W,VOI,3,PROW,3B0W,VOI,2,PROO,4B0W,VOI,1,,,,,,,,,,,,,,,,
66,OBOY,True,5,RRGG,0B0W,LLM,1296,KOKY,1B1W,VOI,230,WYKP,0B1W,VOI,25,BOYB,0B3W,VOI,3,OBOY,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
67,YORK,True,6,RRYY,0B2W,LLM,216,BYRB,1B1W,VOI,60,WYOR,0B3W,VOI,14,YORG,3B0W,VOI,4,YORP,3B0W,VOI,2,YORK,4B0W,VOI,1,,,,,,,,,,,,,,,,
68,WGOR,True,4,RYOK,1B1W,LLM,660,WPOR,3B0W,VOI,10,WROR,3B0W,VOI,4,WGOR,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,
69,RKGB,True,4,RYOP,1B0W,LLM,500,BGKP,0B3W,VOI,9,KYGB,2B1W,VOI,1,RKGB,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,
70,YWBO,True,5,OOYK,0B2W,LLM,546,KYGB,0B2W,VOI,123,YGRO,2B0W,VOI,14,YBPO,2B1W,VOI,1,YWBO,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
71,RORP,True,7,RYOR,1B2W,LLM,128,BOYR,1B1W,VOI,28,ORGR,0B3W,VOI,4,RORO,3B0W,VOI,3,RORK,3B0W,VOI,2,RORW,3B0W,VOI,1,RORP,4B0W,VOI,1,,,,,,,,,,,,
72,WRYR,True,5,RYOG,0B2W,LLM,936,OWYB,1B1W,VOI,165,WKYR,3B0W,VOI,3,BKYR,2B0W,VOI,2,WRYR,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
73,PYBP,True,8,RRRR,0B0W,LLM,2401,KGWP,1B0W,VOI,256,GGYG,0B1W,VOI,79,WWWY,0B1W,VOI,30,KYOB,1B1W,VOI,7,YOOP,1B1W,VOI,3,BYPP,2B2W,VOI,1,PYBP,4B0W,VOI,1,,,,,,,,
74,OBBG,True,6,RGBY,1B1W,LLM,660,WGOR,0B2W,VOI,141,RWRB,0B1W,VOI,20,ORPY,1B0W,VOI,5,GYWY,0B1W,VOI,3,OBBG,4B0W,VOI,1,,,,,,,,,,,,,,,,
75,GRYP,True,4,RRYY,2B0W,LLM,242,ORPY,1B2W,VOI,28,RWOY,0B2W,VOI,7,GRYP,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,
76,YYRR,True,5,RYGB,1B1W,LLM,660,BYWP,1B0W,VOI,81,OYRY,2B1W,VOI,7,OYKR,2B0W,VOI,2,YYRR,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
77,WRBG,True,5,ROYG,1B1W,LLM,660,RKWY,0B2W,VOI,141,BPYR,0B2W,VOI,28,PWRG,1B2W,VOI,4,WRBG,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
78,YYGW,True,4,RYPO,1B0W,LLM,500,RWRB,0B1W,VOI,158,GYWY,1B3W,VOI,2,YYGW,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,
79,KKKG,True,5,RYPK,0B1W,LLM,976,WROR,0B0W,VOI,114,GGYG,1B0W,VOI,26,KGKB,2B1W,VOI,2,KKKG,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
80,PBWG,True,6,YOWK,1B0W,LLM,500,YRPY,0B1W,VOI,158,RORO,0B0W,VOI,58,WPWB,1B2W,VOI,10,GWWP,1B2W,VOI,1,PBWG,4B0W,VOI,1,,,,,,,,,,,,,,,,
81,KBWP,True,6,RRYY,0B0W,LLM,1296,WGPB,0B3W,VOI,136,GWWP,2B0W,VOI,26,BBWP,3B0W,VOI,6,PBWP,3B0W,VOI,2,KBWP,4B0W,VOI,1,,,,,,,,,,,,,,,,
82,BBBB,True,5,RRRY,0B0W,LLM,1296,BWKP,1B0W,VOI,108,KKKG,0B0W,VOI,24,WWWO,0B0W,VOI,2,BBBB,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
83,OGKG,True,6,RGBY,1B0W,LLM,500,RRWO,0B1W,VOI,158,BOBB,0B1W,VOI,42,KYOY,0B2W,VOI,5,OGKK,3B0W,VOI,4,OGKG,4B0W,VOI,1,,,,,,,,,,,,,,,,
84,YKOO,True,6,RRYY,0B1W,LLM,864,KYOB,1B2W,VOI,63,BYKG,0B2W,VOI,16,YBOO,3B0W,VOI,3,YBOP,2B0W,VOI,1,YKOO,4B0W,VOI,1,,,,,,,,,,,,,,,,
85,OGWR,True,5,RYWO,1B2W,LLM,204,OYRY,1B1W,VOI,52,RORW,0B3W,VOI,9,ORWB,2B1W,VOI,4,OGWR,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
86,PPPW,True,5,RYOP,0B1W,LLM,976,OBBK,0B0W,VOI,114,GGYG,0B0W,VOI,14,WRWR,0B1W,VOI,1,PPPW,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
87,PYRK,True,6,RRYY,0B2W,LLM,216,YORG,1B1W,VOI,58,YYGW,1B0W,VOI,18,BYRB,2B0W,VOI,4,KYRK,3B0W,VOI,2,PYRK,4B0W,VOI,1,,,,,,,,,,,,,,,,
88,WPBW,True,6,RYOP,0B1W,LLM,976,OWKW,1B1W,VOI,165,WWWY,1B1W,VOI,25,PGWW,1B2W,VOI,4,WBPW,2B2W,VOI,1,WPBW,4B0W,VOI,1,,,,,,,,,,,,,,,,
89,YORO,True,4,RRYY,0B2W,LLM,216,PYRK,1B1W,VOI,58,YORG,3B0W,VOI,6,YORO,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,
90,BGWW,True,5,RYWO,1B0W,LLM,500,KWWG,1B2W,VOI,24,PGWW,3B0W,VOI,5,GGWW,3B0W,VOI,2,BGWW,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
91,KKGB,True,8,RYGK,1B1W,LLM,660,GYWY,0B1W,VOI,187,YPOK,0B1W,VOI,48,ORGR,1B0W,VOI,8,KGGB,3B0W,VOI,3,KGGG,2B0W,VOI,2,KBGB,3B0W,VOI,1,KKGB,4B0W,VOI,1,,,,,,,,
92,GYWR,True,6,RRRR,1B0W,LLM,1372,PKYR,1B1W,VOI,258,BKRW,0B2W,VOI,70,OPWR,2B0W,VOI,9,OGKR,1B1W,VOI,2,GYWR,4B0W,VOI,1,,,,,,,,,,,,,,,,
93,RPRG,True,6,RGBY,1B1W,LLM,660,WGKB,0B1W,VOI,147,PYBP,0B1W,VOI,37,RRYK,1B1W,VOI,7,RBRR,2B0W,VOI,2,RPRG,4B0W,VOI,1,,,,,,,,,,,,,,,,
94,GPRB,True,7,RRYY,0B1W,LLM,864,YBOP,0B2W,VOI,161,OPWR,1B1W,VOI,26,KOBR,0B2W,VOI,5,PPRB,3B0W,VOI,2,BPRB,3B0W,VOI,1,GPRB,4B0W,VOI,1,,,,,,,,,,,,
95,BYOO,True,5,ROYG,0B2W,LLM,936,OPRB,0B2W,VOI,200,WROR,1B0W,VOI,79,YBOO,2B2W,VOI,1,BYOO,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
