game_number,target_word,won,attempts,guess_1,feedback_1,hamming_1,levenshtein_1,strategy_1,guess_2,feedback_2,hamming_2,levenshtein_2,strategy_2,guess_3,feedback_3,hamming_3,levenshtein_3,strategy_3,guess_4,feedback_4,hamming_4,levenshtein_4,strategy_4,guess_5,feedback_5,hamming_5,levenshtein_5,strategy_5,guess_6,feedback_6,hamming_6,levenshtein_6,strategy_6
1,PHOTO,True,3,THINK,YG---,4,4,LLM,SHOUT,-GG-Y,3,3,LLM,PHOTO,GGGGG,0,0,LLM,,,,,,,,,,,,,,,
2,PARTY,True,2,OTHER,-Y--Y,5,5,LLM,PARTY,GGGGG,0,0,LLM,,,,,,,,,,,,,,,,,,,,
3,TRICK,True,4,THERE,G--Y-,4,4,LLM,TRAPS,GG---,3,3,LLM,TRUCK,GG-GG,1,1,LLM,TRICK,GGGGG,0,0,LLM,,,,,,,,,,
4,DIRTY,True,3,THINK,Y-Y--,5,5,LLM,MARTI,--GGY,3,3,VOI_REPAIR,DIRTY,GGGGG,0,0,LLM,,,,,,,,,,,,,,,
5,USUAL,True,4,ABOUT,Y--Y-,5,5,LLM,CAUSE,-YGY-,4,4,LLM,SQUAD,Y-GG-,3,3,LLM,USUAL,GGGGG,0,0,LLM,,,,,,,,,,
6,TRULY,True,6,THERE,G--Y-,4,4,LLM,TRACK,GG---,3,3,LLM,TRUST,GGG--,2,2,LLM,TRUMP,GGG--,2,2,LLM,TRUDY,GGG-G,1,1,LLM,TRULY,GGGGG,0,0,LLM
7,SPENT,True,4,THEIR,Y-G--,4,4,LLM,STEEL,GYG--,3,3,LLM,SWEAT,G-G-G,2,2,LLM,SPENT,GGGGG,0,0,LLM,,,,,,,,,,
8,PAUSE,True,4,THINK,-----,5,5,LLM,WORLD,-----,5,5,LLM,CAUSE,-GGGG,1,1,LLM,PAUSE,GGGGG,0,0,LLM,,,,,,,,,,
9,CRAZY,True,4,THERE,---Y-,5,5,LLM,WORLD,--Y--,5,5,LLM,RAINY,YY--G,4,3,LLM,CRAZY,GGGGG,0,0,LLM,,,,,,,,,,
10,BASES,True,4,OTHER,---G-,4,4,LLM,SIDES,Y--GG,3,3,LLM,CASES,-GGGG,1,1,LLM,BASES,GGGGG,0,0,LLM,,,,,,,,,,
11,YOUNG,True,3,THERE,-----,5,5,LLM,WOULD,-GG--,3,3,LLM,YOUNG,GGGGG,0,0,LLM,,,,,,,,,,,,,,,
12,MEANS,True,5,WORLD,-----,5,5,LLM,THINK,---G-,4,4,LLM,PENNY,-G-G-,3,3,LLM,BEANS,-GGGG,1,1,LLM,MEANS,GGGGG,0,0,LLM,,,,,
13,TRUTH,True,3,WHICH,----G,4,4,LLM,SOUTH,--GGG,2,2,LLM,TRUTH,GGGGG,0,0,LLM,,,,,,,,,,,,,,,
14,FIRED,True,6,THINK,--Y--,5,5,LLM,MEDIA,-YYY-,5,5,LLM,DIODE,YG--Y,4,4,LLM,FIELD,GGY-G,2,2,LLM,FIXED,GG-GG,1,1,LLM,FIRED,GGGGG,0,0,LLM
15,FOLKS,True,5,RIGHT,-----,5,5,LLM,CLOUD,-YY--,5,5,LLM,BELOW,--GY-,4,4,LLM,POLLY,-GG--,3,3,LLM,FOLKS,GGGGG,0,0,LLM,,,,,
16,CHILE,True,4,THINK,-GG--,3,3,LLM,WHICH,-GGY-,3,3,LLM,CHIEF,GGGY-,2,2,LLM,CHILE,GGGGG,0,0,LLM,,,,,,,,,,
17,BLACK,True,6,RIGHT,-----,5,5,LLM,PLACE,-GGG-,2,2,LLM,SLACK,-GGGG,1,1,LLM,FLACK,-GGGG,1,1,LLM,CLACK,-GGGG,1,1,LLM,BLACK,GGGGG,0,0,LLM
18,GRANT,True,3,WORLD,--Y--,5,5,LLM,THERE,Y--Y-,5,5,LLM,GRANT,GGGGG,0,0,LLM,,,,,,,,,,,,,,,
19,MEALS,True,5,RIGHT,-----,5,5,LLM,PLACE,-YG-Y,4,4,LLM,DEALS,-GGGG,1,1,LLM,SEALS,-GGGG,1,1,LLM,MEALS,GGGGG,0,0,LLM,,,,,
20,CREAM,True,6,RIGHT,Y----,5,5,LLM,EARLY,YYY--,5,5,LLM,AREAS,-GGG-,2,2,LLM,BREAK,-GGG-,2,2,LLM,DREAM,-GGGG,1,1,LLM,CREAM,GGGGG,0,0,LLM
21,AWAKE,True,4,RIGHT,-----,5,5,LLM,PLACE,--G-G,3,3,LLM,SNAKE,--GGG,2,2,LLM,AWAKE,GGGGG,0,0,LLM,,,,,,,,,,
22,OCCUR,True,5,RIGHT,Y----,5,5,LLM,LEARN,---Y-,5,5,LLM,WORDS,-YY--,5,5,LLM,PROOF,-YY--,5,5,LLM,OCCUR,GGGGG,0,0,LLM,,,,,
23,YEARS,True,2,STARE,Y-GGY,3,3,LLM,YEARS,GGGGG,0,0,LLM,,,,,,,,,,,,,,,,,,,,
24,GRADE,True,3,THEIR,--Y-Y,5,5,LLM,EARLY,YYY--,5,5,LLM,GRADE,GGGGG,0,0,LLM,,,,,,,,,,,,,,,
25,CHILL,True,4,THINK,-GG--,3,3,LLM,CHIPS,GGG--,2,2,LLM,CHILD,GGGG-,1,1,LLM,CHILL,GGGGG,0,0,LLM,,,,,,,,,,
26,FLOOD,True,4,RIGHT,-----,5,5,LLM,PLACE,-G---,4,4,LLM,FLOSS,GGG--,2,2,LLM,FLOOD,GGGGG,0,0,LLM,,,,,,,,,,
27,APPLY,True,3,RIGHT,-----,5,5,LLM,PLACE,YYY--,5,5,LLM,APPLY,GGGGG,0,0,LLM,,,,,,,,,,,,,,,
28,SMILE,True,4,RIGHT,-Y---,5,5,LLM,MEDIA,YY-Y-,5,5,LLM,SLIME,GYGYG,2,2,LLM,SMILE,GGGGG,0,0,LLM,,,,,,,,,,
29,KNOCK,True,4,OTHER,Y----,5,5,LLM,SOUND,-Y-Y-,5,5,LLM,KNOWN,GGG--,2,2,LLM,KNOCK,GGGGG,0,0,LLM,,,,,,,,,,
30,SLEEP,True,4,THINK,-----,5,5,LLM,WORLD,---Y-,5,5,LLM,LEAVE,YY--Y,5,4,LLM,SLEEP,GGGGG,0,0,LLM,,,,,,,,,,
31,BRICK,True,4,WORLD,--Y--,5,5,LLM,RIGHT,YY---,5,4,LLM,PRICE,-GGG-,2,2,LLM,BRICK,GGGGG,0,0,LLM,,,,,,,,,,
32,WROTE,True,4,THINK,Y----,5,5,LLM,STATE,---GG,3,3,LLM,ROUTE,YY-GG,3,2,LLM,WROTE,GGGGG,0,0,LLM,,,,,,,,,,
33,RATED,True,3,SHALE,--Y-Y,5,4,LLM,WATER,-GGGY,2,2,LLM,RATED,GGGGG,0,0,LLM,,,,,,,,,,,,,,,
34,ALERT,True,5,THINK,Y----,5,5,LLM,STARE,-YYGY,4,4,LLM,EXTRA,Y-YGY,4,4,LLM,AVERT,G-GGG,1,1,LLM,ALERT,GGGGG,0,0,LLM,,,,,
35,CAGES,True,6,OTHER,---G-,4,4,LLM,SALES,-G-GG,2,2,LLM,GAMES,YG-GG,2,2,LLM,WAGES,-GGGG,1,1,LLM,PAGES,-GGGG,1,1,LLM,CAGES,GGGGG,0,0,LLM
36,TEDDY,True,5,WHERE,--Y--,5,5,LLM,BEING,-G---,4,4,LLM,TEAMS,GG---,3,3,LLM,TELLY,GG--G,2,2,LLM,TEDDY,GGGGG,0,0,LLM,,,,,
37,COLES,True,4,THINK,-----,5,5,LLM,WORDY,-G---,4,4,LLM,LOCAL,YGY--,4,4,LLM,COLES,GGGGG,0,0,LLM,,,,,,,,,,
38,HWANG,True,4,OTHER,--Y--,5,5,LLM,SHALL,-YG--,4,4,LLM,HUANG,G-GGG,1,1,LLM,HWANG,GGGGG,0,0,LLM,,,,,,,,,,
39,WRATH,True,3,THEIR,YY--Y,5,5,LLM,WORTH,G-YGG,2,2,LLM,WRATH,GGGGG,0,0,LLM,,,,,,,,,,,,,,,
40,MACHO,True,6,THEIR,-Y---,5,5,LLM,HAPPY,YG---,4,4,LLM,LAUGH,-G--Y,4,4,LLM,SASHA,-G-G-,3,3,LLM,NACHO,-GGGG,1,1,LLM,MACHO,GGGGG,0,0,LLM
41,LOPEZ,True,5,WHERE,--Y--,5,5,LLM,MONEY,-G-G-,3,3,LLM,CODES,-G-G-,3,3,LLM,VOGEL,-G-GY,3,3,LLM,LOPEZ,GGGGG,0,0,LLM,,,,,
42,GOODY,True,4,THINK,-----,5,5,LLM,WORLD,-G--Y,4,4,LLM,GOODS,GGGG-,1,1,LLM,GOODY,GGGGG,0,0,LLM,,,,,,,,,,
43,BROTH,True,4,THINK,YY---,5,5,LLM,OTHER,YYY-Y,5,4,LLM,WORTH,-YYGG,3,3,LLM,BROTH,GGGGG,0,0,LLM,,,,,,,,,,
44,VERDE,True,3,THERE,--YYG,4,3,LLM,SERVE,-GGYG,2,2,LLM,VERDE,GGGGG,0,0,LLM,,,,,,,,,,,,,,,
45,TAMED,True,3,OTHER,-Y-G-,4,4,LLM,TIMES,G-GG-,2,2,LLM,TAMED,GGGGG,0,0,LLM,,,,,,,,,,,,,,,
46,LEAFS,True,6,RIGHT,-----,5,5,LLM,PLACE,-YG-Y,4,4,LLM,LEADS,GGG-G,1,1,LLM,LEAKS,GGG-G,1,1,LLM,LEANS,GGG-G,1,1,LLM,LEAFS,GGGGG,0,0,LLM
47,YACHT,True,4,THEIR,YY---,5,5,LLM,SOUTH,---YY,5,5,LLM,CATHY,YGYGY,3,3,LLM,YACHT,GGGGG,0,0,LLM,,,,,,,,,,
48,MESSY,True,5,OTHER,---Y-,5,5,LLM,PLACE,----Y,5,5,LLM,BEING,-G---,4,4,LLM,SEEMS,YG-YY,4,4,LLM,MESSY,GGGGG,0,0,LLM,,,,,
