game_number,target_word,won,attempts,guess_1,feedback_1,hamming_1,levenshtein_1,strategy_1,guess_2,feedback_2,hamming_2,levenshtein_2,strategy_2,guess_3,feedback_3,hamming_3,levenshtein_3,strategy_3,guess_4,feedback_4,hamming_4,levenshtein_4,strategy_4,guess_5,feedback_5,hamming_5,levenshtein_5,strategy_5,guess_6,feedback_6,hamming_6,levenshtein_6,strategy_6
1,PHOTO,True,2,HOUSE,YY---,5,4,VOI_FROM_LLM,PHOTO,GGGGG,0,0,VOI_FROM_LLM,,,,,,,,,,,,,,,,,,,,
2,PARTY,True,4,HOUSE,-----,5,5,VOI_FROM_LLM,TRAIN,YYY--,5,5,VOI_FROM_LLM,MARTY,-GGGG,1,1,VOI_FROM_LLM,PARTY,GGGGG,0,0,VOI_FROM_LLM,,,,,,,,,,
3,TRICK,True,3,HOUSE,-----,5,5,VOI_FROM_LLM,TRAIN,GG-Y-,3,3,VOI_FROM_LLM,TRICK,GGGGG,0,0,VOI_FROM_LLM,,,,,,,,,,,,,,,
4,DIRTY,True,4,HOUSE,-----,5,5,VOI_FROM_LLM,TRAIN,YY-Y-,5,5,VOI_FROM_LLM,FLIRT,--YYY,5,3,VOI_FROM_LLM,DIRTY,GGGGG,0,0,VOI_FROM_LLM,,,,,,,,,,
5,USUAL,True,3,HOUSE,--GY-,4,4,VOI_FROM_LLM,STUMP,Y-G--,4,4,VOI_FROM_LLM,USUAL,GGGGG,0,0,VOI_FROM_LLM,,,,,,,,,,,,,,,
6,TRULY,True,3,HOUSE,--G--,4,4,VOI_FROM_LLM,TRUMP,GGG--,2,2,VOI_FROM_LLM,TRULY,GGGGG,0,0,VOI_FROM_LLM,,,,,,,,,,,,,,,
7,SPENT,True,4,HOUSE,---YY,5,5,VOI_FROM_LLM,SEEMS,G-G--,3,3,VOI_FROM_LLM,SPEAK,GGG--,2,2,VOI_FROM_LLM,SPENT,GGGGG,0,0,VOI_FROM_LLM,,,,,,,,,,
8,PAUSE,True,3,HOUSE,--GGG,2,2,VOI_FROM_LLM,CAUSE,-GGGG,1,1,VOI_FROM_LLM,PAUSE,GGGGG,0,0,VOI_FROM_LLM,,,,,,,,,,,,,,,
9,CRAZY,True,5,HOUSE,-----,5,5,VOI_FROM_LLM,TRAIN,-GG--,3,3,VOI_FROM_LLM,CRAMP,GGG--,2,2,VOI_FROM_LLM,CRACK,GGG--,2,2,VOI_FROM_LLM,CRAZY,GGGGG,0,0,VOI_FROM_LLM,,,,,
10,BASES,True,4,HOUSE,---YY,5,4,VOI_FROM_LLM,SEEMS,YY--G,4,4,VOI_FROM_LLM,CASES,-GGGG,1,1,VOI_FROM_LLM,BASES,GGGGG,0,0,VOI_FROM_LLM,,,,,,,,,,
