game_number,target_code,won,attempts,guess_1,feedback_1,strategy_1,candidates_1,guess_2,feedback_2,strategy_2,candidates_2,guess_3,feedback_3,strategy_3,candidates_3,guess_4,feedback_4,strategy_4,candidates_4,guess_5,feedback_5,strategy_5,candidates_5,guess_6,feedback_6,strategy_6,candidates_6,guess_7,feedback_7,strategy_7,candidates_7,guess_8,feedback_8,strategy_8,candidates_8,guess_9,feedback_9,strategy_9,candidates_9,guess_10,feedback_10,strategy_10,candidates_10
1,GRBR,True,4,BWGY,0B2W,LLM,312,GGRB,1B2W,LLM,18,GBOR,2B1W,VOI,1,GRBR,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,
2,RGBY,True,4,RRWY,2B0W,LLM,105,RRGB,1B2W,LLM,4,GRBY,2B2W,VOI,1,RGBY,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,
3,BYYW,True,6,RORY,0B1W,LLM,276,YBGB,0B2W,LLM,40,BRWG,1B1W,VOI,10,OGBG,0B1W,VOI,3,BWYW,3B0W,VOI,1,BYYW,4B0W,VOI,1,,,,,,,,,,,,,,,,
4,BGWY,True,3,RWGO,0B2W,LLM,312,WGBY,2B2W,LLM,4,BGWY,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,BROG,True,5,RGBO,0B4W,LLM,9,GROB,2B2W,LLM,4,GBOR,1B3W,VOI,2,GORB,0B4W,VOI,1,BROG,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
6,GGWY,True,5,RRGW,0B2W,LLM,222,GBRG,1B1W,LLM,51,WYBG,0B3W,VOI,7,GOWB,2B0W,VOI,1,GGWY,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
7,RWOW,True,4,WRGW,1B2W,LLM,84,WGRY,0B2W,LLM,10,RBWW,2B1W,VOI,1,RWOW,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,
8,WGRR,True,5,OGOR,2B0W,LLM,105,BGBR,2B0W,LLM,28,OGBG,1B0W,VOI,9,RGYR,2B1W,VOI,2,WGRR,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
9,ROWO,True,4,RYGO,2B0W,LLM,96,RYBB,1B0W,LLM,36,WYOO,1B2W,VOI,1,ROWO,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,
10,WYYY,True,5,OOBO,0B0W,LLM,256,YGWR,0B2W,LLM,24,RRGG,0B0W,VOI,4,WYYW,3B0W,VOI,2,WYYY,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
11,ORRR,True,5,YGWO,0B1W,LLM,152,RWRR,2B1W,LLM,9,RRRG,2B1W,VOI,3,RROR,2B2W,VOI,1,ORRR,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
12,RGOW,True,4,OOGO,0B2W,LLM,61,BGOY,2B0W,LLM,9,WGOG,2B1W,VOI,2,RGOW,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,
13,RGOG,True,5,RWGY,1B1W,LLM,252,RYOB,2B0W,LLM,19,GWOB,1B1W,VOI,14,RGOR,3B0W,VOI,2,RGOG,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
14,RWGW,True,4,BGGB,1B0W,LLM,256,RYGO,2B0W,LLM,18,RRGR,2B0W,VOI,1,RWGW,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,
15,BRBY,True,5,BGYR,1B2W,LLM,132,YBOR,0B3W,LLM,23,BWRY,2B1W,VOI,2,BYRB,1B3W,VOI,1,BRBY,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
16,BGGB,True,4,BWGO,2B0W,LLM,96,BRGY,2B0W,LLM,16,BWBY,1B1W,VOI,3,BGGB,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,
17,OOOB,True,4,GWRW,0B0W,LLM,81,YYOB,2B0W,LLM,9,OYOO,2B1W,VOI,1,OOOB,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,
18,WOGB,True,6,WBOY,1B2W,LLM,132,BYOG,0B3W,LLM,23,OBYB,1B1W,VOI,6,YBGW,1B2W,VOI,3,OWGY,1B2W,VOI,1,WOGB,4B0W,VOI,1,,,,,,,,,,,,,,,,
19,RGYR,True,4,BWYY,1B0W,LLM,182,OGGY,1B1W,LLM,33,BBGG,0B1W,VOI,2,RGYR,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,
20,WGWY,True,5,YGGB,1B1W,LLM,230,OYGW,0B3W,LLM,24,WGOG,2B0W,VOI,7,WGYR,2B1W,VOI,1,WGWY,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
21,GWGW,True,5,GRRY,1B0W,LLM,182,GGBW,2B1W,LLM,12,GBBG,1B1W,VOI,3,GGWO,1B2W,VOI,1,GWGW,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
22,YWWG,True,5,RWGY,1B2W,LLM,132,OYGW,0B3W,LLM,26,WGWY,1B3W,VOI,2,WWYG,2B2W,VOI,1,YWWG,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
23,BRYG,True,5,BWOB,1B0W,LLM,182,ROOR,0B1W,LLM,25,BRGY,2B2W,VOI,3,YRGB,1B3W,VOI,1,BRYG,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
24,OGYG,True,5,WGBW,1B0W,LLM,182,GGRY,1B2W,LLM,15,RGYR,2B0W,VOI,6,RGOG,2B1W,VOI,1,OGYG,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
25,WYYR,True,6,RWGO,0B2W,LLM,312,YBWR,1B2W,LLM,36,BGWY,0B2W,VOI,12,WRBR,2B0W,VOI,2,OYBR,2B0W,VOI,1,WYYR,4B0W,VOI,1,,,,,,,,,,,,,,,,
26,BYOW,True,5,RROW,2B0W,LLM,105,RYOB,2B1W,LLM,10,RBOO,1B1W,VOI,3,RYBW,2B1W,VOI,1,BYOW,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
27,RRBG,True,4,WGRR,0B3W,LLM,44,BRWG,2B1W,LLM,8,GRWO,1B1W,VOI,1,RRBG,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,
28,GYRB,True,4,YBGB,1B2W,LLM,84,GBYY,1B2W,LLM,11,BRGY,0B4W,VOI,2,GYRB,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,
29,ORRG,True,4,RWBY,0B1W,LLM,152,OOOR,1B1W,LLM,24,OYYO,1B0W,VOI,3,ORRG,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,
