game_number,target_word,won,attempts,guess_1,feedback_1,hamming_1,levenshtein_1,strategy_1,guess_2,feedback_2,hamming_2,levenshtein_2,strategy_2,guess_3,feedback_3,hamming_3,levenshtein_3,strategy_3,guess_4,feedback_4,hamming_4,levenshtein_4,strategy_4,guess_5,feedback_5,hamming_5,levenshtein_5,strategy_5,guess_6,feedback_6,hamming_6,levenshtein_6,strategy_6,candidates_before_1,candidates_after_1,reduction_rate_1,candidates_before_2,candidates_after_2,reduction_rate_2,candidates_before_3,candidates_after_3,reduction_rate_3,candidates_before_4,candidates_after_4,reduction_rate_4,candidates_before_5,candidates_after_5,reduction_rate_5,candidates_before_6,candidates_after_6,reduction_rate_6,total_violations
1,PHOTO,True,3,WORLD,-Y---,5,5,LLM,SCOPE,--GY-,4,4,LLM,PHOTO,GGGGG,0.0,0.0,LLM,,,,,,,,,,,,,,,,5629,297,94.7237519985788,297,2,99.32659932659934,2.0,1.0,50.0,,,,,,,,,,0
2,PARTY,True,3,THERE,Y--Y-,5,5,LLM,FIRST,--G-Y,4,4,LLM,PARTY,GGGGG,0.0,0.0,LLM,,,,,,,,,,,,,,,,5629,97,98.2767809557648,97,9,90.72164948453609,9.0,1.0,88.88888888888889,,,,,,,,,,0
3,TRICK,True,3,STILL,-YG--,4,4,LLM,THING,G-G--,3,3,LLM,TRICK,GGGGG,0.0,0.0,LLM,,,,,,,,,,,,,,,,5629,53,99.05844732634571,53,9,83.01886792452831,9.0,1.0,88.88888888888889,,,,,,,,,,0
4,DIRTY,True,4,THERE,Y--Y-,5,5,LLM,PARTS,--GG-,3,3,LLM,MORTY,--GGG,2.0,2.0,LLM,DIRTY,GGGGG,0.0,0.0,LLM,,,,,,,,,,,5629,97,98.2767809557648,97,4,95.8762886597938,4.0,1.0,75.0,1.0,1.0,0.0,,,,,,,0
5,USUAL,True,5,WORLD,---Y-,5,5,LLM,PLACE,-YY--,5,5,LLM,MALIK,-YY--,5.0,5.0,LLM,TUBAL,-Y-GG,3.0,3.0,LLM,USUAL,GGGGG,0.0,0.0,LLM,,,,,,5629,538,90.44235210516966,538,79,85.31598513011153,79.0,2.0,97.46835443037976,2.0,1.0,50.0,1.0,1.0,0.0,,,,0
6,TRULY,True,4,EARTH,--YY-,5,5,LLM,TROUT,GG-Y-,3,3,LLM,TRUSS,GGG--,2.0,2.0,LLM,TRULY,GGGGG,0.0,0.0,LLM,,,,,,,,,,,5629,65,98.84526558891456,65,6,90.76923076923076,6.0,5.0,16.666666666666664,5.0,1.0,80.0,,,,,,,0
7,SPENT,False,6,COULD,-----,5,5,LLM,THING,Y--G-,4,4,LLM,MEANT,-Y-GG,3.0,3.0,LLM,BRENT,--GGG,2.0,2.0,LLM,EVENT,--GGG,2.0,2.0,LLM,STENT,G-GGG,1.0,1.0,LLM,5629,1556,72.35743471309291,1556,13,99.16452442159382,13.0,4.0,69.23076923076923,4.0,3.0,25.0,3.0,2.0,33.33333333333333,2.0,1.0,50.0,0
8,PAUSE,True,4,SOLAR,Y--Y-,5,5,CSS_TRUE_REPAIR,MATES,-G-YY,4,4,CSS_TRUE_REPAIR,CAUSE,-GGGG,1.0,1.0,LLM,PAUSE,GGGGG,0.0,0.0,LLM,,,,,,,,,,,5629,243,95.683069817019,243,3,98.76543209876544,3.0,1.0,66.66666666666666,1.0,1.0,0.0,,,,,,,0
9,CRAZY,False,6,THREE,--Y--,5,5,LLM,BRIAN,-G-Y-,4,4,CSS_TRUE_REPAIR,CRASS,GGG--,2.0,2.0,LLM,CRAWL,GGG--,2.0,2.0,CSS_TRUE_REPAIR,CRACK,GGG--,2.0,2.0,LLM,CRAMP,GGG--,2.0,2.0,LLM,5629,450,92.00568484633148,450,30,93.33333333333331,30.0,4.0,86.66666666666667,4.0,3.0,25.0,3.0,2.0,33.33333333333333,2.0,1.0,50.0,0
10,BASES,True,4,THERE,--Y--,5,5,LLM,BELOW,GY---,4,4,LLM,BASED,GGGG-,1.0,1.0,LLM,BASES,GGGGG,0.0,0.0,CSS_TRUE_REPAIR,,,,,,,,,,,5629,588,89.55409486587315,588,10,98.29931972789116,10.0,1.0,90.0,1.0,1.0,0.0,,,,,,,0
11,YOUNG,True,5,WORLD,-G---,4,4,LLM,TONES,-GY--,4,4,CSS_TRUE_REPAIR,GOING,-G-GG,2.0,2.0,LLM,JOONG,-G-GG,2.0,2.0,LLM,YOUNG,GGGGG,0.0,0.0,LLM,,,,,,5629,296,94.74151714336472,296,17,94.25675675675676,17.0,2.0,88.23529411764706,2.0,1.0,50.0,1.0,1.0,0.0,,,,0
12,MEANS,True,3,WORDS,----G,4,4,LLM,TIMES,--YYG,4,4,LLM,MEANS,GGGGG,0.0,0.0,LLM,,,,,,,,,,,,,,,,5629,518,90.79765500088826,518,9,98.26254826254826,9.0,1.0,88.88888888888889,,,,,,,,,,0
13,TRUTH,True,3,START,-Y-YY,5,4,LLM,TRITE,GG-G-,2,2,LLM,TRUTH,GGGGG,0.0,0.0,LLM,,,,,,,,,,,,,,,,5629,3,99.9467045656422,3,1,66.66666666666666,1.0,1.0,0.0,,,,,,,,,,0
14,FIRED,True,4,THOSE,----Y,5,5,LLM,LANEY,---G-,4,4,LLM,FEVER,G--GY,3.0,3.0,LLM,FIRED,GGGGG,0.0,0.0,LLM,,,,,,,,,,,5629,555,90.14034464380885,555,71,87.2072072072072,71.0,2.0,97.1830985915493,2.0,1.0,50.0,,,,,,,0
15,FOLKS,True,6,AROSE,--YY-,5,5,LLM,COLTS,-GG-G,2,2,CSS_TRUE_REPAIR,POLLS,-GG-G,2.0,2.0,LLM,SOLOS,-GG-G,2.0,2.0,LLM,HOLDS,-GG-G,2.0,2.0,LLM,FOLKS,GGGGG,0.0,0.0,LLM,5629,125,97.77935690175876,125,12,90.4,12.0,9.0,25.0,9.0,7.0,22.22222222222222,7.0,3.0,57.14285714285714,3.0,1.0,66.66666666666666,0
16,CHILE,True,5,WORLD,---G-,4,4,LLM,FEELS,-Y-G-,4,4,LLM,TITLE,-Y-GG,3.0,3.0,LLM,AGILE,--GGG,2.0,2.0,LLM,CHILE,GGGGG,0.0,0.0,LLM,,,,,,5629,184,96.73121335938887,184,27,85.32608695652173,27.0,3.0,88.88888888888889,3.0,1.0,66.66666666666666,1.0,1.0,0.0,,,,0
17,BLACK,True,6,LARGE,YY---,5,4,LLM,SMALL,--GY-,4,4,LLM,PLANO,-GG--,3.0,3.0,LLM,FLAKY,-GGY-,3.0,3.0,LLM,CLACK,-GGGG,1.0,1.0,LLM,BLACK,GGGGG,0.0,0.0,LLM,5629,173,96.9266299520341,173,22,87.28323699421965,22.0,5.0,77.27272727272727,5.0,2.0,60.0,2.0,1.0,50.0,1.0,1.0,0.0,0
18,GRANT,True,4,CAUSA,-Y---,5,5,LLM,GREAT,GG-YG,2,2,LLM,GRAFT,GGG-G,1.0,1.0,LLM,GRANT,GGGGG,0.0,0.0,LLM,,,,,,,,,,,5629,455,91.91685912240185,455,2,99.56043956043956,2.0,1.0,50.0,1.0,1.0,0.0,,,,,,,0
19,MEALS,True,4,WORLD,---G-,4,4,LLM,SHELL,Y-YG-,4,4,LLM,VEILS,-G-GG,2.0,2.0,LLM,MEALS,GGGGG,0.0,0.0,LLM,,,,,,,,,,,5629,184,96.73121335938887,184,5,97.28260869565216,5.0,1.0,80.0,1.0,1.0,0.0,,,,,,,0
20,CREAM,True,4,ERASE,YGY--,4,4,LLM,GREAT,-GGG-,2,2,LLM,BREAK,-GGG-,2.0,2.0,LLM,CREAM,GGGGG,0.0,0.0,LLM,,,,,,,,,,,5629,22,99.60916681470954,22,9,59.09090909090909,9.0,4.0,55.55555555555556,4.0,1.0,75.0,,,,,,,0
21,AWAKE,True,4,THING,-----,5,5,LLM,WORDS,Y----,5,5,LLM,ALWAY,G-YY-,4.0,3.0,LLM,AWAKE,GGGGG,0.0,0.0,LLM,,,,,,,,,,,5629,1638,70.90069284064666,1638,8,99.51159951159951,8.0,1.0,87.5,1.0,1.0,0.0,,,,,,,0
22,OCCUR,True,4,WORLD,-YY--,5,5,LLM,TROOP,-YY--,5,5,CSS_TRUE_REPAIR,NEGRO,---YY,5.0,5.0,LLM,OCCUR,GGGGG,0.0,0.0,LLM,,,,,,,,,,,5629,188,96.66015278024516,188,24,87.2340425531915,24.0,3.0,87.5,3.0,1.0,66.66666666666666,,,,,,,0
23,YEARS,True,6,THERE,--YG-,4,4,LLM,FEARS,-GGGG,1,1,LLM,SEARS,-GGGG,1.0,1.0,LLM,GEARS,-GGGG,1.0,1.0,LLM,BEARS,-GGGG,1.0,1.0,LLM,YEARS,GGGGG,0.0,0.0,LLM,5629,41,99.27162906377689,41,9,78.04878048780488,9.0,8.0,11.11111111111111,8.0,7.0,12.5,7.0,6.0,14.285714285714285,6.0,1.0,83.33333333333334,0
24,GRADE,True,4,WORDS,--YG-,4,4,LLM,PRIDE,-G-GG,2,2,LLM,TRADE,-GGGG,1.0,1.0,LLM,GRADE,GGGGG,0.0,0.0,LLM,,,,,,,,,,,5629,20,99.6446971042814,20,3,85.0,3.0,1.0,66.66666666666666,1.0,1.0,0.0,,,,,,,0
25,CHILL,True,4,THINK,-GG--,3,3,LLM,CHILD,GGGG-,1,1,LLM,CHILE,GGGG-,1.0,1.0,LLM,CHILL,GGGGG,0.0,0.0,LLM,,,,,,,,,,,5629,27,99.52034109077988,27,3,88.88888888888889,3.0,2.0,33.33333333333333,2.0,1.0,50.0,,,,,,,0
26,FLOOD,True,3,THESE,-----,5,5,LLM,WOULD,-Y-YG,4,4,LLM,FLOOD,GGGGG,0.0,0.0,LLM,,,,,,,,,,,,,,,,5629,1181,79.01936400781666,1181,5,99.5766299745978,5.0,1.0,80.0,,,,,,,,,,0
27,APPLY,True,4,THING,-----,5,5,LLM,WORDS,-----,5,5,LLM,KELLY,---GG,3.0,3.0,LLM,APPLY,GGGGG,0.0,0.0,LLM,,,,,,,,,,,5629,1638,70.90069284064666,1638,182,88.88888888888889,182.0,4.0,97.8021978021978,4.0,1.0,75.0,,,,,,,0
