game_number,target_word,won,attempts,guess_1,feedback_1,hamming_1,levenshtein_1,strategy_1,guess_2,feedback_2,hamming_2,levenshtein_2,strategy_2,guess_3,feedback_3,hamming_3,levenshtein_3,strategy_3,guess_4,feedback_4,hamming_4,levenshtein_4,strategy_4,guess_5,feedback_5,hamming_5,levenshtein_5,strategy_5,guess_6,feedback_6,hamming_6,levenshtein_6,strategy_6
1,PHOTO,True,4,CRANE,-----,5,5,LLM,MILOS,---Y-,5,5,VOI,BOOTH,-YGGY,3,3,VOI,PHOTO,GGGGG,0,0,VOI,,,,,,,,,,
2,PARTY,True,4,CRANE,-YY--,5,5,LLM,MARIA,-GG--,3,3,VOI,TARDY,YGG-G,2,2,VOI,PARTY,GGGGG,0,0,VOI,,,,,,,,,,
3,TRICK,True,2,CRANE,YG---,4,4,LLM,TRICK,GGGGG,0,0,VOI,,,,,,,,,,,,,,,,,,,,
4,DIRTY,True,4,CRANE,-Y---,5,5,LLM,TORUS,Y-G--,4,4,VOI,BIRTH,-GGG-,2,2,VOI,DIRTY,GGGGG,0,0,VOI,,,,,,,,,,
5,USUAL,True,4,CRANE,--Y--,5,5,LLM,TAILS,-Y-YY,5,5,VOI,SHOAL,Y--GG,3,3,VOI,USUAL,GGGGG,0,0,VOI,,,,,,,,,,
6,TRULY,True,4,CRANE,-G---,4,4,LLM,PROST,-G--Y,4,4,VOI,TRUTH,GGG--,2,2,VOI,TRULY,GGGGG,0,0,VOI,,,,,,,,,,
7,SPENT,True,3,CRANE,---GY,4,4,LLM,SEONG,GY-G-,3,3,VOI,SPENT,GGGGG,0,0,VOI,,,,,,,,,,,,,,,
8,PAUSE,True,4,ADIEU,Y--YY,5,4,LLM,VAGUE,-G-YG,3,3,VOI,CAUSE,-GGGG,1,1,VOI,PAUSE,GGGGG,0,0,VOI,,,,,,,,,,
9,CRAZY,True,5,CRANE,GGG--,2,2,LLM,CRABS,GGG--,2,2,VOI,CRACK,GGG--,2,2,VOI,CRAWL,GGG--,2,2,VOI,CRAZY,GGGGG,0,0,VOI,,,,,
10,BASES,True,5,CRANE,--Y-Y,5,4,LLM,EQUAL,Y--Y-,5,5,VOI,DATES,-G-GG,2,2,VOI,GASES,-GGGG,1,1,VOI,BASES,GGGGG,0,0,VOI,,,,,
