game_number,target_word,won,attempts,guess_1,feedback_1,hamming_1,levenshtein_1,strategy_1,guess_2,feedback_2,hamming_2,levenshtein_2,strategy_2,guess_3,feedback_3,hamming_3,levenshtein_3,strategy_3,guess_4,feedback_4,hamming_4,levenshtein_4,strategy_4,guess_5,feedback_5,hamming_5,levenshtein_5,strategy_5,guess_6,feedback_6,hamming_6,levenshtein_6,strategy_6
1,PHOTO,True,4,GUESS,-----,5,5,LLM,VALID,-----,5,5,LLM,PORTO,GY-GG,2,2,VOI,PHOTO,GGGGG,0,0,VOI,,,,,,,,,,
2,PARTY,True,5,COULD,-----,5,5,LLM,SOLVE,-----,5,5,LLM,TRINA,YY--Y,5,5,VOI,MARTY,-GGGG,1,1,VOI,PARTY,GGGGG,0,0,VOI,,,,,
3,TRICK,True,5,GUESS,-----,5,5,LLM,STAGE,-Y---,5,5,LLM,PHOTO,---Y-,5,5,VOI,TRYIN,GG-Y-,3,3,VOI,TRICK,GGGGG,0,0,VOI,,,,,
4,DIRTY,True,3,COULD,----Y,5,5,LLM,DIDNT,GG--Y,3,3,LLM,DIRTY,GGGGG,0,0,VOI,,,,,,,,,,,,,,,
5,USUAL,True,4,START,Y-Y--,5,4,LLM,RAISE,-Y-Y-,5,5,LLM,ASSAM,-G-G-,3,3,VOI,USUAL,GGGGG,0,0,VOI,,,,,,,,,,
6,TRULY,True,4,GUESS,-Y---,5,5,LLM,COURT,--GYY,4,4,LLM,TRUDY,GGG-G,1,1,VOI,TRULY,GGGGG,0,0,VOI,,,,,,,,,,
7,SPENT,True,3,LEARN,-Y--Y,5,5,LLM,SNIDE,GY--Y,4,4,LLM,SPENT,GGGGG,0,0,VOI,,,,,,,,,,,,,,,
8,PAUSE,True,2,GUESS,-YYG-,4,4,LLM,PAUSE,GGGGG,0,0,LLM,,,,,,,,,,,,,,,,,,,,
9,CRAZY,True,5,GIVEN,-----,5,5,LLM,TOWER,----Y,5,5,LLM,MAURY,-Y-YG,4,4,VOI,BRADY,-GG-G,2,2,VOI,CRAZY,GGGGG,0,0,VOI,,,,,
10,BASES,True,5,GUESS,--YYG,4,4,LLM,SHOES,Y--GG,3,3,LLM,EASES,-GGGG,1,1,VOI,VASES,-GGGG,1,1,VOI,BASES,GGGGG,0,0,VOI,,,,,
11,YOUNG,True,4,COULD,-GG--,3,3,LLM,HOUSE,-GG--,3,3,LLM,MOURN,-GG-Y,3,3,VOI,YOUNG,GGGGG,0,0,VOI,,,,,,,,,,
12,MEANS,True,5,COULD,-----,5,5,LLM,BASES,-Y-YG,4,4,LLM,VEGAS,-G-YG,3,3,VOI,REAMS,-GGYG,2,2,VOI,MEANS,GGGGG,0,0,VOI,,,,,
13,TRUTH,True,4,COULD,--G--,4,4,LLM,TURNS,GYY--,4,4,LLM,TRUMP,GGG--,2,2,VOI,TRUTH,GGGGG,0,0,VOI,,,,,,,,,,
14,FIRED,True,4,GUESS,--Y--,5,5,LLM,EXACT,Y----,5,5,LLM,DINER,YG-GY,3,3,VOI,FIRED,GGGGG,0,0,VOI,,,,,,,,,,
15,FOLKS,True,6,COULD,-G-Y-,4,4,LLM,LOGAN,YG---,4,4,LLM,SOLES,-GG-G,2,2,VOI,VOLTS,-GG-G,2,2,VOI,POLIS,-GG-G,2,2,VOI,FOLKS,GGGGG,0,0,VOI
16,CHILE,True,4,COULD,G--G-,3,3,LLM,CALLS,G--G-,3,3,LLM,CYCLE,G--GG,2,2,VOI,CHILE,GGGGG,0,0,VOI,,,,,,,,,,
17,BLACK,True,6,GUESS,-----,5,5,LLM,WHICH,---G-,4,4,LLM,MARCY,-Y-G-,4,4,VOI,KNACK,--GGG,2,2,VOI,ABACK,-YGGG,2,2,VOI,BLACK,GGGGG,0,0,VOI
18,GRANT,True,4,GUESS,G----,4,4,LLM,GLITZ,G--Y-,4,4,LLM,GODOT,G---G,3,3,VOI,GRANT,GGGGG,0,0,VOI,,,,,,,,,,
19,MEALS,True,4,COULD,---G-,4,4,LLM,TRILL,---G-,4,4,LLM,SEALS,-GGGG,1,1,VOI,MEALS,GGGGG,0,0,VOI,,,,,,,,,,
20,CREAM,True,4,ARIES,YG-Y-,4,4,LLM,BRAKE,-GY-Y,4,4,LLM,DREAM,-GGGG,1,1,VOI,CREAM,GGGGG,0,0,VOI,,,,,,,,,,
21,AWAKE,True,4,START,--G--,4,4,LLM,BLACK,--G-Y,4,4,LLM,KEANU,YYG--,4,4,VOI,AWAKE,GGGGG,0,0,VOI,,,,,,,,,,
22,OCCUR,True,3,GIVEN,-----,5,5,LLM,COULD,YYY--,5,4,LLM,OCCUR,GGGGG,0,0,VOI,,,,,,,,,,,,,,,
