game_number,target_word,won,attempts,guess_1,feedback_1,hamming_1,levenshtein_1,strategy_1,guess_2,feedback_2,hamming_2,levenshtein_2,strategy_2,guess_3,feedback_3,hamming_3,levenshtein_3,strategy_3,guess_4,feedback_4,hamming_4,levenshtein_4,strategy_4,guess_5,feedback_5,hamming_5,levenshtein_5,strategy_5,guess_6,feedback_6,hamming_6,levenshtein_6,strategy_6,candidates_before_1,candidates_after_1,reduction_rate_1,candidates_before_2,candidates_after_2,reduction_rate_2,candidates_before_3,candidates_after_3,reduction_rate_3,candidates_before_4,candidates_after_4,reduction_rate_4,candidates_before_5,candidates_after_5,reduction_rate_5,candidates_before_6,candidates_after_6,reduction_rate_6,total_violations
1,PHOTO,True,5,CLOUD,--G--,4,4,CSS_TRUE_FROM_LLM,FROGS,--G--,4,4,CSS_TRUE_FROM_LLM,ATONE,-YG--,4.0,4.0,CSS_TRUE_FROM_LLM,BOOTY,-YGG-,3.0,3.0,CSS_TRUE_FROM_LLM,PHOTO,GGGGG,0.0,0.0,CSS_TRUE_FROM_LLM,,,,,,5629,196,96.51803162195772,196,33,83.16326530612244,33.0,5.0,84.84848484848484,5.0,1.0,80.0,1.0,1.0,0.0,,,,0
2,PARTY,True,4,CLOUD,-----,5,5,CSS_TRUE_FROM_LLM,SHARE,--YY-,5,4,CSS_TRUE_FROM_LLM,PRIMA,GY--Y,4.0,4.0,CSS_TRUE_FROM_LLM,PARTY,GGGGG,0.0,0.0,CSS_TRUE_FROM_LLM,,,,,,,,,,,5629,1556,72.35743471309291,1556,67,95.69408740359896,67.0,1.0,98.50746268656717,1.0,1.0,0.0,,,,,,,0
3,TRICK,True,3,STAGE,-Y---,5,5,CSS_TRUE_FROM_LLM,TINTO,GY---,4,4,CSS_TRUE,TRICK,GGGGG,0.0,0.0,CSS_TRUE_FROM_LLM,,,,,,,,,,,,,,,,5629,190,96.62462249067327,190,9,95.26315789473684,9.0,1.0,88.88888888888889,,,,,,,,,,0
4,DIRTY,True,3,SPACE,-----,5,5,CSS_TRUE_FROM_LLM,DONUT,G---Y,4,4,CSS_TRUE,DIRTY,GGGGG,0.0,0.0,CSS_TRUE_FROM_LLM,,,,,,,,,,,,,,,,5629,534,90.51341268431338,534,2,99.625468164794,2.0,1.0,50.0,,,,,,,,,,0
5,USUAL,True,3,STAGE,Y-Y--,5,4,CSS_TRUE_FROM_LLM,MAILS,-Y-YY,5,5,CSS_TRUE,USUAL,GGGGG,0.0,0.0,CSS_TRUE_FROM_LLM,,,,,,,,,,,,,,,,5629,192,96.58909220110144,192,2,98.95833333333334,2.0,1.0,50.0,,,,,,,,,,0
6,TRULY,True,4,CLOUD,-Y-Y-,5,5,CSS_TRUE_FROM_LLM,BULBS,-YY--,5,4,CSS_TRUE_FROM_LLM,FAULT,--GGY,3.0,3.0,CSS_TRUE_FROM_LLM,TRULY,GGGGG,0.0,0.0,CSS_TRUE_FROM_LLM,,,,,,,,,,,5629,88,98.43666725883816,88,14,84.0909090909091,14.0,2.0,85.71428571428571,2.0,1.0,50.0,,,,,,,0
7,SPENT,True,4,CLOUD,-----,5,5,CSS_TRUE_FROM_LLM,STAGE,GY--Y,4,4,CSS_TRUE_FROM_LLM,SWEET,G-G-G,2.0,2.0,CSS_TRUE_FROM_LLM,SPENT,GGGGG,0.0,0.0,CSS_TRUE_FROM_LLM,,,,,,,,,,,5629,1556,72.35743471309291,1556,6,99.61439588688948,6.0,1.0,83.33333333333334,1.0,1.0,0.0,,,,,,,0
8,PAUSE,True,4,GRADE,--Y-G,4,4,CSS_TRUE_FROM_LLM,LANCE,-G--G,3,3,CSS_TRUE_FROM_LLM,PASTE,GGY-G,2.0,2.0,CSS_TRUE_FROM_LLM,PAUSE,GGGGG,0.0,0.0,CSS_TRUE_FROM_LLM,,,,,,,,,,,5629,90,98.4011369692663,90,22,75.55555555555556,22.0,1.0,95.45454545454544,1.0,1.0,0.0,,,,,,,0
9,CRAZY,True,6,SPACE,--GY-,4,4,CSS_TRUE_FROM_LLM,CLAIM,G-G--,3,3,CSS_TRUE_FROM_LLM,CHART,G-GY-,3.0,3.0,CSS_TRUE_FROM_LLM,CRANK,GGG--,2.0,2.0,CSS_TRUE_FROM_LLM,CRABB,GGG--,2.0,2.0,CSS_TRUE_FROM_LLM,CRAZY,GGGGG,0.0,0.0,CSS_TRUE_FROM_LLM,5629,31,99.44928051163618,31,12,61.29032258064516,12.0,3.0,75.0,3.0,2.0,33.33333333333333,2.0,1.0,50.0,1.0,1.0,0.0,0
10,BASES,True,5,GRADE,--Y-Y,5,4,CSS_TRUE_FROM_LLM,ANSEL,Y-GG-,3,3,CSS_TRUE,EASES,-GGGG,1.0,1.0,CSS_TRUE_FROM_LLM,CASES,-GGGG,1.0,1.0,CSS_TRUE_FROM_LLM,BASES,GGGGG,0.0,0.0,CSS_TRUE_FROM_LLM,,,,,,5629,200,96.446971042814,200,7,96.5,7.0,3.0,57.14285714285714,3.0,2.0,33.33333333333333,2.0,1.0,50.0,,,,0
