game_number,target_code,won,attempts,guess_1,feedback_1,strategy_1,candidates_1,guess_2,feedback_2,strategy_2,candidates_2,guess_3,feedback_3,strategy_3,candidates_3,guess_4,feedback_4,strategy_4,candidates_4,guess_5,feedback_5,strategy_5,candidates_5,guess_6,feedback_6,strategy_6,candidates_6,guess_7,feedback_7,strategy_7,candidates_7,guess_8,feedback_8,strategy_8,candidates_8,guess_9,feedback_9,strategy_9,candidates_9,guess_10,feedback_10,strategy_10,candidates_10
1,GRBR,True,5,BWGO,0B2W,LLM,312,RYBG,1B2W,VOI,34,WRBY,2B0W,VOI,5,GRBB,3B0W,VOI,1,GRBR,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
2,RGBY,True,3,GYWB,0B3W,LLM,136,YGBY,3B0W,VOI,7,RGBY,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,BYYW,True,4,RGRO,0B0W,LLM,81,YWBY,0B4W,VOI,2,WYYB,2B2W,VOI,1,BYYW,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,
4,BGWY,True,5,WOYW,0B2W,LLM,222,YWBY,1B2W,VOI,16,RBWY,2B1W,VOI,3,YBWB,1B2W,VOI,1,BGWY,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
5,BROG,True,5,RWYO,0B2W,LLM,312,BGWY,1B1W,VOI,63,GRWW,1B1W,VOI,8,OGOW,1B1W,VOI,1,BROG,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
6,GGWY,True,5,WRBW,0B1W,LLM,276,YBYG,0B2W,VOI,42,GYOR,1B1W,VOI,9,OYWY,2B0W,VOI,2,GGWY,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
7,RWOW,True,5,RRGO,1B1W,LLM,230,RGBY,1B0W,VOI,14,OGGW,1B1W,VOI,3,ROWW,2B2W,VOI,1,RWOW,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
8,WGRR,True,5,ORBO,0B1W,LLM,276,WYYB,1B0W,VOI,34,WGRW,3B0W,VOI,4,WGRG,3B0W,VOI,1,WGRR,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
9,ROWO,True,5,RYWO,3B0W,LLM,20,RYGO,2B0W,VOI,12,RYWB,2B0W,VOI,6,OYWO,2B1W,VOI,1,ROWO,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
10,WYYY,True,5,GOWY,1B1W,LLM,252,RGBY,1B0W,VOI,21,ROOW,0B1W,VOI,6,YWYY,2B2W,VOI,1,WYYY,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
11,ORRR,True,5,WOGB,0B1W,LLM,152,YWYY,0B0W,VOI,21,RRRG,2B1W,VOI,5,RRBR,2B1W,VOI,1,ORRR,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
