game_number,target_word,won,attempts,guess_1,feedback_1,hamming_1,levenshtein_1,strategy_1,guess_2,feedback_2,hamming_2,levenshtein_2,strategy_2,guess_3,feedback_3,hamming_3,levenshtein_3,strategy_3,guess_4,feedback_4,hamming_4,levenshtein_4,strategy_4,guess_5,feedback_5,hamming_5,levenshtein_5,strategy_5,guess_6,feedback_6,hamming_6,levenshtein_6,strategy_6
1,PHOTO,True,3,HOUSE,YY---,5,4,LLM,THORN,YGG--,3,3,LLM,PHOTO,GGGGG,0,0,LLM,,,,,,,,,,,,,,,
2,PARTY,True,5,HOUSE,-----,5,5,LLM,NAIRA,-G-Y-,4,4,VOI_REPAIR,DARBY,-GG-G,2,2,LLM,MARTY,-GGGG,1,1,LLM,PARTY,GGGGG,0,0,LLM,,,,,
3,TRICK,True,4,HOUSE,-----,5,5,LLM,MARTY,--YY-,5,5,VOI_REPAIR,TRILL,GGG--,2,2,LLM,TRICK,GGGGG,0,0,LLM,,,,,,,,,,
4,DIRTY,True,4,HOUSE,-----,5,5,LLM,TRICK,YYY--,5,5,VOI_REPAIR,PARTI,--GGY,3,3,LLM,DIRTY,GGGGG,0,0,LLM,,,,,,,,,,
5,USUAL,True,3,HOUSE,--GY-,4,4,LLM,STUNS,Y-G--,4,4,LLM,USUAL,GGGGG,0,0,LLM,,,,,,,,,,,,,,,
6,TRULY,True,5,HOUSE,--G--,4,4,LLM,TRUNK,GGG--,2,2,LLM,TRUMP,GGG--,2,2,LLM,TRUDY,GGG-G,1,1,LLM,TRULY,GGGGG,0,0,LLM,,,,,
7,SPENT,True,5,HOUSE,---YY,5,5,LLM,STEAM,GYG--,3,3,LLM,SLEET,G-G-G,2,2,LLM,SWEPT,G-GYG,2,2,LLM,SPENT,GGGGG,0,0,LLM,,,,,
8,PAUSE,True,2,HOUSE,--GGG,2,2,LLM,PAUSE,GGGGG,0,0,LLM,,,,,,,,,,,,,,,,,,,,
9,CRAZY,True,5,HOUSE,-----,5,5,LLM,PARTI,-YY--,5,5,VOI_REPAIR,CRACK,GGG--,2,2,LLM,CRABB,GGG--,2,2,LLM,CRAZY,GGGGG,0,0,LLM,,,,,
10,BASES,True,5,HOUSE,---YY,5,4,LLM,SPENT,Y-Y--,5,5,VOI_REPAIR,LASER,-GGG-,2,2,VOI_REPAIR,CASES,-GGGG,1,1,LLM,BASES,GGGGG,0,0,LLM,,,,,
11,YOUNG,True,4,HOUSE,-GG--,3,3,LLM,MOULD,-GG--,3,3,LLM,COUNT,-GGG-,2,2,LLM,YOUNG,GGGGG,0,0,LLM,,,,,,,,,,
12,MEANS,True,4,HOUSE,---YY,5,5,LLM,EASES,YY--G,4,3,VOI_REPAIR,BEANS,-GGGG,1,1,LLM,MEANS,GGGGG,0,0,LLM,,,,,,,,,,
13,TRUTH,True,3,HOUSE,Y-G--,4,4,LLM,THUMP,GYG--,3,3,LLM,TRUTH,GGGGG,0,0,LLM,,,,,,,,,,,,,,,
14,FIRED,True,5,HOUSE,----Y,5,5,LLM,ARDEN,-YYG-,4,4,VOI_REPAIR,WIRED,-GGGG,1,1,LLM,TIRED,-GGGG,1,1,LLM,FIRED,GGGGG,0,0,LLM,,,,,
15,FOLKS,True,4,HOUSE,-G-Y-,4,4,LLM,COOLS,-G-YG,3,3,VOI_REPAIR,GOLDS,-GG-G,2,2,LLM,FOLKS,GGGGG,0,0,LLM,,,,,,,,,,
16,CHILE,True,4,HOUSE,Y---G,4,4,LLM,WHINE,-GG-G,2,2,LLM,CHIME,GGG-G,1,1,LLM,CHILE,GGGGG,0,0,LLM,,,,,,,,,,
17,BLACK,True,3,HOUSE,-----,5,5,LLM,BLINK,GG--G,2,2,LLM,BLACK,GGGGG,0,0,LLM,,,,,,,,,,,,,,,
18,GRANT,True,3,HOUSE,-----,5,5,LLM,BLANK,--GG-,3,3,LLM,GRANT,GGGGG,0,0,LLM,,,,,,,,,,,,,,,
19,MEALS,True,5,HOUSE,---YY,5,5,LLM,STEAM,Y-YYY,5,4,LLM,MAZES,GY-YG,3,3,LLM,MEANS,GGG-G,1,1,LLM,MEALS,GGGGG,0,0,LLM,,,,,
20,CREAM,True,5,HOUSE,----Y,5,5,LLM,FIRED,--YY-,5,4,VOI_REPAIR,TEARY,-YYY-,5,4,LLM,BREAM,-GGGG,1,1,LLM,CREAM,GGGGG,0,0,LLM,,,,,
21,AWAKE,True,4,HOUSE,----G,4,4,LLM,RAINE,-Y--G,4,4,VOI_REPAIR,FLAKE,--GGG,2,2,LLM,AWAKE,GGGGG,0,0,LLM,,,,,,,,,,
22,OCCUR,True,4,HOUSE,-YY--,5,5,LLM,GUMBO,-Y--Y,5,5,LLM,CLOUD,Y-YG-,4,4,LLM,OCCUR,GGGGG,0,0,LLM,,,,,,,,,,
23,YEARS,True,4,HOUSE,---YY,5,5,LLM,MEALS,-GG-G,2,2,VOI_REPAIR,BEANS,-GG-G,2,2,LLM,YEARS,GGGGG,0,0,LLM,,,,,,,,,,
24,GRADE,True,5,HOUSE,----G,4,4,LLM,AWAKE,--G-G,3,3,VOI_REPAIR,BLAZE,--G-G,3,3,LLM,GRATE,GGG-G,1,1,LLM,GRADE,GGGGG,0,0,LLM,,,,,
25,CHILL,True,4,HOUSE,Y----,5,5,LLM,CHART,GG---,3,3,VOI_REPAIR,CHILI,GGGG-,1,1,LLM,CHILL,GGGGG,0,0,LLM,,,,,,,,,,
26,FLOOD,True,4,HOUSE,-Y---,5,5,LLM,RATON,---G-,4,4,VOI_REPAIR,GLOOM,-GGG-,2,2,LLM,FLOOD,GGGGG,0,0,LLM,,,,,,,,,,
27,APPLY,True,4,HOUSE,-----,5,5,LLM,BLANK,-YY--,5,5,LLM,VALID,-YY--,5,5,LLM,APPLY,GGGGG,0,0,LLM,,,,,,,,,,
28,SMILE,True,5,HOUSE,---YG,4,4,LLM,SPACE,G---G,3,3,LLM,SIEVE,GY--G,3,3,LLM,SLIME,GYGYG,2,2,LLM,SMILE,GGGGG,0,0,LLM,,,,,
29,KNOCK,True,4,HOUSE,-Y---,5,5,LLM,BLOOD,--G--,4,4,VOI_REPAIR,GROAN,--G-Y,4,4,LLM,KNOCK,GGGGG,0,0,LLM,,,,,,,,,,
