game_number,target_word,won,attempts,guess_1,feedback_1,hamming_1,levenshtein_1,strategy_1,guess_2,feedback_2,hamming_2,levenshtein_2,strategy_2,guess_3,feedback_3,hamming_3,levenshtein_3,strategy_3,guess_4,feedback_4,hamming_4,levenshtein_4,strategy_4,guess_5,feedback_5,hamming_5,levenshtein_5,strategy_5,guess_6,feedback_6,hamming_6,levenshtein_6,strategy_6
1,PHOTO,True,4,GUESS,-----,5,5,LLM,CARON,---Y-,5,5,VOI,DOLBY,-Y---,5,5,VOI,PHOTO,GGGGG,0,0,VOI,,,,,,,,,,
2,PARTY,True,4,BASED,-G---,4,4,LLM,MARTA,-GGG-,2,2,VOI,PARTI,GGGG-,1,1,VOI,PARTY,GGGGG,0,0,VOI,,,,,,,,,,
3,TRICK,True,5,BASED,-----,5,5,LLM,FILTH,-Y-Y-,5,5,VOI,VOMIT,---YY,5,5,VOI,TWINK,G-G-G,2,2,VOI,TRICK,GGGGG,0,0,VOI,,,,,
4,DIRTY,True,4,BASED,----Y,5,5,LLM,MOLDY,---YG,4,4,VOI,DINKY,GG--G,2,2,VOI,DIRTY,GGGGG,0,0,VOI,,,,,,,,,,
5,USUAL,True,4,BASED,-YY--,5,5,LLM,STARS,Y-Y--,5,4,VOI,ASIAN,-G-G-,3,3,VOI,USUAL,GGGGG,0,0,VOI,,,,,,,,,,
6,TRULY,True,4,SEEMS,-----,5,5,LLM,PARTY,--YYG,4,4,VOI,TRUDY,GGG-G,1,1,VOI,TRULY,GGGGG,0,0,VOI,,,,,,,,,,
7,SPENT,True,4,SALAS,G----,4,4,LLM,STORE,GY--Y,4,4,VOI,SWEET,G-G-G,2,2,VOI,SPENT,GGGGG,0,0,VOI,,,,,,,,,,
8,PAUSE,True,2,BASED,-GYY-,4,3,LLM,PAUSE,GGGGG,0,0,VOI,,,,,,,,,,,,,,,,,,,,
9,CRAZY,True,4,BASED,-Y---,5,5,LLM,NORMA,--Y-Y,5,5,VOI,TRACI,-GGY-,3,3,VOI,CRAZY,GGGGG,0,0,VOI,,,,,,,,,,
10,BASES,True,2,BASED,GGGG-,1,1,LLM,BASES,GGGGG,0,0,VOI,,,,,,,,,,,,,,,,,,,,
11,YOUNG,True,5,NOTED,YG---,4,4,LLM,MORAN,-G--Y,4,4,VOI,SONIC,-GY--,4,4,VOI,LOONY,-G-GY,3,3,VOI,YOUNG,GGGGG,0,0,VOI,,,,,
12,MEANS,True,4,BASED,-YYY-,5,5,LLM,STARE,Y-G-Y,4,4,VOI,LEAPS,-GG-G,2,2,VOI,MEANS,GGGGG,0,0,VOI,,,,,,,,,,
13,TRUTH,True,5,GUESS,-Y---,5,5,LLM,TRULY,GGG--,2,2,VOI,TRUMP,GGG--,2,2,VOI,TRUCK,GGG--,2,2,VOI,TRUTH,GGGGG,0,0,VOI,,,,,
14,FIRED,True,4,BASED,---GG,3,3,LLM,TIRED,-GGGG,1,1,VOI,WIRED,-GGGG,1,1,VOI,FIRED,GGGGG,0,0,VOI,,,,,,,,,,
15,FOLKS,True,5,GUESS,----G,4,4,LLM,LOANS,YG--G,3,3,VOI,COLTS,-GG-G,2,2,VOI,FOLDS,GGG-G,1,1,VOI,FOLKS,GGGGG,0,0,VOI,,,,,
16,CHILE,True,4,BASED,---Y-,5,5,LLM,LORNE,Y---G,4,4,VOI,EMILE,--GGG,2,2,VOI,CHILE,GGGGG,0,0,VOI,,,,,,,,,,
17,BLACK,True,4,BASED,GY---,4,4,LLM,BRAIN,G-G--,3,3,VOI,BHATT,G-G--,3,3,VOI,BLACK,GGGGG,0,0,VOI,,,,,,,,,,
18,GRANT,True,4,GUESS,G----,4,4,LLM,GARTH,GYYY-,4,3,VOI,GRAFT,GGG-G,1,1,VOI,GRANT,GGGGG,0,0,VOI,,,,,,,,,,
19,MEALS,True,3,BASED,-YYY-,5,5,LLM,MEANS,GGG-G,1,1,VOI,MEALS,GGGGG,0,0,VOI,,,,,,,,,,,,,,,
20,CREAM,True,5,BASED,-Y-Y-,5,5,LLM,LEARN,-YYY-,5,4,VOI,GRETA,-GG-Y,3,3,VOI,WREAK,-GGG-,2,2,VOI,CREAM,GGGGG,0,0,VOI,,,,,
21,AWAKE,True,4,BASED,-Y-Y-,5,4,LLM,CREAM,--YY-,5,5,VOI,ANKLE,G-Y-G,3,3,VOI,AWAKE,GGGGG,0,0,VOI,,,,,,,,,,
22,OCCUR,True,4,BASED,-----,5,5,LLM,PLUTO,--Y-Y,5,5,VOI,RUMOR,-Y-YG,4,4,VOI,OCCUR,GGGGG,0,0,VOI,,,,,,,,,,
23,YEARS,True,5,GUESS,--Y-G,4,4,LLM,MEANS,-GG-G,2,2,VOI,LEAPS,-GG-G,2,2,VOI,HEATS,-GG-G,2,2,VOI,YEARS,GGGGG,0,0,VOI,,,,,
24,GRADE,True,6,GIVEN,G--Y-,4,4,LLM,GRETA,GGY-Y,3,3,VOI,GRAPE,GGG-G,1,1,VOI,GRAZE,GGG-G,1,1,VOI,GRACE,GGG-G,1,1,VOI,GRADE,GGGGG,0,0,VOI
25,CHILL,True,4,BASED,-----,5,5,LLM,OCCUR,-Y---,5,5,VOI,MITCH,-Y-YY,5,5,VOI,CHILL,GGGGG,0,0,VOI,,,,,,,,,,
26,FLOOD,True,5,GUESS,-----,5,5,LLM,COLIN,-YY--,5,5,VOI,BLOAT,-GG--,3,3,VOI,FLOYD,GGG-G,1,1,VOI,FLOOD,GGGGG,0,0,VOI,,,,,
27,APPLY,True,5,BASED,-Y---,5,5,LLM,GRAFT,--Y--,5,5,VOI,MOHAN,---Y-,5,5,VOI,YULIA,Y-Y-Y,5,5,VOI,APPLY,GGGGG,0,0,VOI,,,,,
28,SMILE,True,4,GUESS,--YY-,5,5,LLM,BASEL,--YYY,5,5,VOI,STOLE,G--GG,2,2,VOI,SMILE,GGGGG,0,0,VOI,,,,,,,,,,
29,KNOCK,True,6,GIVEN,----Y,5,5,LLM,SONNY,-YY--,5,5,VOI,ANJOU,-G-Y-,4,4,VOI,KNOLL,GGG--,2,2,VOI,KNOPF,GGG--,2,2,VOI,KNOCK,GGGGG,0,0,VOI
30,SLEEP,True,4,BASED,--YG-,4,4,LLM,SWEET,G-GG-,2,2,VOI,SHEEP,G-GGG,1,1,VOI,SLEEP,GGGGG,0,0,VOI,,,,,,,,,,
31,BRICK,True,4,BASED,G----,4,4,LLM,BLOOM,G----,4,4,VOI,BRING,GGG--,2,2,VOI,BRICK,GGGGG,0,0,VOI,,,,,,,,,,
32,WROTE,True,3,BASED,---Y-,5,5,LLM,WHILE,G---G,3,3,VOI,WROTE,GGGGG,0,0,VOI,,,,,,,,,,,,,,,
33,RATED,True,2,BASED,-G-GG,2,2,LLM,RATED,GGGGG,0,0,VOI,,,,,,,,,,,,,,,,,,,,
34,ALERT,True,4,BASED,-Y-Y-,5,4,LLM,GRACE,-YY-Y,5,5,VOI,TERRA,YY-GY,4,4,VOI,ALERT,GGGGG,0,0,VOI,,,,,,,,,,
35,CAGES,True,5,RANGE,-G-YY,4,3,LLM,GATED,YG-G-,3,3,VOI,WAGES,-GGGG,1,1,VOI,SAGES,-GGGG,1,1,VOI,CAGES,GGGGG,0,0,VOI,,,,,
36,TEDDY,True,5,GIVEN,---Y-,5,5,LLM,REALS,-G---,4,4,VOI,PETCO,-GY--,4,4,VOI,HEFTY,-G-YG,3,3,VOI,TEDDY,GGGGG,0,0,VOI,,,,,
37,COLES,True,5,BASED,--YG-,4,4,LLM,SLEEP,YY-G-,4,4,VOI,MILES,--GGG,2,2,VOI,RULES,--GGG,2,2,VOI,COLES,GGGGG,0,0,VOI,,,,,
38,HWANG,True,4,GUESS,Y----,5,5,LLM,BOING,---GG,3,3,VOI,THANG,-YGGG,2,2,VOI,HWANG,GGGGG,0,0,VOI,,,,,,,,,,
39,WRATH,True,4,BASED,-Y---,5,5,LLM,HOLLA,Y---Y,5,5,VOI,CHANG,-YG--,4,4,VOI,WRATH,GGGGG,0,0,VOI,,,,,,,,,,
40,MACHO,True,4,BASED,-G---,4,4,LLM,GARTH,-G--Y,4,4,VOI,NACHO,-GGGG,1,1,VOI,MACHO,GGGGG,0,0,VOI,,,,,,,,,,
41,LOPEZ,True,3,BASED,---G-,4,4,LLM,LONER,GG-G-,2,2,VOI,LOPEZ,GGGGG,0,0,VOI,,,,,,,,,,,,,,,
42,GOODY,True,3,GIVEN,G----,4,4,LLM,GARTH,G----,4,4,VOI,GOODY,GGGGG,0,0,VOI,,,,,,,,,,,,,,,
43,BROTH,True,4,BASED,G----,4,4,LLM,BRICK,GG---,3,3,VOI,BRUNT,GG--Y,3,3,VOI,BROTH,GGGGG,0,0,VOI,,,,,,,,,,
44,VERDE,True,4,BURMA,--G--,4,4,LLM,FIRED,--GYY,4,4,VOI,NERDY,-GGG-,2,2,VOI,VERDE,GGGGG,0,0,VOI,,,,,,,,,,
45,TAMED,True,3,GUESS,--Y--,5,5,LLM,RATED,-GYGG,2,2,VOI,TAMED,GGGGG,0,0,VOI,,,,,,,,,,,,,,,
46,LEAFS,True,3,GIVEN,---Y-,5,5,LLM,LEYTE,GG---,3,3,VOI,LEAFS,GGGGG,0,0,VOI,,,,,,,,,,,,,,,
47,YACHT,True,3,BASED,-G---,4,4,LLM,MACHO,-GGG-,2,2,VOI,YACHT,GGGGG,0,0,VOI,,,,,,,,,,,,,,,
48,MESSY,True,4,BASED,--GY-,4,4,LLM,JOSIE,--G-Y,4,4,VOI,VESTS,-GG-Y,3,3,VOI,MESSY,GGGGG,0,0,VOI,,,,,,,,,,
49,RYDER,True,4,GIVEN,---G-,4,4,LLM,RULES,G--G-,3,3,VOI,RATED,G--GY,3,3,VOI,RYDER,GGGGG,0,0,VOI,,,,,,,,,,
50,MOTIF,True,5,GIVEN,-Y---,5,5,LLM,COILS,-GY--,4,4,VOI,BOBBI,-G--Y,4,4,VOI,MORIA,GG-G-,2,2,VOI,MOTIF,GGGGG,0,0,VOI,,,,,
51,RAVEN,True,3,BASED,-G-G-,3,3,LLM,GAVEL,-GGG-,2,2,VOI,RAVEN,GGGGG,0,0,VOI,,,,,,,,,,,,,,,
52,REICH,True,4,GIVEN,-Y-Y-,5,5,LLM,SMILE,--G-Y,4,4,VOI,KEIRA,-GGY-,3,3,VOI,REICH,GGGGG,0,0,VOI,,,,,,,,,,
53,ICONS,True,3,GIVEN,-Y--Y,5,4,LLM,SONIC,YYYYY,5,4,VOI,ICONS,GGGGG,0,0,VOI,,,,,,,,,,,,,,,
54,SILKY,True,5,GIVEN,-G---,4,4,LLM,SIMBA,GG---,3,3,VOI,SIXTY,GG--G,2,2,VOI,SILLY,GGG-G,1,1,VOI,SILKY,GGGGG,0,0,VOI,,,,,
55,CARVE,True,4,GIVEN,--YY-,5,4,LLM,AVERT,YYYY-,5,4,VOI,VERMA,YYG-Y,4,4,VOI,CARVE,GGGGG,0,0,VOI,,,,,,,,,,
56,LAGER,True,5,GUESS,Y-Y--,5,5,LLM,WAGED,-GGG-,2,2,VOI,PAGET,-GGG-,2,2,VOI,BAGEL,-GGGY,2,2,VOI,LAGER,GGGGG,0,0,VOI,,,,,
57,JERKS,True,6,BASED,--YY-,5,5,LLM,SCENT,Y-Y--,5,5,VOI,GERMS,-GG-G,2,2,VOI,HEROS,-GG-G,2,2,VOI,PERKS,-GGGG,1,1,VOI,JERKS,GGGGG,0,0,VOI
58,LOTUS,True,6,BASED,--Y--,5,5,LLM,SILKY,Y-Y--,5,5,VOI,POOLS,-G-YG,3,3,VOI,LONGS,GG--G,2,2,VOI,LOFTS,GG-YG,2,2,VOI,LOTUS,GGGGG,0,0,VOI
59,LACEY,True,4,BASED,-G-G-,3,3,LLM,LAGER,GG-G-,2,2,VOI,LANEY,GG-GG,1,1,VOI,LACEY,GGGGG,0,0,VOI,,,,,,,,,,
60,TUDOR,True,4,BASED,----Y,5,5,LLM,GOODY,-Y-Y-,5,5,VOI,DITTO,Y-Y-Y,5,5,VOI,TUDOR,GGGGG,0,0,VOI,,,,,,,,,,
61,QUOTA,True,6,BASED,-Y---,5,5,LLM,CHAIN,--Y--,5,5,VOI,APPLY,Y----,5,5,VOI,MOMMA,-Y--G,4,4,VOI,OUTTA,YG-GG,2,2,VOI,QUOTA,GGGGG,0,0,VOI
62,MOURN,True,3,GIVEN,----G,4,4,LLM,USMAN,Y-Y-G,4,4,VOI,MOURN,GGGGG,0,0,VOI,,,,,,,,,,,,,,,
63,PROMO,True,5,BASED,-----,5,5,LLM,THUNK,-----,5,5,VOI,MIMIC,Y----,5,5,VOI,GLOOM,--GYY,4,4,VOI,PROMO,GGGGG,0,0,VOI,,,,,
64,CASTE,True,2,BASED,-GGY-,3,3,LLM,CASTE,GGGGG,0,0,VOI,,,,,,,,,,,,,,,,,,,,
