game_number,target_word,won,attempts,guess_1,feedback_1,hamming_1,levenshtein_1,strategy_1,guess_2,feedback_2,hamming_2,levenshtein_2,strategy_2,guess_3,feedback_3,hamming_3,levenshtein_3,strategy_3,guess_4,feedback_4,hamming_4,levenshtein_4,strategy_4,guess_5,feedback_5,hamming_5,levenshtein_5,strategy_5,guess_6,feedback_6,hamming_6,levenshtein_6,strategy_6
1,PHOTO,True,4,GUESS,-----,5,5,LLM,MARIN,-----,5,5,VOI,BOOTH,-YGGY,3,3,VOI,PHOTO,GGGGG,0,0,VOI,,,,,,,,,,
2,PARTY,True,4,MANGO,-G---,4,4,LLM,DARLA,-GG--,3,3,VOI,PARTE,GGGG-,1,1,VOI,PARTY,GGGGG,0,0,VOI,,,,,,,,,,
3,TRICK,True,4,GUESS,-----,5,5,LLM,LOFTY,---Y-,5,5,VOI,TARIK,G-YYG,3,2,VOI,TRICK,GGGGG,0,0,VOI,,,,,,,,,,
4,DIRTY,True,5,SONAR,----Y,5,5,LLM,TRICK,YYY--,5,5,VOI,MERIT,--GYY,4,4,VOI,GIRTH,-GGG-,2,2,VOI,DIRTY,GGGGG,0,0,VOI,,,,,
5,USUAL,True,4,GIVEN,-----,5,5,LLM,PARTY,-Y---,5,5,VOI,CLAMS,-YY-Y,5,5,VOI,USUAL,GGGGG,0,0,VOI,,,,,,,,,,
6,TRULY,True,4,GIVEN,-----,5,5,LLM,COATS,---Y-,5,5,VOI,THUMB,G-G--,3,3,VOI,TRULY,GGGGG,0,0,VOI,,,,,,,,,,
7,SPENT,True,4,PESKY,YYY--,5,4,LLM,SPARE,GG--Y,3,3,VOI,SPEND,GGGG-,1,1,VOI,SPENT,GGGGG,0,0,VOI,,,,,,,,,,
8,PAUSE,True,3,GUESS,-YYG-,4,4,LLM,CAUSE,-GGGG,1,1,VOI,PAUSE,GGGGG,0,0,VOI,,,,,,,,,,,,,,,
9,CRAZY,True,5,TWILL,-----,5,5,LLM,ACRES,YYY--,5,4,VOI,CRANK,GGG--,2,2,VOI,CRAMP,GGG--,2,2,VOI,CRAZY,GGGGG,0,0,VOI,,,,,
10,BASES,True,3,BASED,GGGG-,1,1,LLM,BASEL,GGGG-,1,1,VOI,BASES,GGGGG,0,0,VOI,,,,,,,,,,,,,,,
