game_number,target_word,won,attempts,guess_1,feedback_1,hamming_1,levenshtein_1,strategy_1,guess_2,feedback_2,hamming_2,levenshtein_2,strategy_2,guess_3,feedback_3,hamming_3,levenshtein_3,strategy_3,guess_4,feedback_4,hamming_4,levenshtein_4,strategy_4,guess_5,feedback_5,hamming_5,levenshtein_5,strategy_5,guess_6,feedback_6,hamming_6,levenshtein_6,strategy_6,candidates_before_1,candidates_after_1,reduction_rate_1,candidates_before_2,candidates_after_2,reduction_rate_2,candidates_before_3,candidates_after_3,reduction_rate_3,candidates_before_4,candidates_after_4,reduction_rate_4,candidates_before_5,candidates_after_5,reduction_rate_5,candidates_before_6,candidates_after_6,reduction_rate_6,total_violations
1,PHOTO,True,3,CRANE,-----,5,5,LLM,TOOLS,YYG--,4,4,CSS_TRUE_REPAIR,PHOTO,GGGGG,0.0,0.0,LLM,,,,,,,,,,,,,,,,5629,540,90.4068218155978,540,2,99.62962962962963,2.0,1.0,50.0,,,,,,,,,,0
2,PARTY,True,4,CRANE,-YY--,5,5,LLM,MARTA,-GGG-,2,2,CSS_TRUE_REPAIR,DARTS,-GGG-,2.0,2.0,LLM,PARTY,GGGGG,0.0,0.0,LLM,,,,,,,,,,,5629,227,95.96731213359388,227,11,95.15418502202644,11.0,4.0,63.63636363636363,4.0,1.0,75.0,,,,,,,0
3,TRICK,True,2,CRANE,YG---,4,4,LLM,TRICK,GGGGG,0,0,LLM,,,,,,,,,,,,,,,,,,,,,5629,8,99.85787884171256,8,1,87.5,,,,,,,,,,,,,0
4,DIRTY,True,4,CRANE,-Y---,5,5,LLM,TORUS,Y-G--,4,4,CSS_TRUE_REPAIR,BIRTH,-GGG-,2.0,2.0,LLM,DIRTY,GGGGG,0.0,0.0,LLM,,,,,,,,,,,5629,194,96.55356191152958,194,6,96.90721649484536,6.0,1.0,83.33333333333334,1.0,1.0,0.0,,,,,,,0
5,USUAL,True,4,CRANE,--Y--,5,5,LLM,HALTS,-YY-Y,5,5,CSS_TRUE_REPAIR,ALISA,YY-Y-,5.0,5.0,LLM,USUAL,GGGGG,0.0,0.0,LLM,,,,,,,,,,,5629,448,92.04121513590336,448,3,99.33035714285714,3.0,1.0,66.66666666666666,1.0,1.0,0.0,,,,,,,0
6,TRULY,True,5,CRANE,-G---,4,4,LLM,TROUT,GG-Y-,3,3,LLM,TRUSS,GGG--,2.0,2.0,LLM,TRUMP,GGG--,2.0,2.0,LLM,TRULY,GGGGG,0.0,0.0,LLM,,,,,,5629,93,98.34784153490853,93,4,95.6989247311828,4.0,3.0,25.0,3.0,2.0,33.33333333333333,2.0,1.0,50.0,,,,0
7,SPENT,True,3,CRANE,---GY,4,4,LLM,BLEND,--GG-,3,3,LLM,SPENT,GGGGG,0.0,0.0,LLM,,,,,,,,,,,,,,,,5629,41,99.27162906377689,41,14,65.85365853658537,14.0,1.0,92.85714285714286,,,,,,,,,,0
8,PAUSE,True,4,CRANE,--Y-G,4,4,LLM,MAIZE,-G--G,3,3,LLM,GAUGE,-GG-G,2.0,2.0,LLM,PAUSE,GGGGG,0.0,0.0,LLM,,,,,,,,,,,5629,78,98.61431870669746,78,34,56.41025641025641,34.0,3.0,91.17647058823528,3.0,1.0,66.66666666666666,,,,,,,0
9,CRAZY,False,6,CRANE,GGG--,2,2,LLM,CRABB,GGG--,2,2,LLM,CRAPS,GGG--,2.0,2.0,LLM,CRAWL,GGG--,2.0,2.0,LLM,CRAFT,GGG--,2.0,2.0,LLM,CRACK,GGG--,2.0,2.0,LLM,5629,11,99.80458340735476,11,9,18.181818181818183,9.0,5.0,44.44444444444444,5.0,4.0,20.0,4.0,3.0,25.0,3.0,2.0,33.33333333333333,0
10,BASES,True,5,CRANE,--Y-Y,5,4,LLM,SALEM,YG-G-,3,3,CSS_TRUE_REPAIR,WAVES,-G-GG,2.0,2.0,LLM,GATES,-G-GG,2.0,2.0,LLM,BASES,GGGGG,0.0,0.0,LLM,,,,,,5629,215,96.18049387102504,215,35,83.72093023255815,35.0,22.0,37.142857142857146,22.0,9.0,59.09090909090909,9.0,1.0,88.88888888888889,,,,0
11,YOUNG,True,4,CRANE,---G-,4,4,LLM,SUING,-Y-GG,3,3,CSS_TRUE_REPAIR,HYUNG,-YGGG,2.0,2.0,LLM,YOUNG,GGGGG,0.0,0.0,LLM,,,,,,,,,,,5629,104,98.15242494226328,104,6,94.23076923076924,6.0,1.0,83.33333333333334,1.0,1.0,0.0,,,,,,,0
12,MEANS,True,5,CRANE,--GGY,3,3,LLM,JEANS,-GGGG,1,1,LLM,BEANS,-GGGG,1.0,1.0,LLM,LEANS,-GGGG,1.0,1.0,LLM,MEANS,GGGGG,0.0,0.0,LLM,,,,,,5629,8,99.85787884171256,8,4,50.0,4.0,3.0,25.0,3.0,2.0,33.33333333333333,2.0,1.0,50.0,,,,0
13,TRUTH,True,4,CRANE,-G---,4,4,LLM,PROOF,-G---,4,4,LLM,TRIMS,GG---,3.0,3.0,LLM,TRUTH,GGGGG,0.0,0.0,LLM,,,,,,,,,,,5629,93,98.34784153490853,93,28,69.89247311827957,28.0,3.0,89.28571428571429,3.0,1.0,66.66666666666666,,,,,,,0
14,FIRED,True,6,CRANE,-Y--Y,5,5,LLM,SERVO,-YG--,4,4,CSS_TRUE_REPAIR,WIRED,-GGGG,1.0,1.0,LLM,TIRED,-GGGG,1.0,1.0,LLM,HIRED,-GGGG,1.0,1.0,LLM,FIRED,GGGGG,0.0,0.0,LLM,5629,269,95.22117605258484,269,8,97.02602230483272,8.0,4.0,50.0,4.0,3.0,25.0,3.0,2.0,33.33333333333333,2.0,1.0,50.0,0
15,FOLKS,True,3,CRANE,-----,5,5,LLM,POLIS,-GG-G,2,2,CSS_TRUE_REPAIR,FOLKS,GGGGG,0.0,0.0,LLM,,,,,,,,,,,,,,,,5629,540,90.4068218155978,540,12,97.77777777777776,12.0,1.0,91.66666666666666,,,,,,,,,,0
16,CHILE,True,4,CRANE,G---G,3,3,LLM,CHOKE,GG--G,2,2,LLM,CHIME,GGG-G,1.0,1.0,LLM,CHILE,GGGGG,0.0,0.0,LLM,,,,,,,,,,,5629,18,99.68022739385326,18,3,83.33333333333334,3.0,1.0,66.66666666666666,1.0,1.0,0.0,,,,,,,0
17,BLACK,True,2,CRANE,Y-G--,4,4,LLM,BLACK,GGGGG,0,0,LLM,,,,,,,,,,,,,,,,,,,,,5629,18,99.68022739385326,18,1,94.44444444444444,,,,,,,,,,,,,0
18,GRANT,True,3,CRANE,-GGG-,2,2,LLM,FRANK,-GGG-,2,2,LLM,GRANT,GGGGG,0.0,0.0,LLM,,,,,,,,,,,,,,,,5629,11,99.80458340735476,11,6,45.45454545454545,6.0,1.0,83.33333333333334,,,,,,,,,,0
19,MEALS,True,6,CRANE,--G-Y,4,4,LLM,BEAST,-GGY-,3,3,LLM,LEADS,YGG-G,2.0,2.0,LLM,SEALS,-GGGG,1.0,1.0,LLM,HEALS,-GGGG,1.0,1.0,LLM,MEALS,GGGGG,0.0,0.0,LLM,5629,46,99.18280333984724,46,12,73.91304347826086,12.0,3.0,75.0,3.0,2.0,33.33333333333333,2.0,1.0,50.0,1.0,1.0,0.0,0
20,CREAM,True,2,CRANE,GGY-Y,3,3,LLM,CREAM,GGGGG,0,0,LLM,,,,,,,,,,,,,,,,,,,,,5629,1,99.98223485521407,1,1,0.0,,,,,,,,,,,,,0
21,AWAKE,True,4,CRANE,--G-G,3,3,LLM,SHALE,--G-G,3,3,LLM,QUAKE,--GGG,2.0,2.0,LLM,AWAKE,GGGGG,0.0,0.0,LLM,,,,,,,,,,,5629,54,99.04068218155976,54,15,72.22222222222221,15.0,2.0,86.66666666666667,2.0,1.0,50.0,,,,,,,0
22,OCCUR,True,4,CRANE,YY---,5,5,LLM,TORCH,-YYY-,5,4,LLM,SCOUR,-GYGG,2.0,2.0,LLM,OCCUR,GGGGG,0.0,0.0,LLM,,,,,,,,,,,5629,20,99.6446971042814,20,4,80.0,4.0,1.0,75.0,1.0,1.0,0.0,,,,,,,0
23,YEARS,False,6,CRANE,-YG-Y,4,4,LLM,HEART,-GGG-,2,2,LLM,PEARS,-GGGG,1.0,1.0,LLM,WEARS,-GGGG,1.0,1.0,LLM,BEARS,-GGGG,1.0,1.0,LLM,FEARS,-GGGG,1.0,1.0,LLM,5629,25,99.55587138035176,25,14,44.0,14.0,8.0,42.857142857142854,8.0,7.0,12.5,7.0,6.0,14.285714285714285,6.0,5.0,16.666666666666664,0
24,GRADE,True,3,CRANE,-GG-G,2,2,LLM,BRAKE,-GG-G,2,2,LLM,GRADE,GGGGG,0.0,0.0,LLM,,,,,,,,,,,,,,,,5629,13,99.76905311778292,13,10,23.076923076923077,10.0,1.0,90.0,,,,,,,,,,0
25,CHILL,True,3,CRANE,G----,4,4,LLM,CLOUD,GY---,4,4,LLM,CHILL,GGGGG,0.0,0.0,LLM,,,,,,,,,,,,,,,,5629,62,98.89856102327234,62,3,95.16129032258064,3.0,1.0,66.66666666666666,,,,,,,,,,0
26,FLOOD,True,4,CRANE,-----,5,5,LLM,PLOTS,-GG--,3,3,CSS_TRUE_REPAIR,BLOOM,-GGG-,2.0,2.0,LLM,FLOOD,GGGGG,0.0,0.0,LLM,,,,,,,,,,,5629,540,90.4068218155978,540,7,98.70370370370372,7.0,1.0,85.71428571428571,1.0,1.0,0.0,,,,,,,0
27,APPLY,True,4,CRANE,--Y--,5,5,LLM,SALIM,-YY--,5,5,CSS_TRUE_REPAIR,ALOFT,GY---,4.0,4.0,LLM,APPLY,GGGGG,0.0,0.0,LLM,,,,,,,,,,,5629,448,92.04121513590336,448,27,93.97321428571428,27.0,2.0,92.5925925925926,2.0,1.0,50.0,,,,,,,0
28,SMILE,True,4,CRANE,----G,4,4,LLM,LOUSE,Y--YG,4,4,CSS_TRUE_REPAIR,SLIME,GYGYG,2.0,2.0,LLM,SMILE,GGGGG,0.0,0.0,LLM,,,,,,,,,,,5629,173,96.9266299520341,173,5,97.10982658959536,5.0,1.0,80.0,1.0,1.0,0.0,,,,,,,0
29,KNOCK,True,3,CRANE,Y--Y-,5,5,LLM,PINCH,--YG-,4,4,LLM,KNOCK,GGGGG,0.0,0.0,LLM,,,,,,,,,,,,,,,,5629,26,99.53810623556582,26,2,92.3076923076923,2.0,1.0,50.0,,,,,,,,,,0
30,SLEEP,True,4,CRANE,----Y,5,5,LLM,LOSES,Y-YG-,4,4,CSS_TRUE_REPAIR,SLEET,GGGG-,1.0,1.0,LLM,SLEEP,GGGGG,0.0,0.0,LLM,,,,,,,,,,,5629,463,91.7747379641144,463,6,98.70410367170626,6.0,2.0,66.66666666666666,2.0,1.0,50.0,,,,,,,0
31,BRICK,True,5,CRANE,YG---,4,4,LLM,TRICK,-GGGG,1,1,LLM,PRICK,-GGGG,1.0,1.0,LLM,FRICK,-GGGG,1.0,1.0,LLM,BRICK,GGGGG,0.0,0.0,LLM,,,,,,5629,8,99.85787884171256,8,3,62.5,3.0,2.0,33.33333333333333,2.0,1.0,50.0,1.0,1.0,0.0,,,,0
32,WROTE,True,4,CRANE,-G--G,3,3,LLM,PROBE,-GG-G,2,2,LLM,TROVE,YGG-G,2.0,2.0,LLM,WROTE,GGGGG,0.0,0.0,LLM,,,,,,,,,,,5629,30,99.4670456564221,30,7,76.66666666666667,7.0,1.0,85.71428571428571,1.0,1.0,0.0,,,,,,,0
33,RATED,True,3,CRANE,-YY-Y,5,3,LLM,LATER,-GGGY,2,2,CSS_TRUE_REPAIR,RATED,GGGGG,0.0,0.0,LLM,,,,,,,,,,,,,,,,5629,125,97.77935690175876,125,2,98.4,2.0,1.0,50.0,,,,,,,,,,0
34,ALERT,True,4,CRANE,-YY-Y,5,5,LLM,AMBER,G--YY,4,3,CSS_TRUE_REPAIR,AVERT,G-GGG,1.0,1.0,LLM,ALERT,GGGGG,0.0,0.0,LLM,,,,,,,,,,,5629,125,97.77935690175876,125,4,96.8,4.0,1.0,75.0,1.0,1.0,0.0,,,,,,,0
35,CAGES,True,4,CRANE,G-Y-Y,4,3,LLM,CASED,GGYG-,2,2,LLM,CAKES,GG-GG,1.0,1.0,LLM,CAGES,GGGGG,0.0,0.0,LLM,,,,,,,,,,,5629,20,99.6446971042814,20,6,70.0,6.0,5.0,16.666666666666664,5.0,1.0,80.0,,,,,,,0
36,TEDDY,True,4,CRANE,----Y,5,5,LLM,PILES,---Y-,5,5,CSS_TRUE_REPAIR,DEBUT,YG--Y,4.0,4.0,LLM,TEDDY,GGGGG,0.0,0.0,LLM,,,,,,,,,,,5629,463,91.7747379641144,463,24,94.81641468682506,24.0,1.0,95.83333333333334,1.0,1.0,0.0,,,,,,,0
37,COLES,True,3,CRANE,G---Y,4,4,LLM,CHESS,G-Y-G,3,3,LLM,COLES,GGGGG,0.0,0.0,LLM,,,,,,,,,,,,,,,,5629,34,99.39598507727838,34,8,76.47058823529412,8.0,1.0,87.5,,,,,,,,,,0
38,HWANG,True,4,CRANE,--GG-,3,3,LLM,PLANT,--GG-,3,3,LLM,SHANA,-YGG-,3.0,3.0,LLM,HWANG,GGGGG,0.0,0.0,LLM,,,,,,,,,,,5629,51,99.09397761591757,51,24,52.94117647058824,24.0,2.0,91.66666666666666,2.0,1.0,50.0,,,,,,,0
39,WRATH,True,5,CRANE,-GG--,3,3,LLM,BRAVO,-GG--,3,3,LLM,TRAPS,YGG--,3.0,3.0,CSS_TRUE_REPAIR,KRAFT,-GG-Y,3.0,3.0,LLM,WRATH,GGGGG,0.0,0.0,LLM,,,,,,5629,51,99.09397761591757,51,35,31.37254901960784,35.0,4.0,88.57142857142857,4.0,1.0,75.0,1.0,1.0,0.0,,,,0
40,MACHO,True,4,CRANE,Y-Y--,5,5,LLM,BATCH,-G-YY,4,3,LLM,SACHS,-GGG-,2.0,2.0,LLM,MACHO,GGGGG,0.0,0.0,LLM,,,,,,,,,,,5629,66,98.82750044412862,66,6,90.9090909090909,6.0,2.0,66.66666666666666,2.0,1.0,50.0,,,,,,,0
41,LOPEZ,True,5,CRANE,----Y,5,5,LLM,TILES,--YG-,4,4,CSS_TRUE_REPAIR,LEVEL,G--G-,3.0,3.0,LLM,LOBED,GG-G-,2.0,2.0,LLM,LOPEZ,GGGGG,0.0,0.0,LLM,,,,,,5629,463,91.7747379641144,463,20,95.6803455723542,20.0,3.0,85.0,3.0,1.0,66.66666666666666,1.0,1.0,0.0,,,,0
42,GOODY,True,4,CRANE,-----,5,5,LLM,BOILS,-G---,4,4,CSS_TRUE_REPAIR,TOUGH,-G-Y-,4.0,4.0,LLM,GOODY,GGGGG,0.0,0.0,LLM,,,,,,,,,,,5629,540,90.4068218155978,540,30,94.44444444444444,30.0,3.0,90.0,3.0,1.0,66.66666666666666,,,,,,,0
43,BROTH,True,4,CRANE,-G---,4,4,LLM,TROOP,YGG--,3,3,LLM,FROTH,-GGGG,1.0,1.0,LLM,BROTH,GGGGG,0.0,0.0,LLM,,,,,,,,,,,5629,93,98.34784153490853,93,4,95.6989247311828,4.0,1.0,75.0,1.0,1.0,0.0,,,,,,,0
44,VERDE,True,5,CRANE,-Y--G,4,4,LLM,ROQUE,Y---G,4,4,LLM,VERSE,GGG-G,1.0,1.0,LLM,VERGE,GGG-G,1.0,1.0,LLM,VERDE,GGGGG,0.0,0.0,LLM,,,,,,5629,70,98.7564398649849,70,25,64.28571428571429,25.0,3.0,88.0,3.0,2.0,33.33333333333333,2.0,1.0,50.0,,,,0
45,TAMED,True,6,CRANE,--Y-Y,5,4,LLM,SALES,-G-G-,3,3,CSS_TRUE_REPAIR,WAVED,-G-GG,2.0,2.0,LLM,BAKED,-G-GG,2.0,2.0,LLM,MATED,YGYGG,2.0,2.0,LLM,TAMED,GGGGG,0.0,0.0,LLM,5629,215,96.18049387102504,215,29,86.51162790697674,29.0,18.0,37.93103448275862,18.0,16.0,11.11111111111111,16.0,1.0,93.75,1.0,1.0,0.0,0
46,LEAFS,True,3,CRANE,--G-Y,4,4,LLM,DEALS,-GGYG,2,2,LLM,LEAFS,GGGGG,0.0,0.0,LLM,,,,,,,,,,,,,,,,5629,46,99.18280333984724,46,3,93.47826086956522,3.0,1.0,66.66666666666666,,,,,,,,,,0
47,YACHT,True,4,CRANE,Y-Y--,5,5,LLM,MAGIC,-G--Y,4,4,LLM,BATCH,-GYYY,4.0,3.0,LLM,YACHT,GGGGG,0.0,0.0,LLM,,,,,,,,,,,5629,66,98.82750044412862,66,28,57.57575757575758,28.0,1.0,96.42857142857144,1.0,1.0,0.0,,,,,,,0
48,MESSY,True,5,CRANE,----Y,5,5,LLM,BLEED,--Y--,5,5,CSS_TRUE_REPAIR,PESTS,-GG-Y,3.0,3.0,LLM,MESSI,GGGG-,1.0,1.0,LLM,MESSY,GGGGG,0.0,0.0,LLM,,,,,,5629,463,91.7747379641144,463,55,88.12095032397409,55.0,3.0,94.54545454545456,3.0,1.0,66.66666666666666,1.0,1.0,0.0,,,,0
49,RYDER,True,4,CRANE,-Y--Y,5,4,LLM,RETRO,GY-Y-,4,4,CSS_TRUE_REPAIR,RIDER,G-GGG,1.0,1.0,LLM,RYDER,GGGGG,0.0,0.0,LLM,,,,,,,,,,,5629,269,95.22117605258484,269,7,97.39776951672864,7.0,1.0,85.71428571428571,1.0,1.0,0.0,,,,,,,0
50,MOTIF,True,3,CRANE,-----,5,5,LLM,SLOTH,--YY-,5,4,CSS_TRUE_REPAIR,MOTIF,GGGGG,0.0,0.0,LLM,,,,,,,,,,,,,,,,5629,540,90.4068218155978,540,13,97.5925925925926,13.0,1.0,92.3076923076923,,,,,,,,,,0
51,RAVEN,True,2,CRANE,-YYYY,5,3,LLM,RAVEN,GGGGG,0,0,LLM,,,,,,,,,,,,,,,,,,,,,5629,10,99.82234855214072,10,1,90.0,,,,,,,,,,,,,0
52,REICH,True,3,CRANE,YY--Y,5,5,LLM,PERCH,-GYGG,2,2,LLM,REICH,GGGGG,0.0,0.0,LLM,,,,,,,,,,,,,,,,5629,14,99.75128797299698,14,1,92.85714285714286,1.0,1.0,0.0,,,,,,,,,,0
53,ICONS,True,3,CRANE,Y--G-,4,4,LLM,ICING,GG-G-,2,2,LLM,ICONS,GGGGG,0.0,0.0,LLM,,,,,,,,,,,,,,,,5629,3,99.9467045656422,3,1,66.66666666666666,1.0,1.0,0.0,,,,,,,,,,0
54,SILKY,True,4,CRANE,-----,5,5,LLM,SLIGO,GYY--,4,4,CSS_TRUE_REPAIR,SILLY,GGG-G,1.0,1.0,LLM,SILKY,GGGGG,0.0,0.0,LLM,,,,,,,,,,,5629,540,90.4068218155978,540,6,98.88888888888889,6.0,1.0,83.33333333333334,1.0,1.0,0.0,,,,,,,0
55,CARVE,True,3,CRANE,GYY-G,3,3,LLM,CARPE,GGG-G,1,1,LLM,CARVE,GGGGG,0.0,0.0,LLM,,,,,,,,,,,,,,,,5629,4,99.92893942085628,4,2,50.0,2.0,1.0,50.0,,,,,,,,,,0
56,LAGER,True,5,CRANE,-YY-Y,5,4,LLM,ALTER,YY-GG,3,3,CSS_TRUE_REPAIR,LASER,GG-GG,1.0,1.0,LLM,LAYER,GG-GG,1.0,1.0,LLM,LAGER,GGGGG,0.0,0.0,LLM,,,,,,5629,125,97.77935690175876,125,8,93.6,8.0,6.0,25.0,6.0,5.0,16.666666666666664,5.0,1.0,80.0,,,,0
57,JERKS,True,5,CRANE,-Y--Y,5,5,LLM,REMIT,YG---,4,4,CSS_TRUE_REPAIR,PERKY,-GGG-,2.0,2.0,LLM,BERKS,-GGGG,1.0,1.0,LLM,JERKS,GGGGG,0.0,0.0,LLM,,,,,,5629,269,95.22117605258484,269,49,81.78438661710037,49.0,2.0,95.91836734693877,2.0,1.0,50.0,1.0,1.0,0.0,,,,0
58,LOTUS,True,4,CRANE,-----,5,5,LLM,HOLDS,-GY-G,3,3,CSS_TRUE_REPAIR,LOOMS,GG--G,2.0,2.0,LLM,LOTUS,GGGGG,0.0,0.0,LLM,,,,,,,,,,,5629,540,90.4068218155978,540,17,96.85185185185186,17.0,3.0,82.35294117647058,3.0,1.0,66.66666666666666,,,,,,,0
59,LACEY,True,5,ADIEU,Y--G-,4,4,LLM,TASER,-G-G-,3,3,CSS_TRUE_REPAIR,HAVEN,-G-G-,3.0,3.0,LLM,LABEL,GG-G-,2.0,2.0,LLM,LACEY,GGGGG,0.0,0.0,LLM,,,,,,5629,180,96.8022739385326,180,30,83.33333333333334,30.0,13.0,56.666666666666664,13.0,1.0,92.3076923076923,1.0,1.0,0.0,,,,0
60,TUDOR,True,3,CRANE,-Y---,5,5,LLM,TORUS,GYYY-,4,4,CSS_TRUE_REPAIR,TUDOR,GGGGG,0.0,0.0,LLM,,,,,,,,,,,,,,,,5629,194,96.55356191152958,194,3,98.4536082474227,3.0,1.0,66.66666666666666,,,,,,,,,,0
61,QUOTA,True,4,CRANE,--Y--,5,5,LLM,HASTA,---GG,3,3,CSS_TRUE_REPAIR,GOTTA,-Y-GG,3.0,3.0,LLM,QUOTA,GGGGG,0.0,0.0,LLM,,,,,,,,,,,5629,448,92.04121513590336,448,6,98.66071428571428,6.0,1.0,83.33333333333334,1.0,1.0,0.0,,,,,,,0
62,MOURN,True,3,CRANE,-Y-Y-,5,5,LLM,MORIN,GGY-G,2,2,CSS_TRUE_REPAIR,MOURN,GGGGG,0.0,0.0,LLM,,,,,,,,,,,,,,,,5629,32,99.43151536685023,32,1,96.875,1.0,1.0,0.0,,,,,,,,,,0
63,PROMO,True,6,CRANE,-G---,4,4,LLM,PROXY,GGG--,2,2,LLM,PROOF,GGGY-,2.0,2.0,LLM,PROTO,GGG-G,1.0,1.0,LLM,PROVO,GGG-G,1.0,1.0,LLM,PROMO,GGGGG,0.0,0.0,LLM,5629,93,98.34784153490853,93,10,89.24731182795699,10.0,3.0,70.0,3.0,2.0,33.33333333333333,2.0,1.0,50.0,1.0,1.0,0.0,0
64,CASTE,True,3,CRANE,G-Y-G,3,3,LLM,CAUSE,GG-YG,2,2,LLM,CASTE,GGGGG,0.0,0.0,LLM,,,,,,,,,,,,,,,,5629,5,99.91117427607034,5,1,80.0,1.0,1.0,0.0,,,,,,,,,,0
65,CAPRI,True,3,CRANE,GYY--,4,4,LLM,CARDS,GGY--,3,3,LLM,CAPRI,GGGGG,0.0,0.0,LLM,,,,,,,,,,,,,,,,5629,23,99.5914016699236,23,4,82.6086956521739,4.0,1.0,75.0,,,,,,,,,,0
66,ALIAS,True,3,CRANE,--Y--,5,5,LLM,SALMA,YYY-Y,5,3,CSS_TRUE_REPAIR,ALIAS,GGGGG,0.0,0.0,LLM,,,,,,,,,,,,,,,,5629,448,92.04121513590336,448,1,99.77678571428572,1.0,1.0,0.0,,,,,,,,,,0
67,PADDY,True,4,CRANE,--Y--,5,5,LLM,SALMA,-G---,4,4,CSS_TRUE_REPAIR,HABIT,-G---,4.0,4.0,LLM,PADDY,GGGGG,0.0,0.0,LLM,,,,,,,,,,,5629,448,92.04121513590336,448,40,91.07142857142856,40.0,8.0,80.0,8.0,1.0,87.5,,,,,,,0
68,BLOBS,True,5,CRANE,-----,5,5,LLM,SOLID,YYY--,5,5,CSS_TRUE_REPAIR,GLOSS,-GG-G,2.0,2.0,LLM,BLOWS,GGG-G,1.0,1.0,LLM,BLOBS,GGGGG,0.0,0.0,LLM,,,,,,5629,540,90.4068218155978,540,10,98.14814814814817,10.0,6.0,40.0,6.0,1.0,83.33333333333334,1.0,1.0,0.0,,,,0
69,DILLY,False,6,CRANE,-----,5,5,LLM,POLIS,--GY-,4,4,CSS_TRUE_REPAIR,WILLY,-GGGG,1.0,1.0,LLM,BILLY,-GGGG,1.0,1.0,LLM,HILLY,-GGGG,1.0,1.0,LLM,LILLY,-GGGG,1.0,1.0,LLM,5629,540,90.4068218155978,540,14,97.4074074074074,14.0,8.0,42.857142857142854,8.0,7.0,12.5,7.0,6.0,14.285714285714285,6.0,5.0,16.666666666666664,0
