game_number,target_code,won,attempts,guess_1,feedback_1,strategy_1,candidates_1,guess_2,feedback_2,strategy_2,candidates_2,guess_3,feedback_3,strategy_3,candidates_3,guess_4,feedback_4,strategy_4,candidates_4,guess_5,feedback_5,strategy_5,candidates_5,guess_6,feedback_6,strategy_6,candidates_6,guess_7,feedback_7,strategy_7,candidates_7,guess_8,feedback_8,strategy_8,candidates_8,guess_9,feedback_9,strategy_9,candidates_9,guess_10,feedback_10,strategy_10,candidates_10
1,GRBR,True,4,WOGG,0B1W,LLM,276,RYOY,0B1W,VOI,38,YBBW,1B0W,VOI,2,GRBR,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,
2,RGBY,True,4,GYRW,0B3W,LLM,136,RWYB,1B2W,VOI,20,BGYR,1B3W,VOI,1,RGBY,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,
3,BYYW,True,5,GBGW,1B1W,LLM,230,GRBR,0B1W,VOI,56,YBWB,0B3W,VOI,4,BWYW,3B0W,VOI,2,BYYW,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
4,BGWY,True,3,WYGG,0B3W,LLM,44,YGWB,2B2W,VOI,2,BGWY,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,BROG,True,5,GYOW,1B1W,LLM,252,YBWW,0B1W,VOI,55,RROY,2B0W,VOI,8,GRYY,1B1W,VOI,1,BROG,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
6,GGWY,True,6,RRWY,2B0W,LLM,105,RGBY,2B0W,VOI,14,OGWY,3B0W,VOI,3,YGWY,3B0W,VOI,2,WGWY,3B0W,VOI,1,GGWY,4B0W,VOI,1,,,,,,,,,,,,,,,,
7,RWOW,True,4,OYWW,1B2W,LLM,84,WGWY,0B2W,VOI,13,BOYW,1B1W,VOI,1,RWOW,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,
8,WGRR,True,4,GOGO,0B1W,LLM,256,YGWY,1B1W,VOI,51,BGYR,2B0W,VOI,2,WGRR,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,
9,ROWO,True,5,GYBR,0B1W,LLM,152,RWOW,1B2W,VOI,21,WROO,1B3W,VOI,2,OWRO,1B3W,VOI,1,ROWO,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
10,WYYY,True,5,WWGR,1B0W,LLM,182,YWBB,0B2W,VOI,26,WBOO,1B0W,VOI,5,BBRR,0B0W,VOI,1,WYYY,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
11,ORRR,True,4,RRGO,1B2W,LLM,84,BROG,1B1W,VOI,16,GRRY,2B0W,VOI,2,ORRR,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,
12,RGOW,True,6,GWOO,1B2W,LLM,84,ROWO,1B2W,VOI,12,WOOY,1B1W,VOI,4,WRGO,0B4W,VOI,2,GORW,1B3W,VOI,1,RGOW,4B0W,VOI,1,,,,,,,,,,,,,,,,
13,RGOG,True,5,GWOR,1B2W,LLM,132,OWRO,0B2W,VOI,43,BROG,2B1W,VOI,4,BGOW,2B0W,VOI,1,RGOG,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
14,RWGW,True,4,WBYO,0B1W,LLM,152,ORRR,0B1W,VOI,16,RGWG,1B2W,VOI,1,RWGW,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,
15,BRBY,True,5,GGGO,0B0W,LLM,256,BYYW,1B1W,VOI,46,RBYR,0B3W,VOI,2,YRRW,1B1W,VOI,1,BRBY,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
16,BGGB,True,4,GYRY,0B1W,LLM,276,ROWO,0B0W,VOI,9,BBGG,2B2W,VOI,2,BGGB,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,
17,OOOB,True,5,OGWO,1B1W,LLM,230,RRWG,0B0W,VOI,20,OOOY,3B0W,VOI,5,OYOY,2B0W,VOI,1,OOOB,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
18,WOGB,True,5,GGBG,0B2W,LLM,61,BYGO,1B2W,VOI,16,YRGB,2B0W,VOI,4,OBGB,2B1W,VOI,1,WOGB,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
