game_number,target_code,won,attempts,guess_1,feedback_1,strategy_1,candidates_1,guess_2,feedback_2,strategy_2,candidates_2,guess_3,feedback_3,strategy_3,candidates_3,guess_4,feedback_4,strategy_4,candidates_4,guess_5,feedback_5,strategy_5,candidates_5,guess_6,feedback_6,strategy_6,candidates_6,guess_7,feedback_7,strategy_7,candidates_7,guess_8,feedback_8,strategy_8,candidates_8,guess_9,feedback_9,strategy_9,candidates_9,guess_10,feedback_10,strategy_10,candidates_10
1,GPBR,True,4,RGYW,0B2W,LLM,936,GWPK,1B1W,VOI,165,OWKY,0B0W,VOI,12,GPBR,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,
2,RYGO,True,6,RGYB,1B2W,LLM,204,GPRB,0B2W,VOI,70,RWBY,1B1W,VOI,12,RYKG,2B1W,VOI,2,RYGR,3B0W,VOI,1,RYGO,4B0W,VOI,1,,,,,,,,,,,,,,,,
3,OYGW,True,6,RGYB,0B2W,LLM,936,PRRG,0B1W,VOI,213,YOGK,1B2W,VOI,20,GKGY,1B1W,VOI,6,OYGO,3B0W,VOI,2,OYGW,4B0W,VOI,1,,,,,,,,,,,,,,,,
4,YKBP,True,4,RGYW,0B1W,LLM,976,BKGO,1B1W,VOI,179,BYOP,1B2W,VOI,10,YKBP,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,
5,YOOO,True,5,RGBY,0B1W,LLM,976,KYPO,1B1W,VOI,179,PKPG,0B0W,VOI,15,YWWO,2B0W,VOI,2,YOOO,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
6,BGPK,True,5,RGYW,1B0W,LLM,500,YOYO,0B0W,VOI,192,BKPW,2B1W,VOI,14,PKWW,0B2W,VOI,1,BGPK,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
7,GWRK,True,7,RGBY,0B2W,LLM,936,GYOW,1B1W,VOI,165,YKOR,0B2W,VOI,34,KYGK,1B1W,VOI,4,WYKB,0B2W,VOI,2,GRWK,2B2W,VOI,1,GWRK,4B0W,VOI,1,,,,,,,,,,,,
8,GYGR,True,6,RGYB,0B3W,LLM,224,GBRP,1B1W,VOI,50,GKBY,1B1W,VOI,8,BYRY,1B1W,VOI,3,GYOR,3B0W,VOI,2,GYGR,4B0W,VOI,1,,,,,,,,,,,,,,,,
9,PPRR,True,6,RGYB,0B1W,LLM,976,YWOO,0B0W,VOI,114,PKPG,1B1W,VOI,24,KKRP,1B1W,VOI,3,GKKK,0B0W,VOI,1,PPRR,4B0W,VOI,1,,,,,,,,,,,,,,,,
10,RORO,True,6,RGBY,1B0W,LLM,500,RPKK,1B0W,VOI,95,BPBW,0B0W,VOI,20,GGKG,0B0W,VOI,8,RRRR,2B0W,VOI,3,RORO,4B0W,VOI,1,,,,,,,,,,,,,,,,
