game_number,target_word,won,attempts,guess_1,feedback_1,hamming_1,levenshtein_1,strategy_1,guess_2,feedback_2,hamming_2,levenshtein_2,strategy_2,guess_3,feedback_3,hamming_3,levenshtein_3,strategy_3,guess_4,feedback_4,hamming_4,levenshtein_4,strategy_4,guess_5,feedback_5,hamming_5,levenshtein_5,strategy_5,guess_6,feedback_6,hamming_6,levenshtein_6,strategy_6,violated_green_1,violated_yellow_1,violated_gray_1,total_violations_1,violated_green_2,violated_yellow_2,violated_gray_2,total_violations_2,violated_green_3,violated_yellow_3,violated_gray_3,total_violations_3,violated_green_4,violated_yellow_4,violated_gray_4,total_violations_4,violated_green_5,violated_yellow_5,violated_gray_5,total_violations_5,violated_green_6,violated_yellow_6,violated_gray_6,total_violations_6
1,PHOTO,True,3,THINK,YG---,4,4,LLM,SHOOT,-GGYY,3,3,CSS,PHOTO,GGGGG,0.0,0.0,LLM,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,PARTY,True,3,RIGHT,Y---Y,5,5,LLM,TORSO,Y-G--,4,4,CSS,PARTY,GGGGG,0.0,0.0,LLM,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,TRICK,True,5,THERE,G--Y-,4,4,LLM,TUTOR,G---Y,4,4,CSS,TRAIN,GG-Y-,3.0,3.0,LLM,TRIPP,GGG--,2.0,2.0,CSS,TRICK,GGGGG,0.0,0.0,LLM,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,DIRTY,True,3,RIGHT,YG--Y,4,4,LLM,TIBER,YG--Y,4,4,CSS,DIRTY,GGGGG,0.0,0.0,LLM,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,USUAL,True,5,THINK,-----,5,5,LLM,FELLS,--Y-Y,5,5,CSS,SLOOP,YY---,5.0,5.0,LLM,BASAL,--YGG,3.0,3.0,CSS,USUAL,GGGGG,0.0,0.0,LLM,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,TRULY,True,5,THERE,G--Y-,4,4,LLM,TRAPS,GG---,3,3,CSS,TRUCK,GGG--,2.0,2.0,LLM,TRUDY,GGG-G,1.0,1.0,CSS,TRULY,GGGGG,0.0,0.0,LLM,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,SPENT,True,3,OTHER,-Y-Y-,5,5,LLM,SKATE,G--YY,4,4,CSS,SPENT,GGGGG,0.0,0.0,LLM,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,PAUSE,True,4,THERE,----G,4,4,LLM,MAMIE,-G--G,3,3,CSS,LANCE,-G--G,3.0,3.0,LLM,PAUSE,GGGGG,0.0,0.0,CSS,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,CRAZY,True,5,THINK,-----,5,5,LLM,PUFFS,-----,5,5,CSS,WORLD,--Y--,5.0,5.0,LLM,GAMER,-Y--Y,5.0,5.0,CSS,CRAZY,GGGGG,0.0,0.0,LLM,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,BASES,True,6,RIGHT,-----,5,5,LLM,MAUDE,-G--Y,4,4,CSS,SALES,YG-GG,2.0,2.0,LLM,VASES,-GGGG,1.0,1.0,CSS,CASES,-GGGG,1.0,1.0,LLM,BASES,GGGGG,0.0,0.0,CSS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,YOUNG,True,3,THINK,---G-,4,4,LLM,BLEND,---G-,4,4,CSS,YOUNG,GGGGG,0.0,0.0,LLM,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,MEANS,True,5,RIGHT,-----,5,5,LLM,SOCKS,----G,4,4,CSS,LEADS,-GG-G,2.0,2.0,LLM,BEAMS,-GGYG,2.0,2.0,CSS,MEANS,GGGGG,0.0,0.0,LLM,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,TRUTH,True,3,OTHER,-YY-Y,5,5,LLM,WIRTH,--YGG,3,3,CSS,TRUTH,GGGGG,0.0,0.0,LLM,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,FIRED,True,5,OTHER,---GY,4,4,LLM,CRIED,-YYGG,3,3,CSS,RILED,YG-GG,2.0,2.0,LLM,AIRED,-GGGG,1.0,1.0,CSS,FIRED,GGGGG,0.0,0.0,LLM,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,FOLKS,True,4,THINK,----Y,5,5,LLM,KWAME,Y----,5,5,CSS,LOOKS,YG-GG,2.0,2.0,LLM,FOLKS,GGGGG,0.0,0.0,CSS,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,CHILE,True,4,THEIR,-GYY-,4,4,LLM,CHIEN,GGGY-,2,2,CSS,CHIME,GGG-G,1.0,1.0,LLM,CHILE,GGGGG,0.0,0.0,CSS,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,BLACK,True,3,THERE,-----,5,5,LLM,CUBBY,Y-Y--,5,5,CSS,BLACK,GGGGG,0.0,0.0,LLM,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,GRANT,True,3,THINK,Y--G-,4,4,LLM,AGENT,YY-GG,3,3,CSS,GRANT,GGGGG,0.0,0.0,LLM,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,MEALS,True,5,WHICH,-----,5,5,LLM,SENSE,YG---,4,4,CSS,TEARS,-GG-G,2.0,2.0,LLM,DEALS,-GGGG,1.0,1.0,CSS,MEALS,GGGGG,0.0,0.0,LLM,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,CREAM,True,5,THERE,--GY-,4,4,LLM,FREDO,-GG--,3,3,CSS,ARENA,YGG--,3.0,3.0,LLM,BREAM,-GGGG,1.0,1.0,CSS,CREAM,GGGGG,0.0,0.0,LLM,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,AWAKE,True,5,THERE,----G,4,4,LLM,BOYCE,----G,4,4,CSS,IMAGE,--G-G,3.0,3.0,LLM,SLADE,--G-G,3.0,3.0,CSS,AWAKE,GGGGG,0.0,0.0,LLM,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,OCCUR,True,4,THERE,---Y-,5,5,LLM,CARDI,Y-Y--,5,5,CSS,ROCKS,YYG--,4.0,4.0,LLM,OCCUR,GGGGG,0.0,0.0,CSS,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,YEARS,True,4,THINK,-----,5,5,LLM,BOXES,---YG,4,4,CSS,FEELS,-G--G,3.0,3.0,LLM,YEARS,GGGGG,0.0,0.0,CSS,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,GRADE,True,5,THINK,-----,5,5,LLM,PULLS,-----,5,5,CSS,ADIEU,YY-Y-,5.0,4.0,LLM,DREAD,YGYY-,4.0,3.0,CSS,GRADE,GGGGG,0.0,0.0,LLM,,,,,,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0
25,CHILL,True,5,THINK,-GG--,3,3,LLM,WHICH,-GGY-,3,3,CSS,CHIEF,GGG--,2.0,2.0,LLM,CHIPS,GGG--,2.0,2.0,CSS,CHILL,GGGGG,0.0,0.0,LLM,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,FLOOD,True,4,RIGHT,-----,5,5,LLM,EPSON,---G-,4,4,CSS,ALLOW,-G-G-,3.0,3.0,LLM,FLOOD,GGGGG,0.0,0.0,CSS,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,APPLY,True,5,OTHER,-----,5,5,LLM,SALAS,-YY--,5,5,CSS,CLAIM,-YY--,5.0,5.0,LLM,ABDUL,G---Y,4.0,4.0,CSS,APPLY,GGGGG,0.0,0.0,LLM,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,SMILE,True,6,OTHER,---Y-,5,5,LLM,VAGUE,----G,4,4,CSS,SINCE,GY--G,3.0,3.0,LLM,SWIPE,G-G-G,2.0,2.0,CSS,SLIDE,GYG-G,2.0,2.0,LLM,SMILE,GGGGG,0.0,0.0,CSS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,KNOCK,True,2,THINK,---YG,4,4,LLM,KNOCK,GGGGG,0,0,CSS,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,SLEEP,True,4,RIGHT,-----,5,5,LLM,CAJUN,-----,5,5,CSS,LEVEL,YY-G-,4.0,3.0,LLM,SLEEP,GGGGG,0.0,0.0,CSS,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,BRICK,True,6,ABOUT,-Y---,5,5,LLM,BIRDS,GYY--,4,4,CSS,BRING,GGG--,2.0,2.0,LLM,BRILL,GGG--,2.0,2.0,CSS,BRIEF,GGG--,2.0,2.0,LLM,BRICK,GGGGG,0.0,0.0,CSS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,WROTE,True,2,OTHER,YY-YY,5,4,LLM,WROTE,GGGGG,0,0,CSS,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,RATED,True,3,RIGHT,G---Y,4,4,LLM,RAFTS,GG-Y-,3,3,CSS,RATED,GGGGG,0.0,0.0,LLM,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,ALERT,True,2,THERE,Y-GG-,3,3,LLM,ALERT,GGGGG,0,0,CSS,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,CAGES,False,6,THERE,--Y--,5,5,LLM,PENAL,-Y-Y-,5,5,CSS,MAKES,-G-GG,2.0,2.0,LLM,FAVES,-G-GG,2.0,2.0,CSS,WAXES,-G-GG,2.0,2.0,LLM,BASES,-G-GG,2.0,2.0,CSS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,TEDDY,True,5,THINK,G----,4,4,LLM,TYPOS,GY---,4,4,CSS,TERRY,GG--G,2.0,2.0,LLM,TELLY,GG--G,2.0,2.0,CSS,TEDDY,GGGGG,0.0,0.0,LLM,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
