game_number,target_word,won,attempts,guess_1,feedback_1,hamming_1,levenshtein_1,strategy_1,guess_2,feedback_2,hamming_2,levenshtein_2,strategy_2,guess_3,feedback_3,hamming_3,levenshtein_3,strategy_3,guess_4,feedback_4,hamming_4,levenshtein_4,strategy_4,guess_5,feedback_5,hamming_5,levenshtein_5,strategy_5,guess_6,feedback_6,hamming_6,levenshtein_6,strategy_6
1,PHOTO,True,3,NAILS,-----,5,5,LLM_RERANK,ROUTE,-Y-G-,4,4,LLM_RERANK,PHOTO,GGGGG,0,0,LLM_RERANK,,,,,,,,,,,,,,,
2,PARTY,True,3,STORY,-Y-YG,4,4,LLM_RERANK,TRUDY,YY--G,4,4,LLM_RERANK,PARTY,GGGGG,0,0,LLM_RERANK,,,,,,,,,,,,,,,
3,TRICK,True,3,PEARL,---Y-,5,5,LLM_RERANK,MORTY,--YY-,5,5,LLM_RERANK,TRICK,GGGGG,0,0,LLM_RERANK,,,,,,,,,,,,,,,
4,DIRTY,True,4,TRUCE,YY---,5,5,LLM_RERANK,PARTY,--GGG,2,2,LLM_RERANK,MORTY,--GGG,2,2,LLM_RERANK,DIRTY,GGGGG,0,0,VOI,,,,,,,,,,
5,USUAL,True,4,TRIED,-----,5,5,LLM_RERANK,CALMS,-YY-Y,5,5,LLM_RERANK,SHALL,Y-Y-G,4,3,LLM_RERANK,USUAL,GGGGG,0,0,VOI,,,,,,,,,,
6,TRULY,True,3,LOATH,Y--Y-,5,5,LLM_RERANK,TELLS,G--G-,3,3,LLM_RERANK,TRULY,GGGGG,0,0,VOI,,,,,,,,,,,,,,,
7,SPENT,True,3,TARDY,Y----,5,5,LLM_RERANK,SPELT,GGG-G,1,1,LLM_RERANK,SPENT,GGGGG,0,0,VOI,,,,,,,,,,,,,,,
8,PAUSE,True,5,KOREA,---YY,5,5,LLM_RERANK,DEALS,-YY-Y,5,4,LLM_RERANK,HASTE,-GY-G,3,3,LLM_RERANK,CAUSE,-GGGG,1,1,LLM_RERANK,PAUSE,GGGGG,0,0,VOI,,,,,
9,CRAZY,True,3,TEARY,--GYG,3,3,LLM_RERANK,GRAVY,-GG-G,2,2,LLM_RERANK,CRAZY,GGGGG,0,0,LLM_RERANK,,,,,,,,,,,,,,,
10,BASES,True,4,TEACH,-YY--,5,5,LLM_RERANK,AMUSE,Y--YY,5,4,LLM_RERANK,ESSAY,YYGY-,4,4,LLM_RERANK,BASES,GGGGG,0,0,LLM_RERANK,,,,,,,,,,
11,YOUNG,True,3,PASTE,-----,5,5,LLM_RERANK,COMFY,-G--Y,4,4,LLM_RERANK,YOUNG,GGGGG,0,0,LLM_RERANK,,,,,,,,,,,,,,,
12,MEANS,True,4,TRACE,--G-Y,4,4,LLM_RERANK,DEALS,-GG-G,2,2,LLM_RERANK,BEAMS,-GGYG,2,2,LLM_RERANK,MEANS,GGGGG,0,0,VOI,,,,,,,,,,
13,TRUTH,True,3,SALTY,---G-,4,4,LLM_RERANK,BERTH,--YGG,3,3,LLM_RERANK,TRUTH,GGGGG,0,0,LLM_RERANK,,,,,,,,,,,,,,,
14,FIRED,True,5,SALTY,-----,5,5,LLM_RERANK,CODER,--YGY,4,4,LLM_RERANK,GREED,-Y-GG,3,3,LLM_RERANK,WIRED,-GGGG,1,1,LLM_RERANK,FIRED,GGGGG,0,0,LLM_RERANK,,,,,
15,FOLKS,True,4,TIRES,----G,4,4,LLM_RERANK,CLAPS,-Y--G,4,4,LLM_RERANK,BULLS,--G-G,3,3,LLM_RERANK,FOLKS,GGGGG,0,0,LLM_RERANK,,,,,,,,,,
16,CHILE,True,4,LAYER,Y--Y-,5,5,LLM_RERANK,TELLS,-Y-G-,4,4,LLM_RERANK,GUILE,--GGG,2,2,LLM_RERANK,CHILE,GGGGG,0,0,LLM_RERANK,,,,,,,,,,
17,BLACK,True,4,CHATS,Y-G--,4,4,LLM_RERANK,PLACE,-GGG-,2,2,LLM_RERANK,FLACK,-GGGG,1,1,LLM_RERANK,BLACK,GGGGG,0,0,VOI,,,,,,,,,,
18,GRANT,True,4,HARES,-YY--,5,5,LLM_RERANK,GRADY,GGG--,2,2,LLM_RERANK,GRAIL,GGG--,2,2,LLM_RERANK,GRANT,GGGGG,0,0,LLM_RERANK,,,,,,,,,,
19,MEALS,True,4,CRANE,--G-Y,4,4,LLM_RERANK,LEASH,YGGY-,3,3,LLM_RERANK,DEALS,-GGGG,1,1,LLM_RERANK,MEALS,GGGGG,0,0,LLM_RERANK,,,,,,,,,,
20,CREAM,True,4,SHAKE,--Y-Y,5,5,LLM_RERANK,MEDAL,YY-G-,4,4,LLM_RERANK,BREAM,-GGGG,1,1,LLM_RERANK,CREAM,GGGGG,0,0,VOI,,,,,,,,,,
21,AWAKE,True,5,SABLE,-Y--G,4,4,LLM_RERANK,GRACE,--G-G,3,3,LLM_RERANK,HEAVE,--G-G,3,3,LLM_RERANK,AMAZE,G-G-G,2,2,LLM_RERANK,AWAKE,GGGGG,0,0,VOI,,,,,
22,OCCUR,True,3,TEARS,---Y-,5,5,LLM_RERANK,CORBY,YYY--,5,5,LLM_RERANK,OCCUR,GGGGG,0,0,LLM_RERANK,,,,,,,,,,,,,,,
23,YEARS,True,6,STEAD,Y-YY-,5,4,LLM_RERANK,MEALS,-GG-G,2,2,LLM_RERANK,JEANS,-GG-G,2,2,LLM_RERANK,HEAPS,-GG-G,2,2,LLM_RERANK,WEARS,-GGGG,1,1,LLM_RERANK,YEARS,GGGGG,0,0,LLM_RERANK
24,GRADE,True,4,REACH,YYG--,4,4,LLM_RERANK,GRAPE,GGG-G,1,1,LLM_RERANK,GRAVE,GGG-G,1,1,LLM_RERANK,GRADE,GGGGG,0,0,LLM_RERANK,,,,,,,,,,
25,CHILL,True,4,CRANE,G----,4,4,LLM_RERANK,CHUMS,GG---,3,3,LLM_RERANK,CHICK,GGG--,2,2,LLM_RERANK,CHILL,GGGGG,0,0,LLM_RERANK,,,,,,,,,,
26,FLOOD,True,4,SLATE,-G---,4,4,LLM_RERANK,FLUNG,GG---,3,3,LLM_RERANK,FLOCK,GGG--,2,2,LLM_RERANK,FLOOD,GGGGG,0,0,LLM_RERANK,,,,,,,,,,
27,APPLY,True,5,FREAK,---Y-,5,5,LLM_RERANK,SCANS,--Y--,5,5,LLM_RERANK,BALMY,-YY-G,4,4,LLM_RERANK,APTLY,GG-GG,1,1,LLM_RERANK,APPLY,GGGGG,0,0,VOI,,,,,
28,SMILE,True,2,LEAST,YY-Y-,5,5,LLM_RERANK,SMILE,GGGGG,0,0,LLM_RERANK,,,,,,,,,,,,,,,,,,,,
29,KNOCK,True,4,LEAST,-----,5,5,LLM_RERANK,CRUMB,Y----,5,5,LLM_RERANK,HOOCH,--GG-,3,3,LLM_RERANK,KNOCK,GGGGG,0,0,VOI,,,,,,,,,,
30,SLEEP,True,3,TRADE,----Y,5,5,LLM_RERANK,ELLEN,YG-G-,3,3,LLM_RERANK,SLEEP,GGGGG,0,0,LLM_RERANK,,,,,,,,,,,,,,,
31,BRICK,True,4,SCALE,-Y---,5,5,LLM_RERANK,TRICK,-GGGG,1,1,LLM_RERANK,PRICK,-GGGG,1,1,LLM_RERANK,BRICK,GGGGG,0,0,LLM_RERANK,,,,,,,,,,
32,WROTE,True,4,STEAL,-YY--,5,5,LLM_RERANK,PETER,-YY-Y,5,4,LLM_RERANK,ROUTE,YY-GG,3,2,LLM_RERANK,WROTE,GGGGG,0,0,VOI,,,,,,,,,,
33,RATED,True,3,LEADS,-YYY-,5,5,LLM_RERANK,DATED,-GGGG,1,1,LLM_RERANK,RATED,GGGGG,0,0,LLM_RERANK,,,,,,,,,,,,,,,
34,ALERT,True,2,PLATE,-GYYY,4,4,LLM_RERANK,ALERT,GGGGG,0,0,LLM_RERANK,,,,,,,,,,,,,,,,,,,,
35,CAGES,False,6,RATES,-G-GG,2,2,LLM_RERANK,VASES,-G-GG,2,2,LLM_RERANK,DANES,-G-GG,2,2,LLM_RERANK,GALES,YG-GG,2,2,LLM_RERANK,PAGES,-GGGG,1,1,LLM_RERANK,WAGES,-GGGG,1,1,LLM_RERANK
36,TEDDY,True,3,PLEAD,--Y-Y,5,4,LLM_RERANK,DEFER,YG---,4,4,LLM_RERANK,TEDDY,GGGGG,0,0,LLM_RERANK,,,,,,,,,,,,,,,
37,COLES,True,2,ACRES,-Y-GG,3,3,LLM_RERANK,COLES,GGGGG,0,0,LLM_RERANK,,,,,,,,,,,,,,,,,,,,
38,HWANG,True,4,PARSE,-Y---,5,5,LLM_RERANK,BLANK,--GG-,3,3,LLM_RERANK,GIANT,Y-GG-,3,3,LLM_RERANK,HWANG,GGGGG,0,0,LLM_RERANK,,,,,,,,,,
39,WRATH,True,3,SLATE,--GG-,3,3,LLM_RERANK,HYATT,Y-GG-,3,3,LLM_RERANK,WRATH,GGGGG,0,0,VOI,,,,,,,,,,,,,,,
40,MACHO,True,5,ALICE,Y--Y-,5,5,LLM_RERANK,CRAZY,Y-Y--,5,5,LLM_RERANK,JACKS,-GG--,3,3,LLM_RERANK,MACAO,GGG-G,1,1,LLM_RERANK,MACHO,GGGGG,0,0,VOI,,,,,
41,LOPEZ,True,4,GRAPE,---YY,5,4,LLM_RERANK,SPELT,-YYY-,5,4,LLM_RERANK,EXPEL,--GGY,3,3,LLM_RERANK,LOPEZ,GGGGG,0,0,LLM_RERANK,,,,,,,,,,
42,GOODY,True,5,TRACE,-----,5,5,LLM_RERANK,FOLLY,-G--G,3,3,LLM_RERANK,BOOBY,-GG-G,2,2,LLM_RERANK,MOODY,-GGGG,1,1,LLM_RERANK,GOODY,GGGGG,0,0,LLM_RERANK,,,,,
43,BROTH,True,4,CATER,--Y-Y,5,5,LLM_RERANK,TRULY,YG---,4,4,LLM_RERANK,WRIST,-G--Y,4,4,LLM_RERANK,BROTH,GGGGG,0,0,LLM_RERANK,,,,,,,,,,
