game_number,target_word,won,attempts,guess_1,feedback_1,hamming_1,levenshtein_1,strategy_1,guess_2,feedback_2,hamming_2,levenshtein_2,strategy_2,guess_3,feedback_3,hamming_3,levenshtein_3,strategy_3,guess_4,feedback_4,hamming_4,levenshtein_4,strategy_4,guess_5,feedback_5,hamming_5,levenshtein_5,strategy_5,guess_6,feedback_6,hamming_6,levenshtein_6,strategy_6,violated_green_1,violated_yellow_1,violated_gray_1,total_violations_1,violated_green_2,violated_yellow_2,violated_gray_2,total_violations_2,violated_green_3,violated_yellow_3,violated_gray_3,total_violations_3,violated_green_4,violated_yellow_4,violated_gray_4,total_violations_4,violated_green_5,violated_yellow_5,violated_gray_5,total_violations_5,violated_green_6,violated_yellow_6,violated_gray_6,total_violations_6
1,PHOTO,True,5,AURES,-----,5,5,LLM,WILLI,-----,5.0,5.0,CSS,NOOYA,-YG--,4.0,4.0,LLM,CHOCO,-GG-G,2.0,2.0,CSS,PHOTO,GGGGG,0.0,0.0,LLM,,,,,,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2,PARTY,True,3,ELWAY,---YG,4,4,LLM,PADDY,GG--G,2.0,2.0,CSS,PARTY,GGGGG,0.0,0.0,LLM,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,TRICK,True,4,TONAL,G----,4,4,LLM,TWIGS,G-G--,3.0,3.0,CSS,THICK,G-GGG,1.0,1.0,LLM,TRICK,GGGGG,0.0,0.0,CSS,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,DIRTY,True,4,STUDY,-Y-YG,4,4,LLM,DEITY,G-YGG,2.0,2.0,CSS,DITTY,GG-GG,1.0,1.0,LLM,DIRTY,GGGGG,0.0,0.0,CSS,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,USUAL,True,4,ROSES,--Y--,5,5,LLM,SLICK,YY---,5.0,5.0,CSS,PALSY,-YYY-,5.0,5.0,LLM,USUAL,GGGGG,0.0,0.0,CSS,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,TRULY,True,4,BASES,-----,5,5,LLM,KIDDO,-----,5.0,5.0,CSS,HURRY,-YY-G,4.0,4.0,LLM,TRULY,GGGGG,0.0,0.0,CSS,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,SPENT,True,5,PEARS,YY--Y,5,4,LLM,STEEP,GYG-Y,3.0,3.0,CSS,SWEPT,G-GYG,2.0,2.0,LLM,SPELT,GGG-G,1.0,1.0,CSS,SPENT,GGGGG,0.0,0.0,LLM,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,PAUSE,True,4,RAVES,-G-YY,4,4,LLM,WASTE,-GY-G,3.0,3.0,CSS,SAUCE,YGG-G,2.0,2.0,LLM,PAUSE,GGGGG,0.0,0.0,CSS,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,CRAZY,True,5,BREED,-G---,4,4,LLM,FROCK,-G-Y-,4.0,4.0,CSS,CRAWL,GGG--,2.0,2.0,LLM,CRAPS,GGG--,2.0,2.0,CSS,CRAZY,GGGGG,0.0,0.0,LLM,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,BASES,True,6,BITTY,G----,4,4,LLM,BANDA,GG---,3.0,3.0,CSS,BARBS,GG--G,2.0,2.0,LLM,BALLS,GG--G,2.0,2.0,CSS,BACKS,GG--G,2.0,2.0,LLM,BASES,GGGGG,0.0,0.0,CSS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
