game_number,target_word,won,attempts,guess_1,feedback_1,hamming_1,levenshtein_1,strategy_1,guess_2,feedback_2,hamming_2,levenshtein_2,strategy_2,guess_3,feedback_3,hamming_3,levenshtein_3,strategy_3,guess_4,feedback_4,hamming_4,levenshtein_4,strategy_4,guess_5,feedback_5,hamming_5,levenshtein_5,strategy_5,guess_6,feedback_6,hamming_6,levenshtein_6,strategy_6
1,PHOTO,True,2,THERE,YG---,4,4,LLM,PHOTO,GGGGG,0,0,LLM,,,,,,,,,,,,,,,,,,,,
2,PARTY,True,4,THERE,Y--Y-,5,5,LLM,SORTS,--GG-,3,3,LLM,MARTY,-GGGG,1,1,LLM,PARTY,GGGGG,0,0,LLM,,,,,,,,,,
3,TRICK,True,2,THINK,G-G-G,2,2,LLM,TRICK,GGGGG,0,0,LLM,,,,,,,,,,,,,,,,,,,,
4,DIRTY,True,3,THERE,Y--Y-,5,5,LLM,SORTA,--GG-,3,3,CSS_REPAIR,DIRTY,GGGGG,0,0,LLM,,,,,,,,,,,,,,,
5,USUAL,True,4,THERE,-----,5,5,LLM,FOUND,--G--,4,4,LLM,PAULA,-YGY-,4,4,LLM,USUAL,GGGGG,0,0,LLM,,,,,,,,,,
6,TRULY,True,5,THINK,G----,4,4,LLM,TASER,G---Y,4,4,CSS_REPAIR,TROUT,GG-Y-,3,3,LLM,TRUDY,GGG-G,1,1,LLM,TRULY,GGGGG,0,0,LLM,,,,,
7,SPENT,True,3,THINK,Y--G-,4,4,LLM,STUNT,G--GG,2,2,LLM,SPENT,GGGGG,0,0,LLM,,,,,,,,,,,,,,,
8,PAUSE,True,4,STEAD,Y-YY-,5,5,LLM,MEANS,-YY-Y,5,4,LLM,CAUSE,-GGGG,1,1,LLM,PAUSE,GGGGG,0,0,LLM,,,,,,,,,,
9,CRAZY,True,3,THINK,-----,5,5,LLM,CARES,GYY--,4,4,LLM,CRAZY,GGGGG,0,0,LLM,,,,,,,,,,,,,,,
10,BASES,True,6,AFTER,Y--G-,4,4,LLM,GALES,-G-GG,2,2,CSS_REPAIR,SAVES,YG-GG,2,2,LLM,EASES,-GGGG,1,1,LLM,CASES,-GGGG,1,1,LLM,BASES,GGGGG,0,0,LLM
11,YOUNG,True,3,THINK,---G-,4,4,LLM,FOUND,-GGG-,2,2,LLM,YOUNG,GGGGG,0,0,LLM,,,,,,,,,,,,,,,
12,MEANS,True,4,YATES,-Y-YG,4,4,CSS_REPAIR,REALS,-GG-G,2,2,CSS_REPAIR,BEANS,-GGGG,1,1,LLM,MEANS,GGGGG,0,0,LLM,,,,,,,,,,
13,TRUTH,True,3,THINK,GY---,4,4,LLM,TEACH,G---G,3,3,LLM,TRUTH,GGGGG,0,0,LLM,,,,,,,,,,,,,,,
14,FIRED,True,4,THINK,--Y--,5,5,LLM,MUSIC,---Y-,5,5,LLM,RILED,YG-GG,2,2,CSS_REPAIR,FIRED,GGGGG,0,0,LLM,,,,,,,,,,
15,FOLKS,True,4,THINK,----Y,5,5,LLM,CORKS,-G-GG,2,2,CSS_REPAIR,LOOKS,YG-GG,2,2,LLM,FOLKS,GGGGG,0,0,LLM,,,,,,,,,,
16,CHILE,True,5,THINK,-GG--,3,3,LLM,WHICH,-GGY-,3,3,LLM,CHILL,GGGG-,1,1,LLM,CHILD,GGGG-,1,1,LLM,CHILE,GGGGG,0,0,LLM,,,,,
17,BLACK,True,6,THOSE,-----,5,5,LLM,DINAR,---Y-,5,5,CSS_REPAIR,PALMA,-YY--,5,5,CSS_REPAIR,FLAGG,-GG--,3,3,LLM,CLACK,-GGGG,1,1,LLM,BLACK,GGGGG,0,0,LLM
18,GRANT,True,3,THINK,Y--G-,4,4,LLM,GAUNT,GY-GG,2,2,CSS_REPAIR,GRANT,GGGGG,0,0,LLM,,,,,,,,,,,,,,,
19,MEALS,True,4,THINK,-----,5,5,LLM,POWER,---Y-,5,5,LLM,LEASE,YGGY-,3,3,CSS_REPAIR,MEALS,GGGGG,0,0,LLM,,,,,,,,,,
20,CREAM,True,4,THINK,-----,5,5,LLM,GUESS,--G--,4,4,LLM,FREDA,-GG-Y,3,3,CSS_REPAIR,CREAM,GGGGG,0,0,LLM,,,,,,,,,,
21,AWAKE,True,3,RATES,-Y-Y-,5,4,CSS_REPAIR,NEALE,--G-G,3,3,CSS_REPAIR,AWAKE,GGGGG,0,0,LLM,,,,,,,,,,,,,,,
22,OCCUR,True,4,THING,-----,5,5,LLM,PLACE,---Y-,5,5,LLM,CURBS,YYY--,5,4,CSS_REPAIR,OCCUR,GGGGG,0,0,LLM,,,,,,,,,,
23,YEARS,True,5,GUESS,--Y-G,4,4,LLM,TEAMS,-GG-G,2,2,LLM,LEADS,-GG-G,2,2,LLM,PEARS,-GGGG,1,1,LLM,YEARS,GGGGG,0,0,LLM,,,,,
24,GRADE,True,3,AFTER,Y--YY,5,5,LLM,READY,YYGG-,3,3,LLM,GRADE,GGGGG,0,0,LLM,,,,,,,,,,,,,,,
25,CHILL,True,3,WORDS,-----,5,5,LLM,THING,-GG--,3,3,LLM,CHILL,GGGGG,0,0,LLM,,,,,,,,,,,,,,,
26,FLOOD,True,5,GREAT,-----,5,5,LLM,LOINS,YY---,5,4,CSS_REPAIR,CLOCK,-GG--,3,3,LLM,BLOOD,-GGGG,1,1,LLM,FLOOD,GGGGG,0,0,LLM,,,,,
27,APPLY,True,3,RIGHT,-----,5,5,LLM,PLACE,YYY--,5,5,LLM,APPLY,GGGGG,0,0,LLM,,,,,,,,,,,,,,,
28,SMILE,True,4,LEADS,YY--Y,5,5,CSS_REPAIR,CLOSE,-Y-YG,4,4,LLM,STYLE,G--GG,2,2,LLM,SMILE,GGGGG,0,0,LLM,,,,,,,,,,
29,KNOCK,True,4,THERE,-----,5,5,LLM,SONIA,-YY--,5,5,CSS_REPAIR,UCONN,-YGY-,4,4,CSS_REPAIR,KNOCK,GGGGG,0,0,LLM,,,,,,,,,,
30,SLEEP,True,4,THINK,-----,5,5,LLM,ROLES,--YGY,4,4,CSS_REPAIR,BASEL,--YGY,4,4,LLM,SLEEP,GGGGG,0,0,CSS_REPAIR,,,,,,,,,,
