game_number,target_word,won,attempts,guess_1,feedback_1,hamming_1,levenshtein_1,strategy_1,guess_2,feedback_2,hamming_2,levenshtein_2,strategy_2,guess_3,feedback_3,hamming_3,levenshtein_3,strategy_3,guess_4,feedback_4,hamming_4,levenshtein_4,strategy_4,guess_5,feedback_5,hamming_5,levenshtein_5,strategy_5,guess_6,feedback_6,hamming_6,levenshtein_6,strategy_6
1,PHOTO,True,4,ABOUT,--G-Y,4,4,LLM,STOOP,-YGYY,4,4,LLM,PROTO,G-GGG,1,1,LLM,PHOTO,GGGGG,0,0,LLM,,,,,,,,,,
2,PARTY,True,4,THINK,Y----,5,5,LLM,ABOUT,Y---Y,5,5,LLM,STATE,--YG-,4,4,LLM,PARTY,GGGGG,0,0,LLM,,,,,,,,,,
3,TRICK,True,5,ABOUT,----Y,5,5,LLM,THEIR,G--YY,4,4,LLM,TRILL,GGG--,2,2,LLM,TRIPS,GGG--,2,2,LLM,TRICK,GGGGG,0,0,LLM,,,,,
4,DIRTY,True,4,THINK,Y-Y--,5,5,LLM,MITTS,-G-G-,3,3,LLM,FIFTY,-G-GG,2,2,LLM,DIRTY,GGGGG,0,0,LLM,,,,,,,,,,
5,USUAL,True,3,THINK,-----,5,5,LLM,WOULD,--GY-,4,4,LLM,USUAL,GGGGG,0,0,LLM,,,,,,,,,,,,,,,
6,TRULY,True,4,HOUSE,--G--,4,4,LLM,TRUMP,GGG--,2,2,LLM,TRUNK,GGG--,2,2,LLM,TRULY,GGGGG,0,0,LLM,,,,,,,,,,
7,SPENT,True,3,THINK,Y--G-,4,4,LLM,PLANT,Y--GG,3,3,LLM,SPENT,GGGGG,0,0,LLM,,,,,,,,,,,,,,,
8,PAUSE,True,4,THINK,-----,5,5,LLM,GROUP,---YY,5,5,LLM,PULSE,GY-GG,2,2,LLM,PAUSE,GGGGG,0,0,LLM,,,,,,,,,,
9,CRAZY,True,5,ABOUT,Y----,5,5,LLM,LANCE,-Y-Y-,5,5,LLM,CRAMP,GGG--,2,2,LLM,CRASS,GGG--,2,2,LLM,CRAZY,GGGGG,0,0,LLM,,,,,
10,BASES,True,5,ABOUT,YY---,5,5,LLM,BRAVE,G-Y-Y,4,3,LLM,BABEL,GG-G-,2,2,LLM,BAKES,GG-GG,1,1,LLM,BASES,GGGGG,0,0,LLM,,,,,
11,YOUNG,True,3,HOUSE,-GG--,3,3,LLM,COULD,-GG--,3,3,LLM,YOUNG,GGGGG,0,0,LLM,,,,,,,,,,,,,,,
12,MEANS,True,4,THINK,---G-,4,4,LLM,LEONA,-G-GY,3,3,CSS_REPAIR,JEANS,-GGGG,1,1,LLM,MEANS,GGGGG,0,0,LLM,,,,,,,,,,
13,TRUTH,True,3,THINK,GY---,4,4,LLM,TOUCH,G-G-G,2,2,LLM,TRUTH,GGGGG,0,0,LLM,,,,,,,,,,,,,,,
14,FIRED,True,4,THINK,--Y--,5,5,LLM,ISSUE,Y---Y,5,5,LLM,LIVER,-G-GY,3,3,LLM,FIRED,GGGGG,0,0,LLM,,,,,,,,,,
15,FOLKS,True,5,HOUSE,-G-Y-,4,4,LLM,BOOKS,-G-GG,2,2,LLM,LOCKS,YG-GG,2,2,LLM,YOLKS,-GGGG,1,1,LLM,FOLKS,GGGGG,0,0,LLM,,,,,
16,CHILE,True,5,THINK,-GG--,3,3,LLM,WHIPS,-GG--,3,3,LLM,CHILL,GGGG-,1,1,LLM,CHILD,GGGG-,1,1,LLM,CHILE,GGGGG,0,0,LLM,,,,,
17,BLACK,True,4,THREE,-----,5,5,LLM,LINUS,Y----,5,5,CSS_REPAIR,BLOOM,GG---,3,3,LLM,BLACK,GGGGG,0,0,LLM,,,,,,,,,,
18,GRANT,True,2,THINK,Y--G-,4,4,LLM,GRANT,GGGGG,0,0,LLM,,,,,,,,,,,,,,,,,,,,
19,MEALS,True,6,HOUSE,---YY,5,5,LLM,SEVEN,YG---,4,4,LLM,TEARS,-GG-G,2,2,LLM,LEAPS,YGG-G,2,2,LLM,DEALS,-GGGG,1,1,LLM,MEALS,GGGGG,0,0,CSS_REPAIR
20,CREAM,True,5,THINK,-----,5,5,LLM,WORDY,--Y--,5,5,LLM,RAGES,YY-Y-,5,5,CSS_REPAIR,CRAZE,GGY-Y,3,3,CSS_REPAIR,CREAM,GGGGG,0,0,LLM,,,,,
21,AWAKE,True,4,HOUSE,----G,4,4,LLM,PRICE,----G,4,4,LLM,LEAVE,--G-G,3,3,LLM,AWAKE,GGGGG,0,0,LLM,,,,,,,,,,
22,OCCUR,True,4,HOUSE,-YY--,5,5,LLM,TUMOR,-Y-YG,4,4,CSS_REPAIR,ODOUR,G--GG,2,2,LLM,OCCUR,GGGGG,0,0,LLM,,,,,,,,,,
23,YEARS,True,4,THINK,-----,5,5,LLM,GROUP,-Y---,5,5,LLM,SCARY,Y-GGY,3,3,LLM,YEARS,GGGGG,0,0,LLM,,,,,,,,,,
24,GRADE,True,3,HOUSE,----G,4,4,LLM,PEACE,--G-G,3,3,LLM,GRADE,GGGGG,0,0,LLM,,,,,,,,,,,,,,,
