game_number,target_word,won,attempts,guess_1,feedback_1,hamming_1,levenshtein_1,strategy_1,guess_2,feedback_2,hamming_2,levenshtein_2,strategy_2,guess_3,feedback_3,hamming_3,levenshtein_3,strategy_3,guess_4,feedback_4,hamming_4,levenshtein_4,strategy_4,guess_5,feedback_5,hamming_5,levenshtein_5,strategy_5,guess_6,feedback_6,hamming_6,levenshtein_6,strategy_6
1,PHOTO,True,4,DRIES,-----,5,5,LLM_RERANK,TALON,Y--Y-,5,5,LLM_RERANK,FOOTY,-YGG-,3,3,LLM_RERANK,PHOTO,GGGGG,0,0,VOI,,,,,,,,,,
2,PARTY,True,4,PLATO,G-YG-,3,3,VOI,PANTY,GG-GG,1,1,LLM_RERANK,PATTY,GG-GG,1,1,LLM_RERANK,PARTY,GGGGG,0,0,LLM_RERANK,,,,,,,,,,
3,TRICK,True,3,PARTY,--YY-,5,5,VOI,TIERS,GY-Y-,4,4,LLM_RERANK,TRICK,GGGGG,0,0,LLM_RERANK,,,,,,,,,,,,,,,
4,DIRTY,True,4,ASTER,--Y-Y,5,5,LLM_RERANK,TRICK,YYY--,5,5,LLM_RERANK,MIRTH,-GGG-,2,2,LLM_RERANK,DIRTY,GGGGG,0,0,VOI,,,,,,,,,,
5,USUAL,True,4,RATES,-Y--Y,5,5,LLM_RERANK,SHANK,Y-Y--,5,4,LLM_RERANK,ASSAM,-G-G-,3,3,LLM_RERANK,USUAL,GGGGG,0,0,VOI,,,,,,,,,,
6,TRULY,True,3,SORTA,--YY-,5,5,LLM_RERANK,LITER,Y-Y-Y,5,5,LLM_RERANK,TRULY,GGGGG,0,0,VOI,,,,,,,,,,,,,,,
7,SPENT,True,4,SOUTH,G--Y-,4,4,VOI,STEER,GYG--,3,3,LLM_RERANK,SPELT,GGG-G,1,1,LLM_RERANK,SPENT,GGGGG,0,0,VOI,,,,,,,,,,
8,PAUSE,True,3,RIOTS,----Y,5,5,VOI,SLUSH,--GG-,3,3,LLM_RERANK,PAUSE,GGGGG,0,0,LLM_RERANK,,,,,,,,,,,,,,,
9,CRAZY,True,5,RAINS,YY---,5,4,LLM_RERANK,TRADE,-GG--,3,3,LLM_RERANK,BRAVA,-GG--,3,3,LLM_RERANK,CRAMP,GGG--,2,2,LLM_RERANK,CRAZY,GGGGG,0,0,LLM_RERANK,,,,,
10,BASES,True,5,CAREY,-G-G-,3,3,VOI,DALES,-G-GG,2,2,LLM_RERANK,GATES,-G-GG,2,2,LLM_RERANK,SAVES,YG-GG,2,2,LLM_RERANK,BASES,GGGGG,0,0,LLM_RERANK,,,,,
11,YOUNG,True,3,TASER,-----,5,5,VOI,LOONY,-G-GY,3,3,VOI,YOUNG,GGGGG,0,0,VOI,,,,,,,,,,,,,,,
12,MEANS,True,4,SURAT,Y--Y-,5,5,VOI,BASIS,-Y--G,4,4,LLM_RERANK,LEANS,-GGGG,1,1,LLM_RERANK,MEANS,GGGGG,0,0,LLM_RERANK,,,,,,,,,,
13,TRUTH,True,3,CRATE,-G-G-,3,3,LLM_RERANK,BROTH,-G-GG,2,2,LLM_RERANK,TRUTH,GGGGG,0,0,LLM_RERANK,,,,,,,,,,,,,,,
14,FIRED,True,4,SPATE,----Y,5,5,VOI,LINER,-G-GY,3,3,LLM_RERANK,WIRED,-GGGG,1,1,LLM_RERANK,FIRED,GGGGG,0,0,LLM_RERANK,,,,,,,,,,
15,FOLKS,True,5,TRANS,----G,4,4,VOI,HOLES,-GG-G,2,2,LLM_RERANK,MOLDS,-GG-G,2,2,LLM_RERANK,POLIS,-GG-G,2,2,LLM_RERANK,FOLKS,GGGGG,0,0,LLM_RERANK,,,,,
16,CHILE,True,4,TAPES,---Y-,5,5,LLM_RERANK,HERON,YY---,5,5,LLM_RERANK,CHEWY,GGY--,3,3,LLM_RERANK,CHILE,GGGGG,0,0,LLM_RERANK,,,,,,,,,,
17,BLACK,True,3,SHARE,--G--,4,4,LLM_RERANK,BLANK,GGG-G,1,1,LLM_RERANK,BLACK,GGGGG,0,0,VOI,,,,,,,,,,,,,,,
18,GRANT,True,4,EARTH,-YYY-,5,4,LLM_RERANK,START,--GYG,3,3,LLM_RERANK,DRAFT,-GG-G,2,2,LLM_RERANK,GRANT,GGGGG,0,0,LLM_RERANK,,,,,,,,,,
19,MEALS,True,3,CRATE,--G-Y,4,4,LLM_RERANK,MEANS,GGG-G,1,1,LLM_RERANK,MEALS,GGGGG,0,0,VOI,,,,,,,,,,,,,,,
20,CREAM,True,5,GRATE,-GY-Y,4,4,VOI,BREAD,-GGG-,2,2,LLM_RERANK,WREAK,-GGG-,2,2,LLM_RERANK,AREAS,-GGG-,2,2,LLM_RERANK,CREAM,GGGGG,0,0,LLM_RERANK,,,,,
21,AWAKE,True,3,BRATS,--G--,4,4,VOI,CLANK,--G-Y,4,4,LLM_RERANK,AWAKE,GGGGG,0,0,LLM_RERANK,,,,,,,,,,,,,,,
22,OCCUR,True,5,YEARS,---Y-,5,5,VOI,FROTH,-YY--,5,5,LLM_RERANK,RONDO,YY---,5,5,LLM_RERANK,LUXOR,-Y-YG,4,4,LLM_RERANK,OCCUR,GGGGG,0,0,VOI,,,,,
23,YEARS,True,3,TRADE,-YG-Y,4,4,VOI,WEARY,-GGGY,2,2,LLM_RERANK,YEARS,GGGGG,0,0,LLM_RERANK,,,,,,,,,,,,,,,
24,GRADE,True,4,LEARN,-YGY-,4,4,VOI,TRACE,-GG-G,2,2,LLM_RERANK,DRAPE,YGG-G,2,2,LLM_RERANK,GRADE,GGGGG,0,0,VOI,,,,,,,,,,
25,CHILL,True,4,GEARS,-----,5,5,LLM_RERANK,PHOTO,-G---,4,4,VOI,CHUNK,GG---,3,3,LLM_RERANK,CHILL,GGGGG,0,0,LLM_RERANK,,,,,,,,,,
26,FLOOD,True,4,SLATE,-G---,4,4,VOI,CLING,-G---,4,4,LLM_RERANK,BLUFF,-G-Y-,4,4,LLM_RERANK,FLOOD,GGGGG,0,0,LLM_RERANK,,,,,,,,,,
27,APPLY,True,3,EARLS,-Y-G-,4,4,VOI,KOALA,--YG-,4,4,LLM_RERANK,APPLY,GGGGG,0,0,LLM_RERANK,,,,,,,,,,,,,,,
28,SMILE,True,3,YEARS,-Y--Y,5,5,LLM_RERANK,SLEPT,GYY--,4,4,LLM_RERANK,SMILE,GGGGG,0,0,LLM_RERANK,,,,,,,,,,,,,,,
29,KNOCK,True,3,SABLE,-----,5,5,VOI,TOUCH,-Y-G-,4,4,LLM_RERANK,KNOCK,GGGGG,0,0,LLM_RERANK,,,,,,,,,,,,,,,
30,SLEEP,True,3,ARISE,---YY,5,5,LLM_RERANK,SPELT,GYGY-,3,3,LLM_RERANK,SLEEP,GGGGG,0,0,VOI,,,,,,,,,,,,,,,
31,BRICK,True,3,STALE,-----,5,5,LLM_RERANK,BIRCH,GYYG-,3,3,LLM_RERANK,BRICK,GGGGG,0,0,VOI,,,,,,,,,,,,,,,
32,WROTE,True,4,HEALS,-Y---,5,5,VOI,FREED,-GY--,4,4,LLM_RERANK,TRIBE,YG--G,3,3,LLM_RERANK,WROTE,GGGGG,0,0,VOI,,,,,,,,,,
33,RATED,True,3,ACRES,Y-YG-,4,4,LLM_RERANK,TAMER,YG-GY,3,3,LLM_RERANK,RATED,GGGGG,0,0,VOI,,,,,,,,,,,,,,,
34,ALERT,True,3,TEARS,YYYG-,4,4,VOI,AVERT,G-GGG,1,1,LLM_RERANK,ALERT,GGGGG,0,0,VOI,,,,,,,,,,,,,,,
35,CAGES,False,6,SCARE,YYY-Y,5,3,VOI,FACES,-GYGG,2,2,LLM_RERANK,CASES,GG-GG,1,1,LLM_RERANK,CATES,GG-GG,1,1,LLM_RERANK,CAKES,GG-GG,1,1,LLM_RERANK,CAVES,GG-GG,1,1,LLM_RERANK
36,TEDDY,True,6,AROSE,----Y,5,5,LLM_RERANK,WENCH,-G---,4,4,LLM_RERANK,BEEFY,-G--G,3,3,LLM_RERANK,JELLY,-G--G,3,3,LLM_RERANK,PETTY,-GY-G,3,3,LLM_RERANK,TEDDY,GGGGG,0,0,VOI
37,COLES,True,6,SLADE,YY--Y,5,5,VOI,LIMES,Y--GG,3,3,LLM_RERANK,HOLES,-GGGG,1,1,LLM_RERANK,ROLES,-GGGG,1,1,LLM_RERANK,POLES,-GGGG,1,1,LLM_RERANK,COLES,GGGGG,0,0,LLM_RERANK
38,HWANG,True,4,SPARE,--G--,4,4,LLM_RERANK,KOALA,--G--,4,4,LLM_RERANK,THANG,-YGGG,2,2,LLM_RERANK,HWANG,GGGGG,0,0,LLM_RERANK,,,,,,,,,,
39,WRATH,True,4,LATER,-YY-Y,5,4,LLM_RERANK,GRAFT,-GG-Y,3,3,LLM_RERANK,TRACK,YGG--,3,3,LLM_RERANK,WRATH,GGGGG,0,0,LLM_RERANK,,,,,,,,,,
40,MACHO,True,4,TRAPS,--Y--,5,5,LLM_RERANK,CANAL,YG---,4,4,LLM_RERANK,HAVOC,YG-YY,4,4,LLM_RERANK,MACHO,GGGGG,0,0,VOI,,,,,,,,,,
41,LOPEZ,True,5,STARE,----Y,5,5,LLM_RERANK,JELLY,-YY--,5,5,LLM_RERANK,BLEND,-YY--,5,5,LLM_RERANK,VOGEL,-G-GY,3,3,LLM_RERANK,LOPEZ,GGGGG,0,0,VOI,,,,,
42,GOODY,True,3,SLADE,---G-,4,4,VOI,GORDO,GG-GY,2,2,LLM_RERANK,GOODY,GGGGG,0,0,VOI,,,,,,,,,,,,,,,
43,BROTH,True,3,ACRES,--Y--,5,5,VOI,FLIRT,---YY,5,5,LLM_RERANK,BROTH,GGGGG,0,0,LLM_RERANK,,,,,,,,,,,,,,,
44,VERDE,True,4,TRACE,-Y--G,4,4,VOI,SNORE,---YG,4,4,LLM_RERANK,MERGE,-GG-G,2,2,LLM_RERANK,VERDE,GGGGG,0,0,LLM_RERANK,,,,,,,,,,
45,TAMED,True,4,TEARS,GYY--,4,4,VOI,TAXED,GG-GG,1,1,LLM_RERANK,TAPED,GG-GG,1,1,LLM_RERANK,TAMED,GGGGG,0,0,VOI,,,,,,,,,,
46,LEAFS,True,5,SPARE,Y-G-Y,4,4,VOI,DEALS,-GGYG,2,2,LLM_RERANK,LEANS,GGG-G,1,1,LLM_RERANK,LEAKS,GGG-G,1,1,LLM_RERANK,LEAFS,GGGGG,0,0,VOI,,,,,
47,YACHT,True,4,SKATE,--YY-,5,5,VOI,ACTOR,YYY--,5,4,LLM_RERANK,TACIT,-GG-G,2,2,LLM_RERANK,YACHT,GGGGG,0,0,VOI,,,,,,,,,,
48,MESSY,True,5,DEALT,-G---,4,4,VOI,NERVE,-G---,4,4,LLM_RERANK,BEGUM,-G--Y,4,4,LLM_RERANK,MEMOS,GG--Y,3,3,LLM_RERANK,MESSY,GGGGG,0,0,LLM_RERANK,,,,,
49,RYDER,True,5,STALE,----Y,5,5,LLM_RERANK,WEIGH,-Y---,5,5,LLM_RERANK,CODER,--GGG,2,2,LLM_RERANK,ENDER,--GGG,2,2,LLM_RERANK,RYDER,GGGGG,0,0,VOI,,,,,
50,MOTIF,True,4,RACES,-----,5,5,VOI,GOODY,-G---,4,4,VOI,MOUTH,GG-Y-,3,3,LLM_RERANK,MOTIF,GGGGG,0,0,VOI,,,,,,,,,,
51,RAVEN,True,5,PEARL,-YYY-,5,5,VOI,CREAM,-YYY-,5,5,LLM_RERANK,RATED,GG-G-,2,2,LLM_RERANK,RAVES,GGGG-,1,1,LLM_RERANK,RAVEN,GGGGG,0,0,VOI,,,,,
52,REICH,True,5,LASER,---YY,5,5,VOI,GROVE,-Y--Y,5,5,LLM_RERANK,MERIT,-GYY-,4,4,LLM_RERANK,WEIRD,-GGY-,3,3,LLM_RERANK,REICH,GGGGG,0,0,LLM_RERANK,,,,,
53,ICONS,True,4,SLATE,Y----,5,5,VOI,HOCUS,-YY-G,4,4,LLM_RERANK,CROSS,Y-G-G,3,3,LLM_RERANK,ICONS,GGGGG,0,0,VOI,,,,,,,,,,
54,SILKY,True,3,TALES,--G-Y,4,4,VOI,SILLY,GGG-G,1,1,LLM_RERANK,SILKY,GGGGG,0,0,VOI,,,,,,,,,,,,,,,
55,CARVE,True,5,RAISE,YG--G,3,3,LLM_RERANK,PARTE,-GG-G,2,2,LLM_RERANK,LARGE,-GG-G,2,2,LLM_RERANK,FARCE,-GGYG,2,2,LLM_RERANK,CARVE,GGGGG,0,0,LLM_RERANK,,,,,
56,LAGER,False,6,AIRES,Y-YG-,4,4,VOI,RATED,YG-G-,3,3,LLM_RERANK,LAKER,GG-GG,1,1,LLM_RERANK,LAYER,GG-GG,1,1,LLM_RERANK,LAVER,GG-GG,1,1,LLM_RERANK,LAZER,GG-GG,1,1,LLM_RERANK
57,JERKS,True,5,PALES,---YG,4,4,LLM_RERANK,SEEMS,-G--G,3,3,LLM_RERANK,BENDS,-G--G,3,3,LLM_RERANK,HEROS,-GG-G,2,2,LLM_RERANK,JERKS,GGGGG,0,0,VOI,,,,,
58,LOTUS,True,5,MARES,----G,4,4,VOI,FOLKS,-GY-G,3,3,LLM_RERANK,COILS,-G-YG,3,3,LLM_RERANK,LOOPS,GG--G,2,2,LLM_RERANK,LOTUS,GGGGG,0,0,LLM_RERANK,,,,,
59,LACEY,True,4,LANES,GG-G-,2,2,LLM_RERANK,LAVER,GG-G-,2,2,LLM_RERANK,LACED,GGGG-,1,1,LLM_RERANK,LACEY,GGGGG,0,0,VOI,,,,,,,,,,
60,TUDOR,True,3,MALES,-----,5,5,VOI,BRUNI,-YY--,5,5,VOI,TUDOR,GGGGG,0,0,LLM_RERANK,,,,,,,,,,,,,,,
61,QUOTA,True,4,PARSE,-Y---,5,5,LLM_RERANK,THANK,Y-Y--,5,5,LLM_RERANK,ATOLL,YYG--,4,4,LLM_RERANK,QUOTA,GGGGG,0,0,VOI,,,,,,,,,,
