game_number,target_word,won,attempts,guess_1,feedback_1,hamming_1,levenshtein_1,strategy_1,guess_2,feedback_2,hamming_2,levenshtein_2,strategy_2,guess_3,feedback_3,hamming_3,levenshtein_3,strategy_3,guess_4,feedback_4,hamming_4,levenshtein_4,strategy_4,guess_5,feedback_5,hamming_5,levenshtein_5,strategy_5,guess_6,feedback_6,hamming_6,levenshtein_6,strategy_6
1,PHOTO,True,4,ABOUT,--G-Y,4,4,LLM,STOLE,-YG--,4,4,LLM,TOOTH,-YGGY,3,3,LLM,PHOTO,GGGGG,0,0,LLM,,,,,,,,,,
2,PARTY,True,3,THINK,Y----,5,5,LLM,LEAST,--Y-Y,5,4,LLM,PARTY,GGGGG,0,0,LLM,,,,,,,,,,,,,,,
3,TRICK,True,5,WORDS,--Y--,5,5,LLM,TRUTH,GG---,3,3,LLM,TRIPE,GGG--,2,2,CSS_REPAIR,TRIAL,GGG--,2,2,LLM,TRICK,GGGGG,0,0,LLM,,,,,
4,DIRTY,True,3,WORDS,--GY-,4,4,LLM,DARIA,G-GY-,3,3,CSS_REPAIR,DIRTY,GGGGG,0,0,LLM,,,,,,,,,,,,,,,
5,USUAL,True,4,ABOUT,Y--Y-,5,5,LLM,LAURA,YYG--,4,4,LLM,EQUAL,--GGG,2,2,LLM,USUAL,GGGGG,0,0,LLM,,,,,,,,,,
6,TRULY,True,4,WORDS,--Y--,5,5,LLM,THEIR,G---Y,4,4,LLM,TRACK,GG---,3,3,LLM,TRULY,GGGGG,0,0,LLM,,,,,,,,,,
7,SPENT,True,4,WORDS,----Y,5,5,LLM,SINCE,G-Y-Y,4,4,LLM,SEVEN,GY--Y,4,3,LLM,SPENT,GGGGG,0,0,LLM,,,,,,,,,,
8,PAUSE,True,3,GREEN,--Y--,5,5,LLM,LOUSE,--GGG,2,2,LLM,PAUSE,GGGGG,0,0,LLM,,,,,,,,,,,,,,,
9,CRAZY,True,3,LEAST,--G--,4,4,LLM,CHAIR,G-G-Y,3,3,LLM,CRAZY,GGGGG,0,0,LLM,,,,,,,,,,,,,,,
10,BASES,True,6,THINK,-----,5,5,LLM,WORDS,----G,4,4,LLM,GAMES,-G-GG,2,2,LLM,EASES,-GGGG,1,1,LLM,CASES,-GGGG,1,1,LLM,BASES,GGGGG,0,0,LLM
11,YOUNG,True,3,VOWEL,-G---,4,4,LLM,GOING,-G-GG,2,2,LLM,YOUNG,GGGGG,0,0,LLM,,,,,,,,,,,,,,,
12,MEANS,True,4,WORDS,----G,4,4,LLM,TIMES,--YYG,4,4,LLM,MENUS,GGY-G,2,2,LLM,MEANS,GGGGG,0,0,LLM,,,,,,,,,,
13,TRUTH,True,5,GOING,-----,5,5,LLM,CHECK,-Y---,5,5,LLM,HAPPY,Y----,5,5,LLM,BRUSH,-GG-G,2,2,LLM,TRUTH,GGGGG,0,0,LLM,,,,,
14,FIRED,True,6,GIVEN,-G-G-,3,3,LLM,TILES,-G-G-,3,3,LLM,HIDEO,-GYG-,3,3,LLM,DIMER,YG-GY,3,3,CSS_REPAIR,AIRED,-GGGG,1,1,LLM,FIRED,GGGGG,0,0,LLM
15,FOLKS,True,3,VOWEL,-G--Y,4,4,LLM,LOOKS,YG-GG,2,2,LLM,FOLKS,GGGGG,0,0,LLM,,,,,,,,,,,,,,,
16,CHILE,True,4,WORDS,-----,5,5,LLM,THINK,-GG--,3,3,LLM,CHIME,GGG-G,1,1,LLM,CHILE,GGGGG,0,0,LLM,,,,,,,,,,
17,BLACK,True,3,WORDS,-----,5,5,LLM,THINK,----G,4,4,LLM,BLACK,GGGGG,0,0,LLM,,,,,,,,,,,,,,,
18,GRANT,True,4,VOWEL,-----,5,5,LLM,START,--GYG,3,3,LLM,BRANT,-GGGG,1,1,LLM,GRANT,GGGGG,0,0,LLM,,,,,,,,,,
19,MEALS,True,3,VOWEL,---YY,5,5,LLM,CELLS,-G-GG,2,2,LLM,MEALS,GGGGG,0,0,LLM,,,,,,,,,,,,,,,
20,CREAM,True,5,LIMIT,--Y--,5,5,LLM,MAKES,YY-Y-,5,5,LLM,DREAM,-GGGG,1,1,LLM,BREAM,-GGGG,1,1,LLM,CREAM,GGGGG,0,0,LLM,,,,,
21,AWAKE,True,3,START,--G--,4,4,LLM,CLAIM,--G--,4,4,LLM,AWAKE,GGGGG,0,0,LLM,,,,,,,,,,,,,,,
22,OCCUR,True,3,VOWEL,-Y---,5,5,LLM,STOCK,--YY-,5,5,LLM,OCCUR,GGGGG,0,0,LLM,,,,,,,,,,,,,,,
23,YEARS,True,3,THERE,--YG-,4,4,LLM,YEARN,GGGG-,1,1,CSS_REPAIR,YEARS,GGGGG,0,0,LLM,,,,,,,,,,,,,,,
24,GRADE,True,4,WORDS,--YG-,4,4,LLM,READE,Y-GGG,2,2,LLM,TRADE,-GGGG,1,1,LLM,GRADE,GGGGG,0,0,LLM,,,,,,,,,,
25,CHILL,True,5,ABOUT,-----,5,5,LLM,SINCE,-Y-Y-,5,5,LLM,CHILD,GGGG-,1,1,LLM,CHILI,GGGG-,1,1,LLM,CHILL,GGGGG,0,0,LLM,,,,,
26,FLOOD,True,5,WORDS,-Y-Y-,5,4,LLM,ADOBE,-YG--,4,4,LLM,CLOUD,-GG-G,2,2,LLM,FLOYD,GGG-G,1,1,LLM,FLOOD,GGGGG,0,0,LLM,,,,,
27,APPLY,True,4,THREE,-----,5,5,LLM,DAILY,-Y-GG,3,3,LLM,AMPLY,G-GGG,1,1,LLM,APPLY,GGGGG,0,0,CSS_REPAIR,,,,,,,,,,
28,SMILE,True,6,STATE,G---G,3,3,LLM,SERVE,G---G,3,3,LLM,SINCE,GY--G,3,3,LLM,SUSIE,G--YG,3,3,LLM,SLIME,GYGYG,2,2,LLM,SMILE,GGGGG,0,0,LLM
29,KNOCK,True,4,RIGHT,-----,5,5,LLM,LOWES,-Y---,5,5,CSS_REPAIR,KYOKO,G-GY-,3,3,LLM,KNOCK,GGGGG,0,0,LLM,,,,,,,,,,
30,SLEEP,True,4,WORDS,----Y,5,5,LLM,STAGE,G---Y,4,4,LLM,SHELL,G-GY-,3,3,LLM,SLEEP,GGGGG,0,0,LLM,,,,,,,,,,
31,BRICK,True,5,START,---Y-,5,5,LLM,WORLD,--Y--,5,5,LLM,NEVER,----Y,5,5,LLM,RUGBY,Y--Y-,5,5,LLM,BRICK,GGGGG,0,0,LLM,,,,,
32,WROTE,True,3,WORDS,GYY--,4,4,LLM,WHORE,G-GYG,2,2,LLM,WROTE,GGGGG,0,0,LLM,,,,,,,,,,,,,,,
33,RATED,True,4,THERE,Y-YY-,5,5,LLM,AFTER,Y-GGY,3,3,LLM,RATES,GGGG-,1,1,LLM,RATED,GGGGG,0,0,LLM,,,,,,,,,,
34,ALERT,True,3,WORDS,--Y--,5,5,LLM,THERE,Y-GG-,3,3,LLM,ALERT,GGGGG,0,0,LLM,,,,,,,,,,,,,,,
35,CAGES,False,6,WORDS,----G,4,4,LLM,TILES,---GG,3,3,CSS_REPAIR,MAKES,-G-GG,2,2,LLM,FACES,-GYGG,2,2,LLM,CAVES,GG-GG,1,1,LLM,CASES,GG-GG,1,1,CSS_REPAIR
36,TEDDY,True,4,THERE,G-Y--,4,4,LLM,TESLA,GG---,3,3,LLM,TETON,GG---,3,3,CSS_REPAIR,TEDDY,GGGGG,0,0,LLM,,,,,,,,,,
37,COLES,True,6,THESE,--YY-,5,4,LLM,READS,-Y--G,4,4,CSS_REPAIR,PIPES,---GG,3,3,LLM,COMES,GG-GG,1,1,LLM,CONES,GG-GG,1,1,CSS_REPAIR,COLES,GGGGG,0,0,LLM
38,HWANG,True,5,WORDS,Y----,5,5,LLM,TWICE,-G---,4,4,LLM,AWWWW,YG---,4,4,CSS_REPAIR,KWANG,-GGGG,1,1,LLM,HWANG,GGGGG,0,0,CSS_REPAIR,,,,,
39,WRATH,True,3,START,-YGY-,4,4,LLM,TRADE,YGG--,3,3,LLM,WRATH,GGGGG,0,0,LLM,,,,,,,,,,,,,,,
40,MACHO,True,4,START,--Y--,5,5,LLM,HAPPY,YG---,4,4,LLM,LAUGH,-G--Y,4,4,LLM,MACHO,GGGGG,0,0,LLM,,,,,,,,,,
41,LOPEZ,True,4,STATE,----Y,5,5,LLM,MEIER,---G-,4,4,CSS_REPAIR,LOVED,GG-G-,2,2,LLM,LOPEZ,GGGGG,0,0,LLM,,,,,,,,,,
42,GOODY,True,5,VOWEL,-G---,4,4,LLM,ROOTS,-GG--,3,3,CSS_REPAIR,GOOCH,GGG--,2,2,LLM,GOOFY,GGG-G,1,1,LLM,GOODY,GGGGG,0,0,LLM,,,,,
43,BROTH,True,5,WORDS,-YY--,5,5,LLM,GROUP,-GG--,3,3,LLM,FRONT,-GG-Y,3,3,LLM,TROLL,YGG--,3,3,LLM,BROTH,GGGGG,0,0,CSS_REPAIR,,,,,
44,VERDE,True,4,THINK,-----,5,5,LLM,WORDS,--GG-,3,3,LLM,GERDA,-GGG-,2,2,LLM,VERDE,GGGGG,0,0,LLM,,,,,,,,,,
45,TAMED,True,4,BENDY,-Y-Y-,5,5,LLM,DWELT,Y-Y-Y,5,5,LLM,TIMED,G-GGG,1,1,LLM,TAMED,GGGGG,0,0,LLM,,,,,,,,,,
46,LEAFS,True,5,THEIR,--Y--,5,5,LLM,PLACE,-YG-Y,4,4,LLM,LEADS,GGG-G,1,1,LLM,LEAKS,GGG-G,1,1,LLM,LEAFS,GGGGG,0,0,LLM,,,,,
47,YACHT,True,4,ABOUT,Y---G,4,4,LLM,GREAT,---YG,4,4,LLM,PLANT,--Y-G,4,4,LLM,YACHT,GGGGG,0,0,LLM,,,,,,,,,,
48,MESSY,True,5,WORDS,----Y,5,5,LLM,STAGE,Y---Y,5,5,LLM,ESSEX,YYG--,4,3,LLM,JESSI,-GGG-,2,2,CSS_REPAIR,MESSY,GGGGG,0,0,LLM,,,,,
49,RYDER,True,5,WORDS,--YY-,5,5,LLM,UNDER,--GGG,2,2,LLM,ALDER,--GGG,2,2,LLM,RIDER,G-GGG,1,1,LLM,RYDER,GGGGG,0,0,LLM,,,,,
50,MOTIF,True,4,ABOUT,--Y-Y,5,5,LLM,NOTES,-GG--,3,3,LLM,MOTOR,GGG--,2,2,LLM,MOTIF,GGGGG,0,0,LLM,,,,,,,,,,
51,RAVEN,True,5,MATCH,-G---,4,4,LLM,BASIS,-G---,4,4,LLM,LAYER,-G-GY,3,3,CSS_REPAIR,RAPED,GG-G-,2,2,CSS_REPAIR,RAVEN,GGGGG,0,0,LLM,,,,,
52,REICH,True,4,THERE,-YYY-,5,5,LLM,HIRES,YYYY-,5,5,LLM,ERICH,YYGGG,2,2,CSS_REPAIR,REICH,GGGGG,0,0,LLM,,,,,,,,,,
53,ICONS,True,4,WORDS,-Y--G,4,4,LLM,SHOPS,--G-G,3,3,LLM,LIONS,-YGGG,2,2,LLM,ICONS,GGGGG,0,0,CSS_REPAIR,,,,,,,,,,
54,SILKY,True,4,HOUSE,---Y-,5,5,LLM,STILL,G-YY-,4,3,LLM,SILAS,GGG--,2,2,LLM,SILKY,GGGGG,0,0,LLM,,,,,,,,,,
55,CARVE,True,5,OTHER,---YY,5,5,LLM,EVERY,YY-Y-,5,5,LLM,VERDI,YYG--,4,4,LLM,CURVE,G-GGG,1,1,CSS_REPAIR,CARVE,GGGGG,0,0,LLM,,,,,
56,LAGER,True,5,ABOUT,Y----,5,5,LLM,SAGAR,-GG-G,2,2,LLM,WAGER,-GGGG,1,1,LLM,EAGER,-GGGG,1,1,LLM,LAGER,GGGGG,0,0,LLM,,,,,
57,JERKS,True,6,WORDS,--G-G,3,3,LLM,EARNS,Y-G-G,3,3,LLM,HERBS,-GG-G,2,2,CSS_REPAIR,CERES,-GG-G,2,2,LLM,PERKS,-GGGG,1,1,LLM,JERKS,GGGGG,0,0,CSS_REPAIR
