game_number,target_code,won,attempts,guess_1,feedback_1,strategy_1,candidates_1,guess_2,feedback_2,strategy_2,candidates_2,guess_3,feedback_3,strategy_3,candidates_3,guess_4,feedback_4,strategy_4,candidates_4,guess_5,feedback_5,strategy_5,candidates_5,guess_6,feedback_6,strategy_6,candidates_6,guess_7,feedback_7,strategy_7,candidates_7,guess_8,feedback_8,strategy_8,candidates_8,guess_9,feedback_9,strategy_9,candidates_9,guess_10,feedback_10,strategy_10,candidates_10
1,GRBR,True,6,RRYY,1B1W,LLM,208,GROR,3B0W,VOI,7,GRWR,3B0W,VOI,3,GRGR,3B0W,VOI,2,GRRR,3B0W,VOI,1,GRBR,4B0W,VOI,1,,,,,,,,,,,,,,,,
2,RGBY,True,1,RGBY,4B0W,LLM,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,BYYW,True,4,RGBO,0B1W,LLM,152,GYWY,1B2W,VOI,21,OYYW,3B0W,VOI,1,BYYW,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,
4,BGWY,True,5,RRBB,0B1W,LLM,256,BYYW,1B2W,VOI,18,YBOW,0B3W,VOI,3,BWWY,3B0W,VOI,2,BGWY,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
5,BROG,True,6,GGGG,1B0W,LLM,500,BGWY,1B1W,VOI,84,GRWR,1B1W,VOI,18,OGYR,0B3W,VOI,4,BRGO,2B2W,VOI,1,BROG,4B0W,VOI,1,,,,,,,,,,,,,,,,
6,GGWY,True,5,RGBY,2B0W,LLM,96,RGRW,1B1W,VOI,24,ROBR,0B0W,VOI,5,YGWY,3B0W,VOI,2,GGWY,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
7,RWOW,True,5,RGBY,1B0W,LLM,108,YWOY,2B0W,VOI,6,RWOR,3B0W,VOI,2,RWOO,3B0W,VOI,1,RWOW,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
8,WGRR,True,5,RGGB,1B1W,LLM,230,GGWY,1B1W,VOI,39,YRGY,0B2W,VOI,12,WGOR,3B0W,VOI,1,WGRR,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
9,ROWO,True,4,RGBY,1B0W,LLM,108,RWOW,1B2W,VOI,7,ROWR,3B0W,VOI,1,ROWO,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,
10,WYYY,True,5,RGBY,1B0W,LLM,108,ROWO,0B1W,VOI,18,YYOY,2B1W,VOI,2,YWYY,2B2W,VOI,1,WYYY,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
11,ORRR,True,4,RRGB,1B1W,LLM,230,ROWR,1B2W,VOI,19,OROR,3B0W,VOI,3,ORRR,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,
