game_number,target_word,won,attempts,guess_1,feedback_1,hamming_1,levenshtein_1,strategy_1,guess_2,feedback_2,hamming_2,levenshtein_2,strategy_2,guess_3,feedback_3,hamming_3,levenshtein_3,strategy_3,guess_4,feedback_4,hamming_4,levenshtein_4,strategy_4,guess_5,feedback_5,hamming_5,levenshtein_5,strategy_5,guess_6,feedback_6,hamming_6,levenshtein_6,strategy_6,violated_green_1,violated_yellow_1,violated_gray_1,total_violations_1,violated_green_2,violated_yellow_2,violated_gray_2,total_violations_2,violated_green_3,violated_yellow_3,violated_gray_3,total_violations_3,violated_green_4,violated_yellow_4,violated_gray_4,total_violations_4,violated_green_5,violated_yellow_5,violated_gray_5,total_violations_5,violated_green_6,violated_yellow_6,violated_gray_6,total_violations_6
1,PHOTO,True,4,GREEN,-----,5,5,LLM,BAILS,-----,5,5,CSS,GUESS,-----,5.0,5.0,LLM,PHOTO,GGGGG,0.0,0.0,CSS,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0
2,PARTY,True,5,VOWEL,-----,5,5,LLM,SAINT,-G--Y,4,4,CSS,TATUM,YG---,4.0,4.0,LLM,BARTH,-GGG-,2.0,2.0,CSS,PARTY,GGGGG,0.0,0.0,LLM,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,TRICK,True,4,GUESS,-----,5,5,LLM,PONTA,---Y-,5,5,CSS,TIMID,GY---,4.0,4.0,LLM,TRICK,GGGGG,0.0,0.0,CSS,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,DIRTY,True,5,GUESS,-----,5,5,LLM,RABIN,Y--Y-,5,5,CSS,PRIMO,-YY--,5.0,5.0,LLM,FIRTH,-GGG-,2.0,2.0,CSS,DIRTY,GGGGG,0.0,0.0,LLM,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,USUAL,True,4,LANES,YY--Y,5,5,LLM,STAHL,Y-Y-G,4,3,CSS,TREND,-----,5.0,5.0,LLM,USUAL,GGGGG,0.0,0.0,CSS,,,,,,,,,,,0,0,0,0,0,0,0,0,1,3,3,7,0,0,0,0,0,0,0,0,0,0,0,0
6,TRULY,True,5,START,-Y-Y-,5,5,LLM,TRIBE,GG---,3,3,CSS,TROOP,GG---,3.0,3.0,LLM,TRUNK,GGG--,2.0,2.0,CSS,TRULY,GGGGG,0.0,0.0,LLM,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,SPENT,True,6,COULD,-----,5,5,LLM,MARES,---YY,5,5,CSS,SENSE,GYY--,4.0,3.0,LLM,STEIN,GYG-Y,3.0,3.0,CSS,STASH,GY---,4.0,4.0,LLM,SPENT,GGGGG,0.0,0.0,CSS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,5,0,0,0,0
8,PAUSE,True,3,RITES,---YY,5,5,LLM,SHALE,Y-Y-G,4,4,CSS,PAUSE,GGGGG,0.0,0.0,LLM,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,CRAZY,False,6,GUESS,-----,5,5,LLM,MARIA,-YY--,5,5,CSS,CRANK,GGG--,2.0,2.0,LLM,CRAWL,GGG--,2.0,2.0,CSS,CRAFT,GGG--,2.0,2.0,LLM,CRABB,GGG--,2.0,2.0,CSS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,BASES,True,3,GUESS,--YYG,4,4,LLM,SALES,YG-GG,2,2,CSS,BASES,GGGGG,0.0,0.0,LLM,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,YOUNG,True,4,MIGHT,--Y--,5,5,LLM,GLARE,Y----,5,5,CSS,SONGS,-GYY-,4.0,3.0,LLM,YOUNG,GGGGG,0.0,0.0,CSS,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,MEANS,True,3,AMONG,YY-G-,4,4,LLM,MAINE,GY-GY,3,3,CSS,MEANS,GGGGG,0.0,0.0,LLM,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,TRUTH,True,2,START,-Y-YY,5,4,LLM,TRUTH,GGGGG,0,0,CSS,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,FIRED,False,6,GIVEN,-G-G-,3,3,LLM,RIDES,YGYG-,3,3,CSS,GUESS,--Y--,5.0,5.0,LLM,MIRED,-GGGG,1.0,1.0,CSS,HIRES,-GGG-,2.0,2.0,LLM,TIRED,-GGGG,1.0,1.0,CSS,0,0,0,0,0,0,0,0,2,2,2,6,0,0,0,0,1,1,1,3,0,0,0,0
15,FOLKS,True,5,LEAST,Y--Y-,5,5,LLM,SOILS,-G-YG,3,3,CSS,GOLDS,-GG-G,2.0,2.0,LLM,YOLKS,-GGGG,1.0,1.0,CSS,FOLKS,GGGGG,0.0,0.0,LLM,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,CHILE,True,3,WORDS,-----,5,5,LLM,ALICE,-YGYG,3,3,CSS,CHILE,GGGGG,0.0,0.0,LLM,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,BLACK,True,6,GUESS,-----,5,5,LLM,TRIAD,---Y-,5,5,CSS,PAOLA,-Y-Y-,5.0,5.0,LLM,BLANC,GGG-Y,2.0,2.0,CSS,QUINT,-----,5.0,5.0,LLM,BLACK,GGGGG,0.0,0.0,CSS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,10,0,0,0,0
18,GRANT,True,2,START,--GYG,3,3,LLM,GRANT,GGGGG,0,0,CSS,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,MEALS,True,3,ONSET,--YY-,5,5,LLM,SEALS,-GGGG,1,1,CSS,MEALS,GGGGG,0.0,0.0,LLM,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,CREAM,True,3,START,--YY-,5,5,LLM,CARER,GYYY-,4,3,CSS,CREAM,GGGGG,0.0,0.0,LLM,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,AWAKE,True,6,FIFTH,-----,5,5,LLM,CORES,---Y-,5,5,CSS,SMILE,----G,4.0,4.0,LLM,DEANE,--G-G,3.0,3.0,CSS,AGAVE,G-G-G,2.0,2.0,LLM,AWAKE,GGGGG,0.0,0.0,CSS,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0
22,OCCUR,True,4,GUESS,-Y---,5,5,LLM,MOURN,-YYY-,5,4,CSS,TROUT,-YYG-,4.0,4.0,LLM,OCCUR,GGGGG,0.0,0.0,CSS,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,YEARS,True,5,GIVEN,---Y-,5,5,LLM,PEARS,-GGGG,1,1,CSS,HEARS,-GGGG,1.0,1.0,LLM,FEARS,-GGGG,1.0,1.0,CSS,YEARS,GGGGG,0.0,0.0,LLM,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,GRADE,True,3,GREEN,GGY--,3,3,LLM,GRAPE,GGG-G,1,1,CSS,GRADE,GGGGG,0.0,0.0,LLM,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
