game_number,target_code,won,attempts,guess_1,feedback_1,strategy_1,candidates_1,guess_2,feedback_2,strategy_2,candidates_2,guess_3,feedback_3,strategy_3,candidates_3,guess_4,feedback_4,strategy_4,candidates_4,guess_5,feedback_5,strategy_5,candidates_5,guess_6,feedback_6,strategy_6,candidates_6,guess_7,feedback_7,strategy_7,candidates_7,guess_8,feedback_8,strategy_8,candidates_8,guess_9,feedback_9,strategy_9,candidates_9,guess_10,feedback_10,strategy_10,candidates_10
1,GRBR,True,4,RGWO,0B2W,LLM,312,WRBY,2B0W,VOI,27,YROY,1B0W,VOI,7,GRBR,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,
2,RGBY,True,5,GWBB,1B1W,LLM,230,WWGY,1B1W,VOI,37,WOBW,1B0W,VOI,4,YGBY,3B0W,VOI,1,RGBY,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
3,BYYW,True,5,RRGG,0B0W,LLM,256,WOBW,1B1W,VOI,46,WYOY,1B2W,VOI,6,BOYY,2B1W,VOI,1,BYYW,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
4,BGWY,True,4,GRYG,0B2W,LLM,222,YGBY,2B1W,VOI,10,YWGY,1B2W,VOI,2,BGWY,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,
5,BROG,True,5,YOBO,0B2W,LLM,222,BGWY,1B1W,VOI,41,WYOY,1B0W,VOI,7,BBOG,3B0W,VOI,1,BROG,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
6,GGWY,True,5,YYOY,1B0W,LLM,317,BROG,0B1W,VOI,39,WWGY,1B2W,VOI,11,GYGW,1B3W,VOI,1,GGWY,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
7,RWOW,True,4,OBRO,0B2W,LLM,222,GRBR,0B1W,VOI,30,BOYY,0B1W,VOI,1,RWOW,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,
8,WGRR,True,5,BOWW,0B1W,LLM,276,GRBR,1B2W,VOI,26,RGBY,1B1W,VOI,7,RWGR,1B3W,VOI,1,WGRR,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
9,ROWO,True,5,YYOG,0B1W,LLM,276,RGRW,1B1W,VOI,58,GBRB,0B1W,VOI,7,WWGW,0B1W,VOI,1,ROWO,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
10,WYYY,True,5,YRWO,0B2W,LLM,312,WWBY,2B0W,VOI,32,RGBY,1B0W,VOI,3,WOBB,1B0W,VOI,1,WYYY,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
11,ORRR,True,3,WWOO,0B1W,LLM,256,GGWY,0B0W,VOI,16,ORRR,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,RGOW,True,5,OOWR,0B3W,LLM,44,RWOW,3B0W,VOI,7,RWOY,2B1W,VOI,3,RROW,3B0W,VOI,2,RGOW,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
13,RGOG,True,6,WWBG,1B0W,LLM,182,WYOY,1B0W,VOI,22,WRRR,0B1W,VOI,5,RBBY,1B0W,VOI,2,ROOG,3B0W,VOI,1,RGOG,4B0W,VOI,1,,,,,,,,,,,,,,,,
