game_number,target_code,won,attempts,guess_1,feedback_1,strategy_1,candidates_1,guess_2,feedback_2,strategy_2,candidates_2,guess_3,feedback_3,strategy_3,candidates_3,guess_4,feedback_4,strategy_4,candidates_4,guess_5,feedback_5,strategy_5,candidates_5,guess_6,feedback_6,strategy_6,candidates_6,guess_7,feedback_7,strategy_7,candidates_7,guess_8,feedback_8,strategy_8,candidates_8,guess_9,feedback_9,strategy_9,candidates_9,guess_10,feedback_10,strategy_10,candidates_10
1,GRBR,True,5,OBWY,0B1W,VOI,152,GOGO,1B0W,LLM,24,GWRR,2B1W,LLM,4,WWGR,1B1W,LLM,2,GRBR,4B0W,LLM,1,,,,,,,,,,,,,,,,,,,,
2,RGBY,True,4,BYWR,0B3W,VOI,136,YRBY,2B1W,LLM,9,YROB,0B3W,LLM,2,RGBY,4B0W,LLM,1,,,,,,,,,,,,,,,,,,,,,,,,
3,BYYW,True,4,GRYB,1B1W,VOI,252,GGBW,1B1W,LLM,42,GYGY,1B1W,LLM,2,BYYW,4B0W,LLM,1,,,,,,,,,,,,,,,,,,,,,,,,
4,BGWY,True,4,BYOR,1B1W,VOI,252,GYGB,0B3W,LLM,8,BBYG,1B2W,LLM,1,BGWY,4B0W,LLM,1,,,,,,,,,,,,,,,,,,,,,,,,
5,BROG,True,4,GBRO,0B4W,VOI,9,ORGB,1B3W,LLM,4,OGBR,0B4W,LLM,1,BROG,4B0W,LLM,1,,,,,,,,,,,,,,,,,,,,,,,,
6,GGWY,True,4,WOBG,0B2W,VOI,312,GRRW,1B1W,LLM,46,GWYY,2B1W,LLM,1,GGWY,4B0W,LLM,1,,,,,,,,,,,,,,,,,,,,,,,,
7,RWOW,True,3,RWYO,2B1W,VOI,48,RWRY,2B0W,LLM,9,RWOW,4B0W,LLM,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,WGRR,True,5,YRWB,0B2W,VOI,312,BYGO,0B1W,LLM,28,WGRW,3B0W,LLM,5,WGRG,3B0W,LLM,1,WGRR,4B0W,LLM,1,,,,,,,,,,,,,,,,,,,,
9,ROWO,True,5,RYGO,2B0W,VOI,96,RWGG,1B1W,LLM,24,GGGO,1B0W,LLM,8,WYGY,0B1W,LLM,3,ROWO,4B0W,LLM,1,,,,,,,,,,,,,,,,,,,,
10,WYYY,True,4,GBYO,1B0W,VOI,108,YRYW,1B2W,LLM,6,WWYR,2B0W,LLM,2,WYYY,4B0W,LLM,1,,,,,,,,,,,,,,,,,,,,,,,,
11,ORRR,True,5,WYOG,0B1W,VOI,152,GBRB,1B0W,LLM,14,RRRY,2B1W,LLM,3,RORR,2B2W,LLM,1,ORRR,4B0W,LLM,1,,,,,,,,,,,,,,,,,,,,
12,RGOW,True,4,BORW,1B2W,VOI,132,GBRO,0B3W,LLM,23,BROY,1B1W,LLM,4,RGOW,4B0W,LLM,1,,,,,,,,,,,,,,,,,,,,,,,,
13,RGOG,True,7,ORYB,0B2W,VOI,312,RYWG,2B0W,LLM,27,RYRR,1B0W,LLM,20,GYBG,1B1W,LLM,4,BYWY,0B0W,LLM,2,ROGG,2B2W,LLM,1,RGOG,4B0W,LLM,1,,,,,,,,,,,,
14,RWGW,True,3,BOGW,2B0W,VOI,96,BOYY,0B0W,LLM,9,RWGW,4B0W,LLM,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,BRBY,True,5,YBRG,0B3W,VOI,136,GRBW,2B0W,LLM,13,GYBY,2B0W,LLM,5,RRBY,3B0W,LLM,2,BRBY,4B0W,LLM,1,,,,,,,,,,,,,,,,,,,,
16,BGGB,True,4,YWBO,0B1W,VOI,152,RGOR,1B0W,LLM,14,WGGW,2B0W,LLM,4,BGGB,4B0W,LLM,1,,,,,,,,,,,,,,,,,,,,,,,,
17,OOOB,True,4,GWOY,1B0W,VOI,108,GBRB,1B0W,LLM,13,RWRW,0B0W,LLM,4,OOOB,4B0W,LLM,1,,,,,,,,,,,,,,,,,,,,,,,,
18,WOGB,True,5,GWYO,0B3W,VOI,136,WGBY,1B2W,LLM,24,WYOB,2B1W,LLM,3,WBOG,1B3W,LLM,1,WOGB,4B0W,LLM,1,,,,,,,,,,,,,,,,,,,,
19,RGYR,True,4,YBWO,0B1W,VOI,152,GYGG,0B2W,LLM,3,RGYY,3B0W,LLM,2,RGYR,4B0W,LLM,1,,,,,,,,,,,,,,,,,,,,,,,,
20,WGWY,True,4,OWGY,1B2W,VOI,132,YOGB,0B2W,LLM,38,GWYW,0B4W,LLM,1,WGWY,4B0W,LLM,1,,,,,,,,,,,,,,,,,,,,,,,,
21,GWGW,True,4,YGOW,1B1W,VOI,252,GGRY,1B1W,LLM,49,GBOR,1B0W,LLM,2,GWGW,4B0W,LLM,1,,,,,,,,,,,,,,,,,,,,,,,,
22,YWWG,True,5,OGWY,1B2W,VOI,132,GYWG,2B1W,LLM,4,YRWG,3B0W,LLM,2,YBWG,3B0W,LLM,1,YWWG,4B0W,LLM,1,,,,,,,,,,,,,,,,,,,,
23,BRYG,True,3,WRYB,2B1W,VOI,48,WYWB,0B2W,LLM,8,BRYG,4B0W,LLM,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,OGYG,True,5,BWOR,0B1W,VOI,152,YBBY,0B1W,LLM,27,GYRG,1B2W,LLM,5,WGYG,3B0W,LLM,1,OGYG,4B0W,LLM,1,,,,,,,,,,,,,,,,,,,,
25,WYYR,True,5,WBOY,1B1W,VOI,252,RRWY,0B3W,LLM,8,WYRW,2B1W,LLM,2,WYGR,3B0W,LLM,1,WYYR,4B0W,LLM,1,,,,,,,,,,,,,,,,,,,,
26,BYOW,True,5,OYWG,1B2W,VOI,132,RGWO,0B2W,LLM,38,GYGW,2B0W,LLM,5,GYOB,2B1W,LLM,1,BYOW,4B0W,LLM,1,,,,,,,,,,,,,,,,,,,,
27,RRBG,True,5,OBYG,1B1W,VOI,252,GBBW,1B1W,LLM,42,RBWY,1B1W,LLM,7,GYWG,1B0W,LLM,1,RRBG,4B0W,LLM,1,,,,,,,,,,,,,,,,,,,,
28,GYRB,True,2,GRBO,1B2W,VOI,132,GYRB,4B0W,LLM,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,ORRG,True,7,WOBR,0B2W,VOI,312,OBGB,1B1W,LLM,67,GYRB,1B1W,LLM,8,GBWW,0B1W,LLM,3,OGRG,3B0W,LLM,2,OGRO,2B1W,LLM,1,ORRG,4B0W,LLM,1,,,,,,,,,,,,
30,YGBR,True,5,ROYG,0B3W,VOI,136,OYGB,0B3W,LLM,20,YBRO,1B2W,LLM,4,GBOR,1B2W,LLM,1,YGBR,4B0W,LLM,1,,,,,,,,,,,,,,,,,,,,
31,GBWR,True,4,BGRY,0B3W,VOI,136,YRWG,1B2W,LLM,20,WYBG,0B3W,LLM,1,GBWR,4B0W,LLM,1,,,,,,,,,,,,,,,,,,,,,,,,
32,BRGB,True,6,YGWB,1B1W,VOI,252,RBWO,0B2W,LLM,57,YRBR,1B1W,LLM,10,YORG,0B2W,LLM,4,BGGR,2B1W,LLM,1,BRGB,4B0W,LLM,1,,,,,,,,,,,,,,,,
33,YGRW,True,6,YWGR,1B3W,VOI,8,YRWG,1B3W,LLM,4,RWYG,0B4W,LLM,3,GYWR,0B4W,LLM,2,WRGY,0B4W,LLM,1,YGRW,4B0W,LLM,1,,,,,,,,,,,,,,,,
34,RWGY,True,6,YOWB,0B2W,VOI,312,BRRY,1B1W,LLM,46,GBRO,0B2W,LLM,11,RROW,1B1W,LLM,2,WRYG,0B4W,LLM,1,RWGY,4B0W,LLM,1,,,,,,,,,,,,,,,,
35,YYYO,True,5,YRWG,1B0W,VOI,108,BRBO,1B0W,LLM,13,YYOO,3B0W,LLM,2,YOOO,2B0W,LLM,1,YYYO,4B0W,LLM,1,,,,,,,,,,,,,,,,,,,,
36,RWYR,True,4,BRGO,0B1W,VOI,152,GYWY,0B2W,LLM,17,WBYW,1B1W,LLM,2,RWYR,4B0W,LLM,1,,,,,,,,,,,,,,,,,,,,,,,,
37,YBBY,True,5,GBWY,2B0W,VOI,96,GBOR,1B0W,LLM,16,GGWW,0B0W,LLM,4,BBYY,2B2W,LLM,1,YBBY,4B0W,LLM,1,,,,,,,,,,,,,,,,,,,,
