game_number,target_word,won,attempts,guess_1,feedback_1,hamming_1,levenshtein_1,strategy_1,guess_2,feedback_2,hamming_2,levenshtein_2,strategy_2,guess_3,feedback_3,hamming_3,levenshtein_3,strategy_3,guess_4,feedback_4,hamming_4,levenshtein_4,strategy_4,guess_5,feedback_5,hamming_5,levenshtein_5,strategy_5,guess_6,feedback_6,hamming_6,levenshtein_6,strategy_6
1,PHOTO,True,2,HELPS,Y--Y-,5,5,VOI_FROM_LLM,PHOTO,GGGGG,0,0,VOI_FROM_LLM,,,,,,,,,,,,,,,,,,,,
2,PARTY,True,4,THINK,Y----,5,5,VOI_FROM_LLM,STUFF,-Y---,5,5,VOI_FROM_LLM,PETRA,G-YYY,4,4,VOI,PARTY,GGGGG,0,0,VOI_FROM_LLM,,,,,,,,,,
3,TRICK,True,2,THINK,G-G-G,2,2,VOI_FROM_LLM,TRICK,GGGGG,0,0,VOI_FROM_LLM,,,,,,,,,,,,,,,,,,,,
4,DIRTY,True,5,WHERE,---Y-,5,5,VOI_FROM_LLM,FRONT,-Y--Y,5,5,VOI_FROM_LLM,CARTS,--GG-,3,3,VOI_FROM_LLM,KURTZ,--GG-,3,3,VOI_FROM_LLM,DIRTY,GGGGG,0,0,VOI,,,,,
5,USUAL,True,4,THINK,-----,5,5,VOI_FROM_LLM,SAREE,YY---,5,5,VOI_FROM_LLM,GLASS,-YYY-,5,5,VOI_FROM_LLM,USUAL,GGGGG,0,0,VOI_FROM_LLM,,,,,,,,,,
6,TRULY,True,5,THINK,G----,4,4,VOI_FROM_LLM,TASTE,G----,4,4,VOI_FROM_LLM,TURBO,GYY--,4,4,VOI_FROM_LLM,TRUMP,GGG--,2,2,VOI_FROM_LLM,TRULY,GGGGG,0,0,VOI_FROM_LLM,,,,,
7,SPENT,True,4,THINK,Y--G-,4,4,VOI_FROM_LLM,GAUNT,---GG,3,3,VOI,SCENT,G-GGG,1,1,VOI_FROM_LLM,SPENT,GGGGG,0,0,VOI_FROM_LLM,,,,,,,,,,
8,PAUSE,True,5,THINK,-----,5,5,VOI_FROM_LLM,WORLD,-----,5,5,VOI_FROM_LLM,GAMES,-G-YY,4,4,VOI_FROM_LLM,CAUSE,-GGGG,1,1,VOI_FROM_LLM,PAUSE,GGGGG,0,0,VOI_FROM_LLM,,,,,
9,CRAZY,True,5,THINK,-----,5,5,VOI_FROM_LLM,GUESS,-----,5,5,VOI_FROM_LLM,MAJOR,-Y--Y,5,5,VOI_FROM_LLM,ARRAY,YG--G,3,3,VOI_FROM_LLM,CRAZY,GGGGG,0,0,VOI_FROM_LLM,,,,,
10,BASES,True,4,THINK,-----,5,5,VOI_FROM_LLM,AROSE,Y--YY,5,4,VOI_FROM_LLM,BASED,GGGG-,1,1,VOI_FROM_LLM,BASES,GGGGG,0,0,VOI_FROM_LLM,,,,,,,,,,
