game_number,target_word,won,attempts,guess_1,feedback_1,hamming_1,levenshtein_1,strategy_1,guess_2,feedback_2,hamming_2,levenshtein_2,strategy_2,guess_3,feedback_3,hamming_3,levenshtein_3,strategy_3,guess_4,feedback_4,hamming_4,levenshtein_4,strategy_4,guess_5,feedback_5,hamming_5,levenshtein_5,strategy_5,guess_6,feedback_6,hamming_6,levenshtein_6,strategy_6,candidates_before_1,candidates_after_1,reduction_rate_1,candidates_before_2,candidates_after_2,reduction_rate_2,candidates_before_3,candidates_after_3,reduction_rate_3,candidates_before_4,candidates_after_4,reduction_rate_4,candidates_before_5,candidates_after_5,reduction_rate_5,candidates_before_6,candidates_after_6,reduction_rate_6
1,PHOTO,True,3,THINK,YG---,4,4,LLM,CHEST,-G--Y,4,4,CSS,PHOTO,GGGGG,0.0,0.0,LLM,,,,,,,,,,,,,,,,5629,21,99.62693195949547,21,1,95.23809523809523,1,1,0.0,,,,,,,,,
2,PARTY,True,3,THINK,Y----,5,5,LLM,SEPTA,--YGY,4,4,CSS,PARTY,GGGGG,0.0,0.0,LLM,,,,,,,,,,,,,,,,5629,451,91.98791970154558,451,5,98.89135254988913,5,1,80.0,,,,,,,,,
3,TRICK,True,2,THINK,G-G-G,2,2,LLM,TRICK,GGGGG,0,0,CSS,,,,,,,,,,,,,,,,,,,,,5629,1,99.98223485521407,1,1,0.0,,,,,,,,,,,,
4,DIRTY,True,3,THINK,Y-Y--,5,5,LLM,RITES,YGY--,4,4,CSS,DIRTY,GGGGG,0.0,0.0,LLM,,,,,,,,,,,,,,,,5629,98,98.25901581097885,98,2,97.95918367346938,2,1,50.0,,,,,,,,,
5,USUAL,True,4,THINK,-----,5,5,LLM,PALES,-YY-Y,5,5,CSS,SOCAL,Y--GG,3.0,3.0,LLM,USUAL,GGGGG,0.0,0.0,CSS,,,,,,,,,,,5629,1651,70.66974595842956,1651,5,99.69715324046032,5,1,80.0,1,1,0.0,,,,,,
6,TRULY,True,4,THINK,G----,4,4,LLM,TEARS,G--Y-,4,4,CSS,TRUMP,GGG--,2.0,2.0,LLM,TRULY,GGGGG,0.0,0.0,CSS,,,,,,,,,,,5629,136,97.58394030911352,136,12,91.17647058823529,12,2,83.33333333333334,2,1,50.0,,,,,,
7,SPENT,True,5,THINK,Y--G-,4,4,LLM,GAUNT,---GG,3,3,CSS,FRONT,---GG,3.0,3.0,LLM,STENT,G-GGG,1.0,1.0,CSS,SPENT,GGGGG,0.0,0.0,LLM,,,,,,5629,36,99.36045478770652,36,6,83.33333333333334,6,4,33.33333333333333,4,2,50.0,2,1,50.0,,,
8,PAUSE,True,4,THIRD,-----,5,5,LLM,SELMA,YY--Y,5,5,CSS,CAUSE,-GGGG,1.0,1.0,LLM,PAUSE,GGGGG,0.0,0.0,CSS,,,,,,,,,,,5629,1218,78.36205365073725,1218,40,96.71592775041051,40,1,97.5,1,1,0.0,,,,,,
9,CRAZY,True,5,THINK,-----,5,5,LLM,CABLE,GY---,4,4,CSS,COCOA,G---Y,4.0,4.0,LLM,CRAPS,GGG--,2.0,2.0,CSS,CRAZY,GGGGG,0.0,0.0,LLM,,,,,,5629,1651,70.66974595842956,1651,9,99.45487583282859,9,5,44.44444444444444,5,1,80.0,1,1,0.0,,,
10,BASES,True,5,THINK,-----,5,5,LLM,SCRAP,Y--Y-,5,5,CSS,GAMES,-G-GG,2.0,2.0,LLM,WAVES,-G-GG,2.0,2.0,CSS,BASES,GGGGG,0.0,0.0,LLM,,,,,,5629,1651,70.66974595842956,1651,79,95.21502119927317,79,13,83.54430379746836,13,6,53.84615384615385,6,1,83.33333333333334,,,
11,YOUNG,True,6,WORDS,-G---,4,4,LLM,MOTEL,-G---,4,4,CSS,COACH,-G---,4.0,4.0,LLM,BOING,-G-GG,2.0,2.0,CSS,JOONG,-G-GG,2.0,2.0,LLM,YOUNG,GGGGG,0.0,0.0,CSS,5629,228,95.94954698880795,228,57,75.0,57,18,68.42105263157895,18,2,88.88888888888889,2,1,50.0,1,1,0.0
12,MEANS,True,5,THINK,---G-,4,4,LLM,YOUNG,---G-,4,4,CSS,PLANS,--GGG,2.0,2.0,LLM,EVANS,Y-GGG,2.0,2.0,CSS,MEANS,GGGGG,0.0,0.0,LLM,,,,,,5629,176,96.87333451767633,176,51,71.02272727272727,51,8,84.31372549019608,8,4,50.0,4,1,75.0,,,
13,TRUTH,True,3,THINK,GY---,4,4,LLM,TOUCH,G-G-G,2,2,CSS,TRUTH,GGGGG,0.0,0.0,LLM,,,,,,,,,,,,,,,,5629,12,99.78681826256884,12,1,91.66666666666666,1,1,0.0,,,,,,,,,
14,FIRED,True,5,BRAIN,-Y-Y-,5,5,LLM,DIRTY,YGG--,3,3,CSS,WIRED,-GGGG,1.0,1.0,LLM,SIRED,-GGGG,1.0,1.0,CSS,FIRED,GGGGG,0.0,0.0,LLM,,,,,,5629,120,97.8681826256884,120,5,95.83333333333334,5,4,20.0,4,3,25.0,3,1,66.66666666666666,,,
15,FOLKS,True,5,THINK,----Y,5,5,LLM,KOOKY,-G-G-,3,3,CSS,SOCKS,-G-GG,2.0,2.0,LLM,FORKS,GG-GG,1.0,1.0,CSS,FOLKS,GGGGG,0.0,0.0,LLM,,,,,,5629,183,96.74897850417481,183,16,91.2568306010929,16,4,75.0,4,1,75.0,1,1,0.0,,,
16,CHILE,True,2,THINK,-GG--,3,3,LLM,CHILE,GGGGG,0,0,CSS,,,,,,,,,,,,,,,,,,,,,5629,27,99.52034109077988,27,1,96.29629629629629,,,,,,,,,,,,
17,BLACK,False,6,TREAS,---Y-,5,5,LLM,COCOA,Y---Y,5,5,CSS,PANIC,-Y--Y,5.0,5.0,LLM,WHACK,--GGG,2.0,2.0,CSS,QUACK,--GGG,2.0,2.0,LLM,ABACK,-YGGG,2.0,2.0,CSS,5629,382,93.21371469177474,382,14,96.33507853403141,14,5,64.28571428571429,5,4,20.0,4,3,25.0,3,1,66.66666666666666
18,GRANT,True,4,THIRD,Y--Y-,5,5,LLM,PARTY,-YYY-,5,4,CSS,TAROT,-YY-G,4.0,4.0,LLM,GRANT,GGGGG,0.0,0.0,CSS,,,,,,,,,,,5629,126,97.76159175697282,126,19,84.92063492063492,19,8,57.89473684210527,8,1,87.5,,,,,,
19,MEALS,True,4,BREAT,--YY-,5,4,LLM,EAVES,YY--G,4,3,CSS,LEADS,YGG-G,2.0,2.0,LLM,MEALS,GGGGG,0.0,0.0,CSS,,,,,,,,,,,5629,355,93.69337360099485,355,17,95.2112676056338,17,3,82.35294117647058,3,1,66.66666666666666,,,,,,
20,CREAM,True,3,AFTER,Y--YY,5,5,LLM,CARNE,GYY-Y,4,4,CSS,CREAM,GGGGG,0.0,0.0,LLM,,,,,,,,,,,,,,,,5629,107,98.09912950790549,107,1,99.06542056074767,1,1,0.0,,,,,,,,,
