game_number,target_word,won,attempts,guess_1,feedback_1,hamming_1,levenshtein_1,strategy_1,guess_2,feedback_2,hamming_2,levenshtein_2,strategy_2,guess_3,feedback_3,hamming_3,levenshtein_3,strategy_3,guess_4,feedback_4,hamming_4,levenshtein_4,strategy_4,guess_5,feedback_5,hamming_5,levenshtein_5,strategy_5,guess_6,feedback_6,hamming_6,levenshtein_6,strategy_6,violated_green_1,violated_yellow_1,violated_gray_1,total_violations_1,violated_green_2,violated_yellow_2,violated_gray_2,total_violations_2,violated_green_3,violated_yellow_3,violated_gray_3,total_violations_3,violated_green_4,violated_yellow_4,violated_gray_4,total_violations_4,violated_green_5,violated_yellow_5,violated_gray_5,total_violations_5,violated_green_6,violated_yellow_6,violated_gray_6,total_violations_6
1,PHOTO,True,3,THERE,YG---,4,4,LLM,SHOUT,-GG-Y,3,3,CSS,PHOTO,GGGGG,0.0,0.0,LLM,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,PARTY,True,5,TREND,YY---,5,5,LLM,SURAT,--GYY,4,4,CSS,GARTH,-GGG-,2.0,2.0,LLM,MARTI,-GGG-,2.0,2.0,CSS,PARTY,GGGGG,0.0,0.0,LLM,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,TRICK,True,3,THERE,G--Y-,4,4,LLM,TRAIT,GG-Y-,3,3,CSS,TRICK,GGGGG,0.0,0.0,LLM,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,DIRTY,True,2,THIRD,Y-YYY,5,4,LLM,DIRTY,GGGGG,0,0,CSS,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,USUAL,True,3,WORDS,----Y,5,5,LLM,SAHEL,YY--G,4,4,CSS,USUAL,GGGGG,0.0,0.0,LLM,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,TRULY,True,4,THERE,G--Y-,4,4,LLM,TRAIT,GG---,3,3,CSS,TRUMP,GGG--,2.0,2.0,LLM,TRULY,GGGGG,0.0,0.0,CSS,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,SPENT,True,3,CODES,---YY,5,5,LLM,SPATE,GG-YY,3,3,CSS,SPENT,GGGGG,0.0,0.0,LLM,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,PAUSE,True,5,WORDS,----Y,5,5,LLM,SAITH,YG---,4,4,CSS,SAUSE,-GGGG,1.0,1.0,LLM,CAUSE,-GGGG,1.0,1.0,CSS,PAUSE,GGGGG,0.0,0.0,LLM,,,,,,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
9,CRAZY,True,5,THINK,-----,5,5,LLM,MORES,--Y--,5,5,CSS,BRAGA,-GG--,3.0,3.0,LLM,CRAWL,GGG--,2.0,2.0,CSS,CRAZY,GGGGG,0.0,0.0,LLM,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,BASES,True,5,THINK,-----,5,5,LLM,ALDER,Y--G-,4,4,CSS,SAVES,YG-GG,2.0,2.0,LLM,CASES,-GGGG,1.0,1.0,CSS,BASES,GGGGG,0.0,0.0,LLM,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,YOUNG,True,4,TARES,-----,5,5,LLM,COULD,-GG--,3,3,CSS,BOUGH,-GGY-,3.0,3.0,LLM,YOUNG,GGGGG,0.0,0.0,CSS,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,MEANS,True,5,THERE,--Y--,5,5,LLM,LINES,--YYG,4,4,CSS,NECKS,YG--G,3.0,3.0,LLM,DEANS,-GGGG,1.0,1.0,CSS,MEANS,GGGGG,0.0,0.0,LLM,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,TRUTH,True,3,LEAST,----Y,5,5,LLM,NORTH,--YGG,3,3,CSS,TRUTH,GGGGG,0.0,0.0,LLM,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,FIRED,True,3,THERE,--YY-,5,4,LLM,RIDER,YGYG-,3,3,CSS,FIRED,GGGGG,0.0,0.0,LLM,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,FOLKS,True,4,THINK,----Y,5,5,LLM,PARKE,---G-,4,4,CSS,SOCKS,-G-GG,2.0,2.0,LLM,FOLKS,GGGGG,0.0,0.0,CSS,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,CHILE,True,4,THIER,-GGY-,3,3,LLM,WHINE,-GG-G,2,2,CSS,CHIME,GGG-G,1.0,1.0,LLM,CHILE,GGGGG,0.0,0.0,CSS,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,BLACK,True,3,CARED,YY---,5,5,LLM,SCALA,-YGY-,4,4,CSS,BLACK,GGGGG,0.0,0.0,LLM,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,GRANT,True,4,THERE,Y--Y-,5,5,LLM,SORTA,--YYY,5,5,CSS,CRAFT,-GG-G,2.0,2.0,LLM,GRANT,GGGGG,0.0,0.0,CSS,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,MEALS,True,4,AFTER,Y--Y-,5,5,LLM,LEANS,YGG-G,2,2,CSS,FIRST,---Y-,5.0,5.0,LLM,MEALS,GGGGG,0.0,0.0,CSS,,,,,,,,,,,0,0,0,0,0,0,0,0,3,3,3,9,0,0,0,0,0,0,0,0,0,0,0,0
20,CREAM,True,4,THINK,-----,5,5,LLM,LACES,-YYY-,5,5,CSS,CRAVE,GGY-Y,3.0,3.0,LLM,CREAM,GGGGG,0.0,0.0,CSS,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,AWAKE,True,6,THIRD,-----,5,5,LLM,SNEAK,--YYY,5,4,CSS,BLAKE,--GGG,2.0,2.0,LLM,QUAKE,--GGG,2.0,2.0,CSS,THESE,----G,4.0,4.0,LLM,AWAKE,GGGGG,0.0,0.0,CSS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3,8,0,0,0,0
22,OCCUR,True,5,THERE,---Y-,5,5,LLM,SARIN,--Y--,5,5,CSS,BREEZ,-Y---,5.0,5.0,LLM,COLOR,YY--G,4.0,4.0,CSS,OCCUR,GGGGG,0.0,0.0,LLM,,,,,,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
23,YEARS,True,3,THIRD,---G-,4,4,LLM,PEARS,-GGGG,1,1,CSS,YEARS,GGGGG,0.0,0.0,LLM,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,GRADE,True,4,THEIR,--Y-Y,5,5,LLM,DARES,YYYY-,5,4,CSS,READY,YYGG-,3.0,3.0,LLM,GRADE,GGGGG,0.0,0.0,CSS,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,CHILL,True,3,THINK,-GG--,3,3,LLM,CHILE,GGGG-,1,1,CSS,CHILL,GGGGG,0.0,0.0,LLM,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,FLOOD,True,4,STARE,-----,5,5,LLM,COLIN,-YY--,5,5,CSS,ODDLY,YY-Y-,5.0,5.0,LLM,FLOOD,GGGGG,0.0,0.0,CSS,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,APPLY,True,5,THESE,-----,5,5,LLM,GRAIN,--Y--,5,5,CSS,CARNY,-Y--G,4.0,4.0,LLM,ALLAY,GY--G,3.0,3.0,CSS,APPLY,GGGGG,0.0,0.0,LLM,,,,,,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0
28,SMILE,True,5,THOSE,---YG,4,4,LLM,SEINE,G-G-G,2,2,CSS,GIVEN,-Y-Y-,5.0,4.0,LLM,SLICE,GYG-G,2.0,2.0,CSS,SMILE,GGGGG,0.0,0.0,LLM,,,,,,0,0,0,0,0,0,0,0,3,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0
29,KNOCK,True,4,CURED,Y----,5,5,LLM,TACOS,--YY-,5,5,CSS,BLOCK,--GGG,2.0,2.0,LLM,KNOCK,GGGGG,0.0,0.0,CSS,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,SLEEP,True,3,WORDS,----Y,5,5,LLM,STALE,G--YY,4,4,CSS,SLEEP,GGGGG,0.0,0.0,LLM,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,BRICK,True,3,THERE,---Y-,5,5,LLM,ROADS,Y----,5,5,CSS,BRICK,GGGGG,0.0,0.0,LLM,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,WROTE,True,6,THIRD,Y--Y-,5,5,LLM,RATES,Y-YY-,5,3,CSS,GIVEN,---Y-,5.0,5.0,LLM,ERUPT,YG--Y,4.0,4.0,CSS,CRETE,-G-GG,2.0,2.0,LLM,WROTE,GGGGG,0.0,0.0,CSS,0,0,0,0,0,0,0,0,0,3,1,4,0,0,0,0,0,0,0,0,0,0,0,0
33,RATED,True,3,THESE,Y-Y--,5,5,LLM,LATER,-GGGY,2,2,CSS,RATED,GGGGG,0.0,0.0,LLM,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,ALERT,True,5,WORDS,--Y--,5,5,LLM,CRATE,-YYYY,5,5,CSS,AFTER,G-YYY,4.0,3.0,LLM,AVERT,G-GGG,1.0,1.0,CSS,ALERT,GGGGG,0.0,0.0,LLM,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,CAGES,True,6,THERE,--Y--,5,5,LLM,ALDEN,Y--G-,4,4,CSS,GAMES,YG-GG,2.0,2.0,LLM,SAGES,-GGGG,1.0,1.0,CSS,PAGES,-GGGG,1.0,1.0,LLM,CAGES,GGGGG,0.0,0.0,CSS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,TEDDY,True,3,THOUS,G----,4,4,LLM,TRIAD,G---Y,4,4,CSS,TEDDY,GGGGG,0.0,0.0,LLM,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,COLES,False,6,THINK,-----,5,5,LLM,MALES,--GGG,2,2,CSS,RULES,--GGG,2.0,2.0,LLM,POLES,-GGGG,1.0,1.0,CSS,SOLES,-GGGG,1.0,1.0,LLM,FOLES,-GGGG,1.0,1.0,CSS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,HWANG,True,3,REARH,--G-Y,4,4,LLM,SHANK,-YGG-,3,3,CSS,HWANG,GGGGG,0.0,0.0,LLM,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,WRATH,True,3,THING,YY---,5,5,LLM,HEATS,Y-GG-,3,3,CSS,WRATH,GGGGG,0.0,0.0,LLM,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,MACHO,True,5,THERE,-Y---,5,5,LLM,HASAN,YG---,4,4,CSS,LAUGH,-G--Y,4.0,4.0,LLM,YAHOO,-GY-G,3.0,3.0,CSS,MACHO,GGGGG,0.0,0.0,LLM,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,LOPEZ,True,5,LEAST,GY---,4,4,LLM,LINER,G--G-,3,3,CSS,THESE,--Y--,5.0,5.0,LLM,LOVED,GG-G-,2.0,2.0,CSS,LOPEZ,GGGGG,0.0,0.0,LLM,,,,,,0,0,0,0,0,0,0,0,2,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0
42,GOODY,True,5,BASED,----Y,5,5,LLM,DONOR,YG-Y-,4,4,CSS,MOODY,-GGGG,1.0,1.0,LLM,WOODY,-GGGG,1.0,1.0,CSS,GOODY,GGGGG,0.0,0.0,LLM,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,BROTH,True,4,AFTER,--Y-Y,5,5,LLM,TORUS,YYY--,5,5,CSS,MIGHT,---YY,5.0,5.0,LLM,BROTH,GGGGG,0.0,0.0,CSS,,,,,,,,,,,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0
