game_number,target_code,won,attempts,guess_1,feedback_1,strategy_1,candidates_1,guess_2,feedback_2,strategy_2,candidates_2,guess_3,feedback_3,strategy_3,candidates_3,guess_4,feedback_4,strategy_4,candidates_4,guess_5,feedback_5,strategy_5,candidates_5,guess_6,feedback_6,strategy_6,candidates_6,guess_7,feedback_7,strategy_7,candidates_7,guess_8,feedback_8,strategy_8,candidates_8,guess_9,feedback_9,strategy_9,candidates_9,guess_10,feedback_10,strategy_10,candidates_10
1,GRBR,True,5,RGYW,0B2W,LLM,312,GYBO,2B0W,VOI,27,GOWO,1B0W,VOI,7,GRBG,3B0W,VOI,2,GRBR,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
2,RGBY,True,4,RGYW,2B1W,LLM,48,YGOW,1B1W,VOI,16,RYBW,2B1W,VOI,2,RGBY,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,
3,BYYW,True,5,RGYW,2B0W,LLM,96,RGOB,0B1W,VOI,10,OYYW,3B0W,VOI,3,OOYW,2B0W,VOI,1,BYYW,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
4,BGWY,True,5,RGYW,1B2W,LLM,132,BWYR,1B2W,VOI,17,RWBG,0B3W,VOI,4,BGRY,3B0W,VOI,1,BGWY,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
5,BROG,True,5,RGYW,0B2W,LLM,312,GRBR,1B2W,VOI,20,ORGB,1B3W,VOI,3,GORB,0B4W,VOI,1,BROG,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
6,GGWY,True,4,RGBO,1B0W,LLM,108,RYWR,1B1W,VOI,14,YGWW,2B1W,VOI,2,GGWY,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,
7,RWOW,True,4,RGBO,1B1W,LLM,252,BGWW,1B1W,VOI,38,RRGW,2B0W,VOI,3,RWOW,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,
8,WGRR,True,5,RGYW,1B2W,LLM,132,GGWY,1B1W,VOI,38,GRYB,0B2W,VOI,9,RWRY,1B2W,VOI,2,WGRR,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
9,ROWO,True,4,RGBO,2B0W,LLM,96,RYWO,3B0W,VOI,6,RYYO,2B0W,VOI,3,ROWO,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,
10,WYYY,True,5,RGYW,1B1W,LLM,252,ROWO,0B1W,VOI,56,BYBW,1B1W,VOI,9,WGBG,1B0W,VOI,1,WYYY,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
11,ORRR,True,5,RGYW,0B1W,LLM,152,BWOO,0B1W,VOI,10,YBBY,0B0W,VOI,2,GOGG,0B1W,VOI,1,ORRR,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
12,RGOW,True,4,RGYB,2B0W,LLM,96,RYYO,1B1W,VOI,24,WGYY,1B1W,VOI,3,RGOW,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,
13,RGOG,True,4,RGYW,2B0W,LLM,96,BYYW,0B0W,VOI,9,RGOR,3B0W,VOI,4,RGOG,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,
14,RWGW,True,4,RWGY,3B0W,LLM,20,RWRY,2B0W,VOI,13,RGGY,2B0W,VOI,7,RWGW,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,
15,BRBY,True,5,RGBW,1B1W,LLM,252,RYWR,0B2W,VOI,40,WGYY,1B0W,VOI,5,ORBY,3B0W,VOI,1,BRBY,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
16,BGGB,True,5,RGYB,2B0W,LLM,96,RGOW,1B0W,VOI,16,GGYY,1B1W,VOI,2,RYYR,0B0W,VOI,1,BGGB,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
17,OOOB,True,5,RGBO,0B2W,LLM,312,BRYW,0B1W,VOI,28,GBGB,1B0W,VOI,6,YOGY,1B0W,VOI,1,OOOB,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
18,WOGB,True,5,RGBO,0B3W,LLM,136,GRYB,1B1W,VOI,28,ORRG,0B2W,VOI,3,BOGB,3B0W,VOI,1,WOGB,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
19,RGYR,True,4,RGBY,2B1W,LLM,48,BRBY,0B2W,VOI,8,RGWB,2B0W,VOI,3,RGYR,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,
