game_number,target_word,won,attempts,guess_1,feedback_1,hamming_1,levenshtein_1,strategy_1,guess_2,feedback_2,hamming_2,levenshtein_2,strategy_2,guess_3,feedback_3,hamming_3,levenshtein_3,strategy_3,guess_4,feedback_4,hamming_4,levenshtein_4,strategy_4,guess_5,feedback_5,hamming_5,levenshtein_5,strategy_5,guess_6,feedback_6,hamming_6,levenshtein_6,strategy_6
1,PHOTO,True,4,BREAK,-----,5,5,LLM,LOINS,-Y---,5,5,VOI,OUTDO,Y-Y-G,4,4,VOI,PHOTO,GGGGG,0,0,VOI,,,,,,,,,,
2,PARTY,True,4,GUESS,-----,5,5,LLM,COLON,-----,5,5,VOI,DARTH,-GGG-,2,2,VOI,PARTY,GGGGG,0,0,VOI,,,,,,,,,,
3,TRICK,True,4,RAISE,Y-G--,4,4,LLM,FRITH,-GGY-,3,3,VOI,TRIPP,GGG--,2,2,VOI,TRICK,GGGGG,0,0,VOI,,,,,,,,,,
4,DIRTY,True,4,OATES,--Y--,5,5,LLM,TRICK,YYY--,5,5,VOI,BIRTH,-GGG-,2,2,VOI,DIRTY,GGGGG,0,0,VOI,,,,,,,,,,
5,USUAL,True,4,GURET,-Y---,5,5,LLM,LOCUS,Y--YY,5,5,VOI,SLUMP,YYG--,4,4,VOI,USUAL,GGGGG,0,0,VOI,,,,,,,,,,
6,TRULY,True,4,GUESS,-Y---,5,5,LLM,MOULD,--GG-,3,3,VOI,PAULY,--GGG,2,2,VOI,TRULY,GGGGG,0,0,VOI,,,,,,,,,,
7,SPENT,True,3,BASED,--YY-,5,5,LLM,SERIE,GY---,4,4,VOI,SPENT,GGGGG,0,0,VOI,,,,,,,,,,,,,,,
8,PAUSE,True,3,GUESS,-YYG-,4,4,LLM,ROUSE,--GGG,2,2,VOI,PAUSE,GGGGG,0,0,VOI,,,,,,,,,,,,,,,
9,CRAZY,True,5,GIVEN,-----,5,5,LLM,PLOTS,-----,5,5,VOI,HARAM,-YY--,5,4,VOI,BRADY,-GG-G,2,2,VOI,CRAZY,GGGGG,0,0,VOI,,,,,
10,BASES,True,4,GIVEN,---G-,4,4,LLM,ARSED,Y-GG-,3,3,VOI,CASES,-GGGG,1,1,VOI,BASES,GGGGG,0,0,VOI,,,,,,,,,,
11,YOUNG,True,4,RAISE,-----,5,5,LLM,MUNCH,-YY--,5,4,VOI,FOUND,-GGG-,2,2,VOI,YOUNG,GGGGG,0,0,VOI,,,,,,,,,,
