file,model,prompt_type,game_id,target,round,guess,feedback,violated,violation_count,redundant_signals,candidates_before,candidates_after,info_gain_bits,entropy_before,entropy_after,candidates_eliminated,reduction_rate
model_codestral_22b_chain-of-thought_20251211_195835.csv,codestral-22b,chain-of-thought,0,PHOTO,1,HOUSE,YY---,False,0,0,5629,43,7.0324,12.4587,5.4263,5586,0.9924
model_codestral_22b_chain-of-thought_20251211_195835.csv,codestral-22b,chain-of-thought,0,PHOTO,2,THROW,YG-Y-,False,0,0,43,1,5.4263,5.4263,0,42,0.9767
model_codestral_22b_chain-of-thought_20251211_195835.csv,codestral-22b,chain-of-thought,0,PHOTO,3,PHOTO,GGGGG,False,0,1,1,1,0,0,0,0,0.0
model_codestral_22b_chain-of-thought_20251211_195835.csv,codestral-22b,chain-of-thought,1,PARTY,1,THERE,Y--Y-,False,0,0,5629,97,5.8588,12.4587,6.5999,5532,0.9828
model_codestral_22b_chain-of-thought_20251211_195835.csv,codestral-22b,chain-of-thought,1,PARTY,2,STRIP,-YG-Y,False,0,0,97,3,5.015,6.5999,1.585,94,0.9691
model_codestral_22b_chain-of-thought_20251211_195835.csv,codestral-22b,chain-of-thought,1,PARTY,3,PORTO,G-GG-,False,0,1,3,1,1.585,1.585,0,2,0.6667
model_codestral_22b_chain-of-thought_20251211_195835.csv,codestral-22b,chain-of-thought,1,PARTY,4,PARTY,GGGGG,False,0,3,1,1,0,0,0,0,0.0
model_codestral_22b_chain-of-thought_20251211_195835.csv,codestral-22b,chain-of-thought,2,TRICK,1,THING,G-G--,False,0,0,5629,18,8.2887,12.4587,4.1699,5611,0.9968
model_codestral_22b_chain-of-thought_20251211_195835.csv,codestral-22b,chain-of-thought,2,TRICK,2,TRIES,GGG--,False,0,2,18,5,1.848,4.1699,2.3219,13,0.7222
model_codestral_22b_chain-of-thought_20251211_195835.csv,codestral-22b,chain-of-thought,2,TRICK,3,TRIAD,GGG--,False,0,3,5,3,0.737,2.3219,1.585,2,0.4
model_codestral_22b_chain-of-thought_20251211_195835.csv,codestral-22b,chain-of-thought,2,TRICK,4,TRICK,GGGGG,False,0,3,3,1,1.585,1.585,0,2,0.6667
model_codestral_22b_chain-of-thought_20251211_195835.csv,codestral-22b,chain-of-thought,3,DIRTY,1,THINK,Y-Y--,False,0,0,5629,98,5.844,12.4587,6.6147,5531,0.9826
model_codestral_22b_chain-of-thought_20251211_195835.csv,codestral-22b,chain-of-thought,3,DIRTY,2,STASI,-Y--Y,False,0,0,98,37,1.4053,6.6147,5.2095,61,0.6224
model_codestral_22b_chain-of-thought_20251211_195835.csv,codestral-22b,chain-of-thought,3,DIRTY,3,LIEUT,-G--Y,False,0,0,37,8,2.2095,5.2095,3.0,29,0.7838
model_codestral_22b_chain-of-thought_20251211_195835.csv,codestral-22b,chain-of-thought,3,DIRTY,4,DITTY,GG-GG,False,0,1,8,1,3.0,3.0,0,7,0.875
model_codestral_22b_chain-of-thought_20251211_195835.csv,codestral-22b,chain-of-thought,3,DIRTY,5,DIRTY,GGGGG,False,0,4,1,1,0,0,0,0,0.0
model_codestral_22b_chain-of-thought_20251211_195835.csv,codestral-22b,chain-of-thought,4,USUAL,1,POPUP,---Y-,False,0,0,5629,527,3.417,12.4587,9.0417,5102,0.9064
model_codestral_22b_chain-of-thought_20251211_195835.csv,codestral-22b,chain-of-thought,4,USUAL,2,MUSIC,-YY--,False,0,0,527,54,3.2868,9.0417,5.7549,473,0.8975
