game_number,target_code,won,attempts,guess_1,feedback_1,strategy_1,candidates_1,guess_2,feedback_2,strategy_2,candidates_2,guess_3,feedback_3,strategy_3,candidates_3,guess_4,feedback_4,strategy_4,candidates_4,guess_5,feedback_5,strategy_5,candidates_5,guess_6,feedback_6,strategy_6,candidates_6,guess_7,feedback_7,strategy_7,candidates_7,guess_8,feedback_8,strategy_8,candidates_8,guess_9,feedback_9,strategy_9,candidates_9,guess_10,feedback_10,strategy_10,candidates_10
1,GRBR,True,5,ORYW,1B0W,LLM,108,BGBW,1B1W,VOI,24,GRBG,3B0W,VOI,2,RRBG,2B2W,VOI,1,GRBR,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
2,RGBY,True,3,GBYG,0B3W,LLM,44,OGGB,1B1W,VOI,13,RGBY,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,BYYW,True,5,GBGB,0B1W,LLM,256,WRBO,0B2W,VOI,51,ROYG,1B0W,VOI,3,BWYY,2B2W,VOI,1,BYYW,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
4,BGWY,True,2,YOWB,1B2W,LLM,132,BGWY,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,BROG,True,5,GBRR,0B3W,LLM,44,RGBY,0B3W,VOI,8,BRGG,3B0W,VOI,5,BRGB,2B1W,VOI,2,BROG,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
6,GGWY,True,5,BYOG,0B2W,LLM,312,GRYR,1B1W,VOI,50,WRBY,1B1W,VOI,9,WGYW,1B2W,VOI,1,GGWY,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
7,RWOW,True,4,GBYG,0B0W,LLM,81,WROW,2B2W,VOI,5,ORWW,1B3W,VOI,2,RWOW,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,
8,WGRR,True,4,GWOW,0B2W,LLM,222,BGWY,1B1W,VOI,52,OGGB,1B0W,VOI,5,WGRR,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,
9,ROWO,True,4,WBGY,0B1W,LLM,152,RWOW,1B2W,VOI,9,ORRW,0B3W,VOI,1,ROWO,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,
10,WYYY,True,5,GYBG,1B0W,LLM,182,OYWO,1B1W,VOI,40,ROWG,0B1W,VOI,4,YYYW,2B2W,VOI,1,WYYY,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
11,ORRR,True,5,GYGY,0B0W,LLM,256,WRWO,1B1W,VOI,46,BWWW,0B0W,VOI,6,OORO,2B0W,VOI,1,ORRR,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
12,RGOW,True,5,GBGG,0B1W,LLM,308,YWBY,0B1W,VOI,43,WGRR,1B2W,VOI,3,RGWW,3B0W,VOI,2,RGOW,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
13,RGOG,True,5,GBYG,1B1W,LLM,230,BROG,2B1W,VOI,10,RRBG,2B0W,VOI,4,RYOG,3B0W,VOI,1,RGOG,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
14,RWGW,True,6,GYOW,1B1W,LLM,252,RGOG,1B1W,VOI,46,BGGW,2B0W,VOI,4,GGGY,1B0W,VOI,3,WGRW,1B3W,VOI,1,RWGW,4B0W,VOI,1,,,,,,,,,,,,,,,,
15,BRBY,True,5,WBGO,0B1W,LLM,152,ORRR,1B0W,VOI,39,YYRW,0B2W,VOI,5,GRYG,1B1W,VOI,1,BRBY,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
16,BGGB,True,4,WGWR,1B0W,LLM,182,OGGB,3B0W,VOI,9,OGBB,2B1W,VOI,1,BGGB,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,
17,OOOB,True,5,GBYO,0B2W,LLM,312,RGOW,1B0W,VOI,22,BGGB,1B0W,VOI,3,BYWW,0B1W,VOI,1,OOOB,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
18,WOGB,True,5,GROG,0B2W,LLM,222,RWGW,1B1W,VOI,41,RGBY,0B2W,VOI,11,YWRO,0B2W,VOI,1,WOGB,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
19,RGYR,True,4,YRRB,0B3W,LLM,44,RGBY,2B1W,VOI,6,RBYY,2B0W,VOI,1,RGYR,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,
20,WGWY,True,6,WWBW,1B1W,LLM,156,WOGB,1B1W,VOI,20,WRWO,2B0W,VOI,3,WGWG,3B0W,VOI,2,WYWG,2B2W,VOI,1,WGWY,4B0W,VOI,1,,,,,,,,,,,,,,,,
21,GWGW,True,5,GYRB,1B0W,LLM,108,OOOB,0B0W,VOI,24,WYYW,1B1W,VOI,5,GWWW,3B0W,VOI,2,GWGW,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
22,YWWG,True,5,WYRB,0B2W,LLM,312,GRGY,0B2W,VOI,41,RGWO,1B1W,VOI,5,YGYW,1B2W,VOI,1,YWWG,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
23,BRYG,True,5,BWWY,1B1W,LLM,230,GWGW,0B1W,VOI,42,RGBY,0B4W,VOI,2,BYRG,2B2W,VOI,1,BRYG,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
