game_number,target_word,won,attempts,guess_1,feedback_1,hamming_1,levenshtein_1,strategy_1,guess_2,feedback_2,hamming_2,levenshtein_2,strategy_2,guess_3,feedback_3,hamming_3,levenshtein_3,strategy_3,guess_4,feedback_4,hamming_4,levenshtein_4,strategy_4,guess_5,feedback_5,hamming_5,levenshtein_5,strategy_5,guess_6,feedback_6,hamming_6,levenshtein_6,strategy_6
1,PHOTO,True,4,LIBRA,-----,5,5,VOI,CHEEK,-G---,4,4,LLM,SHOTS,-GGG-,2,2,LLM,PHOTO,GGGGG,0,0,LLM,,,,,,,,,,
2,PARTY,True,5,AROSE,YY---,5,4,VOI,GUARD,--YY-,5,4,LLM,KARIM,-GG--,3,3,LLM,BARCA,-GG--,3,3,LLM,PARTY,GGGGG,0,0,LLM,,,,,
3,TRICK,False,6,AIRES,-YY--,5,5,VOI,ROBIN,Y--Y-,5,5,LLM,WHIRL,--GY-,4,4,LLM,WHIPP,--G--,4,4,LLM,GRIMY,-GG--,3,3,LLM,FRICK,-GGGG,1,1,LLM
4,DIRTY,True,4,AILES,-G---,4,4,VOI,DIGIT,GG--Y,3,3,LLM,DITTY,GG-GG,1,1,LLM,DIRTY,GGGGG,0,0,LLM,,,,,,,,,,
5,USUAL,True,5,AIRES,Y---Y,5,5,VOI,STACK,Y-Y--,5,4,LLM,BASHA,-YY--,5,4,LLM,USMAN,GG-G-,2,2,LLM,USUAL,GGGGG,0,0,LLM,,,,,
6,TRULY,True,4,NEARS,---Y-,5,5,VOI,ROWDY,Y---G,4,4,LLM,MURKY,-YY-G,4,4,LLM,TRULY,GGGGG,0,0,LLM,,,,,,,,,,
7,SPENT,True,4,CARES,---YY,5,5,VOI,SOLVE,G---Y,4,4,LLM,STEIN,GYG-Y,3,3,LLM,SPENT,GGGGG,0,0,LLM,,,,,,,,,,
8,PAUSE,True,4,AROSE,Y--GG,3,3,VOI,CHASE,--YGG,3,3,LLM,FALSE,-G-GG,2,2,LLM,PAUSE,GGGGG,0,0,LLM,,,,,,,,,,
9,CRAZY,True,5,SIENA,----Y,5,5,VOI,TABBY,-Y--G,4,4,LLM,ALLOY,Y---G,4,4,LLM,GRADY,-GG-G,2,2,LLM,CRAZY,GGGGG,0,0,LLM,,,,,
10,BASES,True,5,EARNS,YG--G,3,3,VOI,SALES,YG-GG,2,2,LLM,CASES,-GGGG,1,1,LLM,VASES,-GGGG,1,1,LLM,BASES,GGGGG,0,0,LLM,,,,,
11,YOUNG,True,4,TASER,-----,5,5,VOI,BUCKY,-Y--Y,5,5,LLM,YOULL,GGG--,2,2,LLM,YOUNG,GGGGG,0,0,LLM,,,,,,,,,,
12,MEANS,True,5,LASER,-YYY-,5,5,VOI,SHAKE,Y-G-Y,4,4,LLM,BEAMS,-GGYG,2,2,LLM,MEATS,GGG-G,1,1,LLM,MEANS,GGGGG,0,0,LLM,,,,,
13,TRUTH,True,4,RACES,Y----,5,5,VOI,BROWN,-G---,4,4,LLM,TRILL,GG---,3,3,LLM,TRUTH,GGGGG,0,0,LLM,,,,,,,,,,
14,FIRED,True,3,ARIES,-YYG-,4,4,VOI,FIBER,GG-GY,2,2,LLM,FIRED,GGGGG,0,0,LLM,,,,,,,,,,,,,,,
15,FOLKS,True,5,RAISE,---Y-,5,5,VOI,BUCKS,---GG,3,3,LLM,HOOKS,-G-GG,2,2,LLM,YOLKS,-GGGG,1,1,LLM,FOLKS,GGGGG,0,0,LLM,,,,,
16,CHILE,True,4,AROSE,----G,4,4,VOI,GENIE,---YG,4,4,LLM,WHILE,-GGGG,1,1,LLM,CHILE,GGGGG,0,0,LLM,,,,,,,,,,
17,BLACK,True,4,ELISA,-G--Y,4,4,VOI,ALOFT,YG---,4,4,LLM,PLANK,-GG-G,2,2,LLM,BLACK,GGGGG,0,0,LLM,,,,,,,,,,
18,GRANT,True,4,AIRES,Y-Y--,5,5,VOI,PRANK,-GGG-,2,2,LLM,BRANT,-GGGG,1,1,LLM,GRANT,GGGGG,0,0,LLM,,,,,,,,,,
19,MEALS,True,4,LANES,YY-YG,4,4,VOI,SEALS,-GGGG,1,1,LLM,REALS,-GGGG,1,1,LLM,MEALS,GGGGG,0,0,LLM,,,,,,,,,,
20,CREAM,True,4,SAUER,-Y-YY,5,5,VOI,GERDA,-YY-Y,5,4,LLM,TRACE,-GYYY,4,4,LLM,CREAM,GGGGG,0,0,LLM,,,,,,,,,,
21,AWAKE,True,5,SIENA,--Y-Y,5,5,VOI,GRAZE,--G-G,3,3,LLM,GRAKE,--GGG,2,2,LLM,FLAKE,--GGG,2,2,LLM,AWAKE,GGGGG,0,0,LLM,,,,,
22,OCCUR,True,4,MARES,--Y--,5,5,VOI,ROBOT,YY---,5,5,LLM,ROCKS,YYG--,4,4,LLM,OCCUR,GGGGG,0,0,LLM,,,,,,,,,,
23,YEARS,True,2,TEARS,-GGGG,1,1,VOI,YEARS,GGGGG,0,0,LLM,,,,,,,,,,,,,,,,,,,,
24,GRADE,True,5,AROSE,YG--G,3,3,VOI,TRACE,-GG-G,2,2,LLM,GRAZE,GGG-G,1,1,LLM,GRAPE,GGG-G,1,1,LLM,GRADE,GGGGG,0,0,LLM,,,,,
25,CHILL,True,4,TEARS,-----,5,5,VOI,WILLY,-YYG-,4,3,LLM,QUILL,--GGG,2,2,LLM,CHILL,GGGGG,0,0,LLM,,,,,,,,,,
26,FLOOD,True,3,LASER,Y----,5,5,VOI,CHILD,---YG,4,4,LLM,FLOOD,GGGGG,0,0,LLM,,,,,,,,,,,,,,,
27,APPLY,True,3,AROSE,G----,4,4,VOI,ALVIN,GY---,4,4,LLM,APPLY,GGGGG,0,0,LLM,,,,,,,,,,,,,,,
28,SMILE,True,4,REALS,-Y-GY,4,4,VOI,SPELL,G-YG-,3,3,LLM,STYLE,G--GG,2,2,LLM,SMILE,GGGGG,0,0,LLM,,,,,,,,,,
29,KNOCK,True,3,ARIES,-----,5,5,VOI,MUNCH,--YG-,4,4,LLM,KNOCK,GGGGG,0,0,LLM,,,,,,,,,,,,,,,
30,SLEEP,True,3,RAISE,---YY,5,5,VOI,POLES,Y-YGY,4,4,LLM,SLEEP,GGGGG,0,0,LLM,,,,,,,,,,,,,,,
31,BRICK,True,3,ELIAS,--G--,4,4,VOI,THIRD,--GY-,4,4,LLM,BRICK,GGGGG,0,0,LLM,,,,,,,,,,,,,,,
32,WROTE,True,5,MARES,--YY-,5,5,VOI,TREND,YGY--,4,4,LLM,ERUPT,YG--Y,4,4,LLM,WRITE,GG-GG,1,1,LLM,WROTE,GGGGG,0,0,LLM,,,,,
33,RATED,False,6,AIRES,Y-YG-,4,4,VOI,RAVEL,GG-G-,2,2,LLM,RACED,GG-GG,1,1,LLM,RAKED,GG-GG,1,1,LLM,RAZED,GG-GG,1,1,LLM,RAPED,GG-GG,1,1,LLM
34,ALERT,True,3,EARNS,YYY--,5,5,VOI,ALTER,GGYYY,3,2,LLM,ALERT,GGGGG,0,0,LLM,,,,,,,,,,,,,,,
35,CAGES,True,6,REALS,-YY-G,4,4,VOI,TAPES,-G-GG,2,2,LLM,SAVES,-G-GG,2,2,LLM,GAMES,YG-GG,2,2,LLM,WAGES,-GGGG,1,1,LLM,CAGES,GGGGG,0,0,LLM
36,TEDDY,True,3,RAISE,----Y,5,5,VOI,DEPOT,YG--Y,4,4,LLM,TEDDY,GGGGG,0,0,LLM,,,,,,,,,,,,,,,
37,COLES,False,6,NEARS,-Y--G,4,4,VOI,DUKES,---GG,3,3,LLM,MOVES,-G-GG,2,2,LLM,POLES,-GGGG,1,1,LLM,SOLES,-GGGG,1,1,LLM,HOLES,-GGGG,1,1,LLM
38,HWANG,True,4,REALS,--G--,4,4,VOI,CHANG,-YGGG,2,2,LLM,HUANG,G-GGG,1,1,LLM,HWANG,GGGGG,0,0,LLM,,,,,,,,,,
39,WRATH,True,4,AROSE,YG---,4,4,VOI,BRAIN,-GG--,3,3,LLM,RAFTS,YY-G-,4,3,LLM,WRATH,GGGGG,0,0,LLM,,,,,,,,,,
40,MACHO,True,3,LANES,-G---,4,4,VOI,MARTA,GG---,3,3,LLM,MACHO,GGGGG,0,0,LLM,,,,,,,,,,,,,,,
41,LOPEZ,True,5,SNARE,----Y,5,5,VOI,HEIDI,-Y---,5,5,LLM,EXCEL,---GY,4,4,LLM,GOLEM,-GYG-,3,3,LLM,LOPEZ,GGGGG,0,0,LLM,,,,,
42,GOODY,True,3,ARIES,-----,5,5,VOI,GULLY,G---G,3,3,LLM,GOODY,GGGGG,0,0,LLM,,,,,,,,,,,,,,,
43,BROTH,True,4,REALS,Y----,5,5,VOI,BRODY,GGG--,2,2,LLM,BROCK,GGG--,2,2,LLM,BROTH,GGGGG,0,0,LLM,,,,,,,,,,
44,VERDE,True,4,TALES,---Y-,5,5,VOI,PROVE,-Y-YG,4,4,LLM,VERGE,GGG-G,1,1,LLM,VERDE,GGGGG,0,0,LLM,,,,,,,,,,
45,TAMED,True,5,AROSE,Y---Y,5,5,VOI,HEALA,-YY--,5,5,LLM,PAVED,-G-GG,2,2,LLM,MAXED,YG-GG,2,2,LLM,TAMED,GGGGG,0,0,LLM,,,,,
46,LEAFS,True,6,ARIES,Y--YG,4,4,VOI,LEADS,GGG-G,1,1,LLM,LEAPS,GGG-G,1,1,LLM,LEAKS,GGG-G,1,1,LLM,LEANS,GGG-G,1,1,LLM,LEAFS,GGGGG,0,0,LLM
47,YACHT,True,5,RATES,-GY--,4,4,VOI,TANGO,YG---,4,4,LLM,WALTZ,-G-Y-,4,4,LLM,HABIT,YG--G,3,3,LLM,YACHT,GGGGG,0,0,LLM,,,,,
48,MESSY,True,5,EARLS,Y---Y,5,5,VOI,SCONE,Y---Y,5,5,LLM,GUEST,--YG-,4,4,LLM,MESSI,GGGG-,1,1,LLM,MESSY,GGGGG,0,0,LLM,,,,,
49,RYDER,True,4,AIRES,--YG-,4,4,VOI,ROMEO,G--G-,3,3,LLM,REBEL,G--G-,3,3,LLM,RYDER,GGGGG,0,0,LLM,,,,,,,,,,
50,MOTIF,True,3,TASER,Y----,5,5,VOI,LIMIT,--YGY,4,4,LLM,MOTIF,GGGGG,0,0,LLM,,,,,,,,,,,,,,,
51,RAVEN,True,4,ARIES,YY-G-,4,4,VOI,PAPER,-G-GY,3,3,LLM,RAVED,GGGG-,1,1,LLM,RAVEN,GGGGG,0,0,LLM,,,,,,,,,,
52,REICH,True,3,ARISE,-YG-Y,4,4,VOI,REIGN,GGG--,2,2,LLM,REICH,GGGGG,0,0,LLM,,,,,,,,,,,,,,,
53,ICONS,True,4,RAISE,--YY-,5,5,VOI,SIGHT,YY---,5,5,LLM,MUSIC,--YYY,5,5,LLM,ICONS,GGGGG,0,0,LLM,,,,,,,,,,
54,SILKY,True,3,AILES,-GG-Y,3,3,VOI,SILLY,GGG-G,1,1,LLM,SILKY,GGGGG,0,0,LLM,,,,,,,,,,,,,,,
55,CARVE,True,3,ARIES,YY-Y-,5,3,VOI,RECAP,YYYY-,5,5,LLM,CARVE,GGGGG,0,0,LLM,,,,,,,,,,,,,,,
56,LAGER,True,6,LASER,GG-GG,1,1,VOI,LAYER,GG-GG,1,1,LLM,LAZER,GG-GG,1,1,LLM,LAKER,GG-GG,1,1,LLM,LATER,GG-GG,1,1,LLM,LAGER,GGGGG,0,0,LLM
57,JERKS,True,5,EARNS,Y-G-G,3,3,VOI,TYRES,--GYG,3,3,LLM,GERMS,-GG-G,2,2,LLM,VERBS,-GG-G,2,2,LLM,JERKS,GGGGG,0,0,LLM,,,,,
58,LOTUS,True,4,RATES,--G-G,3,3,VOI,MITTS,--G-G,3,3,LLM,POTUS,-GGGG,1,1,LLM,LOTUS,GGGGG,0,0,LLM,,,,,,,,,,
59,LACEY,True,6,RAISE,-G--Y,4,4,VOI,DAZED,-G-G-,3,3,LLM,PAVEL,-G-GY,3,3,LLM,HALEN,-GYG-,3,3,LLM,LATEX,GG-G-,2,2,LLM,LACEY,GGGGG,0,0,LLM
60,TUDOR,True,4,RATES,Y-Y--,5,5,VOI,THIRD,G--YY,4,4,LLM,TRUDY,GYYY-,4,3,LLM,TUDOR,GGGGG,0,0,LLM,,,,,,,,,,
61,QUOTA,True,4,EARNS,-Y---,5,5,VOI,CLOAK,--GY-,4,4,LLM,AFOOT,Y-G-Y,4,4,LLM,QUOTA,GGGGG,0,0,LLM,,,,,,,,,,
62,MOURN,True,4,NEARS,Y--G-,4,4,VOI,INTRO,-Y-GY,4,4,LLM,BJORN,--YGG,3,3,LLM,MOURN,GGGGG,0,0,LLM,,,,,,,,,,
63,PROMO,True,5,AROSE,-GG--,3,3,VOI,PROUD,GGG--,2,2,LLM,PROOF,GGGY-,2,2,LLM,PROTO,GGG-G,1,1,LLM,PROMO,GGGGG,0,0,LLM,,,,,
64,CASTE,True,5,ASTER,YYYY-,5,2,VOI,STEAK,YYYY-,5,4,LLM,TASTE,-GGGG,1,1,LLM,HASTE,-GGGG,1,1,LLM,CASTE,GGGGG,0,0,LLM,,,,,
65,CAPRI,True,4,AILES,YY---,5,5,VOI,CURIA,G-YYY,4,3,LLM,CAIRO,GGYG-,2,2,LLM,CAPRI,GGGGG,0,0,LLM,,,,,,,,,,
66,ALIAS,True,4,TASER,-YY--,5,5,VOI,DIVAS,-Y-GG,3,3,LLM,INCAS,Y--GG,3,3,LLM,ALIAS,GGGGG,0,0,LLM,,,,,,,,,,
67,PADDY,True,5,AIRES,Y----,5,5,VOI,JAMAL,-G---,4,4,LLM,BATCH,-G---,4,4,LLM,DADDY,-GGGG,1,1,LLM,PADDY,GGGGG,0,0,LLM,,,,,
68,BLOBS,True,6,ARISE,---Y-,5,5,VOI,HOSTS,-Y--G,4,4,LLM,KNOWS,--G-G,3,3,LLM,BLOCS,GGG-G,1,1,LLM,BLOGS,GGG-G,1,1,LLM,BLOBS,GGGGG,0,0,LLM
69,DILLY,True,5,STARE,-----,5,5,VOI,CIVIC,-G---,4,4,LLM,GIDDY,-GY-G,3,3,LLM,DIZZY,GG--G,2,2,LLM,DILLY,GGGGG,0,0,LLM,,,,,
70,GUTSY,True,4,AIRES,----Y,5,5,VOI,STUCK,YYY--,5,5,LLM,MUSTY,-GYYG,3,3,LLM,GUTSY,GGGGG,0,0,LLM,,,,,,,,,,
71,TABOR,True,5,EARNS,-GY--,4,4,VOI,LAURA,-G-Y-,4,4,LLM,RAHIM,YG---,4,4,LLM,GABOR,-GGGG,1,1,LLM,TABOR,GGGGG,0,0,LLM,,,,,
72,INLAY,True,3,RAISE,-YY--,5,5,VOI,WILLA,-YG-Y,4,3,LLM,INLAY,GGGGG,0,0,LLM,,,,,,,,,,,,,,,
73,AHHHH,True,5,ARSED,G----,4,4,VOI,AXIAL,G----,4,4,LLM,ANNOY,G----,4,4,LLM,AWWWW,G----,4,4,LLM,AHHHH,GGGGG,0,0,LLM,,,,,
74,ROUEN,True,6,RAISE,G---Y,4,4,VOI,REBEL,G--G-,3,3,LLM,ROMEO,GG-G-,2,2,LLM,ROVER,GG-G-,2,2,LLM,ROWED,GG-G-,2,2,LLM,ROUEN,GGGGG,0,0,LLM
75,BUENA,True,3,ARIES,Y--Y-,5,5,VOI,KEANE,-YYG-,4,4,LLM,BUENA,GGGGG,0,0,LLM,,,,,,,,,,,,,,,
76,MENON,True,4,ARIES,---Y-,5,5,VOI,GETTY,-G---,4,4,LLM,BENCH,-GG--,3,3,LLM,MENON,GGGGG,0,0,LLM,,,,,,,,,,
77,TRASK,True,3,EARNS,-YY-Y,5,4,VOI,STARZ,YYGY-,4,4,LLM,TRASK,GGGGG,0,0,LLM,,,,,,,,,,,,,,,
78,CASIO,True,4,SNARE,Y-Y--,5,5,VOI,PAULS,-G--Y,4,4,LLM,MASAI,-GG-Y,3,3,LLM,CASIO,GGGGG,0,0,LLM,,,,,,,,,,
79,VOILA,False,6,AROSE,Y-Y--,5,5,VOI,HANZO,-Y--Y,5,5,LLM,KODAK,-G-Y-,4,4,LLM,COTTA,-G--G,3,3,LLM,POPGA,-G--G,3,3,LLM,JOLLA,-G-GG,2,2,LLM
80,AURAL,True,4,LASER,YY--Y,5,5,VOI,TRIAL,-Y-GG,3,3,LLM,CORAL,--GGG,2,2,LLM,AURAL,GGGGG,0,0,LLM,,,,,,,,,,
81,LEGER,True,4,LASER,G--GG,2,2,VOI,LEVER,GG-GG,1,1,LLM,LEPER,GG-GG,1,1,LLM,LEGER,GGGGG,0,0,LLM,,,,,,,,,,
82,DALLY,True,5,AROSE,Y----,5,5,VOI,MALTA,-GG--,3,3,LLM,CALLY,-GGGG,1,1,LLM,WALLY,-GGGG,1,1,LLM,DALLY,GGGGG,0,0,LLM,,,,,
83,INIGO,True,4,STARE,-----,5,5,VOI,FOUND,-Y-Y-,5,5,LLM,KNOCK,-GY--,4,4,LLM,INIGO,GGGGG,0,0,LLM,,,,,,,,,,
84,KRILL,True,4,OATES,-----,5,5,VOI,BIRCH,-YY--,5,5,LLM,GRILL,-GGGG,1,1,LLM,KRILL,GGGGG,0,0,LLM,,,,,,,,,,
85,SNIDE,True,3,LEANS,-Y-YY,5,5,VOI,SNIPE,GGG-G,1,1,LLM,SNIDE,GGGGG,0,0,LLM,,,,,,,,,,,,,,,
86,LEWES,True,4,RATES,---GG,3,3,VOI,HOLES,--YGG,3,3,LLM,FLIES,-Y-GG,3,3,LLM,LEWES,GGGGG,0,0,LLM,,,,,,,,,,
87,TAMER,True,6,AROSE,YY--Y,5,5,VOI,RACER,-G-GG,2,2,LLM,LAYER,-G-GG,2,2,LLM,WATER,-GYGG,2,2,LLM,TAKER,GG-GG,1,1,LLM,TAMER,GGGGG,0,0,LLM
88,COTTA,True,3,ASTER,Y-G--,4,4,VOI,BATON,-YGY-,4,4,LLM,COTTA,GGGGG,0,0,LLM,,,,,,,,,,,,,,,
89,CORBY,True,3,LASER,----Y,5,5,VOI,CORNY,GGG-G,1,1,LLM,CORBY,GGGGG,0,0,LLM,,,,,,,,,,,,,,,
90,POLIS,True,4,TASER,--Y--,5,5,VOI,SONIC,YG-G-,3,3,LLM,LOUIS,YG-GG,2,2,LLM,POLIS,GGGGG,0,0,LLM,,,,,,,,,,
91,ROXAS,True,3,REALS,G-Y-G,3,3,VOI,RAMPS,GY--G,3,3,LLM,ROXAS,GGGGG,0,0,LLM,,,,,,,,,,,,,,,
92,RANCE,True,2,CARES,YGYY-,4,4,VOI,RANCE,GGGGG,0,0,LLM,,,,,,,,,,,,,,,,,,,,
93,CARON,True,4,AIRES,Y-G--,4,4,VOI,CARLY,GGG--,2,2,LLM,CARAT,GGG--,2,2,LLM,CARON,GGGGG,0,0,LLM,,,,,,,,,,
94,SURYA,True,4,EARNS,-YG-Y,4,4,VOI,CORSA,--GYG,3,3,LLM,SYRIA,GYG-G,2,2,LLM,SURYA,GGGGG,0,0,LLM,,,,,,,,,,
95,AGGIE,True,6,OATES,-Y-Y-,5,5,VOI,AMEND,G-Y--,4,4,LLM,AZURE,G---G,3,3,LLM,ALIVE,G-Y-G,3,3,LLM,ABBIE,G--GG,2,2,LLM,AGGIE,GGGGG,0,0,LLM
96,CAUSA,True,5,AIRES,Y---Y,5,5,VOI,SANFL,YG---,4,4,LLM,PASTY,-GY--,4,4,LLM,HAUSA,-GGGG,1,1,LLM,CAUSA,GGGGG,0,0,LLM,,,,,
97,BAMBA,True,5,NEARS,--Y--,5,5,VOI,VAULT,-G---,4,4,LLM,MAZZY,YG---,4,4,LLM,BAMBI,GGGG-,1,1,LLM,BAMBA,GGGGG,0,0,LLM,,,,,
98,MAYNE,True,4,ARISE,Y---G,4,4,VOI,TABLE,-G--G,3,3,LLM,MANCE,GGY-G,2,2,LLM,MAYNE,GGGGG,0,0,LLM,,,,,,,,,,
99,BOGGS,True,4,REALS,----G,4,4,VOI,BOOKS,GG--G,2,2,LLM,BOGUS,GGG-G,1,1,LLM,BOGGS,GGGGG,0,0,LLM,,,,,,,,,,
100,FINNS,True,6,ANSEL,-YY--,5,5,VOI,SINGS,-GG-G,2,2,LLM,MINDS,-GG-G,2,2,LLM,PINKS,-GG-G,2,2,LLM,TINTS,-GG-G,2,2,LLM,FINNS,GGGGG,0,0,LLM
