game_number,target_code,won,attempts,guess_1,feedback_1,strategy_1,candidates_1,guess_2,feedback_2,strategy_2,candidates_2,guess_3,feedback_3,strategy_3,candidates_3,guess_4,feedback_4,strategy_4,candidates_4,guess_5,feedback_5,strategy_5,candidates_5,guess_6,feedback_6,strategy_6,candidates_6,guess_7,feedback_7,strategy_7,candidates_7,guess_8,feedback_8,strategy_8,candidates_8,guess_9,feedback_9,strategy_9,candidates_9,guess_10,feedback_10,strategy_10,candidates_10
1,GRBR,True,4,RGBY,1B2W,LLM,132,ORGY,1B1W,VOI,24,BRBG,2B1W,VOI,3,GRBR,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,
2,RGBY,True,3,RYGB,1B3W,LLM,8,YBGR,0B4W,VOI,3,RGBY,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,BYYW,True,4,RYBG,1B1W,LLM,252,OGBW,1B1W,VOI,50,WBBY,0B3W,VOI,2,BYYW,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,
4,BGWY,True,5,RRRR,0B0W,LLM,625,YWBY,1B2W,VOI,62,GBWY,2B2W,VOI,3,WBGY,1B3W,VOI,2,BGWY,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
5,BROG,True,5,RGGB,0B3W,LLM,44,GRBR,1B2W,VOI,6,GBRW,0B3W,VOI,2,BRYG,3B0W,VOI,1,BROG,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
6,GGWY,True,5,RRRY,1B0W,LLM,317,WBGY,1B2W,VOI,30,GBRW,1B1W,VOI,9,GYWY,3B0W,VOI,4,GGWY,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
7,RWOW,True,5,YYBB,0B0W,LLM,256,RGOR,2B0W,VOI,29,RGWW,2B1W,VOI,4,RWWR,2B1W,VOI,1,RWOW,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
8,WGRR,True,4,RGBY,1B1W,LLM,252,GYWY,0B2W,VOI,40,RRGW,0B4W,VOI,1,WGRR,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,
9,ROWO,True,5,RRBB,1B0W,LLM,256,RWOW,1B2W,VOI,18,WROG,0B3W,VOI,3,ROWY,3B0W,VOI,1,ROWO,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
10,WYYY,True,4,RGGB,0B0W,LLM,81,YOYW,1B2W,VOI,18,YWWO,0B2W,VOI,2,WYYY,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,
11,ORRR,True,4,RGBY,0B1W,LLM,152,OYWW,1B0W,VOI,14,OOOR,2B0W,VOI,3,ORRR,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,
12,RGOW,True,4,RGBY,2B0W,LLM,96,ROWY,1B2W,VOI,4,OWBY,0B2W,VOI,1,RGOW,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,
13,RGOG,True,5,RGBO,2B1W,LLM,48,RGOW,3B0W,VOI,3,RGOR,3B0W,VOI,2,RGOY,3B0W,VOI,1,RGOG,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
14,RWGW,True,4,GGGG,1B0W,LLM,500,RGBY,1B1W,VOI,84,WGRR,0B3W,VOI,8,RWGW,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,
15,BRBY,True,4,RGBY,2B1W,LLM,48,BGWY,2B0W,VOI,5,GGRY,1B1W,VOI,2,BRBY,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,
16,BGGB,True,4,RRBB,1B1W,LLM,208,ORRR,0B0W,VOI,42,BWBY,1B1W,VOI,3,BGGB,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,
17,OOOB,True,4,RRBB,1B0W,LLM,256,OWBY,1B1W,VOI,45,RWOW,1B0W,VOI,4,OOOB,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,
18,WOGB,True,5,RRGG,1B0W,LLM,256,BRBY,0B1W,VOI,49,RWOW,0B2W,VOI,9,OBWG,0B4W,VOI,1,WOGB,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
19,RGYR,True,4,RRBB,1B1W,LLM,208,YBBW,0B1W,VOI,39,RWWR,2B0W,VOI,6,RGYR,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,
20,WGWY,True,5,RRBY,1B0W,LLM,182,RWOW,0B2W,VOI,19,GOWY,2B1W,VOI,3,WOYY,2B0W,VOI,1,WGWY,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
21,GWGW,True,5,OOOO,0B0W,LLM,625,BGWY,0B2W,VOI,126,RRGW,2B0W,VOI,15,RRYB,0B0W,VOI,2,GWGW,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
22,YWWG,True,5,RYBG,1B1W,LLM,252,WOYG,1B2W,VOI,21,OBWG,2B0W,VOI,2,YGWG,3B0W,VOI,1,YWWG,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
23,BRYG,True,4,RGBG,1B2W,LLM,84,GGWR,0B2W,VOI,19,BROG,3B0W,VOI,2,BRYG,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,
24,OGYG,True,4,RGBY,1B1W,LLM,252,YGWG,2B1W,VOI,8,GGWR,1B1W,VOI,4,OGYG,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,
25,WYYR,True,4,RYBG,1B1W,LLM,252,YWWG,0B2W,VOI,35,WYOR,3B0W,VOI,3,WYYR,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,
26,BYOW,True,4,RGBY,0B2W,LLM,312,WYYR,1B1W,VOI,68,YBYB,0B2W,VOI,3,BYOW,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,
27,RRBG,True,4,RRRY,2B0W,LLM,123,RRGW,2B1W,VOI,12,RROG,3B0W,VOI,1,RRBG,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,
28,GYRB,True,4,RRBB,1B1W,LLM,208,BRYG,0B4W,VOI,5,YGRB,2B2W,VOI,2,GYRB,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,
