game_number,target_word,won,attempts,guess_1,feedback_1,hamming_1,levenshtein_1,strategy_1,guess_2,feedback_2,hamming_2,levenshtein_2,strategy_2,guess_3,feedback_3,hamming_3,levenshtein_3,strategy_3,guess_4,feedback_4,hamming_4,levenshtein_4,strategy_4,guess_5,feedback_5,hamming_5,levenshtein_5,strategy_5,guess_6,feedback_6,hamming_6,levenshtein_6,strategy_6
1,PHOTO,True,4,GUESS,-----,5,5,LLM,WHICH,-G---,4,4,LLM,THANK,YG---,4,4,LLM,PHOTO,GGGGG,0,0,LLM,,,,,,,,,,
2,PARTY,True,3,CRATE,-YYG-,4,4,LLM,PARTI,GGGG-,1,1,VOI_REPAIR,PARTY,GGGGG,0,0,LLM,,,,,,,,,,,,,,,
3,TRICK,True,2,CRATE,YG-Y-,4,4,LLM,TRICK,GGGGG,0,0,LLM,,,,,,,,,,,,,,,,,,,,
4,DIRTY,True,4,BASED,----Y,5,5,LLM,DONOR,G---Y,4,4,VOI_REPAIR,DRIFT,GYY-Y,4,3,LLM,DIRTY,GGGGG,0,0,LLM,,,,,,,,,,
5,USUAL,True,3,GUESS,-Y-Y-,5,5,LLM,SNOUT,Y--Y-,5,5,VOI_REPAIR,USUAL,GGGGG,0,0,LLM,,,,,,,,,,,,,,,
6,TRULY,True,4,WHICH,-----,5,5,LLM,GUESS,-Y---,5,5,LLM,DRURY,-GG-G,2,2,VOI_REPAIR,TRULY,GGGGG,0,0,LLM,,,,,,,,,,
7,SPENT,True,4,BASED,--YY-,5,5,LLM,GUESS,--GY-,4,4,LLM,STEIN,GYG-Y,3,3,VOI_REPAIR,SPENT,GGGGG,0,0,LLM,,,,,,,,,,
8,PAUSE,True,5,GIVEN,---Y-,5,5,LLM,SWEPT,Y-YY-,5,5,VOI_REPAIR,EXPOS,Y-Y-Y,5,5,LLM,PARSE,GG-GG,1,1,LLM,PAUSE,GGGGG,0,0,LLM,,,,,
9,CRAZY,True,6,BASED,-Y---,5,5,LLM,TIARA,--GY-,4,4,VOI_REPAIR,CRANK,GGG--,2,2,VOI_REPAIR,CRAWL,GGG--,2,2,LLM,CRAMP,GGG--,2,2,LLM,CRAZY,GGGGG,0,0,LLM
10,BASES,True,5,GUESS,--YYG,4,4,LLM,SECTS,YY--G,4,4,VOI_REPAIR,MOSES,--GGG,2,2,LLM,EASES,-GGGG,1,1,LLM,BASES,GGGGG,0,0,LLM,,,,,
11,YOUNG,True,3,GUESS,YY---,5,5,LLM,ROUGH,-GGY-,3,3,LLM,YOUNG,GGGGG,0,0,LLM,,,,,,,,,,,,,,,
12,MEANS,True,4,SLOTS,----G,4,4,LLM,REINS,-G-GG,2,2,VOI_REPAIR,DEANS,-GGGG,1,1,LLM,MEANS,GGGGG,0,0,LLM,,,,,,,,,,
13,TRUTH,True,4,GUESS,-Y---,5,5,LLM,TRULY,GGG--,2,2,VOI_REPAIR,TRUCK,GGG--,2,2,LLM,TRUTH,GGGGG,0,0,LLM,,,,,,,,,,
14,FIRED,True,6,GUESS,--Y--,5,5,LLM,LOIRE,--YYY,5,3,VOI_REPAIR,RIVET,YG-G-,3,3,LLM,MIXER,-G-GY,3,3,LLM,HIRED,-GGGG,1,1,LLM,FIRED,GGGGG,0,0,LLM
15,FOLKS,True,6,CRACK,----Y,5,5,LLM,SPIKE,Y--G-,4,4,VOI_REPAIR,TUSKS,---GG,3,3,LLM,MONKS,-G-GG,2,2,LLM,BOOKS,-G-GG,2,2,LLM,FOLKS,GGGGG,0,0,LLM
16,CHILE,True,3,GUESS,--Y--,5,5,LLM,FADER,---Y-,5,5,VOI_REPAIR,CHILE,GGGGG,0,0,VOI_REPAIR,,,,,,,,,,,,,,,
17,BLACK,True,4,GUESS,-----,5,5,LLM,TRAIN,--G--,4,4,VOI_REPAIR,CLAMP,YGG--,3,3,LLM,BLACK,GGGGG,0,0,LLM,,,,,,,,,,
