game_number,target_word,won,attempts,guess_1,feedback_1,hamming_1,levenshtein_1,strategy_1,guess_2,feedback_2,hamming_2,levenshtein_2,strategy_2,guess_3,feedback_3,hamming_3,levenshtein_3,strategy_3,guess_4,feedback_4,hamming_4,levenshtein_4,strategy_4,guess_5,feedback_5,hamming_5,levenshtein_5,strategy_5,guess_6,feedback_6,hamming_6,levenshtein_6,strategy_6
1,PHOTO,True,2,THEIR,YG---,4,4,VOI_FROM_LLM,PHOTO,GGGGG,0,0,VOI_FROM_LLM,,,,,,,,,,,,,,,,,,,,
2,PARTY,True,3,THEIR,Y---Y,5,5,VOI_FROM_LLM,START,-YYY-,5,3,VOI_FROM_LLM,PARTY,GGGGG,0,0,VOI_FROM_LLM,,,,,,,,,,,,,,,
3,TRICK,True,2,THEIR,G--YY,4,4,VOI_FROM_LLM,TRICK,GGGGG,0,0,VOI_FROM_LLM,,,,,,,,,,,,,,,,,,,,
4,DIRTY,True,4,THEIR,Y--YY,5,5,VOI_FROM_LLM,PRINT,-YY-Y,5,4,VOI_FROM_LLM,RIOTS,YG-G-,3,3,VOI_FROM_LLM,DIRTY,GGGGG,0,0,VOI_FROM_LLM,,,,,,,,,,
5,USUAL,True,3,THEIR,-----,5,5,VOI_FROM_LLM,WOULD,--GY-,4,4,VOI_FROM_LLM,USUAL,GGGGG,0,0,VOI_FROM_LLM,,,,,,,,,,,,,,,
6,TRULY,True,5,THEIR,G---Y,4,4,VOI_FROM_LLM,TRACK,GG---,3,3,VOI_FROM_LLM,TRUST,GGG--,2,2,VOI_FROM_LLM,TRUMP,GGG--,2,2,VOI_FROM_LLM,TRULY,GGGGG,0,0,VOI_FROM_LLM,,,,,
7,SPENT,True,4,THEIR,Y-G--,4,4,VOI_FROM_LLM,SWEET,G-G-G,2,2,VOI_FROM_LLM,SLEPT,G-GYG,2,2,VOI_FROM_LLM,SPENT,GGGGG,0,0,VOI_FROM_LLM,,,,,,,,,,
8,PAUSE,True,5,THEIR,--Y--,5,5,VOI_FROM_LLM,MAYBE,-G--G,3,3,VOI_FROM_LLM,FALSE,-G-GG,2,2,VOI_FROM_LLM,CAUSE,-GGGG,1,1,VOI_FROM_LLM,PAUSE,GGGGG,0,0,VOI_FROM_LLM,,,,,
9,CRAZY,True,4,THEIR,----Y,5,5,VOI_FROM_LLM,ROUND,Y----,5,5,VOI_FROM_LLM,CRASS,GGG--,2,2,VOI_FROM_LLM,CRAZY,GGGGG,0,0,VOI_FROM_LLM,,,,,,,,,,
10,BASES,True,4,THEIR,--Y--,5,5,VOI_FROM_LLM,PLACE,--Y-Y,5,4,VOI_FROM_LLM,BASED,GGGG-,1,1,VOI_FROM_LLM,BASES,GGGGG,0,0,VOI_FROM_LLM,,,,,,,,,,
11,YOUNG,True,4,THEIR,-----,5,5,VOI_FROM_LLM,WOULD,-GG--,3,3,VOI_FROM_LLM,NOUNS,-GGG-,2,2,VOI_FROM_LLM,YOUNG,GGGGG,0,0,VOI_FROM_LLM,,,,,,,,,,
12,MEANS,True,4,THEIR,--Y--,5,5,VOI_FROM_LLM,PLACE,--G-Y,4,4,VOI_FROM_LLM,BEANS,-GGGG,1,1,VOI_FROM_LLM,MEANS,GGGGG,0,0,VOI_FROM_LLM,,,,,,,,,,
13,TRUTH,True,2,THEIR,GY--Y,4,4,VOI_FROM_LLM,TRUTH,GGGGG,0,0,VOI_FROM_LLM,,,,,,,,,,,,,,,,,,,,
14,FIRED,True,3,THEIR,--YYY,5,5,VOI_FROM_LLM,CRIME,-YY-Y,5,4,VOI_FROM_LLM,FIRED,GGGGG,0,0,VOI_FROM_LLM,,,,,,,,,,,,,,,
15,FOLKS,True,3,THEIR,-----,5,5,VOI_FROM_LLM,FOUND,GG---,3,3,VOI_FROM_LLM,FOLKS,GGGGG,0,0,VOI_FROM_LLM,,,,,,,,,,,,,,,
16,CHILE,True,3,THEIR,-GYY-,4,4,VOI_FROM_LLM,CHIEF,GGGY-,2,2,VOI_FROM_LLM,CHILE,GGGGG,0,0,VOI_FROM_LLM,,,,,,,,,,,,,,,
17,BLACK,True,4,THEIR,-----,5,5,VOI_FROM_LLM,FOUND,-----,5,5,VOI_FROM_LLM,CLASS,YGG--,3,3,VOI_FROM_LLM,BLACK,GGGGG,0,0,VOI_FROM_LLM,,,,,,,,,,
18,GRANT,True,3,THEIR,Y---Y,5,5,VOI_FROM_LLM,STORY,-Y-Y-,5,5,VOI_FROM_LLM,GRANT,GGGGG,0,0,VOI_FROM_LLM,,,,,,,,,,,,,,,
19,MEALS,True,4,THEIR,--Y--,5,5,VOI_FROM_LLM,PLACE,-YG-Y,4,4,VOI_FROM_LLM,LEADS,YGG-G,2,2,VOI_FROM_LLM,MEALS,GGGGG,0,0,VOI_FROM_LLM,,,,,,,,,,
20,CREAM,True,4,THEIR,--G-Y,4,4,VOI_FROM_LLM,BREAK,-GGG-,2,2,VOI_FROM_LLM,DREAM,-GGGG,1,1,VOI_FROM_LLM,CREAM,GGGGG,0,0,VOI_FROM_LLM,,,,,,,,,,
21,AWAKE,True,5,THEIR,--Y--,5,5,VOI_FROM_LLM,MONEY,---Y-,5,5,VOI_FROM_LLM,CAUSE,-Y--G,4,4,VOI_FROM_LLM,LEAVE,--G-G,3,3,VOI_FROM_LLM,AWAKE,GGGGG,0,0,VOI_FROM_LLM,,,,,
22,OCCUR,True,3,THEIR,----G,4,4,VOI_FROM_LLM,MAJOR,---YG,4,4,VOI_FROM_LLM,OCCUR,GGGGG,0,0,VOI_FROM_LLM,,,,,,,,,,,,,,,
23,YEARS,True,3,THEIR,--Y-Y,5,4,VOI_FROM_LLM,EARLY,YYY-Y,5,3,VOI_FROM_LLM,YEARS,GGGGG,0,0,VOI_FROM_LLM,,,,,,,,,,,,,,,
24,GRADE,True,4,THEIR,--Y-Y,5,5,VOI_FROM_LLM,LARGE,-YYYG,4,4,VOI_FROM_LLM,GRAPE,GGG-G,1,1,VOI_FROM_LLM,GRADE,GGGGG,0,0,VOI_FROM_LLM,,,,,,,,,,
25,CHILL,True,5,THEIR,-G-Y-,4,4,VOI_FROM_LLM,WHICH,-GGY-,3,3,VOI_FROM_LLM,CHILI,GGGG-,1,1,VOI_FROM_LLM,CHILD,GGGG-,1,1,VOI_FROM_LLM,CHILL,GGGGG,0,0,VOI_FROM_LLM,,,,,
26,FLOOD,True,3,THEIR,-----,5,5,VOI_FROM_LLM,FOUND,GY--G,3,3,VOI_FROM_LLM,FLOOD,GGGGG,0,0,VOI_FROM_LLM,,,,,,,,,,,,,,,
27,APPLY,True,5,THEIR,-----,5,5,VOI_FROM_LLM,COULD,---G-,4,4,VOI_FROM_LLM,SMALL,--YG-,4,4,VOI_FROM_LLM,KAYLA,-YYG-,4,4,VOI_FROM_LLM,APPLY,GGGGG,0,0,VOI_FROM_LLM,,,,,
28,SMILE,True,4,THEIR,--YY-,5,5,VOI_FROM_LLM,VIDEO,-Y-Y-,5,4,VOI_FROM_LLM,SLICE,GYG-G,2,2,VOI_FROM_LLM,SMILE,GGGGG,0,0,VOI_FROM_LLM,,,,,,,,,,
29,KNOCK,True,4,THEIR,-----,5,5,VOI_FROM_LLM,FOUND,-Y-Y-,5,5,VOI_FROM_LLM,KNOWN,GGG--,2,2,VOI_FROM_LLM,KNOCK,GGGGG,0,0,VOI_FROM_LLM,,,,,,,,,,
30,SLEEP,True,3,THEIR,--G--,4,4,VOI_FROM_LLM,SEEMS,GYG--,3,3,VOI_FROM_LLM,SLEEP,GGGGG,0,0,VOI_FROM_LLM,,,,,,,,,,,,,,,
31,BRICK,True,5,THEIR,---YY,5,5,VOI_FROM_LLM,GIRLS,-YY--,5,5,VOI_FROM_LLM,RAINY,Y-G--,4,4,VOI_FROM_LLM,CRICK,-GGGG,1,1,VOI_FROM_LLM,BRICK,GGGGG,0,0,VOI_FROM_LLM,,,,,
32,WROTE,True,3,THEIR,Y-Y-Y,5,5,VOI_FROM_LLM,STORE,-YGYG,3,3,VOI_FROM_LLM,WROTE,GGGGG,0,0,VOI_FROM_LLM,,,,,,,,,,,,,,,
33,RATED,True,4,THEIR,Y-Y-Y,5,5,VOI_FROM_LLM,STORE,-Y-YY,5,5,VOI_FROM_LLM,REACT,GYY-Y,4,4,VOI_FROM_LLM,RATED,GGGGG,0,0,VOI_FROM_LLM,,,,,,,,,,
34,ALERT,True,2,THEIR,Y-G-Y,4,4,VOI_FROM_LLM,ALERT,GGGGG,0,0,VOI_FROM_LLM,,,,,,,,,,,,,,,,,,,,
35,CAGES,True,6,THEIR,--Y--,5,5,VOI_FROM_LLM,PLACE,--YYY,5,4,VOI_FROM_LLM,CASES,GG-GG,1,1,VOI_FROM_LLM,CAKES,GG-GG,1,1,VOI_FROM_LLM,CAVES,GG-GG,1,1,VOI_FROM_LLM,CAGES,GGGGG,0,0,VOI_FROM_LLM
36,TEDDY,True,4,THEIR,G-Y--,4,4,VOI_FROM_LLM,TABLE,G---Y,4,4,VOI_FROM_LLM,TESTS,GG---,3,3,VOI_FROM_LLM,TEDDY,GGGGG,0,0,VOI_FROM_LLM,,,,,,,,,,
37,COLES,True,4,THEIR,--Y--,5,5,VOI_FROM_LLM,PLACE,-Y-YY,5,5,VOI_FROM_LLM,CELLS,GYG-G,2,2,VOI_FROM_LLM,COLES,GGGGG,0,0,VOI_FROM_LLM,,,,,,,,,,
