game_number,target_word,won,attempts,guess_1,feedback_1,hamming_1,levenshtein_1,strategy_1,guess_2,feedback_2,hamming_2,levenshtein_2,strategy_2,guess_3,feedback_3,hamming_3,levenshtein_3,strategy_3,guess_4,feedback_4,hamming_4,levenshtein_4,strategy_4,guess_5,feedback_5,hamming_5,levenshtein_5,strategy_5,guess_6,feedback_6,hamming_6,levenshtein_6,strategy_6
1,PHOTO,True,3,START,-Y---,5,5,LLM,LEITH,---GY,4,4,VOI,PHOTO,GGGGG,0,0,VOI,,,,,,,,,,,,,,,
2,PARTY,True,4,START,-YYY-,5,3,LLM,TAMER,YG--Y,4,4,VOI,PARTI,GGGG-,1,1,VOI,PARTY,GGGGG,0,0,VOI,,,,,,,,,,
3,TRICK,True,5,GIVEN,-Y---,5,5,LLM,RATIO,Y-YY-,5,5,VOI,TRISH,GGG--,2,2,VOI,TRILL,GGG--,2,2,VOI,TRICK,GGGGG,0,0,VOI,,,,,
4,DIRTY,True,3,WORDS,--GY-,4,4,LLM,DARTH,G-GG-,2,2,VOI,DIRTY,GGGGG,0,0,VOI,,,,,,,,,,,,,,,
5,USUAL,True,4,GUESS,-Y-Y-,5,5,LLM,SNOUT,Y--Y-,5,5,VOI,USAID,GGY--,3,3,VOI,USUAL,GGGGG,0,0,VOI,,,,,,,,,,
6,TRULY,True,4,START,-Y-Y-,5,5,LLM,TRICK,GG---,3,3,VOI,TROPE,GG---,3,3,VOI,TRULY,GGGGG,0,0,VOI,,,,,,,,,,
7,SPENT,True,4,COULD,-----,5,5,LLM,SAITH,G--Y-,4,4,VOI,STEEN,GYG-Y,3,3,VOI,SPENT,GGGGG,0,0,VOI,,,,,,,,,,
8,PAUSE,True,4,COULD,--G--,4,4,LLM,USURP,-YG-Y,4,4,VOI,SPUNK,YYG--,4,4,VOI,PAUSE,GGGGG,0,0,VOI,,,,,,,,,,
9,CRAZY,True,5,START,--GY-,4,4,LLM,DRAIN,-GG--,3,3,VOI,BRACE,-GGY-,3,3,VOI,CRAMP,GGG--,2,2,VOI,CRAZY,GGGGG,0,0,VOI,,,,,
10,BASES,False,6,STAGE,Y-Y-Y,5,4,LLM,LACES,-G-GG,2,2,VOI,DAMES,-G-GG,2,2,VOI,OAKES,-G-GG,2,2,VOI,RAVES,-G-GG,2,2,VOI,HAWES,-G-GG,2,2,VOI
11,YOUNG,True,4,FORGE,-G-Y-,4,4,LLM,GOLAN,YG--Y,4,4,VOI,BOING,-G-GG,2,2,VOI,YOUNG,GGGGG,0,0,VOI,,,,,,,,,,
12,MEANS,True,5,START,Y-G--,4,4,LLM,USAID,-YG--,4,4,VOI,GOALS,--G-G,3,3,VOI,CHAPS,--G-G,3,3,VOI,MEANS,GGGGG,0,0,VOI,,,,,
