game_id,target_word,model_name,prompt_type,attempt_number,guess,feedback,win,attempts_to_win,timestamp,prompt,cot_trace,raw_response,is_valid_word,is_error,candidates_before,candidates_after,candidate_reduction_rate,information_gain_bits,violated_green_constraint,violated_yellow_constraint,violated_gray_constraint,total_constraint_violations
0,PHOTO,gpt-oss-120b,chain-of-thought,1,WORRY,-Y---,False,1,2025-12-11T19:36:49.646412,"You are an expert Wordle player. Use brief, structured reasoning.
Return output in this exact format:
THINKING: <your concise step-by-step reasoning>
FINAL: <ONE 5-letter guess only>

Feedback codes: G=green (correct letter, correct position), Y=yellow (correct letter, wrong position), -=letter not in word.
Each feedback position corresponds to the letter at that position in your guess.
Example: Guess HOUSE → Feedback ----G means H:-, O:-, U:-, S:-, E:G
  (H not in word, O not in word, U not in word, S not in word, E correct at position 5)


Allowed words remaining: 5629
Candidate words: ABOUT, THEIR, THERE, WHICH, WOULD, OTHER, AFTER, FIRST, THINK, COULD, THESE, WHERE, RIGHT, YEARS, BEING, GOING, STILL, NEVER, THOSE, WORLD, GREAT, WHILE, EVERY, STATE, THREE, SINCE, UNDER, THING, HOUSE, PLACE, ..., ZENIT, ARRAS, BANDY, BENDY, BOGAN, CAUSA, COWER, CRIST, CROAT, CUBBY, DALIA, DIKES, DIMER, ESHOP, FLAIL, GARBO, GOGOL, HAMMY, HERAT, HOARE

Constraints:
• Do NOT repeat previous guesses.
• The FINAL line must be exactly ONE valid 5-letter word from the allowed list.
• Keep THINKING concise (1–5 short lines).",,,True,False,5629,466,0.9172,3.5945,False,False,False,0
0,PHOTO,gpt-oss-120b,chain-of-thought,2,ABOUT,--G-Y,False,2,2025-12-11T19:36:50.784993,"You are an expert Wordle player. Use brief, structured reasoning.
Return output in this exact format:
THINKING: <your concise step-by-step reasoning>
FINAL: <ONE 5-letter guess only>

Feedback codes: G=green (correct letter, correct position), Y=yellow (correct letter, wrong position), -=letter not in word.
Each feedback position corresponds to the letter at that position in your guess.
Example: Guess HOUSE → Feedback ----G means H:-, O:-, U:-, S:-, E:G
  (H not in word, O not in word, U not in word, S not in word, E correct at position 5)

Previous attempts:
- Guess: WORRY  Feedback: -Y---
  Per letter: W:-  O:Y  R:-  R:-  Y:-

Allowed words remaining: 466
Candidate words: ABOUT, THOSE, VIDEO, OFTEN, ALONG, CLOSE, AMONG, PHONE, ABOVE, ALONE, BLOOD, UNION, PHOTO, STOCK, BLOCK, AVOID, OBAMA, STONE, SHOOT, HELLO, SCOTT, OCEAN, SHOES, SMOKE, SHOTS, SPOKE, STOOD, CHOSE, PILOT, QUOTE, ..., ANJOU, ANOVA, GEICO, INOUE, KAZUO, MUMBO, ODEON, PALOS, SACCO, SMOCK, THEON, TIAGO, VINOD, FUTON, GLOBO, HEBDO, INIGO, NIKOS, SAKHO, ESHOP

Constraints:
• Do NOT repeat previous guesses.
• The FINAL line must be exactly ONE valid 5-letter word from the allowed list.
• Keep THINKING concise (1–5 short lines).","Game 1/100 | Target: PHOTO | Attempt 2/6 | Candidates: 466

O must be in word, not position 2; exclude W,R,Y. Choose a word with O elsewhere, e.g., ABOUT fits.","Game 1/100 | Target: PHOTO | Attempt 2/6 | Candidates: 466

THINKING: O must be in word, not position 2; exclude W,R,Y. Choose a word with O elsewhere, e.g., ABOUT fits.
FINAL: ABOUT",True,False,466,24,0.9485,4.2792,False,False,False,0
0,PHOTO,gpt-oss-120b,chain-of-thought,3,STONE,-YG--,False,3,2025-12-11T19:36:52.073248,"You are an expert Wordle player. Use brief, structured reasoning.
Return output in this exact format:
THINKING: <your concise step-by-step reasoning>
FINAL: <ONE 5-letter guess only>

Feedback codes: G=green (correct letter, correct position), Y=yellow (correct letter, wrong position), -=letter not in word.
Each feedback position corresponds to the letter at that position in your guess.
Example: Guess HOUSE → Feedback ----G means H:-, O:-, U:-, S:-, E:G
  (H not in word, O not in word, U not in word, S not in word, E correct at position 5)

Previous attempts:
- Guess: WORRY  Feedback: -Y---
  Per letter: W:-  O:Y  R:-  R:-  Y:-
- Guess: ABOUT  Feedback: --G-Y
  Per letter: A:-  B:-  O:G  U:-  T:Y

Allowed words remaining: 24
Candidate words: THOSE, PHOTO, STOCK, STONE, SHOTS, STOOD, STOPS, SPOTS, STOLE, CLOTH, SLOTS, PLOTS, SCOTS, STOKE, STOVE, KNOTS, STOOL, STOMP, THONG, STOIC, STOOP, SLOTH, CLOTS, STOLL

Constraints:
• Do NOT repeat previous guesses.
• The FINAL line must be exactly ONE valid 5-letter word from the allowed list.
• Keep THINKING concise (1–5 short lines).",,,True,False,24,2,0.9167,3.5850,False,False,False,0
0,PHOTO,gpt-oss-120b,chain-of-thought,4,CLOTH,--GGY,False,4,2025-12-11T19:36:53.444821,"You are an expert Wordle player. Use brief, structured reasoning.
Return output in this exact format:
THINKING: <your concise step-by-step reasoning>
FINAL: <ONE 5-letter guess only>

Feedback codes: G=green (correct letter, correct position), Y=yellow (correct letter, wrong position), -=letter not in word.
Each feedback position corresponds to the letter at that position in your guess.
Example: Guess HOUSE → Feedback ----G means H:-, O:-, U:-, S:-, E:G
  (H not in word, O not in word, U not in word, S not in word, E correct at position 5)

Previous attempts:
- Guess: WORRY  Feedback: -Y---
  Per letter: W:-  O:Y  R:-  R:-  Y:-
- Guess: ABOUT  Feedback: --G-Y
  Per letter: A:-  B:-  O:G  U:-  T:Y
- Guess: STONE  Feedback: -YG--
  Per letter: S:-  T:Y  O:G  N:-  E:-

Allowed words remaining: 2
Candidate words: PHOTO, CLOTH

Constraints:
• Do NOT repeat previous guesses.
• The FINAL line must be exactly ONE valid 5-letter word from the allowed list.
• Keep THINKING concise (1–5 short lines).",,,True,False,2,1,0.5000,1.0000,False,False,False,0
0,PHOTO,gpt-oss-120b,chain-of-thought,5,PHOTO,GGGGG,True,5,2025-12-11T19:36:54.775924,"You are an expert Wordle player. Use brief, structured reasoning.
Return output in this exact format:
THINKING: <your concise step-by-step reasoning>
FINAL: <ONE 5-letter guess only>

Feedback codes: G=green (correct letter, correct position), Y=yellow (correct letter, wrong position), -=letter not in word.
Each feedback position corresponds to the letter at that position in your guess.
Example: Guess HOUSE → Feedback ----G means H:-, O:-, U:-, S:-, E:G
  (H not in word, O not in word, U not in word, S not in word, E correct at position 5)

Previous attempts:
- Guess: WORRY  Feedback: -Y---
  Per letter: W:-  O:Y  R:-  R:-  Y:-
- Guess: ABOUT  Feedback: --G-Y
  Per letter: A:-  B:-  O:G  U:-  T:Y
- Guess: STONE  Feedback: -YG--
  Per letter: S:-  T:Y  O:G  N:-  E:-
- Guess: CLOTH  Feedback: --GGY
  Per letter: C:-  L:-  O:G  T:G  H:Y

Allowed words remaining: 1
Candidate words: PHOTO

Constraints:
• Do NOT repeat previous guesses.
• The FINAL line must be exactly ONE valid 5-letter word from the allowed list.
• Keep THINKING concise (1–5 short lines).",,,True,False,1,1,0.0000,0.0000,False,False,False,0
1,PARTY,gpt-oss-120b,chain-of-thought,1,MEIJI,-----,False,1,2025-12-11T19:36:56.124966,"You are an expert Wordle player. Use brief, structured reasoning.
Return output in this exact format:
THINKING: <your concise step-by-step reasoning>
FINAL: <ONE 5-letter guess only>

Feedback codes: G=green (correct letter, correct position), Y=yellow (correct letter, wrong position), -=letter not in word.
Each feedback position corresponds to the letter at that position in your guess.
Example: Guess HOUSE → Feedback ----G means H:-, O:-, U:-, S:-, E:G
  (H not in word, O not in word, U not in word, S not in word, E correct at position 5)


Allowed words remaining: 5629
Candidate words: ABOUT, THEIR, THERE, WHICH, WOULD, OTHER, AFTER, FIRST, THINK, COULD, THESE, WHERE, RIGHT, YEARS, BEING, GOING, STILL, NEVER, THOSE, WORLD, GREAT, WHILE, EVERY, STATE, THREE, SINCE, UNDER, THING, HOUSE, PLACE, ..., ZENIT, ARRAS, BANDY, BENDY, BOGAN, CAUSA, COWER, CRIST, CROAT, CUBBY, DALIA, DIKES, DIMER, ESHOP, FLAIL, GARBO, GOGOL, HAMMY, HERAT, HOARE

Constraints:
• Do NOT repeat previous guesses.
• The FINAL line must be exactly ONE valid 5-letter word from the allowed list.
• Keep THINKING concise (1–5 short lines).",,,True,False,5629,1652,0.7065,1.7687,False,False,False,0
1,PARTY,gpt-oss-120b,chain-of-thought,2,CROOK,-Y---,False,2,2025-12-11T19:36:57.405116,"You are an expert Wordle player. Use brief, structured reasoning.
Return output in this exact format:
THINKING: <your concise step-by-step reasoning>
FINAL: <ONE 5-letter guess only>

Feedback codes: G=green (correct letter, correct position), Y=yellow (correct letter, wrong position), -=letter not in word.
Each feedback position corresponds to the letter at that position in your guess.
Example: Guess HOUSE → Feedback ----G means H:-, O:-, U:-, S:-, E:G
  (H not in word, O not in word, U not in word, S not in word, E correct at position 5)

Previous attempts:
- Guess: MEIJI  Feedback: -----
  Per letter: M:-  E:-  I:-  J:-  I:-

Allowed words remaining: 1652
Candidate words: ABOUT, WOULD, COULD, WORLD, FOUND, GROUP, START, TODAY, PARTY, THANK, BLACK, STORY, LOCAL, YOUNG, COURT, HOURS, SOUTH, KNOWN, WRONG, ALONG, CLASS, LOOKS, HAPPY, NORTH, WATCH, SHORT, GONNA, WORKS, FRONT, STUDY, ..., PAPPY, PONTA, POPPA, ROOKS, SAKHO, SANFL, SLURP, TRYST, TUBAL, TWANG, WHORL, WORDY, ARRAS, BANDY, BOGAN, CAUSA, CROAT, CUBBY, GARBO, GOGOL

Constraints:
• Do NOT repeat previous guesses.
• The FINAL line must be exactly ONE valid 5-letter word from the allowed list.
• Keep THINKING concise (1–5 short lines).",,,True,False,1652,143,0.9134,3.5301,False,False,False,0
1,PARTY,gpt-oss-120b,chain-of-thought,3,SHRUG,--G--,False,3,2025-12-11T19:36:58.768749,"You are an expert Wordle player. Use brief, structured reasoning.
Return output in this exact format:
THINKING: <your concise step-by-step reasoning>
FINAL: <ONE 5-letter guess only>

Feedback codes: G=green (correct letter, correct position), Y=yellow (correct letter, wrong position), -=letter not in word.
Each feedback position corresponds to the letter at that position in your guess.
Example: Guess HOUSE → Feedback ----G means H:-, O:-, U:-, S:-, E:G
  (H not in word, O not in word, U not in word, S not in word, E correct at position 5)

Previous attempts:
- Guess: MEIJI  Feedback: -----
  Per letter: M:-  E:-  I:-  J:-  I:-
- Guess: CROOK  Feedback: -Y---
  Per letter: C:-  R:Y  O:-  O:-  K:-

Allowed words remaining: 143
Candidate words: START, PARTY, PARTS, AWARD, STARS, APART, TURNS, GUARD, HARRY, SUGAR, ANGRY, RURAL, YARDS, SARAH, SHARP, RUGBY, RALLY, HURTS, LARRY, BARRY, BURNS, LAURA, ULTRA, RADAR, SPRAY, BURST, HARSH, HURRY, RALPH, BURNT, ..., VARUN, ANSAR, PARRA, RASPY, STURT, UHURU, BLURS, SNARL, BABAR, BURSA, RABAT, SARAN, SURRY, HAGAR, BURQA, DARLA, HARPS, BAZAR, SAGAR, SLURP

Constraints:
• Do NOT repeat previous guesses.
• The FINAL line must be exactly ONE valid 5-letter word from the allowed list.
• Keep THINKING concise (1–5 short lines).",,,True,False,143,16,0.8881,3.1599,False,False,False,0
1,PARTY,gpt-oss-120b,chain-of-thought,4,PARTY,GGGGG,True,4,2025-12-11T19:37:00.099407,"You are an expert Wordle player. Use brief, structured reasoning.
Return output in this exact format:
THINKING: <your concise step-by-step reasoning>
FINAL: <ONE 5-letter guess only>

Feedback codes: G=green (correct letter, correct position), Y=yellow (correct letter, wrong position), -=letter not in word.
Each feedback position corresponds to the letter at that position in your guess.
Example: Guess HOUSE → Feedback ----G means H:-, O:-, U:-, S:-, E:G
  (H not in word, O not in word, U not in word, S not in word, E correct at position 5)

Previous attempts:
- Guess: MEIJI  Feedback: -----
  Per letter: M:-  E:-  I:-  J:-  I:-
- Guess: CROOK  Feedback: -Y---
  Per letter: C:-  R:Y  O:-  O:-  K:-
- Guess: SHRUG  Feedback: --G--
  Per letter: S:-  H:-  R:G  U:-  G:-

Allowed words remaining: 16
Candidate words: PARTY, LARRY, BARRY, PARRY, DARYL, DARBY, LARVA, BARRA, YARRA, VARNA, DARPA, BARÇA, TARDY, VARDY, PARRA, DARLA

Constraints:
• Do NOT repeat previous guesses.
• The FINAL line must be exactly ONE valid 5-letter word from the allowed list.
• Keep THINKING concise (1–5 short lines).",,,True,False,16,1,0.9375,4.0000,False,False,False,0
2,TRICK,gpt-oss-120b,chain-of-thought,1,NEARS,---Y-,False,1,2025-12-11T19:37:01.376875,"You are an expert Wordle player. Use brief, structured reasoning.
Return output in this exact format:
THINKING: <your concise step-by-step reasoning>
FINAL: <ONE 5-letter guess only>

Feedback codes: G=green (correct letter, correct position), Y=yellow (correct letter, wrong position), -=letter not in word.
Each feedback position corresponds to the letter at that position in your guess.
Example: Guess HOUSE → Feedback ----G means H:-, O:-, U:-, S:-, E:G
  (H not in word, O not in word, U not in word, S not in word, E correct at position 5)


Allowed words remaining: 5629
Candidate words: ABOUT, THEIR, THERE, WHICH, WOULD, OTHER, AFTER, FIRST, THINK, COULD, THESE, WHERE, RIGHT, YEARS, BEING, GOING, STILL, NEVER, THOSE, WORLD, GREAT, WHILE, EVERY, STATE, THREE, SINCE, UNDER, THING, HOUSE, PLACE, ..., ZENIT, ARRAS, BANDY, BENDY, BOGAN, CAUSA, COWER, CRIST, CROAT, CUBBY, DALIA, DIKES, DIMER, ESHOP, FLAIL, GARBO, GOGOL, HAMMY, HERAT, HOARE

Constraints:
• Do NOT repeat previous guesses.
• The FINAL line must be exactly ONE valid 5-letter word from the allowed list.
• Keep THINKING concise (1–5 short lines).",,,True,False,5629,168,0.9702,5.0663,False,False,False,0
