game_number,target_code,won,attempts,guess_1,feedback_1,strategy_1,candidates_1,guess_2,feedback_2,strategy_2,candidates_2,guess_3,feedback_3,strategy_3,candidates_3,guess_4,feedback_4,strategy_4,candidates_4,guess_5,feedback_5,strategy_5,candidates_5,guess_6,feedback_6,strategy_6,candidates_6,guess_7,feedback_7,strategy_7,candidates_7,guess_8,feedback_8,strategy_8,candidates_8,guess_9,feedback_9,strategy_9,candidates_9,guess_10,feedback_10,strategy_10,candidates_10
1,GRBR,True,4,RGBY,1B2W,LLM,132,BGYW,0B2W,VOI,38,GRBO,3B0W,VOI,4,GRBR,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,
2,RGBY,True,2,RGYB,2B2W,LLM,6,RGBY,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,BYYW,True,5,RGBY,0B2W,LLM,312,GBOW,1B1W,VOI,63,YOOB,0B2W,VOI,9,BWYW,3B0W,VOI,1,BYYW,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
4,BGWY,True,3,RGBY,2B1W,LLM,48,RWBG,0B3W,VOI,2,BGWY,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,BROG,True,5,RGBY,0B3W,LLM,136,GBYW,0B2W,VOI,29,YRGO,1B2W,VOI,5,YORB,0B3W,VOI,1,BROG,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
6,GGWY,True,5,RGBY,2B0W,LLM,96,RGOW,1B1W,VOI,28,RBBO,0B0W,VOI,5,WGYY,2B1W,VOI,1,GGWY,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
7,RWOW,True,4,RGBY,1B0W,LLM,108,OOBW,1B1W,VOI,24,WOWY,0B3W,VOI,1,RWOW,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,
8,WGRR,True,5,RGBY,1B1W,LLM,252,RWOG,0B3W,VOI,23,YGWO,1B1W,VOI,7,GGRW,2B1W,VOI,1,WGRR,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
9,ROWO,True,4,RGBY,1B0W,LLM,108,RWOW,1B2W,VOI,7,ROWR,3B0W,VOI,1,ROWO,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,
10,WYYY,True,5,RGBY,1B0W,LLM,108,ROWO,0B1W,VOI,18,BWBB,0B1W,VOI,4,WGGG,1B0W,VOI,1,WYYY,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
11,ORRR,True,4,RGBY,0B1W,LLM,152,YWOW,0B1W,VOI,10,OOGG,1B0W,VOI,1,ORRR,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,
12,RGOW,True,5,RGBY,2B0W,LLM,96,GGWY,1B1W,VOI,24,RWYY,1B1W,VOI,4,WOBY,0B2W,VOI,1,RGOW,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
13,RGOG,True,4,RGBY,2B0W,LLM,96,RGOW,3B0W,VOI,6,RGRW,2B0W,VOI,2,RGOG,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,
14,RWGW,True,4,RGBY,1B1W,LLM,252,WGRR,0B3W,VOI,12,ROGW,3B0W,VOI,1,RWGW,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,
15,BRBY,True,4,RGBY,2B1W,LLM,48,BGWY,2B0W,VOI,5,YGRY,1B1W,VOI,2,BRBY,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,
16,BGGB,True,5,RGBY,1B1W,LLM,252,RWGW,1B0W,VOI,42,RYRO,0B0W,VOI,3,BGGG,3B0W,VOI,1,BGGB,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
17,OOOB,True,4,RGBY,0B1W,LLM,152,ORRR,1B0W,VOI,33,OOGO,2B1W,VOI,4,OOOB,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,
18,WOGB,True,6,RGBY,0B2W,LLM,312,BYYW,0B2W,VOI,44,WBWR,1B1W,VOI,6,YWOR,0B2W,VOI,2,GOWB,2B2W,VOI,1,WOGB,4B0W,VOI,1,,,,,,,,,,,,,,,,
19,RGYR,True,5,RGYB,3B0W,LLM,20,RWYB,2B0W,VOI,12,GGYB,2B0W,VOI,6,RGOB,2B0W,VOI,2,RGYR,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
20,WGWY,True,4,RGBY,2B0W,LLM,96,RGOG,1B0W,VOI,26,RWYY,1B1W,VOI,3,WGWY,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,
21,GWGW,True,5,RGBY,0B1W,LLM,152,OOOB,0B0W,VOI,21,WWWR,1B1W,VOI,4,YYWW,1B1W,VOI,1,GWGW,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
22,YWWG,True,3,RGBY,0B2W,LLM,312,WORB,0B1W,VOI,28,YWWG,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,BRYG,True,3,RGBY,0B4W,LLM,9,GRYB,2B2W,VOI,4,BRYG,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,OGYG,True,4,RGBY,1B1W,LLM,252,BGOG,2B1W,VOI,9,BGGB,1B1W,VOI,3,OGYG,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,
25,WYYR,True,5,RGBY,0B2W,LLM,312,YWWG,0B2W,VOI,41,GYYO,2B0W,VOI,6,BYYW,2B1W,VOI,1,WYYR,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
26,BYOW,True,4,RGBY,0B2W,LLM,312,BYYW,3B0W,VOI,8,BYWW,3B0W,VOI,1,BYOW,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,
27,RRBG,True,4,RGBY,2B1W,LLM,48,RGYR,1B2W,VOI,9,WGRY,0B2W,VOI,1,RRBG,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,
28,GYRB,True,3,RGYB,1B3W,LLM,8,BRYG,0B4W,VOI,3,GYRB,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,ORRG,True,5,RGYB,0B2W,LLM,312,BYOW,0B1W,VOI,28,WRGR,1B2W,VOI,6,GWWR,0B2W,VOI,1,ORRG,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
30,YGBR,True,3,RGBY,2B2W,LLM,6,RBGY,0B4W,VOI,1,YGBR,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,GBWR,True,4,RGBY,0B3W,LLM,136,BROG,0B3W,VOI,20,YORB,0B2W,VOI,3,GBWR,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,
32,BRGB,True,4,RGBY,0B3W,LLM,136,GBWR,0B3W,VOI,20,BROG,2B1W,VOI,1,BRGB,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,
33,YGRW,True,5,RGBY,1B2W,LLM,132,GRBR,0B2W,VOI,43,OGYB,1B1W,VOI,6,RYWB,0B3W,VOI,1,YGRW,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
