game_number,target_word,won,attempts,guess_1,feedback_1,hamming_1,levenshtein_1,strategy_1,guess_2,feedback_2,hamming_2,levenshtein_2,strategy_2,guess_3,feedback_3,hamming_3,levenshtein_3,strategy_3,guess_4,feedback_4,hamming_4,levenshtein_4,strategy_4,guess_5,feedback_5,hamming_5,levenshtein_5,strategy_5,guess_6,feedback_6,hamming_6,levenshtein_6,strategy_6,violated_green_1,violated_yellow_1,violated_gray_1,total_violations_1,violated_green_2,violated_yellow_2,violated_gray_2,total_violations_2,violated_green_3,violated_yellow_3,violated_gray_3,total_violations_3,violated_green_4,violated_yellow_4,violated_gray_4,total_violations_4,violated_green_5,violated_yellow_5,violated_gray_5,total_violations_5,violated_green_6,violated_yellow_6,violated_gray_6,total_violations_6
1,PHOTO,True,4,GRIDD,-----,5,5,LLM,STALE,-Y---,5,5,CSS,TOOTH,-YGGY,3.0,3.0,LLM,PHOTO,GGGGG,0.0,0.0,CSS,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,PARTY,True,4,AROSE,YY---,5,4,LLM,DARIA,-GG--,3,3,CSS,CARRY,-GG-G,2.0,2.0,LLM,PARTY,GGGGG,0.0,0.0,CSS,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,TRICK,True,4,TALES,G----,4,4,LLM,THUMB,G----,4,4,CSS,TWINK,G-G-G,2.0,2.0,LLM,TRICK,GGGGG,0.0,0.0,CSS,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,DIRTY,True,4,SHREW,--G--,4,4,LLM,PARTY,--GGG,2,2,CSS,MORTY,--GGG,2.0,2.0,LLM,DIRTY,GGGGG,0.0,0.0,CSS,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,USUAL,True,4,SPRIT,Y----,5,5,LLM,MOLES,--Y-Y,5,5,CSS,FLUSH,-YGY-,4.0,4.0,LLM,USUAL,GGGGG,0.0,0.0,CSS,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,TRULY,True,5,GIVEN,-----,5,5,LLM,TORAH,G-Y--,4,4,CSS,TRUST,GGG--,2.0,2.0,LLM,TRUDY,GGG-G,1.0,1.0,CSS,TRULY,GGGGG,0.0,0.0,LLM,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,SPENT,True,4,BOARD,-----,5,5,LLM,TUNIS,Y-Y-Y,5,5,CSS,STEEN,GYG-Y,3.0,3.0,LLM,SPENT,GGGGG,0.0,0.0,CSS,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,PAUSE,True,5,SHYLY,Y----,5,5,LLM,NAMES,-G-YY,4,4,CSS,TASTE,-GY-G,3.0,3.0,LLM,CAUSE,-GGGG,1.0,1.0,CSS,PAUSE,GGGGG,0.0,0.0,LLM,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,CRAZY,True,5,AILES,Y----,5,5,LLM,GARTH,-YY--,5,5,CSS,BRAWD,-GG--,3.0,3.0,LLM,CRANK,GGG--,2.0,2.0,CSS,CRAZY,GGGGG,0.0,0.0,LLM,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,BASES,True,2,BASED,GGGG-,1,1,LLM,BASES,GGGGG,0,0,CSS,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,YOUNG,True,4,RAISE,-----,5,5,LLM,TONTO,-GY--,4,4,CSS,BOUND,-GGG-,2.0,2.0,LLM,YOUNG,GGGGG,0.0,0.0,CSS,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,MEANS,True,3,LASER,-YYY-,5,5,LLM,MEATS,GGG-G,1,1,CSS,MEANS,GGGGG,0.0,0.0,LLM,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,TRUTH,True,4,BEING,-----,5,5,LLM,CLARY,---Y-,5,5,CSS,HURTS,YYYG-,4.0,4.0,LLM,TRUTH,GGGGG,0.0,0.0,CSS,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,FIRED,False,6,REBUS,YY---,5,5,LLM,AIRED,-GGGG,1,1,CSS,HIRED,-GGGG,1.0,1.0,LLM,WIRED,-GGGG,1.0,1.0,CSS,MIRED,-GGGG,1.0,1.0,LLM,TIRED,-GGGG,1.0,1.0,CSS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,FOLKS,True,4,BREED,-----,5,5,LLM,TANKS,---GG,3,3,CSS,SCOWS,--Y-G,4.0,4.0,LLM,FOLKS,GGGGG,0.0,0.0,CSS,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
16,CHILE,True,5,QUART,-----,5,5,LLM,YOLKS,--Y--,5,5,CSS,LEVEL,YY---,5.0,5.0,LLM,CLINE,GYG-G,2.0,2.0,CSS,CHILE,GGGGG,0.0,0.0,LLM,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,BLACK,True,4,EARLS,-Y-Y-,5,5,LLM,ALBAN,YGY--,4,4,CSS,BLATT,GGG--,2.0,2.0,LLM,BLACK,GGGGG,0.0,0.0,CSS,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,GRANT,True,5,SPRIG,--Y-Y,5,5,LLM,ANGER,YYY-Y,5,5,CSS,GRANS,GGGG-,1.0,1.0,LLM,GRAND,GGGG-,1.0,1.0,CSS,GRANT,GGGGG,0.0,0.0,LLM,,,,,,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
19,MEALS,True,2,EARLS,YY-GG,3,2,LLM,MEALS,GGGGG,0,0,CSS,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,CREAM,True,4,LATER,-Y-YY,5,5,LLM,GRADE,-GY-Y,4,4,CSS,FREAK,-GGG-,2.0,2.0,LLM,CREAM,GGGGG,0.0,0.0,CSS,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
