strategy,game_number,target_word,tier,won,attempts,total_reward,guess_1,feedback_1,hamming_1,levenshtein_1,guess_2,feedback_2,hamming_2,levenshtein_2,guess_3,feedback_3,hamming_3,levenshtein_3,guess_4,feedback_4,hamming_4,levenshtein_4,guess_5,feedback_5,hamming_5,levenshtein_5,guess_6,feedback_6,hamming_6,levenshtein_6,violated_green_1,violated_yellow_1,violated_gray_1,total_violations_1,violated_green_2,violated_yellow_2,violated_gray_2,total_violations_2,violated_green_3,violated_yellow_3,violated_gray_3,total_violations_3,violated_green_4,violated_yellow_4,violated_gray_4,total_violations_4,violated_green_5,violated_yellow_5,violated_gray_5,total_violations_5,violated_green_6,violated_yellow_6,violated_gray_6,total_violations_6
pure_random,1,PHOTO,1,False,7,-10.0,YUKON,---Y-,5,5,THUMP,YG--Y,4,4,THUNK,YG---,4.0,4.0,DEMOS,---Y-,5.0,5.0,DEBRA,-----,5.0,5.0,HANDS,Y----,5.0,5.0,0,0,0,0,0,1,1,2,0,3,3,6,1,3,1,5,1,3,2,6,1,3,4,8
pure_random,2,PARTY,1,False,7,-10.0,ALARM,Y--Y-,5,4,LIEGE,-----,5,5,LOTTO,---G-,4.0,4.0,DOMED,-----,5.0,5.0,SCOTT,---G-,4.0,4.0,QUINT,----Y,5.0,5.0,0,0,0,0,0,2,1,3,0,2,1,3,1,2,3,6,0,2,1,3,1,2,1,4
pure_random,3,TRICK,1,False,7,-10.0,FILES,-Y---,5,5,DARES,--Y--,5,5,MOPED,-----,5.0,5.0,RAINY,Y-G--,4.0,4.0,PAGAN,-----,5.0,5.0,WYLIE,---Y-,5.0,5.0,0,0,0,0,0,1,2,3,0,2,2,4,0,0,1,1,1,2,3,6,1,1,3,5
pure_random,4,DIRTY,1,False,7,-10.0,KNEES,-----,5,5,ELISE,--Y--,5,5,LOVED,----Y,5.0,5.0,WAGER,----Y,5.0,5.0,ROSSO,Y----,5.0,5.0,FANGS,-----,5.0,5.0,0,0,0,0,0,0,2,2,0,1,2,3,0,2,1,3,0,2,2,4,0,3,4,7
pure_random,5,USUAL,1,False,7,-10.0,DUCKY,-Y---,5,5,DOWRY,-----,5,5,DIXIE,-----,5.0,5.0,FORCE,-----,5.0,5.0,ANOVA,Y----,5.0,5.0,SIRED,Y----,5.0,5.0,0,0,0,0,0,1,2,3,0,1,1,2,0,1,4,5,0,1,1,2,0,2,4,6
pure_random,6,TRULY,1,False,7,-10.0,LOSES,Y----,5,5,PRONE,-G---,4,4,RUBEN,YY---,5.0,4.0,ZAPPA,-----,5.0,5.0,STICK,-Y---,5.0,5.0,HUBER,-Y--Y,5.0,5.0,0,0,0,0,0,1,2,3,1,1,2,4,1,3,1,5,1,3,1,5,1,3,2,6
pure_random,7,SPENT,1,False,7,-10.0,SHOWN,G---Y,4,4,UNFIT,-Y--G,4,4,TULLY,Y----,5.0,5.0,PROBS,Y---Y,5.0,5.0,CARBS,----Y,5.0,5.0,AMARA,-----,5.0,5.0,0,0,0,0,1,0,0,1,2,1,1,4,2,2,1,5,2,4,2,8,2,4,2,8
pure_random,8,PAUSE,1,False,7,-10.0,IRFAN,---Y-,5,5,LEASE,--YGG,3,3,REVEL,-Y---,5.0,5.0,HAYDN,-G---,4.0,4.0,FOILS,----Y,5.0,5.0,CURVE,-Y--G,4.0,4.0,0,0,0,0,0,0,0,0,2,1,2,5,2,1,1,4,3,2,3,8,2,2,2,6
pure_random,9,CRAZY,1,False,7,-10.0,ROWAN,Y--Y-,5,5,DOVER,----Y,5,5,TAUNT,-Y---,5.0,5.0,WASHY,-Y--G,4.0,4.0,MATED,-Y---,5.0,5.0,PHONE,-----,5.0,5.0,0,0,0,0,0,1,1,2,0,1,1,2,0,2,1,3,1,2,3,6,1,2,4,7
pure_random,10,BASES,1,False,7,-10.0,GLEBE,--YY-,5,5,ESSEX,-YGG-,3,3,SALAS,YG--G,3.0,3.0,BOYCE,G---Y,4.0,4.0,FARAH,-G---,4.0,4.0,VERSA,-Y-YY,5.0,5.0,0,0,0,0,0,1,0,1,2,2,1,5,4,1,0,5,4,3,0,7,5,1,1,7
pure_random,11,YOUNG,1,False,7,-10.0,LORRY,-G--Y,4,4,HEADS,-----,5,5,SOCHI,-G---,4.0,4.0,SPREE,-----,5.0,5.0,MAHAN,----Y,5.0,5.0,NUDES,YY---,5.0,5.0,0,0,0,0,1,1,0,2,0,1,2,3,1,1,3,5,1,1,2,4,1,1,3,5
pure_random,12,MEANS,1,False,7,-10.0,PLANT,--GG-,3,3,SONJA,Y-Y-Y,5,5,LUPIN,----Y,5.0,5.0,SNIFF,YY---,5.0,5.0,SHACK,Y-G--,4.0,4.0,DAWES,-Y-YG,4.0,4.0,0,0,0,0,2,0,0,2,2,2,2,6,2,2,1,5,1,2,0,3,2,1,0,3
pure_random,13,TRUTH,1,False,7,-10.0,LAUGH,--G-G,3,3,ROHAN,Y-Y--,5,5,MOTHS,--YY-,5.0,4.0,FEDEX,-----,5.0,5.0,CHINO,-Y---,5.0,5.0,MOPED,-----,5.0,5.0,0,0,0,0,2,0,1,3,2,1,1,4,2,3,0,5,2,2,2,6,2,3,4,9
