game_number,target_code,won,attempts,guess_1,feedback_1,strategy_1,candidates_1,guess_2,feedback_2,strategy_2,candidates_2,guess_3,feedback_3,strategy_3,candidates_3,guess_4,feedback_4,strategy_4,candidates_4,guess_5,feedback_5,strategy_5,candidates_5,guess_6,feedback_6,strategy_6,candidates_6,guess_7,feedback_7,strategy_7,candidates_7,guess_8,feedback_8,strategy_8,candidates_8,guess_9,feedback_9,strategy_9,candidates_9,guess_10,feedback_10,strategy_10,candidates_10
1,GRBR,True,5,GYGR,2B0W,LLM,105,GWGB,1B1W,LLM,28,WYGO,0B1W,VOI,3,GBRR,2B2W,VOI,1,GRBR,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
2,RGBY,True,4,BRRG,0B3W,LLM,44,GYBR,1B3W,LLM,3,YBGR,0B4W,VOI,1,RGBY,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,
3,BYYW,True,4,OYWB,1B2W,LLM,132,WGYB,1B2W,LLM,17,WYGO,1B1W,VOI,2,BYYW,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,
4,BGWY,True,5,GYBB,0B3W,LLM,44,BRYG,1B2W,LLM,10,BBGR,1B1W,VOI,4,YBWG,1B3W,VOI,1,BGWY,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
5,BROG,True,3,GBOO,1B2W,LLM,84,BRGO,2B2W,LLM,2,BROG,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,GGWY,True,4,GYRW,1B2W,LLM,132,WYOR,0B2W,LLM,38,GBWY,3B0W,VOI,2,GGWY,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,
7,RWOW,True,5,GBGO,0B1W,LLM,276,WYBR,0B2W,LLM,52,RGRY,1B0W,VOI,11,YOWY,0B2W,VOI,2,RWOW,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
8,WGRR,True,4,RRGO,0B3W,LLM,44,GBOR,1B1W,LLM,7,OYRR,2B0W,VOI,1,WGRR,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,
9,ROWO,True,5,GWYW,0B1W,LLM,276,OYOR,0B3W,LLM,12,RORY,2B0W,VOI,3,ROGO,3B0W,VOI,1,ROWO,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
10,WYYY,True,5,GYGO,1B0W,LLM,182,WRGB,1B0W,LLM,16,WWOO,1B0W,VOI,2,RRRO,0B0W,VOI,1,WYYY,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
