game_number,target_code,won,attempts,guess_1,feedback_1,strategy_1,candidates_1,guess_2,feedback_2,strategy_2,candidates_2,guess_3,feedback_3,strategy_3,candidates_3,guess_4,feedback_4,strategy_4,candidates_4,guess_5,feedback_5,strategy_5,candidates_5,guess_6,feedback_6,strategy_6,candidates_6,guess_7,feedback_7,strategy_7,candidates_7,guess_8,feedback_8,strategy_8,candidates_8,guess_9,feedback_9,strategy_9,candidates_9,guess_10,feedback_10,strategy_10,candidates_10
1,GRBR,True,5,GBYG,1B1W,LLM,230,GGOW,1B0W,VOI,23,YGYR,1B1W,VOI,5,YBOY,0B1W,VOI,1,GRBR,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
2,RGBY,True,4,YGYR,1B2W,LLM,84,RRYG,1B2W,VOI,11,YBRG,0B4W,VOI,1,RGBY,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,
3,BYYW,True,5,GBYO,1B1W,LLM,252,YBBR,0B2W,VOI,40,GYRW,2B0W,VOI,5,GRRB,0B1W,VOI,1,BYYW,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
4,BGWY,True,5,GYOW,0B3W,LLM,136,BGWO,3B0W,VOI,5,RGWO,2B0W,VOI,2,BGYO,2B1W,VOI,1,BGWY,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
5,BROG,True,5,GBRY,0B3W,LLM,136,RWGB,0B3W,VOI,18,BYWR,1B1W,VOI,3,BRBG,3B0W,VOI,1,BROG,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
6,GGWY,True,5,YWYB,0B2W,LLM,222,BRBY,1B0W,VOI,34,BGWW,2B0W,VOI,4,BOOW,0B1W,VOI,1,GGWY,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
7,RWOW,True,5,WYRB,0B2W,LLM,312,BROO,1B1W,VOI,50,YGBO,0B1W,VOI,4,ORWW,1B3W,VOI,1,RWOW,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
8,WGRR,True,4,GWGY,0B2W,LLM,222,YRYG,0B2W,VOI,36,WGRW,3B0W,VOI,7,WGRR,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,
9,ROWO,True,5,YRBG,0B1W,LLM,152,WOOB,1B2W,VOI,21,OOWR,2B2W,VOI,3,OWOR,0B4W,VOI,1,ROWO,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
10,WYYY,True,5,YGRG,0B1W,LLM,276,BYWB,1B1W,VOI,51,RBOB,0B0W,VOI,3,WWWY,2B0W,VOI,1,WYYY,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
11,ORRR,True,5,OGBO,1B0W,LLM,182,OWWY,1B0W,VOI,27,RGYY,0B1W,VOI,2,BWBR,1B0W,VOI,1,ORRR,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
12,RGOW,True,3,ORGG,0B3W,LLM,44,GOWR,0B4W,VOI,2,RGOW,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,RGOG,True,4,YBWB,0B0W,LLM,81,OOOR,1B1W,VOI,12,RORG,2B1W,VOI,2,RGOG,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,
14,RWGW,True,4,GBYR,0B2W,LLM,312,RWBW,3B0W,VOI,6,ROBW,2B0W,VOI,2,RWGW,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,
15,BRBY,True,4,GBWY,1B1W,LLM,252,OWYY,1B0W,VOI,34,RRGY,2B0W,VOI,1,BRBY,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,
16,BGGB,True,5,OYGO,1B0W,LLM,182,OBBR,0B2W,VOI,26,RWGB,2B0W,VOI,5,RWRO,0B0W,VOI,1,BGGB,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
17,OOOB,True,6,GOGB,2B0W,LLM,105,YOBB,2B0W,VOI,19,YOGO,1B1W,VOI,5,WOOB,3B0W,VOI,2,ROOB,3B0W,VOI,1,OOOB,4B0W,CSS,1,,,,,,,,,,,,,,,,
18,WOGB,True,5,RWOB,1B2W,LLM,132,GROW,0B3W,VOI,23,OGRB,1B2W,VOI,3,OWBG,0B4W,VOI,1,WOGB,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
19,RGYR,True,5,GYWR,1B2W,LLM,132,WYBG,0B2W,VOI,38,YOGR,1B2W,VOI,6,YRWO,0B2W,VOI,1,RGYR,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
20,WGWY,True,5,GBRW,0B2W,LLM,312,YGWY,3B0W,VOI,6,YGWG,2B1W,VOI,2,OGWY,3B0W,VOI,1,WGWY,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
21,GWGW,True,5,WWBG,1B2W,LLM,84,BWGB,2B0W,VOI,14,BWRW,2B0W,VOI,3,YWGW,3B0W,VOI,2,GWGW,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
22,YWWG,True,6,YRRY,1B0W,LLM,256,YBBW,1B1W,VOI,42,BRBG,1B0W,VOI,6,YWOG,3B0W,VOI,2,YWGG,3B0W,VOI,1,YWWG,4B0W,CSS,1,,,,,,,,,,,,,,,,
23,BRYG,True,5,YRRR,1B1W,LLM,156,BYRW,1B2W,VOI,30,OYBR,0B3W,VOI,6,BRGY,2B2W,VOI,1,BRYG,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
24,OGYG,True,5,GBRO,0B2W,LLM,312,RYYB,1B0W,VOI,54,OWBB,1B0W,VOI,8,OYOG,2B1W,VOI,1,OGYG,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
25,WYYR,True,5,YGBY,0B2W,LLM,222,BWYB,1B1W,VOI,39,BBGR,1B0W,VOI,3,OBYO,1B0W,VOI,1,WYYR,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
26,BYOW,True,5,YRGY,0B1W,LLM,276,OOWR,0B2W,VOI,42,BWRB,1B1W,VOI,6,BGOW,3B0W,VOI,1,BYOW,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
27,RRBG,True,4,RROO,2B0W,LLM,114,BROY,1B1W,VOI,28,RRWB,2B1W,VOI,3,RRBG,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,
28,GYRB,True,5,YOWW,0B1W,LLM,276,RGGO,0B2W,VOI,42,OBRB,2B0W,VOI,6,GWRB,3B0W,VOI,1,GYRB,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
29,ORRG,True,5,YWRB,1B0W,LLM,108,OGGB,1B1W,VOI,24,YGOY,0B2W,VOI,4,OORG,3B0W,VOI,1,ORRG,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
30,YGBR,True,5,ORYB,0B3W,LLM,136,YBGR,2B2W,VOI,4,YBRG,1B3W,VOI,2,RBGY,0B4W,VOI,1,YGBR,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
31,GBWR,True,6,GWRR,2B1W,LLM,40,WWGR,1B2W,VOI,8,OWRG,0B3W,VOI,3,GYWR,3B0W,VOI,2,GGWR,3B0W,VOI,1,GBWR,4B0W,CSS,1,,,,,,,,,,,,,,,,
32,BRGB,True,4,GWGB,2B0W,LLM,105,RWWB,1B1W,VOI,24,GORB,1B2W,VOI,3,BRGB,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,
33,YGRW,True,5,GBYW,1B2W,LLM,132,WBGO,0B2W,VOI,38,RGYB,1B2W,VOI,6,BYYG,0B2W,VOI,1,YGRW,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
34,RWGY,True,4,YGYG,0B2W,LLM,96,GYOW,0B3W,VOI,10,OBGY,2B0W,VOI,3,RWGY,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,
35,YYYO,True,5,WOGR,0B1W,LLM,152,OBYB,1B1W,VOI,30,BYYW,2B0W,VOI,4,BBBW,0B0W,VOI,1,YYYO,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
36,RWYR,True,5,RWWR,3B0W,LLM,20,RWWY,2B1W,VOI,6,GWWR,2B0W,VOI,2,RYWR,2B2W,VOI,1,RWYR,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
37,YBBY,True,6,GBGG,1B0W,LLM,317,RRGY,1B0W,VOI,33,WBBY,3B0W,VOI,6,OBBY,3B0W,VOI,2,BBBY,3B0W,VOI,1,YBBY,4B0W,CSS,1,,,,,,,,,,,,,,,,
38,YGYB,True,4,GYWO,0B2W,LLM,312,YROR,1B0W,VOI,54,YBGY,1B3W,VOI,1,YGYB,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,
39,WOBR,True,4,WWGO,1B1W,LLM,230,RWWY,0B2W,VOI,34,WBYG,1B1W,VOI,5,WOBR,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,
40,BYRG,True,4,GWOG,1B0W,LLM,182,GRRY,1B2W,VOI,13,GBYR,0B4W,VOI,2,BYRG,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,
41,RBBO,True,2,GBWB,1B1W,LLM,230,RBBO,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,OBRO,True,4,GBRR,2B0W,LLM,105,GBBO,2B0W,VOI,19,GYRO,2B0W,VOI,2,OBRO,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,
43,WRYR,True,4,YROY,1B1W,LLM,230,GYWY,0B2W,VOI,34,YWRB,0B3W,VOI,4,WRYR,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,
44,GGRY,True,5,GBBO,1B0W,LLM,182,YWBY,1B0W,VOI,27,GWRW,2B0W,VOI,5,GRRY,3B0W,VOI,1,GGRY,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
45,YYYG,True,5,WYBY,1B1W,LLM,230,YYRG,3B0W,VOI,6,YYOG,3B0W,VOI,2,YYGG,3B0W,VOI,1,YYYG,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
