game_number,target_word,won,attempts,guess_1,feedback_1,hamming_1,levenshtein_1,strategy_1,guess_2,feedback_2,hamming_2,levenshtein_2,strategy_2,guess_3,feedback_3,hamming_3,levenshtein_3,strategy_3,guess_4,feedback_4,hamming_4,levenshtein_4,strategy_4,guess_5,feedback_5,hamming_5,levenshtein_5,strategy_5,guess_6,feedback_6,hamming_6,levenshtein_6,strategy_6
1,PHOTO,True,4,SKYPE,---Y-,5,5,VOI_REPAIR,PATIO,G-Y-G,3,3,VOI_REPAIR,PORTO,GY-GG,2,2,VOI_REPAIR,PHOTO,GGGGG,0,0,VOI_REPAIR,,,,,,,,,,
2,PARTY,True,3,AIRES,Y-G--,4,4,VOI_REPAIR,PARMA,GGG--,2,2,VOI_REPAIR,PARTY,GGGGG,0,0,VOI_REPAIR,,,,,,,,,,,,,,,
3,TRICK,True,4,ELIAS,--G--,4,4,VOI_REPAIR,PRIMO,-GG--,3,3,VOI_REPAIR,DRIFT,-GG-Y,3,3,VOI_REPAIR,TRICK,GGGGG,0,0,VOI_REPAIR,,,,,,,,,,
4,DIRTY,True,4,LEANS,-----,5,5,VOI_REPAIR,TRICK,YYY--,5,5,VOI_REPAIR,WIRTH,-GGG-,2,2,VOI_REPAIR,DIRTY,GGGGG,0,0,VOI_REPAIR,,,,,,,,,,
5,USUAL,True,4,MEARS,--Y-Y,5,5,VOI_REPAIR,SANTA,YY---,5,5,VOI_REPAIR,HSIAO,-G-G-,3,3,VOI_REPAIR,USUAL,GGGGG,0,0,VOI_REPAIR,,,,,,,,,,
6,TRULY,True,4,EARNS,--Y--,5,5,VOI_REPAIR,PROTO,-G-Y-,4,4,VOI_REPAIR,TRICK,GG---,3,3,VOI_REPAIR,TRULY,GGGGG,0,0,VOI_REPAIR,,,,,,,,,,
7,SPENT,True,3,AIRES,---YY,5,5,VOI_REPAIR,STONE,GY-GY,3,3,VOI_REPAIR,SPENT,GGGGG,0,0,VOI_REPAIR,,,,,,,,,,,,,,,
8,PAUSE,True,3,TEARS,-YY-Y,5,4,VOI_REPAIR,SALEH,YG-Y-,4,4,VOI_REPAIR,PAUSE,GGGGG,0,0,VOI_REPAIR,,,,,,,,,,,,,,,
9,CRAZY,True,5,NEARS,--GY-,4,4,VOI_REPAIR,PRADA,-GG--,3,3,VOI_REPAIR,TRACI,-GGY-,3,3,VOI_REPAIR,CRAWL,GGG--,2,2,VOI_REPAIR,CRAZY,GGGGG,0,0,VOI_REPAIR,,,,,
10,BASES,True,6,RATES,-G-GG,2,2,VOI_REPAIR,MALES,-G-GG,2,2,VOI_REPAIR,CASES,-GGGG,1,1,VOI_REPAIR,EASES,-GGGG,1,1,VOI_REPAIR,GASES,-GGGG,1,1,VOI_REPAIR,BASES,GGGGG,0,0,VOI_REPAIR
11,YOUNG,True,4,AILES,-----,5,5,VOI_REPAIR,PHOTO,--Y--,5,5,VOI_REPAIR,ROUND,-GGG-,2,2,VOI_REPAIR,YOUNG,GGGGG,0,0,VOI_REPAIR,,,,,,,,,,
12,MEANS,True,3,AILES,Y--YG,4,4,VOI_REPAIR,REAMS,-GGYG,2,2,VOI_REPAIR,MEANS,GGGGG,0,0,VOI_REPAIR,,,,,,,,,,,,,,,
13,TRUTH,True,5,EARNS,--Y--,5,5,VOI_REPAIR,TRULY,GGG--,2,2,VOI_REPAIR,TRUMP,GGG--,2,2,VOI_REPAIR,TRUCK,GGG--,2,2,VOI_REPAIR,TRUTH,GGGGG,0,0,VOI_REPAIR,,,,,
14,FIRED,True,4,EARNS,Y-G--,4,4,VOI_REPAIR,COREY,--GG-,3,3,VOI_REPAIR,THREE,--GG-,3,3,VOI_REPAIR,FIRED,GGGGG,0,0,VOI_REPAIR,,,,,,,,,,
15,FOLKS,True,5,AILES,--G-G,3,3,VOI_REPAIR,DOLLS,-GG-G,2,2,VOI_REPAIR,BOLTS,-GG-G,2,2,VOI_REPAIR,YOLKS,-GGGG,1,1,VOI_REPAIR,FOLKS,GGGGG,0,0,VOI_REPAIR,,,,,
16,CHILE,True,5,RATES,---Y-,5,5,VOI_REPAIR,LEONE,Y---G,4,4,VOI_REPAIR,GUILE,--GGG,2,2,VOI_REPAIR,WHILE,-GGGG,1,1,VOI_REPAIR,CHILE,GGGGG,0,0,VOI_REPAIR,,,,,
17,BLACK,True,4,NEARS,--G--,4,4,VOI_REPAIR,PLATA,-GG--,3,3,VOI_REPAIR,CLAIM,YGG--,3,3,VOI_REPAIR,BLACK,GGGGG,0,0,VOI_REPAIR,,,,,,,,,,
18,GRANT,True,3,EARNS,-YYG-,4,4,VOI_REPAIR,GRAND,GGGG-,1,1,VOI_REPAIR,GRANT,GGGGG,0,0,VOI_REPAIR,,,,,,,,,,,,,,,
19,MEALS,True,4,AILES,Y-YYG,4,4,VOI_REPAIR,DEALS,-GGGG,1,1,VOI_REPAIR,SEALS,-GGGG,1,1,VOI_REPAIR,MEALS,GGGGG,0,0,VOI_REPAIR,,,,,,,,,,
20,CREAM,True,4,RAISE,YY--Y,5,5,VOI_REPAIR,ALERT,Y-GY-,4,4,VOI_REPAIR,DREAM,-GGGG,1,1,VOI_REPAIR,CREAM,GGGGG,0,0,VOI_REPAIR,,,,,,,,,,
