game_number,target_code,won,attempts,guess_1,feedback_1,strategy_1,candidates_1,guess_2,feedback_2,strategy_2,candidates_2,guess_3,feedback_3,strategy_3,candidates_3,guess_4,feedback_4,strategy_4,candidates_4,guess_5,feedback_5,strategy_5,candidates_5,guess_6,feedback_6,strategy_6,candidates_6,guess_7,feedback_7,strategy_7,candidates_7,guess_8,feedback_8,strategy_8,candidates_8,guess_9,feedback_9,strategy_9,candidates_9,guess_10,feedback_10,strategy_10,candidates_10
1,GRBR,True,5,GYWB,1B1W,VOI,252,RYGR,1B2W,LLM,13,GRGY,2B0W,LLM,2,RRWY,1B1W,LLM,1,GRBR,4B0W,LLM,1,,,,,,,,,,,,,,,,,,,,
2,RGBY,True,3,ROBG,2B1W,VOI,48,RGBW,3B0W,LLM,3,RGBY,4B0W,LLM,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,BYYW,True,6,OGWY,0B2W,VOI,312,GBRW,1B1W,LLM,66,YWRR,0B2W,LLM,8,RBYO,1B1W,LLM,3,GRYG,1B0W,LLM,1,BYYW,4B0W,LLM,1,,,,,,,,,,,,,,,,
4,BGWY,False,2,RGBY,2B1W,VOI,48,RGYW,1B2W,LLM,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,BROG,True,4,OGBY,0B3W,VOI,136,BYOR,2B1W,LLM,9,RYOG,2B1W,LLM,2,BROG,4B0W,LLM,1,,,,,,,,,,,,,,,,,,,,,,,,
6,GGWY,True,5,WBYG,0B3W,VOI,136,YGWR,2B1W,LLM,9,YGRB,1B1W,LLM,2,OGWY,3B0W,LLM,1,GGWY,4B0W,LLM,1,,,,,,,,,,,,,,,,,,,,
7,RWOW,True,4,WROG,1B2W,VOI,132,ORWO,0B3W,LLM,16,RWOY,3B0W,LLM,3,RWOW,4B0W,LLM,1,,,,,,,,,,,,,,,,,,,,,,,,
8,WGRR,True,4,GYOW,0B2W,VOI,312,RRWY,0B3W,LLM,11,YWBR,1B1W,LLM,2,WGRR,4B0W,LLM,1,,,,,,,,,,,,,,,,,,,,,,,,
9,ROWO,True,5,YWRG,0B2W,VOI,312,GYGY,0B0W,LLM,52,WRBW,0B2W,LLM,3,OOWR,2B2W,LLM,1,ROWO,4B0W,LLM,1,,,,,,,,,,,,,,,,,,,,
10,WYYY,True,4,GYRW,1B1W,VOI,252,BGRO,0B0W,LLM,6,YYWY,2B2W,LLM,1,WYYY,4B0W,LLM,1,,,,,,,,,,,,,,,,,,,,,,,,
11,ORRR,True,3,BWOR,1B1W,VOI,252,BRRY,2B0W,LLM,22,ORRR,4B0W,LLM,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,RGOW,False,1,ORBW,1B2W,VOI,132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,RGOG,True,4,ROWG,2B1W,VOI,48,RGWY,2B0W,LLM,5,RWWO,1B1W,LLM,2,RGOG,4B0W,LLM,1,,,,,,,,,,,,,,,,,,,,,,,,
14,RWGW,True,5,YWRB,1B1W,VOI,252,GWGY,2B0W,LLM,23,OWYY,1B0W,LLM,7,GWBW,2B1W,LLM,2,RWGW,4B0W,LLM,1,,,,,,,,,,,,,,,,,,,,
15,BRBY,False,2,BOWY,2B0W,VOI,96,GWWY,1B0W,LLM,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,BGGB,False,1,YGWB,2B0W,VOI,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,OOOB,True,4,WOGY,1B0W,VOI,108,BRGB,1B0W,LLM,13,RRYY,0B0W,LLM,4,OOOB,4B0W,LLM,1,,,,,,,,,,,,,,,,,,,,,,,,
18,WOGB,True,4,OBWR,0B3W,VOI,136,WRGO,2B1W,LLM,11,WRBG,1B2W,LLM,1,WOGB,4B0W,LLM,1,,,,,,,,,,,,,,,,,,,,,,,,
19,RGYR,True,4,GOWR,1B1W,VOI,252,YROR,1B2W,LLM,14,RYGR,2B2W,LLM,1,RGYR,4B0W,LLM,1,,,,,,,,,,,,,,,,,,,,,,,,
20,WGWY,True,4,WBGY,2B1W,VOI,48,GBGW,0B2W,LLM,8,WGYY,3B0W,LLM,3,WGWY,4B0W,LLM,1,,,,,,,,,,,,,,,,,,,,,,,,
