game_number,target_word,won,attempts,guess_1,feedback_1,hamming_1,levenshtein_1,strategy_1,guess_2,feedback_2,hamming_2,levenshtein_2,strategy_2,guess_3,feedback_3,hamming_3,levenshtein_3,strategy_3,guess_4,feedback_4,hamming_4,levenshtein_4,strategy_4,guess_5,feedback_5,hamming_5,levenshtein_5,strategy_5,guess_6,feedback_6,hamming_6,levenshtein_6,strategy_6,candidates_before_1,candidates_after_1,reduction_rate_1,candidates_before_2,candidates_after_2,reduction_rate_2,candidates_before_3,candidates_after_3,reduction_rate_3,candidates_before_4,candidates_after_4,reduction_rate_4,candidates_before_5,candidates_after_5,reduction_rate_5,candidates_before_6,candidates_after_6,reduction_rate_6,total_violations
1,PHOTO,True,6,GIVEN,-----,5,5,LLM,RAMOS,---Y-,5,5,CSS_TRUE_REPAIR,WOULD,-Y---,5.0,5.0,LLM,OHHHH,YG---,4.0,4.0,LLM,CHOCO,-GG-G,2.0,2.0,LLM,PHOTO,GGGGG,0.0,0.0,LLM,5629,1299,76.92307692307693,1299,64,95.07313317936874,64.0,6.0,90.625,6.0,3.0,50.0,3.0,1.0,66.66666666666666,1.0,1.0,0.0,0
2,PARTY,True,5,START,-YYY-,5,3,LLM,TAMER,YG--Y,4,4,CSS_TRUE_REPAIR,RATIO,YGY--,4.0,4.0,LLM,CARTA,-GGG-,2.0,2.0,LLM,PARTY,GGGGG,0.0,0.0,LLM,,,,,,5629,50,99.1117427607035,50,8,84.0,8.0,5.0,37.5,5.0,4.0,20.0,4.0,1.0,75.0,,,,0
3,TRICK,True,3,SINCE,-Y-G-,4,4,LLM,CRICK,-GGGG,1,1,CSS_TRUE_REPAIR,TRICK,GGGGG,0.0,0.0,LLM,,,,,,,,,,,,,,,,5629,20,99.6446971042814,20,4,80.0,4.0,1.0,75.0,,,,,,,,,,0
4,DIRTY,True,4,COULD,----Y,5,5,LLM,DANES,G----,4,4,CSS_TRUE_REPAIR,DITTY,GG-GG,1.0,1.0,LLM,DIRTY,GGGGG,0.0,0.0,CSS_TRUE_REPAIR,,,,,,,,,,,5629,302,94.63492627464912,302,7,97.682119205298,7.0,1.0,85.71428571428571,1.0,1.0,0.0,,,,,,,0
5,USUAL,True,3,COULD,--GY-,4,4,LLM,SLUGS,YYG--,4,4,LLM,USUAL,GGGGG,0.0,0.0,CSS_TRUE_REPAIR,,,,,,,,,,,,,,,,5629,32,99.43151536685023,32,1,96.875,1.0,1.0,0.0,,,,,,,,,,0
6,TRULY,True,5,START,-Y-Y-,5,5,LLM,TUNER,GY--Y,4,4,LLM,TRUMP,GGG--,2.0,2.0,LLM,TRUCK,GGG--,2.0,2.0,LLM,TRULY,GGGGG,0.0,0.0,LLM,,,,,,5629,88,98.43666725883816,88,4,95.45454545454544,4.0,3.0,25.0,3.0,2.0,33.33333333333333,2.0,1.0,50.0,,,,0
7,SPENT,True,3,START,G---G,3,3,LLM,SPLIT,GG--G,2,2,LLM,SPENT,GGGGG,0.0,0.0,CSS_TRUE_REPAIR,,,,,,,,,,,,,,,,5629,22,99.60916681470954,22,2,90.9090909090909,2.0,1.0,50.0,,,,,,,,,,0
8,PAUSE,True,3,COULD,--G--,4,4,LLM,GAUGE,-GG-G,2,2,LLM,PAUSE,GGGGG,0.0,0.0,LLM,,,,,,,,,,,,,,,,5629,82,98.54325812755374,82,3,96.34146341463416,3.0,1.0,66.66666666666666,,,,,,,,,,0
9,CRAZY,True,5,START,--GY-,4,4,LLM,BRAID,-GG--,3,3,LLM,GRAPE,-GG--,3.0,3.0,LLM,CRAWL,GGG--,2.0,2.0,LLM,CRAZY,GGGGG,0.0,0.0,LLM,,,,,,5629,69,98.77420500977084,69,22,68.11594202898551,22.0,7.0,68.18181818181817,7.0,3.0,57.14285714285714,3.0,1.0,66.66666666666666,,,,0
10,BASES,True,3,START,Y-Y--,5,5,LLM,BASED,GGGG-,1,1,LLM,BASES,GGGGG,0.0,0.0,LLM,,,,,,,,,,,,,,,,5629,255,95.46988807958785,255,2,99.2156862745098,2.0,1.0,50.0,,,,,,,,,,0
