game_number,target_word,won,attempts,guess_1,feedback_1,hamming_1,levenshtein_1,strategy_1,guess_2,feedback_2,hamming_2,levenshtein_2,strategy_2,guess_3,feedback_3,hamming_3,levenshtein_3,strategy_3,guess_4,feedback_4,hamming_4,levenshtein_4,strategy_4,guess_5,feedback_5,hamming_5,levenshtein_5,strategy_5,guess_6,feedback_6,hamming_6,levenshtein_6,strategy_6
1,PHOTO,True,3,TUNER,Y----,5,5,LLM,SAITH,---GY,4,4,VOI,PHOTO,GGGGG,0,0,VOI,,,,,,,,,,,,,,,
2,PARTY,True,4,UNITS,---G-,4,4,LLM,PHOTO,G--G-,3,3,VOI,PLATT,G-YG-,3,3,VOI,PARTY,GGGGG,0,0,VOI,,,,,,,,,,
3,TRICK,True,4,STAMP,-Y---,5,5,LLM,HOLTZ,---Y-,5,5,VOI,TRIED,GGG--,2,2,VOI,TRICK,GGGGG,0,0,VOI,,,,,,,,,,
4,DIRTY,True,3,HOUSE,-----,5,5,LLM,PARTY,--GGG,2,2,VOI,DIRTY,GGGGG,0,0,VOI,,,,,,,,,,,,,,,
5,USUAL,True,4,MAIZE,-Y---,5,5,LLM,SHALT,Y-YY-,5,3,VOI,LUKAS,YY-GY,4,4,VOI,USUAL,GGGGG,0,0,VOI,,,,,,,,,,
6,TRULY,True,4,HOUSE,--G--,4,4,LLM,BRUNT,-GG-Y,3,3,VOI,TRUDY,GGG-G,1,1,VOI,TRULY,GGGGG,0,0,VOI,,,,,,,,,,
7,SPENT,True,5,VIRUS,----Y,5,5,LLM,STAHL,GY---,4,4,VOI,SCOTT,G---G,3,3,VOI,SWEET,G-G-G,2,2,VOI,SPENT,GGGGG,0,0,VOI,,,,,
8,PAUSE,True,5,RADAR,-G---,4,4,LLM,SALTY,YG---,4,4,VOI,CAGES,-G-YY,4,4,VOI,MASSE,-G-GG,2,2,VOI,PAUSE,GGGGG,0,0,VOI,,,,,
9,CRAZY,True,6,HOUSE,-----,5,5,LLM,PLATT,--G--,4,4,VOI,GRAND,-GG--,3,3,VOI,CRABB,GGG--,2,2,VOI,CRACK,GGG--,2,2,VOI,CRAZY,GGGGG,0,0,VOI
10,BASES,True,5,HOUSE,---YY,5,4,LLM,SPENT,Y-Y--,5,5,VOI,GCSES,--GGG,2,2,VOI,EASES,-GGGG,1,1,VOI,BASES,GGGGG,0,0,VOI,,,,,
11,YOUNG,True,4,STAGE,---Y-,5,5,LLM,GLOCK,Y-Y--,5,5,VOI,BOING,-G-GG,2,2,VOI,YOUNG,GGGGG,0,0,VOI,,,,,,,,,,
