game_number,target_code,won,attempts,guess_1,feedback_1,strategy_1,candidates_1,guess_2,feedback_2,strategy_2,candidates_2,guess_3,feedback_3,strategy_3,candidates_3,guess_4,feedback_4,strategy_4,candidates_4,guess_5,feedback_5,strategy_5,candidates_5,guess_6,feedback_6,strategy_6,candidates_6,guess_7,feedback_7,strategy_7,candidates_7,guess_8,feedback_8,strategy_8,candidates_8,guess_9,feedback_9,strategy_9,candidates_9,guess_10,feedback_10,strategy_10,candidates_10
1,GPBR,True,5,ROBY,1B1W,LLM,660,KOYP,0B1W,VOI,147,YBBG,1B1W,VOI,25,PGBR,2B2W,VOI,1,GPBR,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
2,RYGO,True,3,RGYB,1B2W,LLM,204,RYGR,3B0W,VOI,8,RYGO,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,OYGW,True,6,RGBW,1B1W,LLM,660,YKBG,0B2W,VOI,141,WGOK,0B3W,VOI,8,BOKW,1B1W,VOI,3,KPGW,2B0W,VOI,1,OYGW,4B0W,CSS,1,,,,,,,,,,,,,,,,
4,YKBP,True,5,RGYB,0B2W,LLM,936,OKRG,1B0W,VOI,118,WPRY,0B2W,VOI,15,YWGG,1B0W,VOI,1,YKBP,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
5,YOOO,True,4,RGBW,0B0W,LLM,256,PKPY,0B1W,VOI,16,OYOO,2B2W,VOI,2,YOOO,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,
6,BGPK,True,5,RGOB,1B1W,LLM,660,YRKB,0B2W,VOI,141,RYGW,0B1W,VOI,19,PBOY,0B2W,VOI,2,BGPK,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
7,GWRK,True,5,RGBW,0B3W,LLM,224,BPRG,1B1W,VOI,52,WBRK,2B1W,VOI,6,WWRB,2B0W,VOI,1,GWRK,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
8,GYGR,True,5,RGYB,0B3W,LLM,224,PRBY,0B2W,VOI,60,KBGR,2B0W,VOI,9,YBGO,1B1W,VOI,2,GYGR,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
9,PPRR,True,5,RGYB,0B1W,LLM,976,YKOP,0B1W,VOI,174,WPWG,1B0W,VOI,24,WBBO,0B0W,VOI,2,PPRR,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
10,RORO,True,6,RGBO,2B0W,LLM,216,RKBY,1B0W,VOI,64,RGWG,1B0W,VOI,13,RRRO,3B0W,VOI,4,RRPO,2B1W,VOI,1,RORO,4B0W,CSS,1,,,,,,,,,,,,,,,,
