game_number,target_word,won,attempts,guess_1,feedback_1,hamming_1,levenshtein_1,strategy_1,guess_2,feedback_2,hamming_2,levenshtein_2,strategy_2,guess_3,feedback_3,hamming_3,levenshtein_3,strategy_3,guess_4,feedback_4,hamming_4,levenshtein_4,strategy_4,guess_5,feedback_5,hamming_5,levenshtein_5,strategy_5,guess_6,feedback_6,hamming_6,levenshtein_6,strategy_6,violated_green_1,violated_yellow_1,violated_gray_1,total_violations_1,violated_green_2,violated_yellow_2,violated_gray_2,total_violations_2,violated_green_3,violated_yellow_3,violated_gray_3,total_violations_3,violated_green_4,violated_yellow_4,violated_gray_4,total_violations_4,violated_green_5,violated_yellow_5,violated_gray_5,total_violations_5,violated_green_6,violated_yellow_6,violated_gray_6,total_violations_6
1,PHOTO,True,5,GIVEN,-----,5,5,LLM,OZAWA,Y----,5.0,5.0,CSS,STOCK,-YG--,4.0,4.0,LLM,BROTH,--GGY,3.0,3.0,CSS,PHOTO,GGGGG,0.0,0.0,LLM,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,PARTY,True,5,THINK,Y----,5,5,LLM,AMATO,Y--G-,4.0,4.0,CSS,DARTS,-GGG-,2.0,2.0,LLM,CARTE,-GGG-,2.0,2.0,CSS,PARTY,GGGGG,0.0,0.0,LLM,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,TRICK,True,2,THINK,G-G-G,2,2,LLM,TRICK,GGGGG,0.0,0.0,CSS,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,DIRTY,True,4,THINK,Y-Y--,5,5,LLM,WITTY,-G-GG,2.0,2.0,CSS,START,-Y-Y-,5.0,4.0,LLM,DIRTY,GGGGG,0.0,0.0,CSS,,,,,,,,,,,0,0,0,0,0,0,0,0,3,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0
5,USUAL,True,4,WORDS,----Y,5,5,LLM,SPANK,Y-Y--,5.0,4.0,CSS,CAUSE,-YGY-,4.0,4.0,LLM,USUAL,GGGGG,0.0,0.0,CSS,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,TRULY,True,5,WORDS,--Y--,5,5,LLM,EVERY,---YG,4.0,4.0,CSS,THEIR,G---Y,4.0,4.0,LLM,TRACY,GG--G,2.0,2.0,CSS,TRULY,GGGGG,0.0,0.0,LLM,,,,,,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0
7,SPENT,True,3,THERE,Y-G--,4,4,LLM,SLEPT,G-GYG,2.0,2.0,CSS,SPENT,GGGGG,0.0,0.0,LLM,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,PAUSE,True,5,GIVEN,---Y-,5,5,LLM,STYLE,Y---G,4.0,4.0,CSS,ABUSE,Y-GGG,2.0,2.0,LLM,CAUSE,-GGGG,1.0,1.0,CSS,PAUSE,GGGGG,0.0,0.0,LLM,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,CRAZY,False,6,WORDS,--Y--,5,5,LLM,REFER,Y----,5.0,5.0,CSS,LAURA,-Y-Y-,5.0,5.0,LLM,BRYAN,-GYY-,4.0,4.0,CSS,GRAVY,-GG-G,2.0,2.0,LLM,TRACY,-GGYG,2.0,2.0,CSS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,BASES,False,6,WORDS,----G,4,4,LLM,PINTS,----G,4.0,4.0,CSS,GAMES,-G-GG,2.0,2.0,LLM,LAKES,-G-GG,2.0,2.0,CSS,SAVES,YG-GG,2.0,2.0,LLM,CASES,-GGGG,1.0,1.0,CSS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,YOUNG,True,3,START,-----,5,5,LLM,JENNY,---GY,4.0,4.0,CSS,YOUNG,GGGGG,0.0,0.0,LLM,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,MEANS,True,3,WORDS,----G,4,4,LLM,BANKS,-YY-G,4.0,3.0,CSS,MEANS,GGGGG,0.0,0.0,LLM,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,TRUTH,True,4,WORDS,--Y--,5,5,LLM,CHARA,-Y-Y-,5.0,5.0,CSS,HIKER,Y---Y,5.0,5.0,LLM,TRUTH,GGGGG,0.0,0.0,CSS,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,FIRED,True,3,THERE,--YY-,5,4,LLM,RILEY,YG-G-,3.0,3.0,CSS,FIRED,GGGGG,0.0,0.0,LLM,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,FOLKS,True,6,THERE,-----,5,5,LLM,GONZO,-G---,4.0,4.0,CSS,WORDS,-G--G,3.0,3.0,LLM,SOCKS,-G-GG,2.0,2.0,CSS,YOLKS,-GGGG,1.0,1.0,LLM,FOLKS,GGGGG,0.0,0.0,CSS,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
16,CHILE,True,4,MATCH,---YY,5,5,LLM,CUSHY,G--Y-,4.0,4.0,CSS,CHORE,GG--G,2.0,2.0,LLM,CHILE,GGGGG,0.0,0.0,CSS,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,BLACK,True,5,WORDS,-----,5,5,LLM,HYENA,----Y,5.0,5.0,CSS,GUESS,-----,5.0,5.0,LLM,AXIAL,Y---Y,5.0,5.0,CSS,BLACK,GGGGG,0.0,0.0,LLM,,,,,,0,0,0,0,0,0,0,0,0,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0
18,GRANT,True,4,WORDS,--Y--,5,5,LLM,PRICE,-G---,4.0,4.0,CSS,GRAFT,GGG-G,1.0,1.0,LLM,GRANT,GGGGG,0.0,0.0,CSS,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,MEALS,True,6,POINT,-----,5,5,LLM,AWASH,--GY-,4.0,4.0,CSS,WORDS,----G,4.0,4.0,LLM,CLAUS,-YG-G,3.0,3.0,CSS,SEALS,-GGGG,1.0,1.0,LLM,MEALS,GGGGG,0.0,0.0,CSS,0,0,0,0,0,0,0,0,1,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0
20,CREAM,True,5,THINK,-----,5,5,LLM,ROWED,Y--Y-,5.0,5.0,CSS,EARLY,YYY--,5.0,5.0,LLM,CESAR,GY-GY,3.0,3.0,CSS,CREAM,GGGGG,0.0,0.0,LLM,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,AWAKE,True,5,WORDS,Y----,5,5,LLM,EWING,YG---,4.0,4.0,CSS,TWEET,-GY--,4.0,4.0,LLM,KWAME,YGG-G,2.0,2.0,CSS,AWAKE,GGGGG,0.0,0.0,LLM,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,OCCUR,True,5,THINK,-----,5,5,LLM,APPLE,-----,5.0,5.0,CSS,WORDS,-YY--,5.0,5.0,LLM,VROOM,-YY--,5.0,5.0,CSS,OCCUR,GGGGG,0.0,0.0,LLM,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,YEARS,True,1,YEARS,GGGGG,0,0,LLM,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,GRADE,True,4,QUITE,----G,4,4,LLM,SPACE,--G-G,3.0,3.0,CSS,VOWEL,---Y-,5.0,5.0,LLM,GRADE,GGGGG,0.0,0.0,CSS,,,,,,,,,,,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
25,CHILL,True,4,START,-----,5,5,LLM,GOOEY,-----,5.0,5.0,CSS,CHILD,GGGG-,1.0,1.0,LLM,CHILL,GGGGG,0.0,0.0,CSS,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
